#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	malE//astA//
AcrR	narG//ppiA//cynX//pspE//bglF//dcuA//grxD//isrC//hokD//recX//rnlB//
Ada	gcvT//fucU//artP//cysU//
AdiY	ygbK//hyfD//cysN//ygiA//leuL//ppsA//tdcG//dmsD//
AgaR	mscM//gspJ//glpD//gadY//lysO//flhB//feoB//fucR//fliQ//htpG//intQ//
AidB	argF//
AlaS	bdcA//
AllR	dmsB//glcG//ftnB//cusB//nohA//uidB//ebgA//bhsA//gutM//
AllS	idnT//gutM//fixB//
AlsR	waaY//yiaN//nanE//glnB//cyoC//aldA//
AppY	tdcB//atoA//yciW//lysR//narK//hisJ//fecD//dcuA//fldB//glyA//
AraC	moaA//yncE//prpE//sbmA//fur//napC//lldP//gntK//recN//cynS//fliH//osmB//ydeO//oppB//
ArgP	polA//cysG//paaA//pdeL//cyoB//oppB//argI//oxyS//emrA//ahpC//murF//tnaA//hcaR//dacC//
ArgR	cspD//nuoB//gcl//rstA//tyrR//casE//glnP//pepA//mnmG//moaD//soxS//gspE//sroA//flgN//cspE//envC//glpQ//yegH//hcaF//dmsA//purK//metC//pagP//fldB//ogt//entF//entS//dcuS//fecR//phoP//paaC//carB//yidQ//yqaE//gfcA//feaB//nikA//gntU//
ArsR	araB//aceF//cheW//
AscG	pgpC//bamE//lysC//moeA//mraY//
AsnC	mgtA//codA//yoaC//tcyJ//
AtoC	cyoB//oxyS//gadX//hmp//
BaeR	dcuD//sufD//gatA//ydbD//ulaB//yeaH//polB//sdhA//
BasR	nfo//argG//rpsO//ccmF//nirD//yiaO//nfuA//glpT//ssrS//bolA//aceB//lpxA//hyaF//
BetI	ftsQ//glpF//hdeD//mgrR//
BirA	wzc//glgC//fixC//codA//allB//
BluR	carA//bhsA//nirD//mtr//
BolA	hybB//ssuA//
CadC	yefM//metY//trpC//
CaiF	metK//fnr//ygeA//argI//wzxE//tadA//safA//nrdD//oppA//dinB//
Cbl	dmsC//yhdY//osmC//phnN//guaB//ftsL//dinG//bhsA//glxR//
CdaR	argP//yqhG//lysP//rpoS//decR//aroH//mdtB//hybC//cas2//mtr//
CecR	nhaR//glnP//trpR//infB//omrB//
ChbR	garR//fecA//ebgA//ribA//bdcA//wzc//
ComR	yccT//
CpxR	ymgC//ompF//nikE//ybiT//melA//yjjQ//zraR//rutB//cysJ//fixC//ruvA//glxR//fucK//flhB//yfdE//hha//murR//ykgO//glpK//hydN//kbaY//atoB//hokE//ulaF//lsrC//ydhT//ydbK//mprA//araC//yciF//fepB//nupG//hypB//ynbB//glcC//feoA//purK//exuR//envC//purR//focA//gadW//add//nfuA//yccT//fadM//xylB//fepB//yhiD//tonB//lldR//yhhY//mgtL//aceK//phoQ//frdC//hlyE//rbfA//glmY//ldtC//dtpA//hyfI//dnaA//mntS//casB//entC//dmsD//mscM//ppdB//degP//
Cra	pagP//rpoE//puuD//iscU//yfiR//cpxP//ompN//edd//metQ//yjeV//pheS//astB//mgtL//cusS//ssuE//hybG//omrB//mdh//phnH//kbaY//fepG//garD//recN//atoB//argD//rplU//argH//flhC//hyfR//chbC//agaC//ybiT//bdm//marA//bglF//rutB//murQ//tyrP//waaY//asnC//pspE//yfiB//uxaA//puuR//betT//fecC//mdtB//fliM//gspE//yiaN//nikD//cadA//pstB//entA//nuoE//murG//wecC//purF//hyfF//nikE//emrA//napH//yafO//pspA//glpC//citE//ykgO//ydiU//cspI//yeaE//fadR//cadC//wzb//hydN//hybC//potI//paaJ//ttdB//murG//
CreB	mtlD//emrB//ydfD//glnG//fliO//
CsgD	lysC//srlA//fliE//hslJ//cysH//ydfW//manX//sgbU//yjbE//amtB//pepD//pgm//recA//ssuD//ppdC//entB//pepA//mraZ//thiP//sucD//ydfD//tauA//caiF//rplT//gabP//efeU_2//add//prpE//
CsiR	mazE//deoA//flgD//cueO//fecB//
CspA	fliI//hybB//
CueR	ygaC//mgrB//csgD//hyfF//patA//sgrR//thiQ//
CusR	soxR//artI//emrK//appC//lpd//qseC//metQ//glk//ddpD//purH//pnuC//ftsK//
CynR	gyrA//lysO//nemR//dhaL//
CysB	ftsI//ftsW//efeU_1//flgB//mgtA//ddpC//rclB//tdcE//alsC//paaB//csiD//nuoN//dinG//ccmE//znuC//pstC//mipA//cyaR//citC//hyfI//pheT//patA//nmpC//nohA//ycgZ//malY//cusC//fhuD//feoC//lldR//rsmH//zraS//
CytR	pstB//fhlA//kbp//idnR//osmC//wecE//alsB//acrA//cytR//purR//araH//pspG//ynjI//
Dan	ydhY//fumB//gatA//ydcT//
DcuR	yiaK//rob//setA//alsB//rpoH//nac//lsrF//ppsA//malS//
DeoR	yqhG//kbaY//fecC//rpoE//hisM//hybF//
DhaR	cysB//thiP//epd//hycC//
DicA	astA//dsdC//hyfB//feoB//rcsA//ruvA//caiC//bglJ//
DinJ-YafQ	oxyS//hydN//rpmA//
DnaA	mngB//ycjX//dinQ//tauA//bglB//caiT//araD//yqjH//pdeH//artJ//yhiM//mngA//
DpiA	nrdH//dinB//modB//crl//aceB//garK//patD//sgrR//poxB//ftsI//gcvP//
DsdC	trpL//nagB//gatB//
EbgR	srlE//malP//
EnvR	malT//phnL//
EnvY	ydfN//mcbA//
EvgA	creD//fecR//ygdB//ttdT//srlE//hyaC//mipA//ubiX//hyaD//ariR//nrfF//malI//ilvC//argC//yafO//narI//betI//tyrA//uxaB//
ExuR	pgpC//cyoE//crr//ung//ribA//nimR//glpT//erpA//emrA//
FabR	purE//moeA//
FadR	rutB//hyfE//murP//murP//cydD//ygbK//narH//araE//melB//moaA//ubiX//potF//ybiT//yaiA//ldtD//flgC//argD//hybA//ybaT//nrdD//fecE//mgtL//fecR//
