#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	tyrB//ahpF//
AcrR	hdeD//betA//efeU_2//prpD//pqiA//arsR//rpiR//hycE//xylF//kdpA//ydfD//
Ada	xapA//borD//nuoH//phoE//
AdiY	atoD//fabG//fadI//hyfD//sra//sdhA//iscS//ariR//
AgaR	yqjA//ahpC//ycdZ//ycjG//argD//truB//gadC//cynT//ubiX//nuoI//prpC//
AidB	ddpA//
AlaS	aroF//
AllR	ygiC//nanA//ddlB//pstS//copA//aspA//hyaD//rpmI//fldB//
AllS	gcvB//spy//talA//
AlsR	yfaE//phnK//glnG//gltB//hisJ//hypB//
AppY	yjiY//tauB//gcvA//phoP//kdpC//nrfE//hcaR//tauC//phnI//fiu//
AraC	rpsU//leuO//exbD//kdpB//fucR//higA//micF//gspG//pepD//ttdT//srlE//fepB//ydhX//ilvC//
ArgP	idnD//lysO//hyfJ//wecC//gadW//gcvT//melB//mgtL//pspG//gabP//nuoJ//flgB//uof//sufD//
ArgR	dhaR//crl//argT//alsB//tcyP//lrp//argF//ccmB//glcF//yciF//osmB//idnD//cirA//kbaY//fbaA//dicB//yciW//hyaD//mazE//appB//gadB//ung//nemA//phoU//ppdB//cueO//rpiR//ascF//uxaB//slt//purA//chbG//ybfN//gntT//potG//arsC//gspL//purR//
ArsR	lysP//yhdY//ahpF//
AscG	ddpC//lhgO//modC//mglB//ppiA//
AsnC	ydfE//fhuF//ybdN//bglB//
AtoC	talA//truB//patA//purH//
BaeR	mzrA//tnaC//hcaB//ydfH//cydC//eno//sufD//hyfH//
BasR	narX//fucI//ptsH//murD//lsrK//malG//uof//aidB//dnaG//fruA//oppF//ybfE//degP//
BetI	mhpA//cysE//yecT//cheW//
BirA	trpA//pspE//baeS//gadB//dnaN//
BluR	dgcC//uxuB//lysA//skp//
BolA	ymjD//trpR//
CadC	fucA//ydcT//fepD//
CaiF	omrB//pdhR//glmS//oppA//ygdB//cysG//emrK//lsrD//yqhG//omrA//
Cbl	gltI//ssuE//nagC//ybdZ//bglG//sgrR//hyfG//talA//ccmF//
CdaR	astC//ada//fliF//cpxA//fecC//hycB//relA//lsrA//omrB//aspC//
CecR	bioF//gnd//bluF//leuD//glnA//
