#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	glpT//fau//
AcrR	bhsA//nfuA//mdh//cusS//poxB//gadB//soxR//acrB//lysR//entA//fepE//
Ada	bdcA//hipB//yhdZ//fadD//
AdiY	yaiA//fdnI//purB//ybbW//fhuC//allE//pqiA//appB//
AgaR	rpsO//fadH//ydbD//mraZ//ccmD//phnM//gcvH//oppA//prpD//ssuC//cysK//
AidB	ebgA//
AlaS	gspH//
AllR	yjbH//ompT//rutF//acnA//srlE//nupC//ebgC//glcC//fimB//
AllS	ybaS//wzc//ompC//
AlsR	ssuB//envC//yafO//betI//pqiA//argT//
AppY	fdnG//hycE//argP//hycC//hokD//hisJ//dsbA//fdnH//entE//metH//
AraC	gutM//rbsD//grxD//rutR//yhiM//phnE_2//trpA//gspI//ulaB//murF//yiaL//hyaB//thrS//pgaD//
ArgP	lsrR//fabZ//paaE//napD//yhbT//fur//efeU_2//araA//pagP//fliK//nirB//caiD//mdtF//mgrB//
ArgR	yafQ//mzrA//nuoH//yiiS//yiaL//dpiA//hypB//gspD//mazE//purH//manX//glgB//aroM//sroD//flgJ//purL//dctA//sucB//flgM//fucA//mdtA//glxR//aroG//ybdN//agaC//yjjZ//marB//nuoA//lon//hypB//yjjQ//ycgZ//nuoL//flgE//ydfN//phnH//ppdC//tehB//
ArsR	ybhR//moaD//acrR//
AscG	nupC//uspA//nuoF//ybaT//moaB//
AsnC	eda//rdoA//narI//yhcH//
AtoC	pgk//phnO//marB//hycA//
BaeR	truB//hyaE//allE//nimR//metQ//flgJ//uvrA//rhaS//
BasR	entF//fepB//tdcB//glnD//nanE//hcaC//cvpA//hyfC//allC//fadA//nanK//lexA//gspK//
BetI	yhiD//yccT//hmp//hybE//
BirA	phnN//phnK//cytR//gadC//bolA//
BluR	purH//yrbL//infB//glgX//
BolA	allD//norV//
CadC	sdhC//lpd//fhuF//
CaiF	ppdA//ugpB//idnT//aceE//astD//rnpB//idnT//gspD//gadB//ydfE//
Cbl	gpmA//sucB//entE//leuO//rutR//thiQ//rseB//kbaY//phoA//
CdaR	fucI//nuoC//lsrB//yciG//dsbC//rarA//gor//deoD//puuP//symE//
CecR	cheW//nanT//chbA//hypB//fhuC//
ChbR	ykgO//kdpC//ycjY//aceB//rpoH//slp//
ComR	phoE//
