#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	pepA//sdhD//
AcrR	glyA//pyrC//hyfE//rpmI//malE//dkgB//nrdG//sufS//aroP//yagK//caiA//
Ada	cbl//murI//dinI//ydbK//
AdiY	dkgA//nrdE//ccmF//hdeA//iclR//dmsA//hybF//mgtA//
AgaR	hcaB//ppdC//artJ//icd//dmsB//flgF//ydcS//sufB//ulaD//agaW//yjbE//
AidB	nrdB//
AlaS	tauC//
AllR	fau//lsrC//chbF//csgB//rpsO//araC//murQ//mlc//cdaR//
AllS	ddpX//ftsA//gadA//
AlsR	pdeH//moaE//glgA//feoA//yfdX//phnD//
AppY	ybbY//yeaH//mhpF//argB//murG//yecT//chbC//torR//sroC//ldtC//
AraC	sbmA//manX//tdcB//cysD//potF//alkA//wecB//betT//ddpX//yeaG//kbp//ynfK//fixC//nrdD//
ArgP	rpsO//phnE_1//mhpC//ftnA//cysM//eno//thrS//rutD//paaJ//crp//kdpF//ssuE//lrp//yjbG//
ArgR	aroP//ddpF//bdm//glnP//araA//fadA//pgm//ydiU//fliI//caiC//gltL//ydfX//glmU//emrY//agaB//bioF//astA//dhaL//higB//cbl//dcuS//ppiD//galP//cirA//argR//ssuC//araA//decR//mdh//uof//yqhG//moaD//hybE//waaZ//allD//paaD//treC//metR//
ArsR	carA//hypD//torC//
AscG	malM//phnO//yhiD//garL//yciX//
AsnC	fecE//gcvP//tdcE//phoH//
AtoC	qseB//treB//idnO//aroF//
BaeR	casD//entE//citC//yrbL//pgpC//idnD//mtlD//citF//
BasR	zinT//hyfR//sucA//oppF//caiD//mpaA//tdcF//hyfE//malY//yfdE//treB//deoB//asnC//
BetI	arsB//zraR//ynbB//malI//
BirA	glnG//kdpC//murQ//cyoE//ygiC//
BluR	yeaR//sgrT//dsbA//sufA//
BolA	glxR//rcnA//
CadC	argI//lsrD//mlc//
CaiF	malG//mazF//crr//glcF//folE//glcG//gntP//mntS//pheM//ada//
Cbl	add//yhdY//oxyS//prpD//casB//bglB//galK//ybjC//entS//
CdaR	pgpC//araJ//agaC//ydeP//rffC//pgaD//phoQ//codA//pgaC//alsA//
