#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	acrA//nrfE//
AcrR	cdd//yhbS//phoR//hyaE//dicB//alsC//ynfG//mdtA//pck//cadB//flhD//
Ada	phnE_2//ulaC//purC//yoaG//
AdiY	malT//ynfG//cysM//nohA//flgJ//nrdF//uhpT//fabA//
AgaR	dps//nagC//ccmC//potH//ldtD//rtcA//sufD//purE//phnE_2//fdhF//ydhW//
AidB	cysP//
AlaS	yqaE//
AllR	marA//paaB//argC//tyrP//recD//cydD//narJ//sdhC//ychF//
AllS	glmS//bdm//fucR//
AlsR	qseB//deoA//hybA//yjbE//lsrF//hyaE//
AppY	argO//xylF//asnC//oppD//caiD//glyA//fepA//hypD//ydiU//lhgO//
AraC	uxaA//rbsD//metB//mipA//hypE//crr//pgm//rpoE//dsrA//ynbB//csrB//yebE//ulaD//entC//
ArgP	ybaS//uvrD//casC//hydN//fliA//prpD//chbA//rffH//creA//dsbG//ulaE//ubiX//hycB//uxuR//
ArgR	insK//baeS//dapB//nuoM//rutB//crr//acrZ//thiP//betA//fumB//ugpA//yfdV//melA//rybA//mraZ//cysC//purM//malK//envC//ymjD//hlyE//sdhD//hcaF//aroF//ygiC//phnO//ydfW//nadA//hypA//tauB//nrdB//dps//puuB//glpA//pspF//rutG//aceB//glmY//
ArsR	galR//entB//obgE//
AscG	napA//ppdA//astB//nrfG//fepC//
AsnC	infB//ybhL//feaR//hmp//
AtoC	ssuC//hyfF//malI//ygeA//
BaeR	mdtB//sra//hycI//carB//gabT//betT//paaD//tyrP//
BasR	argC//nhaR//torA//dcuS//moaD//dnaG//cdd//chbG//nadA//speB//xylH//srlR//nimR//
BetI	osmC//argI//lacZ//entF//
BirA	dgcC//micF//ygeA//ybjC//mhpF//
BluR	lldR//mhpC//ftsK//pgaD//
BolA	betI//agaA//
CadC	ygeH//slt//sgbU//
