#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	epd//caiE//
AcrR	hns//ftsK//creA//fnr//caiF//paaY//malQ//gntX//sufB//glcB//phnG//
Ada	cpxQ//nemR//zinT//pqiB//
AdiY	atoB//edd//pykF//ftnA//atoB//malI//ahpC//napF//
AgaR	flhE//fucK//malG//flgK//phnC//yafQ//pflB//yedX//epd//fhuE//hypA//
AidB	phoE//
AlaS	tdcD//
AllR	gntP//entC//ddpD//fecB//kdpF//dsbG//sgbU//dkgA//rhaD//
AllS	guaA//idnK//allS//
AlsR	sgbH//yhiD//mipA//rffM//yccA//dinB//
AppY	flhB//metL//rutB//dinD//hyfA//chbF//speA//ybhS//rplT//rseA//
AraC	metL//rpsU//nrfF//tcyP//artQ//gpmM//deoD//nrfD//gfcA//ycjY//hycA//ppdB//gadE//cdd//
ArgP	metC//phnJ//crp//sgbE//alaS//cysN//stpA//rimK//psiE//ydfW//glmS//ydiV//rclC//recD//
ArgR	purE//hyaD//nagE//glnP//pepD//seqA//atoB//caiA//oppA//glnB//garL//codB//phnG//agaV//metL//yhbE//iscR//sucB//hyaF//fdnG//tdcG//gadY//waaZ//ydbK//caiB//arsC//uvrY//ampC//tyrB//gcl//rclB//fhlA//mntS//sroA//fbaB//lsrC//malP//hycD//
ArsR	idnK//hmp//ymiA//
AscG	nrfE//ccmB//dkgB//rpoH//dinQ//
AsnC	rcnR//appB//yqjH//nuoC//
AtoC	psiF//caiE//nhaR//glcE//
BaeR	efeU_2//nuoJ//hha//aceF//ubiX//glnA//uvrD//deoC//
BasR	asnA//narH//soxS//cynS//nrdF//nirC//gltI//gspD//puuD//btuB//hypC//lsrB//gcvB//
BetI	glpC//ung//nikB//purR//
BirA	glpX//rpiR//nuoE//acrR//treR//
BluR	ydfN//umuC//gadF//gltB//
BolA	mlrA//fau//
CadC	srlB//wecC//purK//
CaiF	tehB//malY//ydfX//gcvB//polA//gltI//purH//tam//alkB//aidB//
Cbl	argE//lldR//nuoM//narK//fadL//puuR//arsC//rutR//paaD//
CdaR	dkgA//narL//glpQ//cysP//mdtB//yqhD//tisB//ftnB//symE//icd//
CecR	mraZ//lacY//pspD//yfdE//gspK//
ChbR	ygbA//fes//patD//rpoH//pgaC//nmpC//
ComR	inaA//
CpxR	ykgO//glpQ//hyfF//mhpB//oxc//araF//sodB//bdm//wecC//glcC//fldB//alkB//cirA//tomB//amtB//ftsW//ycjF//metR//pnuC//fliN//tadA//recC//pepD//appX//artJ//hdeA//adhE//uof//dmsB//hokD//sufB//recA//glxK//ydhT//narK//nrdD//rpoD//ydbD//umpH//artP//gcl//argP//qseC//flgH//intQ//wrbA//bglB//fadA//uspA//wzyE//gspK//astA//cdaR//aroG//flhC//tyrB//yecT//tdcE//malX//nrfF//bioB//yiaO//ygbK//iscU//ydiU//copA//uof//alkB//borD//sodB//
Cra	ppiA//ygiA//yncE//hcaB//nuoL//yegZ//purB//fixB//nanT//fbaA//nikC//hyi//glcG//fabA//astC//nagA//mazG//alaC//acrB//lexA//ydiV//fliM//ssuC//arsC//ppdC//ccmE//nagC//galR//csgA//tehA//bglF//ykiA//pgaA//ynbD//sdhA//mraZ//ydbD//mgtA//ubiX//aceE//hmp//hdeD//araJ//allD//flgN//focB//glnL//yjjQ//mazE//phoU//lsrA//mntS//chiP//ybbY//obgE//inaA//hyfH//paaF//feaB//ariR//gltI//qseB//tdcA//fliQ//hypC//allB//yeaR//acnB//hyfG//ftsZ//gatD//idnK//metC//caiC//garP//malX//yeaD//leuL//talA//
CreB	mglA//astA//serA//ebgA//lon//
CsgD	flhC//caiF//hcaF//rseC//hypF//cysH//gspO//paaY//metB//znuC//glnB//flgK//rbsK//luxS//atoB//hemL//gltK//higA//cusA//dpiB//dgcN//leuL//ygdB//metK//phoH//glcA//nfsA//rnlB//
CsiR	mprA//melB//gatY//gspE//yhdY//
CspA	fadB//potG//
CueR	mhpF//artI//fhlA//fepC//idnD//kdpF//nanT//
CusR	oxc//purR//fliC//purM//pstS//cusF//phoR//gcvH//ymgC//kdpC//mtr//btuB//
CynR	rhaB//rbsC//pagP//fur//
CysB	kbaY//gltF//uxaC//lexA//narL//casC//norV//cysC//ynjI//lsrD//agaB//gatZ//glpD//accB//hybO//glpA//mdtA//ccmB//glcA//gudD//cdd//paaE//fucI//argH//gcl//sbcD//stpA//nohA//nanM//fliI//cusA//rutC//
CytR	citD//malE//hybA//norR//fhlA//yqjH//fabA//moaA//yfdX//accB//rtcB//yaiW//feoB//
Dan	yiaO//add//napB//hyfJ//
DcuR	hisJ//caiE//ynfF//purF//prpC//potF//wzzE//glcG//pflB//
DeoR	caiT//csgD//yciE//ydeN//leuB//pepA//
DhaR	mdtC//ftsZ//caiT//yhiM//
DicA	xylB//fliN//ilvC//fliE//tomB//cas1//flu//gntU//
DinJ-YafQ	fecA//dmsC//ynfE//
DnaA	rybA//baeS//ynfE//hslJ//rhaB//araJ//gcvB//rpoD//cusC//cusF//hybA//nanA//
DpiA	fhuA//sucD//galS//sfsB//mlrA//napB//potG//phnI//ppsA//ptsH//yeaD//
DsdC	dpiB//fldB//ttdR//
EbgR	hdeD//psiE//
EnvR	lsrF//napD//
EnvY	fucO//emrB//
EvgA	ftsL//uvrD//rseA//kdpB//rclC//agaW//pgm//ada//flu//guaA//accA//mraY//hydN//cas2//flgN//glxR//phnF//chbB//hcaC//
ExuR	aroP//leuD//purA//mtlR//deoC//sucC//ahpF//rcnA//hipA//
FabR	hypF//glcB//
FadR	gspO//gspM//thrS//tnaB//mhpE//gadF//arsR//mglB//lysR//glpF//slt//gatA//caiF//tdcD//yjeV//gadE//crr//motB//gspM//gfcA//gpmA//artM//argT//
FeaR	glxR//zraS//
FhlA	creD//uxaB//hypC//hcaB//allE//treC//yafQ//fecI//yfbR//glmU//glnG//nikD//hyi//napG//gadB//csiD//purF//mngA//hokD//bluF//nuoF//lpxC//fliI//oxyS//murI//higA//phnC//waaY//tyrP//puuP//
FlhDC	leuD//cusC//tomB//kdpA//ascB//dsbC//narI//ygiZ//nanE//nuoE//kdpF//flgJ//lsrC//moaD//yiaM//sgrT//hycI//cecR//gltK//gfcA//galS//nemA//nrfE//nirB//waaH//glnH//sufE//yecR//narJ//ftsA//yebG//acrA//fliZ//fabB//idnD//rhaD//glmS//hcp//glcG//xapA//rclC//metI//ybfN//recB//ynbA//yhbE//omrA//hmp//lysO//baeS//nadB//fliI//ymjD//rplT//pspG//fhuD//galK//ybjC//gspD//yfiR//flgN//guaA//uidR//zraS//hycD//iscS//ybdN//mglA//cdd//seqA//pgm//glpT//cas2//garD//yjhB//atoD//ygiA//rutR//uxaB//fhuB//mcbA//malT//
FliZ	tsr//mdtD//rhaA//tsgA//accA//ydcS//lacA//ldtC//glpA//tauD//xylF//idnR//lysO//fliD//decR//fixX//fhuB//hyaD//ydfW//ydhY//flhD//
FucR	leuA//dmsA//wcaA//rhaT//emrB//ttdA//xylR//
Fur	yeaD//xylF//hipA//csiD//sbcD//lsrK//higB//sgbH//cpxA//pncB//fhuD//tktB//mtlA//hipB//umuC//micF//cysM//ssb//uvrA//nikA//mgtA//yhdX//leuB//gntP//yhdY//phnN//yiaO//codA//nagC//garD//rffT//hemH//ybhF//hcaB//sdhC//mdtB//tam//nrfB//casD//malT//phnK//motB//malT//cynT//dhaM//gnd//murE//lysO//creD//nrfB//fixA//uidR//fliT//pitB//kdpA//uxuB//lysR//agaR//napA//prpB//yjbF//phnC//phnD//chbG//cysG//narH//gloA//hyfF//ydfD//sgrT//mioC//bioA//ddpD//bglB//yafO//ryhB//ftsI//ompC//sgrT//dapD//yidL//mhpE//hcp//psiE//ybjC//gloA//ccmG//dinD//caiE//nac//mazG//hslJ//puuB//ybbY//fabZ//rimP//cynT//argG//yiaL//srlA//mntP//ldtD//yafQ//malP//purR//lsrA//nusA//rtcA//ssuE//argP//malG//glcG//uhpT//bolA//gatB//ulaB//relB//glcF//omrB//ydeO//tpiA//rseB//appA//chbF//phnG//wzxE//hyaA//phnP//oxc//fecB//
GadE	metE//purN//cueO//rutG//baeS//ygbA//garP//rpoE//pheT//hyaD//flgA//nrfC//fucO//caiC//cysA//ftnB//nikC//gcvH//cdaR//glpQ//ddpC//pspB//hyfR//fepB//galK//glnB//mazF//csgB//pstS//
GadE-RcsB	ddpF//dtpA//entF//rbsC//glnK//murI//ldtB//csrB//caiT//
GadW	napG//paaC//rutA//glnB//citE//leuO//fabH//tisB//yfdE//ykiA//agaW//yqjH//napD//hokD//lsrG//
GadX	hisP//cynX//cysJ//garL//rutA//mhpF//yiaM//ybiT//iclR//fecI//crp//fliJ//dacC//nagB//nuoL//fecA//puuA//hisJ//mraZ//gltK//yjbE//epd//dinB//higB//spy//fucK//fepG//hemH//oxyR//
GalR	napF//lon//rstB//exuR//ssb//focA//fucP//glcA//fliH//cbl//
GalS	nupC//flgC//hyaB//bglG//pstS//ycjX//glnL//bioB//argE//leuB//
GatR	argI//mepH//uspD//ykgO//malZ//grxA//
GcvA	erpA//motB//yjjZ//allS//bolA//
GlcC	phoQ//entF//malP//yciG//fumC//malZ//glnD//
GlpR	modB//patA//mgrB//mglB//cusB//yhjX//mhpC//casE//glk//
