#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	rbfA//sufB//
AcrR	fliH//yeaD//yiaN//appA//hycA//cpxA//folA//ykiA//yhbE//pgpC//mepH//
Ada	recX//nimR//yiaK//potI//
AdiY	astB//flhE//yegZ//carA//cdaR//csgG//sfsB//hyfF//
AgaR	hypE//hmp//ugpA//ybjC//gspH//puuD//ymgA//narG//ycjX//yhdX//ydfD//
AidB	htpG//
AlaS	yfaE//
AllR	hisM//soxR//yhcH//dmsA//cysG//fdhF//rffG//hcaR//paaH//
AllS	fruK//yiaK//yjjQ//
AlsR	ogt//ybhS//uspE//fepE//narH//sroD//
AppY	cueO//nanA//stpA//yciW//metJ//hypA//ccmE//ftsK//hha//fliE//
AraC	hlyE//agaA//sodB//dhaK//ompC//yjbF//osmB//tktB//rcnA//argF//fucU//ugpB//aidB//glmY//
ArgP	phnL//dinI//treC//crl//galS//argT//idnO//gadF//fabG//waaY//moeA//hcp//trxC//allS//
ArgR	relE//cas1//flgF//crr//cysB//pdeH//sbmC//yhdX//feoA//iscS//entD//lysC//pspC//ddpX//glcC//yfiR//lyxK//infB//puuP//ybhG//moaD//zinT//hypA//nfo//rbsD//nfsA//ccmG//dmsA//hcaE//malI//moeB//phoB//dcuR//ymiA//mzrA//ynbD//inaA//flgB//
ArsR	pfkA//nanS//ymgA//
AscG	pgaA//tauD//galK//znuB//mntS//
AsnC	rcnA//metK//chbF//ygiA//
AtoC	baeR//cvpA//paaX//rpoD//
BaeR	srlD//tktB//hemL//yiaK//ulaB//recF//fhuB//nhaA//
BasR	mcbA//ynfE//wzzE//hydN//uspE//ygiC//flhA//cadA//lpxA//fadA//hycF//hyfB//ftsA//
BetI	pdhR//codB//flhC//agaI//
BirA	nhaR//yfbR//micF//carA//agaA//
BluR	paaJ//glxR//glpF//yiaN//
BolA	psiE//nrdI//
CadC	araE//garD//nikA//
CaiF	evgS//srlD//caiF//tisB//oppF//iraM//fadR//hyaB//atoA//ecnB//
Cbl	rffG//yhjA//napF//mhpE//aroL//ebgC//nrfD//uhpT//casA//
CdaR	lacY//pncB//ybjN//ariR//tdcF//nupC//pstB//gnd//pheS//marR//
CecR	pnuC//glcB//uidA//malG//nusA//
ChbR	lolA//gspE//ppdA//dinF//tdcC//yecT//
ComR	ldtC//
CpxR	creA//sbmA//slyB//kbp//cpxP//hycC//lrp//pnuC//gspO//nuoA//paaZ//cysW//ynbD//hypC//gatZ//napB//ybjN//rbsB//gntU//rnlB//metJ//phnE_2//hybF//ttdA//yhdW//psiE//rybA//tyrR//malS//frc//hyfG//lyxK//rhaT//glcF//purC//glcB//dnaN//ccmG//yeiL//yiaK//uspD//paaX//mhpC//entB//bdcA//nuoB//hyfI//garK//alsB//aceA//torD//lpd//ftsW//napF//pdeR//cho//mdh//phnI//hemL//ibaG//paaE//aceF//bglG//gcvH//cusB//dinF//nadB//mdtF//ykgO//ybhR//
Cra	narJ//paaD//flhD//yiaO//ydeI//hha//dinD//prpE//rutD//ddpB//gpmM//hcr//nirB//yqhG//sgbE//garD//guaA//cysM//tdcF//pheS//metC//hypF//stpA//ecnB//ybaT//qseC//citE//rclB//lpxA//mdtA//mdtF//glgC//glpF//kdpA//crl//xylB//tyrA//fliS//yebG//yjjQ//garD//gspH//purR//flhA//cysB//malE//ulaF//uxuB//rplU//yiaJ//ftsI//setA//ynbB//kbaZ//phnK//qseB//gspM//fliZ//acrB//higA//ppdB//fadE//gltL//treB//metL//dhaL//rhaB//pyrD//torD//bioF//malE//chbC//dicC//dnaG//ubiX//cusC//phoQ//nfsA//aceF//
CreB	rutG//agaC//tyrB//gntU//accC//
CsgD	rhaT//hyfD//icd//ybhG//yqhG//caiT//argH//malS//yciF//csgC//waaZ//metK//ytfE//hisQ//fliI//argT//guaB//marA//cysK//epd//ptrA//kdpC//idnO//purE//ydcT//ftsK//dinQ//uidC//
CsiR	yfbR//pykF//gadF//uxaC//recD//
CspA	waaZ//astA//
CueR	narK//garK//trpB//rimK//lpxA//malS//feoB//
CusR	glgP//phnC//mglA//ssb//fabI//glcC//fpr//kbaY//ttdA//ynjI//accC//sufE//
CynR	tnaA//safA//mscM//hypB//
CysB	pspG//glpD//ssuE//yccA//gadY//pspE//mhpA//argR//accB//uof//hycG//argB//yhiM//nfo//yafO//nikD//ybhL//pqiA//gspO//rplU//rbsR//hycD//dinF//caiA//cysB//pspE//fimB//znuB//napC//fabH//casC//ybjN//
CytR	yjbF//fliR//dapB//entS//srlD//yjhC//sfsB//mdtA//nac//fbaA//dgcZ//rbsR//yccT//
Dan	recC//hyfI//ydbK//bglG//
DcuR	yeiL//wzb//osmB//yidL//ybhF//oxc//zinT//yidQ//fliM//
DeoR	ibaG//aceF//tdcG//potF//flhD//rhaA//
DhaR	phoH//inaA//metB//phnL//
DicA	grxD//rstA//ascB//gadC//metL//ybhS//agaI//fruB//
DinJ-YafQ	yqhG//galM//nikE//
DnaA	dcuA//purA//frdC//galK//rutG//thiQ//purF//ahpF//dsdA//artP//lysP//ruvA//
DpiA	recN//mpaA//baeR//hyfC//pgpC//narG//fau//fliF//phnC//ymgA//yhdY//
DsdC	lsrG//allB//betB//
EbgR	malG//zraS//
EnvR	htpG//trxC//
EnvY	ybhL//kdpC//
EvgA	fadB//hslJ//ybaS//torD//bioC//uvrB//ssuA//tsgA//focA//cyoD//pqiB//fruK//murE//mntP//manX//flgA//glk//recD//fecD//
ExuR	hypC//glnB//uvrY//fliZ//glnP//ftsI//xylF//phnN//trpD//
FabR	ybhR//cbl//
FadR	artJ//fucA//cyoE//iraM//feaB//sgbE//nrdE//ygeH//ptsI//hmp//bdm//fucA//glyA//bglJ//dcuA//nanM//galT//srlB//metA//paaK//rfe//ubiX//gudP//
FeaR	motA//frdD//
FhlA	ygeH//caiF//arsR//argF//rpsO//yoaC//sutR//yccA//pitB//sroA//ydfH//fecA//feoA//fhuE//waaZ//fadL//ompF//araH//fruK//glpA//ahpF//entE//poxB//prpD//fliQ//wecC//yecT//aspA//yjhC//fimE//
FlhDC	agaS//lysP//melA//tsr//yafN//pncB//fnr//moeA//ulaE//cadC//casC//phoQ//acrD//hipA//yeaE//casC//rpsU//gltL//argP//chbB//glcB//ebgA//mglA//sbcD//marR//cydB//ung//fdnG//adiC//atoD//rseB//argO//hyaA//yidL//dmsC//fabG//osmB//ppdA//phoB//nuoH//hyfF//rhaT//nuoB//fhuC//acrB//metI//iraM//argP//yhjA//lsrG//trpC//soxR//gudD//gntU//ygeA//puuB//polB//hypD//asr//kdpF//iscU//mhpC//purC//idnR//ynjI//cusR//purM//rplT//focA//artJ//mglB//betB//ecpR//mazF//setA//cysA//ydfW//ydhT//dsrA//ddpB//agaA//nikC//
FliZ	mgtL//glmU//rffH//iscU//galS//acrD//hybG//ftnB//argH//lsrK//cusS//sgrS//fepA//alaC//csrC//ugpB//rcnA//fabA//rtcA//metN//allS//
FucR	ytfE//lrp//tauD//aspC//pdhR//glmY//yhdW//
Fur	ulaC//nikE//ygeH//pstC//gpmA//paaI//mtr//ppc//yhiM//ugpQ//ppdA//mgtA//mgtA//hybB//sutR//thrS//glcB//fixX//oppA//yccA//melA//pspE//trpD//evgA//dapB//gltB//fucU//moaC//glmY//lysC//hyaF//metE//cysD//ilvY//fadR//yqhD//yfiB//ccmA//xylB//phnF//rbsA//trpR//argA//dinB//ugpB//rutB//ccmH//yjhC//yjjZ//phnE_1//motB//nanC//yhiM//sufA//dhaR//yidL//mepH//phnJ//carB//hdeA//rob//glnK//hisQ//yhdZ//sfsB//ftsZ//paaY//yafP//aroM//tdcB//fliE//evgA//fabD//gadF//ytfE//betB//fepC//nikC//gdhA//waaH//iraP//hycB//cirA//gudD//astC//phoQ//ynfK//idnD//tnaC//xylG//gabT//crp//gspM//rpsU//ssb//tbpA//mhpA//oppA//alaC//yhiM//fhuC//araA//zwf//aidB//mhpF//gspO//zntA//flhA//tyrP//narX//ybhR//flgH//lysO//ssb//paaH//cysP//ydiU//gutM//dcuR//mazG//ulaB//ecnB//aroP//dctA//argD//lacA//cadA//hydN//dctA//hha//
GadE	yfbR//qseB//nrfB//ydhW//hyfD//ulaG//acrD//mtlD//umpH//gadX//hycI//fliQ//gltJ//alsA//yeaR//malM//gltK//bioC//fecE//cynX//ydeP//ecpA//gadE//gpmM//gspO//cytR//nlpA//creC//ttdR//
GadE-RcsB	ybjC//pspF//cspE//rcnR//glnA//malF//uspE//ybaS//nuoI//
GadW	kdpF//yfdV//dhaL//mntP//fdnG//metN//malY//gutM//kdpB//chbG//nikB//ybjG//dgcZ//yhdX//caiB//
GadX	ddpA//pspE//araA//yqaE//sdhB//aceK//rtcA//ygeA//rutA//carB//pnp//ubiA//guaA//dgcC//slp//fucP//gltI//metH//ariR//glcB//ytfE//mgrB//napB//rdoA//csrC//hcaD//hypC//frdB//nrdB//
GalR	sgbU//puuB//wzyE//yjjZ//tktB//bglJ//mipA//nusA//decR//fliJ//
GalS	nirB//idnD//fucP//ttdA//yegZ//hyfB//mprA//hyfE//ccmH//yhdX//
GatR	hypF//gadF//purM//treR//dsbC//araJ//
GcvA	rpoD//qseC//hslJ//aslB//hyaF//
GlcC	wecB//mazF//hybO//yfiB//alaS//fliZ//xylF//
GlpR	lysO//puuE//mlrA//dinG//murF//flgN//dkgB//ybhS//exuT//
GlrR	nusA//mazG//arsC//gabT//glcD//
GntR	flgK//phnC//trpD//moaB//rpmI//flgA//mdtA//paaB//torR//murP//rffG//ompN//
GutM	pstB//aroP//gabD//argE//fruB//fbaB//cusB//
GutR	rpoE//metC//speA//dsbG//tauC//ssuE//sbmC//
HU	yafO//caiB//dcuA//ygiA//cusF//aceB//yeaH//melA//purC//
HcaR	ecpR//hisP//ftsA//prpD//ybjG//intQ//
HdfR	gspH//mhpA//arsC//astB//paaB//
HigA	nhaA//fhuF//
HigB-HigA	pgi//pspA//
HipAB	fliG//entB//aspA//ynfH//galS//
HipB	xylA//tisB//hemL//torD//hyfA//mngR//
HyfR	ybhS//fdnI//treB//ydeM//bglF//ubiX//yiaM//dps//guaA//mhpA//tsx//tdcG//
HypT	yhiD//hypD//insD//decR//puuC//acnA//allE//umuC//gudP//paaG//nrdD//dsdX//fliP//
IclR	flgG//ymiA//nanT//csgF//
IdnR	uidA//efeU_1//gudX//tfaQ//glnB//fliN//ynbD//
IlvY	ygiC//lacA//
IscR	fliK//araJ//ddpB//alsB//glpQ//trpC//nfsA//flhB//purE//oppC//purF//cspD//nagE//insK//putP//phnC//uvrC//modC//sgbE//ulaC//araA//fadE//dctR//agaS//umpH//ybdN//alaS//kdpA//yeaD//caiA//dacC//dkgA//
KdgR	dcuR//narL//
KdpE	feoB//rseB//astD//codA//
LacI	nfuA//fucU//ssuC//
LeuO	rpiB//ubiC//frc//uhpT//yfaE//ydfW//nohA//nimT//gapA//galS//sufD//flgH//glnA//mscM//aldA//phoB//ccmD//ybhR//sdhD//argH//
LexA	hcaR//gspK//artP//flgI//tauC//dmsA//nikA//oxyR//ftsW//tktB//rpiR//cueO//fliO//hemH//ssuA//cirA//waaZ//pnp//phnE_1//nikA//caiT//cueO//phr//dinQ//galP//ybbW//dnaG//tfaQ//srlD//hyaC//relA//cusB//ttdT//asnB//paaE//nikC//mscM//cadA//ecnB//crp//ariR//mhpT//aspC//hflD//mntP//aroP//murQ//rbsA//flhE//fecD//ptsH//sucC//aceK//pqiB//argG//entS//nupG//treC//galP//
LldR	gltB//ulaG//mqsR//
LrhA	yafN//cysD//accA//erpA//
LsrR	hyi//bacA//recF//atoB//wecB//pheT//wecB//cho//agaR//
