#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	fliI//dsdX//
AcrR	fdhF//lldP//ydhU//sulA//tisB//fhuA//serA//lolA//hypF//oxc//modC//
Ada	malG//paaE//nrdF//sucB//
AdiY	pyrD//yjhC//nimR//trpA//ygiB//narK//pstB//sufC//
AgaR	aceA//fbaA//caiD//gspD//mdtC//mdtA//feaB//fliG//gntK//malK//nirB//
AidB	cheA//
AlaS	ydfE//
AllR	fhuB//paaZ//nuoL//glmU//gatZ//allD//bglG//cytR//yciE//
AllS	fepD//ulaC//yhbS//
AlsR	galP//cynR//ccmB//fliO//mtr//nanE//
AppY	ruvA//ssuE//gfcA//tsr//ulaG//yneM//hdeA//yhjC//ascB//adiC//
AraC	ddlB//artJ//sucA//gudX//bglF//rpiB//fepB//ompC//hycI//gntK//yeaD//pyrC//hybE//cysC//
ArgP	cspE//cpxR//accC//ddpB//gudP//rhaD//ada//agaC//ariR//metK//fabA//ydcT//paaD//yeaR//
ArgR	pykF//lysO//tyrA//ydeI//glcB//udp//ompC//gspF//dpiA//hslJ//fixC//cspD//purB//frdA//dcuB//ruvB//lysP//fau//purK//yhiM//iscS//ompT//hycH//lpd//csiD//serA//purM//relA//eda//rffT//leuA//guaB//hyaD//yjiY//potH//bhsA//bglF//flhD//
ArsR	ymgA//hypA//tnaA//
AscG	soxS//flgK//pdhR//cusA//deoA//
AsnC	fliJ//tomB//adhE//tnaA//
AtoC	recC//cdd//rseB//malK//
BaeR	pstA//yefM//dicB//cyaR//moaB//purN//hdeD//mpaA//
BasR	ahpC//fliD//nirC//prs//molR_1//paaY//phnD//gatD//fadD//astE//nuoB//tcyP//glgB//
BetI	pgpC//pgaD//sbmA//mtr//
BirA	ydeN//purH//manY//gutQ//rcnB//
BluR	fau//fliE//mraY//phoE//
BolA	glpT//glpC//
CadC	pdeR//glyA//fucI//
CaiF	gspC//cydC//creB//rpmA//bamE//xylG//napC//ynbB//rhaA//agaS//
Cbl	gspI//narJ//rpoD//atoB//yneM//glyA//tadA//aceB//wrbA//
CdaR	wrbA//phoA//iclR//fucR//nrdH//hdeB//aroF//pflB//rybB//carA//
CecR	fixX//rarA//aceB//sdhD//ogt//
ChbR	ftnB//purD//ftsK//tauC//qseC//nuoC//
ComR	yidL//
CpxR	purB//fabG//rhaR//mgtL//fliD//rpsU//dhaM//hycB//deoD//uidC//kbp//argH//hisM//gspE//erpA//slt//potI//trxC//rstA//mpl//pspF//ascB//pepD//yeaD//hdeB//glnB//purN//nemA//melR//wecC//skp//pspE//aceE//puuR//guaA//dinJ//chbA//tynA//atoA//cysP//cytR//aceF//betA//pdeH//rob//citE//fruB//rsmH//speB//ydhV//fnr//bluF//artP//cysD//puuD//lpxD//arsB//yfiR//adiA//fabI//hycH//fepE//manY//ybdN//tynA//alsA//luxS//torD//phnP//metA//
Cra	sgbU//marB//phnO//asnA//cysG//yhbS//citG//aroG//chbG//cadA//cyoB//artJ//hcaE//ulaC//metR//cysK//rcsA//artI//yhbT//patA//glxK//pheS//luxS//hokE//mntH//pheS//hypA//moeB//nrdB//katE//cueO//fau//wecC//ycjX//glpF//garP//napH//symE//garP//araH//fadA//malZ//csgD//rffG//ascF//fadA//gloA//flgE//fruA//cspE//ygiC//flhD//acrB//wzb//fau//qseB//manZ//yjjQ//mglC//pitB//marR//rseC//slp//ndh//ung//fixA//skp//malS//uxuB//narK//cysW//yaiW//poxB//lrhA//fpr//atoB//fdhF//gspH//frc//
CreB	mpaA//moeA//ulaE//galR//ygeA//
CsgD	mhpD//cas1//cspI//rffT//hyfA//yiaM//napC//hypA//relA//cynX//acrB//ldtD//yebE//glnQ//gatY//rpoE//citX//allE//glgC//yiaN//omrB//nadA//csgA//asnB//hipA//trpE//waaZ//ynjI//
CsiR	hdeD//sucA//ada//hcaC//polA//
CspA	hcaC//glyA//
CueR	bioB//dmsB//rtcA//napA//pdhR//uidC//csgG//
CusR	gspH//ftsZ//metE//zntA//tisB//bioD//malT//torR//htpG//ydeN//ycjG//rseB//
CynR	cspD//xylF//dkgA//ynfE//
