#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	sbmC//artJ//
AcrR	nfuA//skp//tyrB//frdD//napB//gnd//metH//ftsK//ybdN//dsrA//cbl//
Ada	puuR//yfiB//hypB//pspG//
AdiY	ychF//gfcA//fliG//glpF//rbsD//rpoD//yjbF//mdtE//
AgaR	pyrC//rsmH//phr//casC//metQ//csgF//tyrR//cadB//dkgB//folE//sucD//
AidB	fliD//
AlaS	idnT//
AllR	fadA//bioC//oxyR//yjiY//sufB//argI//skp//fhlA//betA//
AllS	aceA//emrY//ynfK//
AlsR	cysA//yjhB//yqjH//fliQ//flgE//grcA//
AppY	ppiA//cdd//caiE//ppiA//hokE//feoA//yoeB//grcA//fepD//fadJ//
AraC	ppdC//rutR//prs//rfe//allB//alkA//fdnG//alaS//nuoH//gadE//metB//modA//flgD//hycC//
ArgP	nirD//dsbA//bglF//emrA//cbl//cysJ//srlB//gabD//agaV//cytR//yebE//argF//nuoL//phnE_1//
ArgR	ppsA//tynA//ydbD//yegH//uvrC//agaW//cynS//argC//tomB//mhpT//cysU//ascF//serA//gspG//nupG//casD//yccJ//fruK//glgP//hflD//yagK//focA//glnG//deoD//psiF//ybhL//glnP//cyoA//uidC//mhpT//hypF//leuO//baeR//mhpB//glmU//cysA//sufD//ychF//
ArsR	hyaD//tdcD//araC//
AscG	uxaA//ychF//gpmA//fliI//sgbH//
AsnC	hycA//puuB//moaD//yfiR//
AtoC	nhaR//nuoE//nanM//rffC//
BaeR	rpiB//puuB//rhaT//hycB//mtlR//sufA//hokE//manZ//
BasR	ybhG//phnO//bglJ//mngR//rpmI//relB//marR//dpiB//gloA//idnO//grxA//tynA//fucU//
BetI	uvrD//pgaC//bacA//gadA//
BirA	fhuD//yafQ//narX//hcaB//tsx//
BluR	rbsR//casC//nuoG//gcl//
BolA	nemR//dhaK//
CadC	ddpX//glnD//hns//
