#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	gntT//fliE//
AcrR	napC//patA//gntK//fur//glnB//glk//hyaB//feaB//rpiB//yeaH//eda//
Ada	gfcA//puuR//bglG//murC//
AdiY	rprA//cydD//mngR//yjeV//sbcD//ptrA//mdtC//alaS//
AgaR	nikR//puuD//uxaA//ydeP//mtr//tsr//trpB//phoE//ftsW//flgN//fliP//
AidB	yqjA//
AlaS	cyaR//
AllR	rbsC//appX//argG//cusR//bglB//yjbF//bioA//ulaB//nanS//
AllS	phnJ//ccmH//atoA//
AlsR	yafO//ilvC//rpsO//glpQ//degP//phoU//
AppY	casA//malM//alsC//nuoN//lysO//nuoL//ttdT//casD//cydA//tcyJ//
AraC	bdcA//aroP//paaD//argI//decR//narX//dgcN//ppiA//kdpB//cysM//fhuC//phoA//allB//hyfG//
ArgP	cdd//glnA//glpK//caiE//cyoD//tdcF//rtcB//ugpA//cusR//yoeB//garR//ddpC//ruvA//phnF//
ArgR	bglF//murG//mtlA//nrdI//ydeO//leuB//htpG//bluF//rpoD//artJ//puuB//baeR//ydeM//atoB//yoaG//agaV//kbaZ//tdcD//pdeH//sdhB//aroF//bglG//yfbR//lyxK//fhuA//ompN//iscA//tomB//cadA//araH//modA//nikE//hyfD//rybA//fabI//ssuE//folE//fiu//
ArsR	oxc//astE//ddlB//
AscG	nrfA//phnP//ccmF//fabB//ascF//
AsnC	metF//trpC//ppdC//ynbA//
AtoC	lhgO//prpR//sbcD//araC//
BaeR	fucR//allA//fhlA//uxaB//ptrA//speB//sufB//gatD//
BasR	ccmE//iraM//cysD//astC//glcB//udp//alsC//aceK//talA//cysG//gadE//flgE//yagK//
BetI	ybhG//tsr//cueO//cirA//
BirA	moeB//galS//nanE//fpr//cyaR//
BluR	allD//deoD//sbcC//fliK//
BolA	ubiX//csgD//
CadC	glnK//nanS//murG//
CaiF	mdtD//argG//purF//rpoE//entA//ydhW//rnlB//ddpA//hyfB//ssuD//
Cbl	gltK//fliJ//nimR//ccmB//hemL//mtlD//dkgB//lyxK//bamE//
CdaR	sroC//dcuR//iscR//dpiB//sucA//ycjX//malX//kbaZ//dmsD//edd//
CecR	rclC//ykgM//psd//malP//oxyR//
ChbR	tdcG//frdC//rbsD//entC//appC//metH//
ComR	ebgA//
CpxR	zraP//mlrA//purH//rpoS//pdeL//aroP//malI//aroF//ugpB//yjhC//appX//rhaR//hyfI//pdeR//tadA//hokD//guaA//nuoG//gabD//poxB//hycC//evgS//glyA//oppB//ycjY//nrdH//glyA//gspD//murE//nimR//murI//astB//atoA//gutM//pdeH//deoD//narG//dmsB//ybhL//melB//dmsC//rbsB//dsdA//glnP//rpiR//fdhF//ydfD//murD//cirA//fliA//idnK//paaX//aceA//leuD//phnP//rpoE//sdhA//phnE_1//dkgA//fdnG//ldtB//ptsH//obgE//uxuB//caiA//rfe//ruvB//frdD//torR//fadH//
Cra	tyrA//ssuB//casC//fhuE//tnaA//ymgC//ychF//norR//sbmA//pgk//gabD//astD//ddlB//flhD//argB//uidA//leuO//wzc//lsrG//glnA//rbsK//lldP//fliG//moeB//gyrA//pheM//yeaH//mipA//mprA//potF//lolA//glpT//betT//pspF//glgP//ddpF//metN//moaA//lsrB//fepA//ybhG//cysB//cydD//phnE_1//ymjD//hybB//wcaB//uxuB//cadB//ptsH//ptsI//iscR//purD//mpl//ybbW//xylH//narG//uvrA//fucU//ykgO//cdd//molR_1//nemR//xapA//hyfC//nrdA//cysP//ydhY//caiD//bluF//yciX//sbcD//uidR//ycdZ//pyrD//yoaG//cyoE//pitB//ecnB//
CreB	fliG//uvrB//polB//ecpA//gspJ//
CsgD	hisP//metY//yebE//ftsW//kbaZ//uspE//hcaR//rtcA//acrD//hydN//pspE//hycB//yjjZ//lpxD//yafQ//fliZ//ugpQ//ygiA//nrdD//feaB//yhiM//flgD//ycdZ//skp//lysO//pgk//fldB//cusF//
CsiR	cydB//araA//sufD//idnT//feaB//
CspA	fhuE//yiaN//
CueR	ygeH//ynfE//ogt//yeiL//dnaN//adiA//nuoM//
CusR	talA//cpxQ//ybaS//lexA//yfdE//hokD//purM//nrfD//ynbB//fadJ//csiD//pfkA//
CynR	hha//guaA//zntA//fldB//
CysB	ygdB//pspG//glpB//cydD//dkgA//gadC//phnJ//ascB//putP//astD//uidB//tauC//narJ//ddpD//cysG//ybaS//narG//entC//ruvA//yhjC//ung//ddpF//gatY//fliD//kdpF//casC//ebgA//fliQ//csrC//ybdZ//ascB//crp//
CytR	fdnG//manZ//trpC//rpmA//nikR//phoQ//slyB//fadH//oxc//yjbG//hlyE//nemR//sucA//
Dan	hybD//glxK//tnaA//umpH//
DcuR	fur//rutC//ybhL//uvrC//ftsI//cspD//ttdR//gntP//mepH//
DeoR	nimR//tdcG//rpoD//ykiA//yhdX//tfaQ//
DhaR	ydhY//narX//yciE//metR//
DicA	pck//sbcC//gor//ompC//dmsD//nfuA//glgX//uvrA//
DinJ-YafQ	yafN//ybiT//asnB//
DnaA	grcA//chbB//ulaF//xylH//marA//rcnA//fldA//hcp//ydhU//csgC//psiF//phnI//
DpiA	fliG//pgm//cysP//cueO//yjbE//entA//casC//alaC//dsdC//recD//mhpA//
DsdC	fdnI//gltF//cusB//
EbgR	hokD//malT//
EnvR	ybfE//ubiA//
EnvY	hyaD//rbsB//
EvgA	fecA//mioC//gadC//allC//paaH//potH//iclR//ssuE//betA//uhpT//recX//acnA//wzb//narX//narH//evgA//ddpF//edd//nrfB//
ExuR	ybjN//cysK//hipB//insD//aslB//zraS//ruvB//napH//gspI//
FabR	asnB//cusR//
FadR	idnD//fucR//ydbD//ulaG//dsdA//uxaB//intQ//ymgC//glpK//ygaC//ebgC//flgE//setA//fes//katE//glnB//ihfA//gpmA//entH//hipA//dhaM//lpxD//pgaB//
FeaR	rnlA//asnC//
FhlA	rob//frdD//mntS//citD//sroD//accC//yfdV//nuoF//cusB//gyrA//rclC//ftsA//yjjZ//ftsQ//grxA//emrA//fadA//amn//caiB//argI//oppC//sutR//phoB//aslB//nadB//modC//ibaG//hyi//nrdI//cas1//
FlhDC	ybjC//dacC//yciG//tcyJ//mngA//katG//gspO//mntS//yedX//entS//tisB//obgE//agaC//tktB//rcnA//tktB//ecnB//caiB//spy//astB//cyaR//xylB//phnD//argD//fliR//sucC//fadB//acrR//paaI//metB//ygiB//bglG//adiC//flgG//rpoE//bglG//nuoG//trpD//lgoR//accC//galP//rutF//modA//flhB//murI//ascF//mioC//pitB//ycjF//tdcD//csgG//cdaR//mazE//ssrS//uvrY//glnG//speA//aspC//atoB//ndh//phnF//ydiV//phnJ//lexA//yfbR//fadE//casA//purK//glgB//betA//pheT//wzzE//marA//hyfD//ebgA//gpmM//nirD//yafP//tauC//yfiB//ftnB//hybE//
FliZ	caiE//narG//phoA//entD//tsx//napF//flhA//rcsA//cysA//glk//modC//gspK//csrB//trpE//argR//recN//nrfF//rob//accA//hisQ//mtr//
FucR	mhpE//galS//ulaB//acrZ//lysA//tonB//fecA//
Fur	purA//pdeR//mdtB//emrY//paaD//metR//ynbC//cecR//acrR//yfbR//murQ//fadH//fepG//lolA//dmsC//cheA//ydhV//dcuR//uidB//ykgM//ttdR//ddpC//ydeI//ahpF//ydhU//potF//sgbU//hyaA//gcvH//murI//murC//hyfC//chbA//uvrY//ompF//lsrG//aceK//talA//gcvA//guaA//glnP//purK//glnP//cysI//dhaM//mnmG//mtlR//lpd//ubiA//ariR//yaiW//exuT//ynfF//lrhA//skp//iraM//murG//tehB//phoU//malQ//alkB//fliE//ttdA//gabP//artQ//aspC//tcyP//hycI//hybC//malK//torR//bglG//bdcA//paaY//flhD//ugpA//manZ//bacA//gltB//creA//yhcH//ssuA//srlR//ybdN//yeaH//fhuA//yiaN//adiA//fhuB//cas1//serA//gor//chbC//mqsR//entB//fecB//yqjA//iscU//ydfH//phoQ//torC//idnT//cadC//fliS//astD//sucB//murG//fabG//ssuE//rimK//katG//tdcE//yiaO//argH//nuoL//malK//dmsA//malZ//fliP//rpsU//ykgO//ssuA//tauA//fbaB//pgi//potG//metA//dcuD//phnN//yqhG//
GadE	rutA//lon//fur//rclC//appB//lolA//fimE//tdcD//omrA//nrdF//sbmA//yafP//galR//copA//ykgO//uhpT//nhaR//bioD//yqhD//rhaD//yecT//allS//nanK//phoA//ftnB//ompC//sufB//ppiA//glpK//
GadE-RcsB	aroH//phoE//hisJ//ydeP//nuoA//nikD//hyi//entS//wzc//
GadW	fliL//fliF//araA//cas2//mdtE//sroA//nrfE//ecpR//dapD//fliE//fliJ//rcnR//nirC//argA//pstA//
GadX	crl//rhaB//trpB//iraP//ydfN//glmY//dgcZ//purM//cyoA//speA//agaI//rpsO//aspC//rffH//gspO//lsrF//yqjA//tyrR//pgpC//dsdX//ascB//htpG//glcC//fhuF//yciG//galM//micF//gspC//nirB//
GalR	ulaE//prpE//ahpC//paaZ//rclC//grcA//manZ//dhaR//gltI//gspG//
GalS	stpA//hcp//sufD//tnaA//yiaJ//nuoG//infB//ydiV//mtlA//ssuA//
GatR	murD//yhdX//rob//rnpB//yciX//fldB//
GcvA	gudD//artI//frdB//gcvT//dctA//
GlcC	yjiY//lpxA//btuB//yiiS//xylR//paaY//frc//
