#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	umuC//modA//
AcrR	gadE//ssb//ynfE//pstB//gatB//astE//citG//cirA//alkB//wecB//pgaD//
Ada	ebgC//phnE_1//norW//glcE//
AdiY	pepD//betB//rarA//rpiB//nrfF//yibQ//glcC//tyrR//
AgaR	motB//paaI//flgC//sodA//glgC//talA//pnp//tadA//cysN//yeaG//ubiX//
AidB	fabI//
AlaS	nuoJ//
AllR	amn//csgE//paaC//tehA//gdhA//fhuC//citC//glpD//phnI//
AllS	malT//atoE//rimP//
AlsR	rutC//prpE//patA//polB//citC//ssuC//
AppY	sgrR//gpmA//aroH//yciW//ycdZ//dctR//deoA//prpC//nfuA//argA//
AraC	paaK//hycD//yhjA//cadB//acrB//ldtD//dsbC//hcaC//cecR//srlD//marB//hycF//mepH//yccT//
ArgP	fbaA//ybhG//ulaD//betT//paaK//safA//pspD//ygiZ//fecC//norR//ccmG//fldB//fimB//caiD//
ArgR	nuoF//hycF//yciG//ybjN//potG//nrdA//glcB//nrfF//tisB//soxR//rutG//garR//ahpC//bluF//ldtC//ccmE//fhuD//yqjI//fepC//xapB//ddpF//caiC//yqjA//ydbK//artI//phnI//ydfX//ecpR//ascB//cusB//yiaM//sdhD//add//cysU//caiD//fucR//puuB//efeU_1//
ArsR	acnB//pspB//hyfE//
AscG	rseB//prpD//sgbH//gcl//ompF//
AsnC	rffT//idnO//hns//nuoB//
AtoC	tdcF//moaB//ccmG//cusF//
BaeR	gapA//fixX//grcA//fecD//ygiZ//flgL//phnN//tomB//
BasR	nmpC//dcuS//rfe//ydhX//phoA//mipA//ccmG//talA//ftsI//gutM//ppdC//rimP//glnG//
BetI	trpC//potI//yeaG//yhdW//
BirA	ascF//rnlB//nuoN//tyrA//bhsA//
BluR	rhaS//fhuD//purL//ycdZ//
BolA	ybaT//appX//
CadC	gspM//copA//ubiX//
CaiF	sgrS//slp//xylR//mtr//bioD//hycG//cusF//deoB//sufD//rbsK//
Cbl	yfbR//cysB//wcaB//uidB//amtB//molR_1//hypD//sodB//nupC//
CdaR	fabI//yfiB//atoB//yefM//marR//ssuB//hyfG//ddlB//gabD//lsrG//
CecR	sufB//ftsQ//polB//csgF//mngA//
ChbR	mraZ//grxD//hcr//lldP//hypC//ddpA//
ComR	cynX//
CpxR	gspD//znuC//rplU//gpmA//phnI//nrdF//yfiB//phoR//fepA//ccmG//rbsC//alaC//glcD//nac//zraP//speA//chbB//fabH//dinI//ssuD//ynfK//rclA//guaA//ydbD//ddlB//napF//feaB//wrbA//astB//ygeH//hyfF//glnK//phnM//chbB//hha//metR//iraP//tyrP//sodB//narK//cyoB//gadY//nadA//entE//slyB//moaD//adiA//cadA//purF//nagE//oppD//araF//yhjX//gntP//lsrR//malX//flgJ//rstB//sgbU//rprA//cpxR//agaC//ynfF//rybA//sdhA//alaC//gspH//srlR//sroA//yiaJ//
Cra	idnT//fabZ//purE//flgF//allE//hslJ//wzyE//mhpC//accA//ppdC//casA//soxR//purE//agaD//frdD//phnI//gpmM//exuT//garR//pstB//dsbG//dcuS//ilvC//rnlB//fepA//phnH//hyaA//glpT//ynjI//pstS//flgL//fliM//tdcE//iraP//melA//cheA//tcyJ//ahpF//ydcU//pdeL//fecA//metR//ygdB//murP//xylR//yjbH//ydhT//efeU_2//yiaM//garR//spy//tauD//csrB//gadE//hisP//alsA//marA//caiT//hslJ//rclA//yafQ//edd//argP//araC//cspI//ydiV//srlA//metL//dnaA//ssuB//prpE//pstS//nrdE//patD//fadA//mscM//yeiB//fepE//phnM//
CreB	metF//phoE//mdtB//ppdA//murQ//
CsgD	dsdX//mhpF//araG//ybbW//tomB//hyaC//pagP//ulaE//marR//gatZ//ubiC//malT//mazE//cspD//gcvA//nuoN//gadY//argF//phnD//phoQ//ogt//btuB//yccJ//napF//feoC//glnL//yafP//csgF//
CsiR	chbC//aroL//alsE//kbaY//yeaH//
CspA	alaC//yhiD//
CueR	leuD//rnlA//ygiC//gadX//dctA//nanE//zinT//
CusR	fucP//hyaD//argT//glnG//tauB//astC//rseB//fabA//acrZ//kdpC//asnB//cspE//
CynR	artM//citD//ycjF//hyfF//
CysB	mzrA//purN//fadA//folE//mntH//sgbE//cusB//puuC//hns//gadA//yiaN//tynA//lrp//fdnG//ydfE//malM//tdcD//sucA//csiD//ihfA//wcaA//infB//fepD//ygiZ//fhuC//tktB//crp//hns//argO//araA//modA//rutF//
CytR	relB//ychF//metA//entF//fruK//lpxC//rnlA//tcyJ//torA//codB//ybjC//lpxD//hycI//
Dan	fliT//narJ//murP//cho//
DcuR	cspE//argH//gntK//rpmA//cysU//serA//epd//gor//torC//
DeoR	leuD//cytR//hybE//mdtA//fabG//glpF//
DhaR	pfkA//sodA//rprA//ulaB//
DicA	tktB//pgpC//grcA//fliK//ygaC//rybA//wzxE//ppdC//
DinJ-YafQ	fixC//entB//hcaR//
DnaA	fbaB//ymjC//glnP//fecC//cecR//higB//cyoC//fepE//aldA//gspO//rcnB//glgC//
DpiA	glk//pspE//insK//gabT//caiB//fhlA//ruvA//phnK//phoQ//exuT//lacY//
DsdC	dcuB//bioB//gltB//
EbgR	cusS//rcnA//
EnvR	tdcD//marR//
EnvY	fucR//mpl//
EvgA	gpmA//cyoA//yecR//leuL//sbcC//leuL//araC//murE//cynR//cynS//wecE//alaC//ynbB//pnp//glcG//ycjY//dacC//uxuR//trxC//
ExuR	rhaA//csgF//recX//galS//cpxR//gatY//yfdE//fepC//yebE//
FabR	ddpX//nirD//
FadR	fadR//sufC//nirD//ulaD//alkA//lon//uidB//fepE//ssb//nadA//hcaF//araE//hycG//rbsA//phoP//narK//rprA//nrdB//dsbA//ecpA//narH//entC//arsR//
FeaR	ccmB//add//
FhlA	ybbW//mioC//relE//dmsA//phnG//argO//lrp//pck//fliC//chbF//oppB//ymjD//yncE//ydhY//yccT//rhaD//fecA//fucI//hypE//fhuA//trpE//waaH//uxuB//ybbY//symE//mhpF//creA//rob//purC//lsrK//
FlhDC	qseC//nrfD//ldtB//osmY//torC//glgC//tdcB//xylH//entA//flhD//mazG//ccmF//ydcT//fixA//entB//murF//yhjX//fecE//uvrD//melB//cyoB//ynbC//cusS//ulaD//sufA//yaiW//yhbE//obgE//uvrY//citC//fabG//fucU//gudX//citD//fabH//gcvB//dmsB//fliQ//rybB//cra//ariR//ftsZ//araC//nuoH//fadE//yiaM//bacA//phnE_1//pstC//yneM//ycjX//accB//ttdA//ampC//gatB//ppdC//fliE//cysJ//nagE//zinT//chbG//sufB//gntX//rpiB//nupG//glpA//tdcF//yjbH//idnK//frc//adiC//pgaC//crp//hslJ//glpF//deoD//hycG//purR//leuB//dgcZ//fdnI//aroF//
FliZ	xapA//gatB//aceK//metR//gudP//citF//yoaG//aceB//kdpB//galK//yeaG//obgE//slt//cspE//tyrR//accD//wzxE//gatB//dicB//ssuD//seqA//
FucR	gntT//uidR//fliC//aceE//acnA//fixC//mtlR//
Fur	lsrA//yjjZ//rpmI//lysR//pepD//ydfD//agaB//hypC//phnC//cueO//phnD//rcsA//glgC//ruvA//rfe//yagK//yhdY//fliS//spy//ydfD//gatZ//dapB//ybhL//rhaT//galE//sufE//rcnR//pstC//sdhD//serA//yeaR//gntP//appC//ydbK//ppiA//ilvC//yqhD//cra//argH//rstB//purD//pdhR//bglB//acnB//hcaD//entA//hisJ//infC//ecpR//fadD//edd//yfdV//fliG//adiC//gltI//mglC//cydD//moaA//galM//yibQ//tdcD//narH//trpL//lgoR//fliT//yiiS//yecT//pdeR//hdeD//sgbU//yfdE//rhaS//rnpB//cyoD//bioA//alaC//cysB//pdeR//xapA//ftsZ//baeR//atoA//nimT//oxyS//metL//hcaF//ydbD//aceB//pstA//add//lldD//casE//prs//chbG//agaC//glcC//ygaC//ddpD//allB//ybhF//cspE//lexA//entD//caiF//gadC//metJ//gudP//yagK//ptrA//spy//rybB//nuoJ//htpG//fepG//caiT//lsrC//aldA//ubiC//hyaA//cydD//uvrY//araD//ulaA//murI//yaiA//creC//dhaM//hycF//nagE//uxuB//
GadE	hcaC//sufA//metL//paaA//sgrS//dhaK//yiaO//argP//sbmC//moaA//rbsR//gspL//mdtA//norV//gspM//hyaF//fliL//alaC//aroG//hypF//fucA//araC//pspD//mglC//fadE//uxaA//rffC//sbmC//flgD//
GadE-RcsB	astC//phr//wzyE//rhaT//ybjC//idnD//malX//cyaR//dicB//
GadW	fimE//gor//nrdI//feoB//focA//tdcA//hcaD//kdpA//argI//tfaQ//puuA//caiD//fucP//dnaN//fdnH//
GadX	mepH//araA//trpE//obgE//exbD//lpxC//lon//rnlA//pheT//yeaH//hyaD//uvrB//purM//ydeN//paaC//gspJ//ybaT//yqaE//yegZ//ddpX//rcnA//phnO//yfbR//lysO//hycG//glcD//paaE//ulaE//moaB//
GalR	mdtA//mhpF//ppiD//ccmH//nikR//nhaA//creD//cynR//recB//tehA//
GalS	agaA//tyrR//wcaA//agaV//napC//torA//ybaS//hybD//paaY//artJ//
GatR	nhaA//motA//aceE//fepG//pspG//nrdE//
GcvA	fliT//ddlB//ccmH//add//gadY//
GlcC	yciG//lacA//hyfD//metN//narL//chbG//glgP//
GlpR	fabI//hypC//arsR//micF//hyaA//dkgB//cysG//ompW//cadA//
GlrR	artJ//dkgB//yedX//araH//isrC//
GntR	purF//tyrR//tdcC//gspC//fucO//ybjG//ybaS//astE//gadW//pheM//yhjX//galP//
GutM	cysE//acrR//mdtC//fucK//hybO//aspC//malP//
GutR	crp//focA//relA//gspJ//dkgB//feaR//bamE//
HU	araJ//ydfW//napD//cusS//rpmA//cyoE//hcp//ydbD//mhpC//
HcaR	deoD//ydfH//gadA//garP//motA//sgrR//
HdfR	hyaF//mhpE//aceF//xylH//ilvY//
HigA	malK//ttdR//
HigB-HigA	csgE//btuB//
HipAB	appC//idnO//fruA//pqiA//citE//
HipB	arsR//poxB//zinT//copA//ccmH//aceA//
HyfR	ydfD//ddpX//feaR//hokE//flgG//thiQ//fiu//yhdW//pgaC//ompW//gcvT//lacZ//
HypT	gabP//tdcE//argI//rarA//nuoK//decR//mraY//znuC//phnD//nhaA//ydcU//ybhL//glcC//
IclR	lgoR//ahpF//ybbW//aroH//
IdnR	malE//ldtB//ascF//sufD//chbF//slt//yjjQ//
IlvY	gspK//agaR//
