#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	araB//ddpB//
AcrR	soxR//entD//cydC//hybB//yegH//ygeH//ydiU//trpL//puuP//pagP//ebgC//
Ada	hemL//gntX//allS//yciX//
AdiY	fadA//tehB//mhpB//alaC//truB//moaB//nadA//cspE//
AgaR	pncB//wcaA//sufB//glcE//pspA//pitB//nanA//glmS//narJ//casE//chbF//
AidB	melR//
AlaS	hyfJ//
AllR	cysC//srlB//cspD//qseC//flu//ymiA//fixX//nanS//gabD//
AllS	fnr//sbcC//yedX//
AlsR	grxD//agaV//lacA//ydeP//mgrB//nrfB//
AppY	gapA//yqaE//hybD//casD//trpL//yqhD//yafO//ribA//csgD//lamB//
AraC	ybfE//oppA//glgC//malF//frdC//grxD//dcuR//mdtB//fliT//kbaY//insK//ykgM//ygdB//ygiZ//
ArgP	gcvB//yccA//nanA//truB//borD//nrdA//hipA//astC//galE//alkB//dicB//malF//fhuC//dpiA//
ArgR	hypA//exuR//ppdA//araC//sbmC//idnT//csrC//oppB//fdnI//gyrA//accB//glgA//hyfD//yefM//gadB//appX//nuoH//qseB//deoD//gabP//yjbG//yeaG//ykgO//glgA//intQ//dpiA//galS//glnK//potI//puuE//acrZ//citE//ndh//agaA//malY//alsC//dinD//cysK//
ArsR	arsB//srlD//kdpA//
AscG	ycdZ//yqhD//ytfE//aceA//gadW//
AsnC	sgrR//gspD//idnR//fliJ//
AtoC	nimR//hcaC//pspG//nrdI//
BaeR	qseB//hyfI//purB//gspJ//rprA//nirD//yjjQ//oppC//
BasR	rnpB//gadW//pncB//dinB//pnp//alaC//potI//yjbH//ssuE//yagK//hybA//hyfC//fixX//
BetI	fecE//ydfW//astA//lsrB//
BirA	nrfF//yjbG//hcaD//cyoB//dgcN//
BluR	fliO//ssb//metR//csrC//
BolA	cadC//tisB//
CadC	glpK//nanE//lyxK//
CaiF	paaA//araE//ubiC//decR//gapA//paaF//sulA//gutM//dhaR//xylG//
Cbl	manY//cysW//emrA//gcvH//rfe//tyrA//pyrD//nanM//cecR//
CdaR	chbB//iscR//hipA//zraP//metB//nuoL//dicC//zwf//sdhD//slp//
CecR	prpB//chbB//ftsZ//leuA//dkgA//
ChbR	dinD//soxS//lldP//ydeO//ydeI//leuC//
ComR	guaA//
CpxR	pfkA//mngA//ihfA//metN//yfaE//mngB//yecR//relE//waaZ//gspC//sufA//bioF//mdh//metC//sgbU//exbB//rpiR//lhgO//glxK//gcvA//pstB//fabB//ptrA//rbsA//mhpC//melR//glnP//phnL//manX//fadJ//pnp//aslB//rnlB//recB//ydbD//bglJ//mngB//narH//yfiB//manX//dsbA//glpF//alkA//mtr//chbA//ryhB//rob//alsA//prpR//paaE//nadB//entH//phoP//grxA//ssb//ftsW//fecA//phnO//hycI//lysR//cysI//tauB//luxS//paaG//dsrA//ppdA//gltL//rhaA//ahpF//gpmA//
Cra	metB//nuoF//glpA//hycH//fdnG//moeA//rcnR//fliE//sdhB//gspC//carA//astD//aceF//sufC//nfuA//dinQ//ssb//fadI//umpH//ppdB//allD//pstA//insD//dkgB//mlc//yegH//csiD//folA//prpR//pyrD//sgbH//mgtL//fucA//yagK//ydfH//hyfH//ydhW//rpiR//lrp//metI//rutB//murG//amn//hns//ddpX//idnO//galK//ptsG//manX//nupG//glgB//yhdY//tsr//fhlA//gltK//umuD//patA//envC//sutR//aceB//purC//exuT//mdtF//gudX//ymgA//yhcH//dicC//rhaB//rpiB//norR//lpxA//fucU//rffG//fucU//yhiM//uxaB//malP//ftsK//glcE//
CreB	ydcV//hyfB//fur//crp//torC//
CsgD	dinJ//hybE//emrA//oppC//yhiD//cdaR//ycjY//polA//yjbE//pgm//dnaG//rcsA//glmU//ykgM//soxS//potF//uidR//pgaC//torC//galS//rstA//pgk//paaI//nupG//hisP//fruK//appX//ybfN//
CsiR	dsrA//hipA//metY//nrdG//prpC//
CspA	arsB//galK//
CueR	fabI//zntA//glcE//ugpB//yfdE//waaY//xylH//
CusR	ppiA//yhiD//cspE//mtlA//lysC//glnH//glcF//rcsA//treR//lon//focA//ydbD//
CynR	moaD//rprA//purK//hyfF//
CysB	aslB//mlrA//umuD//tynA//rob//recF//hypF//malP//ccmC//nikD//ppsA//galP//lldP//hha//fepB//wzc//uidR//phnH//ydcT//yjbH//yjbE//yjhC//hyfI//rhaB//mtr//lysP//bglB//gor//emrK//rbsD//malE//mgtA//
CytR	ppdA//pspE//hokD//micF//aroP//dinD//dnaA//nrdG//fumB//mraZ//rclC//fecA//argG//
Dan	paaH//citE//nrfB//recD//
DcuR	fliH//garK//iraP//osmY//gatD//tnaA//rcsA//kdpB//ygbA//
DeoR	marB//gltL//puuA//hycI//setA//mngR//
DhaR	glgX//flgG//ydhV//exuT//
DicA	ydhY//appA//galE//yciX//ccmH//higB//nuoC//decR//
DinJ-YafQ	flhB//rhaB//fhuA//
DnaA	ada//metL//waaY//iscU//glnL//hyaC//flgN//glpT//fadB//pyrC//emrK//argA//
DpiA	xylR//agaC//yciW//ssuB//cvpA//agaD//ybhG//glgX//dsdX//ycjF//patA//
DsdC	aroM//cynS//dpiA//
EbgR	insD//nagE//
EnvR	ogt//sgrR//
EnvY	cydB//fhuA//
EvgA	lamB//glpD//yciW//iscR//rnpB//fadL//nuoJ//cvpA//rpmA//pagP//dkgA//sbcD//ftsK//chbR//phnI//yqhD//flgD//adhE//entD//
ExuR	napH//paaF//safA//narJ//entH//dcuA//gabD//nadB//putA//
FabR	prpD//tktB//
FadR	aroG//putP//nanA//phnD//ydjM//rcnB//glpB//mtlR//hyaD//gutQ//puuE//wecE//aroG//uxuR//tnaC//fliR//fabH//hcaB//gdhA//astA//citC//ugpA//malP//
FeaR	mprA//purA//
FhlA	galP//ygaC//ybdZ//trpR//fecA//dhaR//hipA//sutR//moeA//rpoH//gntU//fdnG//glgB//cdd//phnI//xapA//mprA//pdeL//fecD//glcB//pgm//nusA//inaA//dtpA//pspB//glnL//lsrK//purD//pykF//ddpF//
FlhDC	dsrA//glmS//mngB//nikB//thiQ//mlrA//bioD//rpmA//emrK//tsr//uxaB//lpd//aroM//murE//trpD//flu//pgi//ybiT//nanS//modB//argD//allB//rffH//ribA//murE//tyrR//rimK//nrdA//sufB//nfsA//lyxK//fabZ//ada//hypE//udp//ulaG//malM//fliN//ldtC//fadL//ydjM//fadD//malF//hyfD//lsrD//dnaN//yciE//araJ//cyoE//ulaG//tauA//ppc//hypB//feaR//gltI//yhdW//cdd//rhaB//nrfD//pdeL//lysA//pdeR//rhaT//bglJ//mepH//pspD//nrdE//fhuF//mdh//phnJ//infC//hisJ//fumC//rhaS//treR//citC//fabD//yafQ//caiT//oppB//uxaA//paaH//
FliZ	uxuA//degP//acrZ//metA//rstA//bacA//focA//dps//osmC//fbaB//pspD//norR//znuC//hyaF//hycG//iraP//cytR//katG//cpxR//dpiA//cydC//
FucR	pdhR//soxS//rffG//dctA//marA//iraP//osmC//
Fur	hypD//ygiC//hyi//pgaD//gadF//cpxA//narX//phnN//caiF//glpB//sutR//ydeO//murE//garK//rseC//ssb//lpd//cpxA//rtcB//rutE//fimE//ttdR//gntP//galR//nrdF//ebgA//soxS//accA//alkB//appC//sufC//lsrA//csgG//symE//psd//fliZ//xapA//patD//glyA//napA//mtlD//ssuD//fimB//rhaT//ddpF//nanA//nagB//mlc//entH//lysP//nrfC//arsB//nadA//dapD//fliT//srlE//entB//paaF//fixC//lhgO//rstA//garK//fliM//cysA//glnD//pyrC//frdA//yedX//nimR//agaC//pstA//glcG//eda//moaA//dmsD//nrdH//ppiD//sroD//psiE//hyfI//degP//erpA//cysJ//bioC//mprA//fruA//bioD//tfaQ//argR//argO//rnlB//gapA//rbsD//dps//asnC//lsrC//rutB//nrdE//agaW//ynbA//nhaR//hycH//caiF//ulaC//ulaA//ptsG//yhjX//aroM//ydhX//isrC//cydB//fhuB//rpiR//hipB//malY//norR//mazE//fliF//rpoE//envC//fecR//purN//aceE//ydjM//phnD//nrfD//sufB//bglG//citD//deoB//
GadE	malG//flhC//ydcV//hyfD//trpR//ydeM//sulA//ttdR//phnI//phnP//yhbE//ddpD//cpxQ//flhD//gspH//rprA//mgrB//nohA//fepB//entA//cusR//ubiC//yhiD//hisP//gspG//mhpE//agaS//sroA//cspI//
GadE-RcsB	lacA//katE//gltL//yjbF//ttdA//rbsD//sufC//rseA//murD//
GadW	luxS//bglG//nrfC//garD//cysD//sufD//nuoG//sucA//ybhR//pdeH//rutB//ugpA//puuB//mhpB//argT//
GadX	ydfE//copA//cysM//sdhA//thiP//fliS//lysO//oxc//focA//glpX//asnC//ulaB//nagB//tauB//dsbA//caiT//gadB//tsgA//lysP//dsdX//yafO//rutD//ubiA//dacC//glcF//nuoM//yiiS//crr//slyB//
