#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	nrdD//fliR//
AcrR	araG//dcuD//ndh//gcvP//yebG//nanT//fliJ//fliE//sroA//sgbH//safA//
Ada	ybbW//ulaE//glnK//marR//
AdiY	hyaC//napH//lpxC//wecE//marR//cheW//bioC//yeaR//
AgaR	nuoG//yeaR//murE//cirA//aroH//gpmA//moeB//yhbE//fixA//yciX//hyi//
AidB	alaC//
AlaS	sucD//
AllR	fliT//dnaG//katG//mraZ//gdhA//recB//fliO//epd//cysH//
AllS	emrY//hycF//zraP//
AlsR	aceK//asnC//gadW//ydfW//yiaO//yhjA//
AppY	sucD//mdtF//dinF//rffG//lacZ//fadA//rimK//aceK//chbG//cueO//
AraC	paaI//chiP//mngR//ugpA//nohA//paaK//nagE//uhpT//yidL//ybjG//ybiT//agaC//slyB//lamB//
ArgP	gatZ//cadB//citD//agaC//tyrP//micF//pqiB//nrfA//tsr//envC//hemL//slp//mltF//nhaR//
ArgR	dhaL//dinJ//rhaS//cusA//gcvT//alaC//gatZ//dpiA//trpB//yeaD//exuR//prpD//torR//hypD//kdpC//carA//ptsH//gabP//rpoE//cydD//ydfX//yegZ//ccmH//flgN//yiaM//bioB//thiP//ruvA//wecB//putA//narG//mhpC//yhjC//speA//gadW//malS//hemL//yhbT//
ArsR	yjhB//bioA//aceE//
AscG	ftsQ//ecpA//aceF//pheM//pspF//
AsnC	pdeR//eda//mhpE//lacY//
AtoC	rarA//chbG//nmpC//tyrR//
BaeR	paaA//sucB//sgrT//idnT//ssb//alkB//rstB//pflB//
BasR	nuoI//napD//ydhX//rimK//ftsW//idnR//degP//gltK//galM//tehA//gapA//zraS//ybhL//
BetI	cusA//cysJ//fucR//fldB//
BirA	ydeO//nanM//fucK//argD//idnT//
BluR	dinI//mglB//lldP//eno//
BolA	nrdF//dsdX//
CadC	nrdB//tktB//metB//
CaiF	ogt//cueO//arsB//malX//ybfE//rpoE//recN//ycjG//gapA//yiaL//
Cbl	hyfH//csrC//purA//gdhA//mdtD//hyfH//hypC//ryhB//phnL//
CdaR	cysB//ccmC//fumB//artI//insD//add//hypB//trpR//deoD//nrdA//
CecR	ybhF//narJ//isrC//ilvC//glnQ//
ChbR	gspM//lysR//ftsA//tdcF//artM//sodB//
ComR	dinQ//
CpxR	infC//ybjN//fepD//nuoA//lldD//glmY//betI//rbsK//bglF//dpiB//fliJ//lysO//nuoI//hflD//srlR//ydfD//sroA//mtlA//phnE_1//fbaA//ebgC//fruK//hcaR//fruK//rhaD//appY//fadE//hycD//mepH//atoD//folA//fpr//citF//ompF//nohA//fliH//phoU//lhgO//folA//metA//flhD//cytR//dsrA//ygeH//glmU//ariR//recA//entS//asnC//araD//mntH//gudP//uof//yiaN//fabZ//feaB//frc//hycA//tfaQ//dctA//melR//fdnH//mntP//garL//iscU//phnE_1//lpxC//agaW//ppiD//cirA//
Cra	chbA//pflB//paaJ//hyfR//ybaS//flgF//flu//csiD//ccmA//atoA//modC//cynX//ddpB//xylB//gspH//yjjQ//fliC//accB//phnE_1//mtlR//fliG//modA//acnB//bglJ//fliS//yhhY//ompT//ydhV//yhdX//argT//rffG//cecR//fucP//nrfE//cynR//gspL//gatA//hybA//nupG//zraS//epd//micF//manX//ybhG//dhaL//creC//nanA//glcG//setA//acrD//mqsA//evgS//betI//ihfA//nuoE//argC//narL//torR//tauA//csgB//dkgA//ybhG//arsR//ssuC//xylA//yhbE//nemR//ugpQ//fecI//hipA//allE//murD//gntP//wzxE//sufB//ompT//csgC//malZ//gadE//
CreB	fhlA//recF//fliT//dctR//garD//
CsgD	pncB//dapD//glcA//speB//ydcT//inaA//kbaY//narI//mglC//hycA//citE//cusR//ugpQ//uxaB//hlyE//putA//dgkA//nanK//sutR//dgcC//ulaA//hyfH//hyfD//hyfR//prpC//citF//ahpC//ulaE//
CsiR	xylG//ogt//glpB//dsbG//hokE//
CspA	prpD//dpiB//
CueR	paaY//rsmH//yhiM//wzzE//nuoF//deoD//yneM//
CusR	lsrK//yiaN//tnaC//yhhY//bdm//nrfA//fhuD//glmY//efeU_2//iclR//hyfB//glmS//
CynR	metA//cspI//dpiA//gspC//
CysB	rbfA//agaW//ddlB//astA//yhiD//rtcA//dinB//trpD//ubiC//ynbB//sdhD//cynT//pdeH//rffT//uxuB//idnD//mdtA//pspE//fucI//hdeB//fliH//chbB//emrY//hyfD//cusB//gfcA//ftsQ//agaV//allE//nrfF//ulaG//bglG//
CytR	yhdW//aroH//norW//phoB//tauB//mgtA//sodB//aroP//mazF//ddpC//trpB//argP//rpoH//
Dan	yegR//hyaF//argA//ydhT//
DcuR	fliH//fimE//gabT//ppdA//ftnA//dkgB//argE//glpD//hybE//
DeoR	cbl//ymjD//citF//tyrB//gadA//bglF//
DhaR	gadE//phnL//napH//tnaC//
DicA	ykgM//mdh//accC//aspA//lsrA//cysC//chiP//flhD//
DinJ-YafQ	wcaA//araH//cpxR//
DnaA	fecD//glmU//fepE//hokE//cpxQ//artP//waaY//hybB//nrfE//hyfR//dhaM//ynfK//
DpiA	araD//mioC//hyfC//cysE//fliF//isrC//purA//hypF//fabZ//ykgO//yhjX//
DsdC	ycjX//gpmM//gpmM//
EbgR	feoC//cynX//
EnvR	nadB//araA//
EnvY	sufA//ddpB//
EvgA	hyfC//nagC//ftsW//purN//araA//nuoA//thiQ//astE//fecI//rclC//tnaA//ybhF//dnaG//hyaE//pepA//glgX//cyaR//caiC//yjbF//
ExuR	nikR//flgF//yjjQ//bdcA//ccmC//dtpA//ssuA//adhE//chbA//
FabR	fliQ//nadB//
FadR	gcl//ydbK//rpiR//rbsC//nrdF//hycH//tisB//gntT//ydcU//yecT//creC//aldA//yhdZ//artP//nrfB//tyrR//chbC//rstA//glmU//cynS//cydA//napF//malF//
FeaR	icd//rpiB//
FhlA	atoB//pspE//leuA//uidA//exbB//dsrA//tauB//torR//rhaB//emrB//tyrA//csgA//slp//ulaA//malM//ybhF//fumC//ihfA//cheW//sodB//oppC//fepC//bdm//yiiS//hybB//cusA//purD//glcC//sgbH//pagP//
