#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	fepD//borD//
AcrR	thiP//ndh//edd//metY//ubiX//udp//yiaK//bdcA//metN//arsB//agaV//
Ada	cusS//feoC//ccmD//glpQ//
AdiY	yafQ//exuT//mpaA//moaA//entA//dsbC//sufS//cra//
AgaR	hcaR//iscA//yebE//oppA//mqsR//aroF//glcB//fabB//hyi//gspO//znuC//
AidB	paaG//
AlaS	alaS//
AllR	arsC//cecR//asnB//dicB//ulaA//dhaK//pstB//pdhR//zraR//
AllS	hyfF//fadB//flgM//
AlsR	bglF//glcC//fdnI//ydhT//marR//gnd//
AppY	glpQ//nirC//zwf//carB//glxK//glpT//glnB//pykF//rclC//mhpT//
AraC	phnG//modB//caiB//ugpE//znuA//rbsC//glcD//gntU//dpiB//purH//moaA//fliC//ftsZ//nanA//
ArgP	ugpE//glnQ//wzyE//prpC//glpB//argO//fur//glgA//ftsI//yhbT//cysK//mhpT//araD//dapB//
ArgR	cynS//bhsA//fabD//carB//glpD//ompC//ccmA//gntX//fliH//sufB//sgbH//dnaG//casE//nrdD//gcvH//csgB//phnL//hisJ//pflB//glxK//ppsA//yhdW//yjiY//mdh//ubiA//hybG//gcl//mhpE//yjjZ//rcsA//ynbC//trpD//fadJ//rhaA//cusC//yaiW//ybbY//ybhG//
ArsR	tcyP//purH//emrA//
AscG	grcA//pdhR//glpB//nrfD//rhaB//
AsnC	fixX//glnQ//feoC//osmC//
AtoC	ppsA//ybbY//icd//znuA//
BaeR	fabA//hycB//rtcA//fucO//yqhG//fliD//ascB//ldtC//
BasR	gatC//idnK//ulaD//hycG//gutQ//nikA//yecR//fliL//arsC//ahpF//pheT//mdtA//adiC//
BetI	higB//hybA//pstS//aceK//
BirA	sbcD//ulaF//rpiB//wzyE//fhuE//
BluR	nrdG//yhjC//guaA//entE//
BolA	galK//frdC//
CadC	gntU//chiP//tnaC//
CaiF	gcvT//ybbY//katG//phnI//decR//nrdF//treR//gcvP//nrdH//cysA//
Cbl	cpxA//mdh//nrfA//znuA//yegH//ompW//csgD//osmY//waaH//
CdaR	mqsA//fliT//gspD//yccJ//chbC//entF//cydD//pgm//xapB//fabH//
CecR	cysE//kbaY//cysM//rpsU//tisB//
ChbR	tsgA//cytR//rimP//pspD//gatC//nagE//
ComR	creA//
CpxR	entB//ompN//alaS//motB//creC//casA//paaC//deoD//uidR//metQ//melR//cynX//yegH//amtB//napA//dmsC//trpR//ftsI//waaZ//glpX//murI//yibQ//fruA//tnaC//acrZ//fixC//ugpC//ddpD//lon//pepA//sgrR//yjbH//sulA//rpoD//gadF//hcaC//safA//sodB//gltB//hycB//uidC//mgtL//xylR//torR//ibaG//yafO//rimP//iraP//lrp//creD//atoA//xylF//ycjG//relB//yebE//flgG//ulaD//yhdX//hdeB//fhuD//flgN//bamE//yfaE//mipA//moaA//rcnA//glpC//katG//ynfG//csgA//
Cra	atoB//thiP//pgpC//lsrB//nfo//sgrS//alkA//sodA//mpl//thrS//ycdZ//yjhC//ttdT//argG//citE//lrp//galE//ulaE//ybdZ//gdhA//dinD//fliQ//phnP//soxS//cysW//betB//guaB//pspE//ulaG//ybhL//atoD//mhpE//araC//cadA//phnK//yjbH//ydfD//fhuE//fadH//ecnB//yoaC//cyoE//murG//symE//rplU//entF//exuR//yoaG//tsgA//metE//tktB//rhaR//rseC//sgbU//hyfJ//galE//uspE//murP//glpX//hisJ//yccA//poxB//hyfB//znuB//flhC//ssuC//relA//ddlB//aroF//hycB//wzzE//phoB//fepD//aroF//flgJ//wcaA//fliQ//betA//ftsL//
CreB	ssuB//glyA//yjeV//rclC//allE//
CsgD	tsgA//phnJ//caiD//ddpX//nohA//glgB//purE//rbsA//psiE//artM//purM//malY//hisP//fur//cra//nanK//ompC//dsdA//flgE//murD//wzxE//carB//wecB//nfsA//cysC//uxaB//nagC//yegH//
CsiR	ulaC//dinQ//rfe//pqiB//bioD//
CspA	rdoA//yiaM//
CueR	caiB//phnD//manZ//ddlB//cysU//sucB//entA//
CusR	recF//glcB//wecE//motA//entC//ugpQ//murP//gspI//oppB//paaF//ydhV//fruK//
CynR	cyoA//ydfE//gatC//cadB//
CysB	fimB//bhsA//ycgZ//ibaG//dhaL//fucI//paaX//acnB//modC//rfe//nuoJ//glcB//prpE//yfdV//adhE//phoR//recD//pdeL//sucD//yhhY//mzrA//prs//feaR//mpaA//tyrA//tktB//ydhW//melA//hycA//entD//rstA//allA//
CytR	phnI//ruvA//gatC//tdcE//tktB//znuC//dsbA//tehA//ydjM//fecE//fabZ//yebG//gatA//
Dan	umuC//yiaM//ycjX//fumB//
DcuR	hyfH//ccmH//yafP//yaiA//nrfA//ydiV//ulaA//tehA//sbcD//
DeoR	lyxK//wza//ubiA//dgcN//alsC//lsrB//
DhaR	feoB//lgoR//sgbU//fixA//
DicA	nrdI//mdtB//malE//pgaC//carB//iscA//glpK//ydeP//
DinJ-YafQ	sbmA//ftsI//mdtB//
DnaA	flhD//dmsB//astB//ssuA//pspF//chbA//hdeA//mltF//glmU//nuoL//hdeA//flhA//
DpiA	bdcA//cdaR//fliT//mntP//rdoA//hybF//dps//infC//malT//poxB//hokD//
DsdC	cynR//puuA//tam//
EbgR	fliQ//kbp//
EnvR	murI//ygaC//
EnvY	ygiC//ssuA//
EvgA	yhiD//ydhT//lsrB//yqhG//flhA//purN//rffC//nikD//rutR//mdtE//araJ//sucA//recX//nlpA//fruB//narJ//mqsA//glnG//purM//
ExuR	puuE//narH//metI//yagK//dhaR//rpmA//mgtA//pgm//nrfB//
FabR	ugpB//oxc//
FadR	gatY//fliG//umuC//lldP//udp//yeaD//fliP//flgJ//nagB//garR//flgK//uvrB//yeaR//glcG//dkgA//nanS//ybhS//kdpA//allC//gspD//stpA//fur//dkgB//
FeaR	ptsH//mazG//
FhlA	artM//yjjZ//fucA//trpC//tyrP//ftsZ//hcp//sbmC//recF//dapD//nikC//ydhV//nagA//hns//iscS//glpB//htpG//rsmH//puuC//kbaY//metH//glnA//yidL//rpoE//araC//tdcF//bglG//psiF//yjbH//astD//
FlhDC	talA//lamB//rutR//ynfH//tdcG//narL//fliQ//fadB//ynfG//putP//mepH//seqA//artQ//phnL//gspO//recB//iscU//hyfH//fhuF//xylG//argO//oppF//yegR//ugpA//phr//aroG//uvrB//citG//fur//ygiB//sroA//moaC//ybhS//rprA//yhiD//iscU//ttdT//yhjA//xylA//uxaB//accC//pspG//yneM//fumB//puuD//ulaG//cspI//phoR//nanK//manY//mdh//moaB//sbmC//manZ//cysH//pspD//ulaC//lpxC//ecpA//omrB//argR//araH//acnB//mngA//uidA//yiaL//cysE//nupC//ldtB//mcbA//citX//gadW//nlpA//speA//rarA//artP//hybE//ftsL//hcaC//ptsG//fepB//qseB//
FliZ	alkB//iraM//tauD//ccmA//hemL//hcaD//fecA//speA//lrp//molR_1//aceF//pspE//yciW//evgA//rbsB//sra//ebgA//ppiA//yiaN//adhE//glnG//
FucR	gspF//rutB//glk//yibQ//fimE//soxS//appB//
Fur	phnP//gltD//rbsD//yjjQ//alkB//yjbH//fixA//mraY//asnB//betB//tonB//fliZ//ddlB//rdoA//aslB//poxB//hyfF//wecB//folA//exuT//phnJ//znuC//dcuA//cysA//pgpC//ydfE//cspI//btuB//fliL//flgH//araC//slt//crl//csrC//ogt//speA//nagC//caiT//cysD//gatZ//fhuE//umuC//sufS//astC//nagE//frdA//mdtA//adhE//ssb//ldtC//torC//astD//purN//potI//phnG//napD//iscA//gudX//yrbL//fes//adiC//glcB//creD//aroH//ycgR//hyaC//cysD//fruB//iscU//hipB//fbaB//hypC//betA//yhdY//hns//uxuR//nuoF//nirB//glxR//hyaB//puuP//ahpF//nmpC//gabD//gadB//hokE//pyrC//yiaJ//rffT//ulaE//ynbD//dinF//cyoB//rbfA//aroF//fadE//hypB//artQ//tonB//dhaL//zraR//lyxK//rcsA//chbC//ubiC//dsbG//ftsQ//emrA//fdnG//dsdA//gadF//cadC//nadA//rpsO//soxR//mhpD//rnlA//aceA//rbsK//sgrT//fdnH//purR//uxuB//hyfR//fadJ//dinG//rhaD//hyaC//atoB//tdcE//
GadE	ebgC//dinI//nrdF//nuoB//leuD//oppF//lrhA//mqsA//ptsH//argI//csrB//hemH//gnd//hyaB//aceA//pyrD//ddpD//nanS//hybA//pgpC//hybF//potH//ariR//artP//fhuE//kbaY//cusF//cysC//allB//
GadE-RcsB	dgkA//hypD//gspL//ydeN//casE//gspK//modA//hyfE//sufC//
GadW	iscA//mtr//oppA//phoB//agaD//leuC//srlB//ssuE//metN//dhaR//gdhA//gltD//osmB//rutC//lacY//
GadX	cpxR//hyfE//flhA//iraP//bacA//mgrR//fruB//citE//ibaG//cspD//atoE//malQ//rbsR//flgL//nagB//rbsC//ybaT//chbR//sulA//ppdA//ppiD//leuD//cho//acrA//dcuR//glnK//rffG//accD//purM//
GalR	nfsB//mhpF//gspC//ybjN//cas2//yeaG//rimK//deoB//cas1//lpd//
GalS	lpxD//mdtE//treR//metL//wecC//glnB//paaZ//phnC//oppC//fruA//
GatR	mazF//mlrA//paaB//gltL//yjjQ//amtB//
GcvA	aceB//araD//ybfN//fpr//flhC//
GlcC	sucB//flgK//yhiD//paaX//caiF//mtlR//gltK//
GlpR	uof//rffM//nuoI//rplT//astE//caiT//lysP//decR//fbaB//
GlrR	phnE_1//insD//xapA//alkA//glpA//
GntR	sufC//ppdC//fabZ//uvrC//sbcC//kbp//paaF//pitB//fucU//yjiY//nirC//rtcA//
GutM	galS//fliM//hflD//cpxR//potF//htpG//ycgZ//
GutR	lgoR//ccmD//bacA//fur//hypE//fepB//aroL//
HU	cysM//melR//ydiU//nrdG//gapA//cysP//mtlA//ygaC//setA//
HcaR	hyfE//flhE//kdpA//wzyE//mhpT//nrdD//
HdfR	glcC//yqhG//ygaC//fhuC//pnp//
HigA	omrA//hyfB//
HigB-HigA	phnI//bacA//
HipAB	uof//ilvY//ilvC//cpxR//phnH//
HipB	cysM//rybB//cbl//malZ//leuO//yeaG//
HyfR	ccmD//citC//mzrA//potI//cspD//dinB//arsR//bglG//tcyJ//aspA//acrZ//fliG//
HypT	nrfC//flgM//cpxQ//zraR//arsB//yhbT//yiiS//osmY//uvrB//fliG//flhB//phnC//tktB//
IclR	glpK//bdm//gltB//wcaB//
IdnR	pqiB//yeiL//nrfD//thrS//accC//nrfA//dapD//
IlvY	tdcE//xylF//
IscR	yjjQ//amn//appA//feoB//bdm//sufA//srlE//ybaT//gcvA//degP//recD//luxS//garD//ulaB//atoA//ccmA//kdpC//ydjM//ftsI//insK//agaC//cyoB//yqhG//ybhF//yccA//ydfX//obgE//fdnG//phoH//obgE//potI//yagK//
KdgR	allD//aspC//
KdpE	ygbA//nrdI//pdeH//sgrS//
LacI	ftsZ//ompT//paaD//
LeuO	ppiD//nupC//napG//yidQ//gatA//ptsI//cadA//ccmC//phoR//nanT//glnB//casD//nikC//cynT//frdD//ycgZ//glcE//gspD//norV//emrY//
LexA	fhuF//aceA//fhuF//rtcB//nusA//gnd//hslJ//hycG//feaB//agaW//feaB//melB//yhdX//pnuC//nusA//gnd//motB//mhpE//thrS//rpmI//malM//pspD//speB//rutD//acrD//hybA//lhgO//phnJ//trpC//asr//phoQ//ynjI//purR//ecpR//ddpF//rutC//flhE//fliI//ulaC//ppc//creB//ttdT//amn//yhdY//mioC//dnaN//hyfI//araG//kdpA//fur//nrdF//hybC//ydhV//ynbB//argH//mdtD//dhaM//marR//fhuD//
LldR	phnG//citX//deoB//
LrhA	lolA//tisB//gltB//yccJ//
LsrR	frc//csgC//lexA//degP//flgH//yafP//gadC//pspD//guaA//
LysR	rutE//hycB//
MalI	fhlA//yafO//dicC//
MalT	glpQ//moeA//creA//cadA//hybB//udp//fhuC//obgE//nfsA//glpQ//
MarA	gspD//sfsB//paaE//fucP//narG//idnR//ygbA//yebE//nfsA//modB//fucO//yhhY//paaE//trpB//cdaR//ygdB//hycC//infC//ydeM//oxyS//nikB//kbaZ//metY//frdA//ulaB//fliC//chbC//ybhR//ldtD//fixB//entF//lldD//pspB//ybdN//glpX//sfsB//hisJ//hisQ//
MarR	rclB//cadC//mdtD//
MatA	fecE//moaD//potH//ybhS//pdeR//recX//recN//phnH//
MazE	nupC//modA//cydA//
MazE-MazF	mdtB//yqjI//gntT//
McbR	aroH//katE//atoE//tehA//
MelR	tdcC//rpiB//ihfA//
MetJ	galE//gltK//chbG//ydeO//tfaQ//gltL//cydA//cyoB//ndh//mntS//flhC//bglJ//yoaC//rcsA//ddlB//
MetR	accD//ssuD//hycI//ttdA//nagC//
MhpR	mzrA//pgi//nrdA//rpiR//dicB//csgC//
Mlc	lon//araC//gcvA//gspI//xylG//osmC//prs//ubiA//rstB//leuD//
MlrA	malS//trpD//mtr//nmpC//ybhL//prs//cheW//psd//gcvA//tdcB//
MngR	sfsB//dnaG//nrdB//
MntR	fixB//flgK//trpR//fldB//idnT//
ModE	murD//sgrS//ynbA//appA//hha//cysC//nirC//treB//ulaD//gatA//edd//ibaG//allS//cytR//murI//ccmG//ompF//cas2//adiA//gadE//aceA//add//nagA//fliH//garR//fucI//rimP//setA//nanA//cysP//kbp//glmU//putA//rutA//tadA//dsrA//dsdA//creA//prpD//speB//recN//zraR//gatC//norR//mdtD//oppF//
MprA	mntH//sufB//tdcF//flgJ//dhaM//fliD//
MqsA	araE//ydcU//araF//fruK//yiiS//mdtB//murF//gatD//
MraZ	pqiA//mqsR//moaB//nrdG//pnp//mltF//rbsC//rimP//moaA//bluF//wecC//gatA//trpR//cydA//metJ//motB//yhjC//
MtlR	mhpC//yfdV//gudX//
MurR	hyaD//ruvA//chbF//
Nac	glcG//uvrD//nuoC//mpaA//hybE//metL//hemH//thiP//fadR//glxK//cueO//galT//uidA//ccmE//fepD//thiP//ydeI//rsmH//glgP//rutF//gspD//
NadR	bioA//ppsA//cysH//icd//
NagC	zntA//ykiA//umpH//envC//fau//rcnR//ynbB//fdnH//feaR//paaE//uvrA//sdhB//fabD//entD//rhaD//agaS//fliO//gyrA//yaiW//glpA//nrdA//waaY//mtlR//hycE//ycgR//gltB//tam//sgbE//infB//rseB//creC//ddpB//yjjZ//uhpT//ttdR//ynfG//csgG//
NanR	lacA//oppC//gadX//asr//hypA//nirD//metA//yafQ//ydhW//phoE//fecD//
NarL	fau//casC//ptsG//trpB//csgF//moaE//sroA//yoaG//copA//glcC//lsrF//ada//gntT//nlpA//ugpE//dinD//puuR//lpxD//ppc//ybaS//dicC//pdeL//yiaM//moeB//wrbA//rsmH//ybhG//gspE//fimB//ssuD//moaB//phnH//moaA//yoaC//csiD//fnr//metF//agaI//sufA//folE//frc//rnlA//cpxR//ydcU//mlrA//srlR//fecA//gspM//mraZ//sufS//fucI//wzxE//sbcD//hisJ//entD//acrB//isrC//glcF//ykgO//mdtA//malT//citE//hcaF//dgkA//narL//cysU//flgH//nmpC//hyaD//icd//phoE//trpB//glmU//glpK//yciG//metK//fucR//hns//ygbK//cra//caiE//cas1//rtcB//araE//tyrR//cpxP//leuB//gadA//rcnR//aspA//fadE//wecE//frdB//ycjY//iscS//phoE//srlE//gspH//murI//mntP//sgrR//fecD//fadL//fabH//hycF//fucR//ppdA//phoQ//uvrD//yafQ//ascF//appA//srlA//cdd//patA//nfo//gadA//aceF//ydhX//chbC//rcsA//yiaK//nuoA//
NarP	recD//umuD//glxR//nanE//rbsK//glcG//ydfN//isrC//iclR//flhD//glnD//flgM//cpxP//fixC//prpR//trpD//csiD//norV//mazF//idnT//gabT//yafN//evgS//frdC//dinQ//yiaN//torD//metY//fbaB//argO//ydhW//fadD//mpl//xylA//flgI//eda//envC//gntX//glcA//nrdF//ftsL//idnT//deoB//rcnB//lacY//ftsI//metB//aroH//wecC//cydC//
NemR	rhaS//flgK//nusA//
NhaR	safA//nikD//ppdC//cydA//yhiD//cydB//rclC//
NikR	sucB//mgtL//puuB//micF//yefM//ssuD//
NimR	ung//phnE_2//
NorR	trxC//cspE//sfsB//
NrdR	ulaC//ryhB//fabD//ycjY//ppdB//ygdB//hlyE//alsA//fabZ//
NsrR	mhpA//glyA//hcaF//recB//fecA//srlB//trpE//acnA//ftsZ//accD//nimR//oppB//dcuA//nikR//kbaY//ompC//mcbA//agaC//gcvT//fliT//bhsA//yccJ//chbG//katG//csgG//idnT//lsrC//acrD//pqiA//cysG//lpxD//flgM//atoA//flhE//zwf//recF//rcnR//dkgB//ldtC//relB//lacY//fhuE//yhbE//mntH//metI//glk//nuoL//melR//ccmE//paaA//rplU//hyaA//exuR//uxuR//dsrA//xylG//murR//aslB//yjjZ//hdeA//araA//tisB//citX//appA//frdD//rclB//garD//phoQ//nagA//lsrF//fepB//uxaC//rhaS//sucB//dinQ//lldP//adiC//hyaF//agaS//nusA//hyfB//narK//sdhB//
NtrC	fabG//pfkA//tolC//rnlA//ynjI//argA//pgaC//nfsB//pyrC//ahpC//metE//phoU//fabI//lldR//yhdW//cspE//phoE//lsrF//kbaZ//yccA//metA//glk//hflD//fumB//dsbA//ccmE//fucP//rsmH//dapD//crr//ftsA//gadW//relE//dacC//allA//hyfB//deoD//lsrF//citX//mdh//creD//dhaM//acrD//ftsZ//yjeV//yebG//hypA//rseC//phoR//
OmpR	dmsA//ryhB//ascF//idnT//ybhS//gudP//ulaG//ftsL//rhaA//rpoH//ulaC//hokD//ygeH//betI//glgX//gyrA//glyA//paaB//paaY//oppB//trpR//
OxyR	rseC//glpX//glnH//ymiA//nrdA//allD//hycC//dinD//nanS//lpd//fecE//ydhY//yfdX//fhuC//yjbG//nfo//mhpB//gadW//htpG//sdhC//rfe//hypF//purA//dpiA//phnG//ptsH//uvrA//yjiY//metK//luxS//ibaG//pdeL//mntH//csgD//
PaaX	arsC//agaR//tdcD//gnd//caiA//purL//feoB//erpA//phoR//ydbK//purA//rpoS//aroF//hyaA//
PdeL	purE//
PdhR	aspC//slp//norW//sulA//cusC//fliL//ynfF//ulaF//tbpA//thrS//moeA//alkB//yaiW//chiP//cpxQ//paaD//tehA//ydcU//hyfR//mtlD//hmp//manY//nlpA//hlyE//rbsD//ssb//rfe//agaA//alsB//phnI//idnO//oppA//glnQ//marB//waaY//ulaA//lysR//nanM//sra//deoA//paaE//
PepA	borD//nfsA//nrdE//
