#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	deoA//nikA//
AcrR	yjbF//udp//creB//ssrS//treC//rbsK//yjiY//fliP//murC//hycI//malI//
Ada	ccmG//yafN//yhjC//mraZ//
AdiY	xylR//ptsI//fumC//ccmH//rhaT//chiP//rffT//yjiY//
AgaR	metN//marR//pheT//tynA//feoB//yfiR//rpsU//argC//lysO//kbp//dinD//
AidB	kdpF//
AlaS	yagK//
AllR	ydiU//pitB//relE//yjjZ//yjhB//phnN//acrR//grcA//infC//
AllS	polA//sufD//torA//
AlsR	ydcS//ybaS//cysE//ulaA//uof//yedX//
AppY	ddpX//purB//molR_1//hybF//napB//treB//ung//rseB//srlB//lpxC//
AraC	hipA//dinG//rbsR//iscR//frc//murI//rpoD//asr//rclB//sra//copA//wecC//yedX//fadA//
ArgP	gadF//inaA//ydeI//nohA//fliJ//yjiY//rbsD//nrfA//fliQ//cpxR//bioB//ygbA//uxaA//malG//
ArgR	nikB//paaA//grxD//manZ//metJ//yciE//ychF//lon//ecpR//mdtA//ddpD//exuT//sufS//pykF//eda//artP//ygiZ//flgF//dmsD//napB//iclR//insD//yhjA//glpF//cadC//phnK//ynfG//nhaR//yecT//glgP//fadJ//soxS//ynfH//fdnH//glnK//malS//mtlA//slt//
ArsR	allB//yhbE//yeaR//
AscG	hokD//ddlB//ynfE//sgrT//srlA//
AsnC	cpxR//gnd//gntX//bluF//
AtoC	nrfC//tisB//fixX//rybB//
BaeR	fabZ//codA//agaV//nrfF//sufD//cbl//srlE//argG//
BasR	ung//crp//dmsA//casC//alsC//ompT//ppsA//ydeM//zraR//baeR//mdtB//flu//gntK//
BetI	ycjG//ygiZ//amtB//purN//
BirA	sbmC//yoaG//dnaG//nagB//appY//
BluR	ftsQ//speB//obgE//ugpE//
BolA	gspE//galM//
CadC	yjiY//hyi//cynT//
CaiF	napC//hycD//cusB//trpD//ygdB//sbcC//ygbA//casD//ybjN//uxuA//
Cbl	ydhU//fabH//hybE//malZ//lacA//mepH//bdcA//ydeP//acrA//
CdaR	phoH//dcuS//nrdD//trpA//phoP//rpiB//fiu//nusA//murP//ccmB//
CecR	flgF//relB//fhuE//fadI//phoE//
ChbR	cpxA//cysM//chiP//sufD//cpxP//glyA//
ComR	hokE//
CpxR	hyaA//tsgA//gatB//feoA//uvrD//znuB//xylG//srlE//hcaD//cyoE//oppA//patA//galR//ymgA//sdhC//phnK//glpQ//acrZ//yfdX//fecD//pgaB//fldA//ybaT//fimB//lrhA//glcE//pqiB//fruB//yafQ//tktB//yjeV//gltJ//ydiV//sufB//ydfE//ptrA//cysP//fucO//fecR//creC//mhpB//sucC//phnJ//guaA//sbcC//hybE//uspD//oppB//exbB//mglA//ygbK//hyfC//iraM//yecT//pqiA//feoB//bolA//kbp//gadB//uof//narX//metK//sra//tpiA//argO//pspC//talA//fliS//accC//tauA//
Cra	pdeL//ygiC//dctA//tyrR//moaD//ribA//acnB//murR//purL//oppB//yqhD//fabH//melB//argO//mntH//trpB//ymgA//fruB//fliA//fdnG//carA//pqiA//sufS//ycjY//paaK//idnR//ydhV//aspC//patD//appC//fadD//dinI//nrdI//lacZ//glmS//lysC//ecpA//rffH//frdC//pgm//carB//lamB//pspC//dgkA//flgN//sfsB//tauA//hyfF//fadR//yiaL//moaA//ccmF//hybB//yfdX//flgH//artJ//yjhB//efeU_1//tyrB//insD//cysA//yoaC//yafQ//metY//sra//fruK//gadA//hcaC//crp//ynfE//rpmI//rseC//rybB//fliE//cas1//ampC//astD//nrdE//yqjH//
CreB	cadB//bglF//nimT//melA//yfiB//
CsgD	pspA//cpxA//rstA//rffT//dcuD//paaX//wza//dgcN//ptsI//metF//agaW//ychF//ccmG//aceK//aroF//hybB//uvrD//cydD//citX//puuD//glcE//pgaA//hisP//pspA//dctA//cra//bglB//nrdD//
CsiR	casB//acnA//potH//pqiA//znuB//
CspA	acrR//uspE//
CueR	yeiL//murE//yhjA//yhcH//lldR//metF//paaJ//
CusR	uvrC//speB//ldtC//uidC//frdD//puuE//csiD//casA//metL//fumB//flgH//ttdT//
CynR	nikE//fepC//garR//fecB//
CysB	nadB//dmsB//tktB//fabA//yidL//fecA//ydcV//gatY//wzc//hypF//cysK//lacY//mdtD//cyoA//fucR//paaZ//talA//yafP//bioC//chbB//yfdE//chbB//fabA//narL//recF//eda//ykgO//treR//luxS//fnr//yegH//hmp//
CytR	bglJ//tyrP//xylF//ycjG//obgE//hycF//bluF//mraY//cecR//melA//ydeI//wecB//lsrK//
Dan	gudD//mraY//nirB//hydN//
DcuR	alaC//dmsD//sfsB//gloA//metA//flgK//wrbA//mtlR//dapD//
DeoR	rbsA//glcF//idnD//hisQ//ydfN//metF//
DhaR	manZ//rutG//cysB//soxR//
DicA	fdhF//argP//rimP//cusR//agaW//yneM//slyB//ibaG//
DinJ-YafQ	ybhF//bioD//grxD//
DnaA	fhuF//murF//dctA//rpoD//purK//ssuB//yjjQ//fliM//leuC//entA//xylB//ilvY//
DpiA	yedX//tehB//appY//malQ//hyfA//argH//nrdD//dapB//yegR//ftsQ//relB//
DsdC	acrD//flhD//hycI//
EbgR	ybhF//ddpC//
EnvR	entD//murI//
EnvY	agaC//sdhD//
EvgA	yiaL//argB//nikD//hyaD//rclB//gadA//cynX//rutA//fliF//ppiA//soxR//rhaA//dicB//znuA//flgM//fhuC//hokD//lysR//waaH//
ExuR	recB//nrdF//gatY//alsE//ycgZ//motB//ybiT//entD//nuoL//
FabR	isrC//malE//
FadR	pstS//mhpC//xylB//purL//trpE//fldA//norV//pgaC//ugpB//sodA//nfsB//dpiA//betA//sodA//trpD//ymgC//ubiX//dsdX//moaB//recN//betB//gapA//hyfD//
FeaR	alkB//emrB//
FhlA	garK//yoaC//lacA//guaB//pqiB//cydD//pstC//manY//hcaD//baeS//creC//mglA//csgA//lysO//gatB//hycB//pncB//tfaQ//phnM//moeA//entH//tyrA//glgB//gspE//fecD//mpl//phnK//cirA//dmsD//infB//
FlhDC	ccmG//motB//ydhX//dctA//entB//tnaB//fucA//ebgC//exbB//mdh//paaH//argC//citE//wzxE//rhaD//malG//ynbC//tonB//cyoB//hyaC//hycA//feaR//lacA//ydiV//ssuD//garD//ugpA//fecI//serA//oxyS//aroP//nikE//thiQ//dinF//tnaA//hyaC//mhpC//cysN//hypC//paaA//tdcA//dgcC//ppdB//feaR//ygiA//ynbB//yfdX//galM//bluF//zntA//frdC//cdd//hyfR//fucP//oxc//ccmB//nemA//pstC//ihfA//glnL//ugpB//ydbD//mhpF//pspD//umuC//nemA//mqsA//acrZ//malQ//uxuB//narX//glnP//phnE_2//csgE//ybiT//hyaD//hycH//dinG//hyaC//ymgA//pspB//fixX//
FliZ	citG//glnA//pdeR//puuC//dps//argF//sroA//dgkA//fhuA//pitB//pfkA//phnL//rbsD//focB//yciX//ymgA//dsdA//manX//gcvP//cpxQ//argE//
FucR	cydC//nanA//ydbD//yneM//caiT//moaE//dtpA//
