#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	bglB//tauD//
AcrR	yafQ//ccmF//murP//caiD//uof//nmpC//mglC//mtlA//uxaB//artP//fadB//
Ada	rstA//ycjY//aceF//rffH//
AdiY	dsdX//pqiB//nuoC//patA//fliK//ynfG//pgaD//paaA//
AgaR	fecB//sdhB//tauA//uxuA//mglA//phoP//fruB//fpr//lysC//lsrF//rtcB//
AidB	rhaR//
AlaS	fliT//
AllR	leuC//rseB//lrhA//feoC//glgC//yoaC//phoR//ymgA//mazF//
AllS	fliP//puuR//yqaE//
AlsR	fimE//fhuB//tdcB//argH//sroD//dcuA//
AppY	rclC//torR//ftnB//cpxQ//mntP//cysD//napB//pepA//agaW//cusB//
AraC	malZ//ddpC//yecR//leuO//rplU//glpX//fumC//ydeO//entB//hlyE//manY//ybiT//dinQ//tauC//
ArgP	rnpB//emrA//infB//ybhL//srlA//dnaA//malI//copA//ulaC//fabG//ugpB//tauC//ldtC//rseA//
ArgR	ompC//sucC//agaB//ygiA//relE//mngB//mdtF//erpA//evgA//purB//purK//nrdI//degP//fliJ//ebgA//ybfE//nrdI//uxuA//kdpB//arsC//ftnA//bioB//uidR//hcp//yjbF//rbsC//xylB//ulaF//napD//paaY//sgrS//pspF//ptrA//glmY//hcaC//purE//uxuB//nikR//
ArsR	csgB//molR_1//lacA//
AscG	deoA//ydfD//bamE//ddpC//sdhD//
AsnC	purL//deoD//potH//gltJ//
AtoC	lpxC//cecR//araH//yneM//
BaeR	oppF//znuB//hyaA//fecE//phnJ//allD//hybG//ygaC//
BasR	hyfD//bacA//tcyJ//paaD//kdpA//pdeH//nikE//ssuB//trpD//phnK//aceB//emrB//aroP//
BetI	lysC//pykF//mtlD//micF//
BirA	tdcE//csgC//puuD//ygiB//xylH//
BluR	evgA//hybG//cusC//fepC//
BolA	accC//rbsK//
CadC	hyfF//nikE//uidB//
CaiF	ybaT//glcA//xapA//fliT//malM//nikR//dsbA//csgF//galP//ycjG//
Cbl	ychF//hypB//btuB//cysC//yeiL//tehB//lpd//phnC//paaD//
CdaR	flgM//hybO//feoB//mraY//flhE//ygiA//fliA//ddlB//dnaG//fbaA//
CecR	hlyE//csgF//mhpF//hypE//wza//
ChbR	malS//fepD//paaX//treB//pfkA//pgaC//
ComR	ruvB//
CpxR	agaI//glnB//hipA//nikA//manZ//sbcD//tsgA//astA//ygeA//ydeI//phnO//kdpB//glcD//envC//safA//gadC//epd//tolC//napC//xylF//ryhB//dinF//potH//ppiD//ydcV//lpd//bioD//cusA//oppC//grxA//ttdR//gpmA//mipA//pspB//rob//nanK//ftsL//gspM//gcvB//hycD//ubiA//ftsL//malY//mltF//motA//wzyE//fadM//exuT//ulaE//ahpC//glcA//mdtD//dhaM//borD//ycgR//ibaG//lpxA//yqjA//folE//ftnB//malE//sgbE//yjbG//moeB//araE//rffG//safA//qseC//oxyR//cysE//
Cra	tomB//trpB//mtlR//dhaL//thrS//cpxQ//puuD//fdnH//allE//citE//feaB//mtlD//hisM//rbsA//inaA//cyoB//phoP//acrR//puuP//ppiA//ygeA//gudX//yccJ//hycI//tdcB//lsrC//puuD//yeiB//emrK//pnuC//tnaA//ybhF//malY//feaB//metR//tehB//hlyE//yjiY//prs//truB//artJ//lldD//acnB//yibQ//tauA//rybA//fecD//feoC//dinJ//fixB//ygbK//stpA//feaR//rffT//rutB//gcvH//kdpA//glcA//cirA//wecB//malZ//csgC//mdtC//pspA//trxC//cirA//uvrD//ogt//zraP//rpmA//betA//bglJ//exuR//uidB//dsrA//asnA//omrA//gspD//gspI//
CreB	agaR//rbsR//dcuA//pagP//nemA//
CsgD	hybE//pspD//ybhS//oxyR//casD//yoaG//ynfF//ccmH//alaC//molR_1//chiP//melB//allB//fadI//tyrR//yfdE//ahpF//iscS//glnH//cysN//fucI//pck//wzc//argO//tyrR//yegR//ompC//astE//
CsiR	fabD//wcaA//rffH//fucO//araD//
CspA	ymjD//dsdA//
CueR	ygiB//hisP//fadA//decR//sufA//ybbY//hcaR//
CusR	flgA//phoQ//gapA//lrp//putP//uspD//araA//gntK//fadR//wcaB//entA//nrdB//
CynR	hemH//ulaG//fbaB//nuoN//
CysB	puuE//mtlR//hisM//dcuS//nohA//sbmA//ccmD//acrZ//narL//fldB//pgm//ccmG//fliA//ahpC//dsdX//oppD//ybdN//fliP//pspD//atoE//rimP//evgS//sufS//ynfK//agaD//dhaM//fepD//garR//sroA//yagK//metA//alkA//
CytR	ytfE//ftsA//flhC//ecnB//inaA//ftnA//obgE//micF//hokE//lacZ//yhbE//ygbA//rstB//
Dan	tomB//uidC//nuoN//asnC//
DcuR	paaA//mnmG//nanS//gcvA//dsbG//argT//ymgA//nrfG//ppsA//
DeoR	cueO//ybhS//dkgB//hycC//hyfH//metF//
DhaR	chbC//mgtL//nrfD//cra//
DicA	katG//cpxA//puuB//yciX//leuL//oppA//sfsB//fruK//
DinJ-YafQ	chbF//alsC//nfuA//
DnaA	yegR//mngA//hlyE//hybB//decR//ppc//mqsR//cydB//agaR//tdcC//mdh//cpxR//
DpiA	acrD//rutD//yoaC//paaE//umpH//gnd//rplU//rpmA//flgG//yecT//cspD//
DsdC	gspJ//hisP//ubiC//
EbgR	rffM//fliZ//
EnvR	sgrT//lysO//
EnvY	paaA//cvpA//
EvgA	nrdD//nuoF//entA//ybjC//agaC//lpd//astC//zraS//ftsQ//ugpA//infC//sufA//ttdA//yebG//ddpB//fliS//nimR//psiE//fliI//
ExuR	waaY//gadE//yoaC//fes//cysA//baeR//cysK//hyaE//rhaA//
FabR	ycjF//puuE//
FadR	emrA//fes//hisJ//csgF//purC//tdcF//puuE//moaA//araE//rcnB//lysR//uspE//tdcF//cynT//ybaS//fecR//glnD//tnaB//ogt//mglB//ssrS//pspG//ugpC//
FeaR	grxD//inaA//
FhlA	ugpC//lsrR//gltJ//nuoI//glpT//mraY//ydhV//sufS//ubiA//rprA//hycG//nanC//dinI//fruB//ilvC//fdnH//ttdT//ycjF//flgF//hypD//cyoB//ytfE//tonB//gspG//cheW//casD//cas2//ymjC//cdd//srlA//
FlhDC	yiiS//glnD//ilvC//artJ//fixX//metJ//ykgO//xylR//paaE//lysC//fecC//mntP//astB//carB//citF//ydfH//hycG//dhaM//fecC//ddpF//oppD//fucK//gltD//phnD//artM//waaY//gspM//gatY//rfe//nagA//evgS//ydeI//pqiA//pgm//fliL//gadA//allB//cydB//idnD//fnr//yjbH//gutM//nrfA//sroA//tehB//emrY//ada//hyfG//fadH//agaR//hslJ//flhE//yegH//gpmM//cdaR//allE//marA//ydiU//sgbE//glxK//fabA//ydhT//appB//gspL//sroC//tbpA//mgrB//ccmE//rclC//fdnI//pyrD//cpxP//idnR//ydfH//ybhS//gspG//ccmF//glk//acnB//oppC//decR//ynfG//
FliZ	yoeB//rutG//amn//ycgZ//ldtD//fiu//gabT//lldP//dinF//puuP//yedX//yqaE//fabH//hybF//hyfG//entC//gapA//dinD//ftsK//yneM//symE//
FucR	metL//bglB//rutF//ycdZ//ulaD//nadB//osmB//
