#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	creD//hdeB//
AcrR	casA//rbsB//accB//hyaB//relA//agaI//phoB//obgE//norV//dapD//acrD//
Ada	yedX//hyfJ//asnA//sbmA//
AdiY	trpL//mioC//hycI//leuO//fadR//alsE//manY//metA//
AgaR	inaA//mgrR//thiP//hybG//yqhG//leuD//sbmA//tyrR//thiP//agaV//kdpF//
AidB	hmp//
AlaS	srlB//
AllR	glcA//malS//baeR//trpB//sbmC//gadX//amn//yeaH//cyoC//
AllS	fliQ//fliT//katE//
AlsR	tnaA//idnK//insD//bamE//yeaD//nagB//
AppY	recN//fhlA//mazG//hisM//glpA//talA//hokE//ygbK//psd//focA//
AraC	purE//ynjI//dinD//insK//malY//deoD//glxK//fabI//yoaG//flgN//lsrB//feaR//fdnG//ymgC//
ArgP	cytR//cysW//rfe//yeiL//ycdZ//puuD//slyB//atoE//gadE//cusC//betI//appC//glpQ//ydhT//
ArgR	metB//nuoK//pitB//acrD//allE//metC//glcG//ldtD//gntX//moeB//fecC//cysU//srlB//hydN//purH//rutR//puuE//purR//gudX//agaI//nrfB//ariR//paaK//ppc//caiC//hycI//appY//fliG//atoD//agaB//fecD//garD//dctR//casA//dcuB//feoB//gabP//purE//
ArsR	dacC//pnuC//lpxC//
AscG	rdoA//gspK//sgrS//xapB//tsx//
AsnC	puuD//malY//rcnR//ugpQ//
AtoC	napA//rfe//focB//gntP//
BaeR	ompN//potI//dinQ//nikD//bluF//sulA//deoD//accC//
BasR	gltI//nrfF//lsrB//pspE//ygaC//asnC//skp//phnK//cynR//fepC//caiB//hyfB//yeiL//
BetI	allC//hycD//ugpB//dsrA//
BirA	mtlA//rdoA//tomB//flhE//purF//
BluR	osmC//ydhY//yoeB//xapB//
BolA	cyoA//chbG//
CadC	hisJ//guaB//cynT//
CaiF	pspG//zinT//rpmA//pspD//idnK//uspE//serA//ompN//yhcH//rob//
Cbl	ddpB//nanT//gltF//ygiC//gutQ//dicC//rfe//lsrR//hyaF//
CdaR	lsrR//guaB//gatC//cynR//lysP//tyrP//ecnB//mdtE//ftsA//ompW//
CecR	cspI//lysA//iscS//agaW//rutB//
ChbR	csgE//frc//phnM//ssuE//idnT//fldB//
ComR	prpC//
