#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	sdhA//fadJ//
AcrR	paaX//envC//yjbE//gntT//phnO//fumC//puuP//cyoC//ssuC//hyfI//idnR//
Ada	glnQ//tehA//malT//ydfE//
AdiY	tsgA//ruvB//efeU_1//fliI//mlrA//zntA//metJ//phnP//
AgaR	hcaE//ruvA//prpD//xylB//tyrR//cytR//glcD//fldB//sgbU//tcyJ//nrfE//
AidB	fepC//
AlaS	srlB//
AllR	asr//fhuD//manY//ppsA//hyfB//glnD//yjjQ//moaA//caiT//
AllS	phnF//metH//lacY//
AlsR	glmY//araD//cvpA//narI//asnC//glmU//
AppY	sufS//exuT//rhaR//purR//nrdE//pyrC//fabG//obgE//sucA//mglA//
AraC	hyaB//rbsA//tnaA//dcuD//tam//rffC//argI//nuoA//leuC//dnaA//metH//fadR//pnuC//rffC//
ArgP	hcaB//nhaR//nirC//nemA//leuC//mgrR//slyB//kdpF//rhaT//tcyJ//ybdN//nikD//emrK//intQ//
ArgR	fdnH//amtB//csgC//thrS//fdnI//nmpC//uvrD//ccmC//rpiR//yoaC//borD//paaD//glnH//sgrS//marR//iraM//sgbU//cas1//prpE//ybbY//mglC//psiF//fruB//uxuR//cdaR//garR//mhpB//betI//gudP//lysC//eno//murD//tauD//ftnB//rbsC//mtr//treR//tam//
ArsR	rbfA//gcvH//tktB//
AscG	ompW//bolA//ryhB//btuB//pgaB//
AsnC	acrR//glpT//xapA//rnpB//
AtoC	sucB//nuoJ//ybiT//fabA//
BaeR	pheS//oxc//nupG//paaA//lsrK//potH//gntK//codA//
BasR	murG//ompT//epd//chbG//dinJ//gatA//citC//rtcB//pheS//malK//fabA//ycjY//dmsC//
BetI	mdtD//hisQ//astB//ybiT//
BirA	argF//kbp//slp//erpA//hyi//
BluR	rpsU//hcr//tpiA//dmsB//
BolA	polB//sucD//
CadC	ulaD//fliM//trpR//
CaiF	phnG//ugpE//waaZ//glnA//nagC//bglJ//yfdV//nanT//skp//wza//
Cbl	higB//garP//ulaC//astB//waaZ//thiP//uvrB//napB//prpD//
CdaR	potH//dapB//agaV//fdnG//sucD//puuB//paaG//intQ//citD//norV//
CecR	ycjF//gapA//glk//yhbE//betT//
ChbR	ychF//nrdA//dgcZ//yeiB//mdtD//gntT//
ComR	purM//
CpxR	ppiA//ompC//fhuB//ydhY//yagK//mntH//ydcV//alsA//gntK//pnuC//yiaO//artQ//argT//yhbT//metQ//zwf//glk//prpR//dctA//glpT//mdtE//glcA//ecpR//ftsZ//potH//modA//phoR//nrdF//hemL//fepA//flgD//znuB//nanC//gltI//cheW//icd//tehB//cheW//nanA//poxB//phnE_2//yjbH//yjeV//rcnR//gspO//gltB//sra//hybO//ygiC//glcA//flgI//yiaJ//hyfD//nrdI//purR//zntA//mngR//srlB//napC//ydjM//dmsD//ygdB//yebE//slt//tolC//fliR//wzb//narI//paaA//garK//
Cra	uhpT//hypF//fliS//tsr//gcvH//casC//ddpD//gadY//glyA//frc//ybhG//lsrG//ttdT//mngB//glpC//rutE//wcaB//entD//entE//pspA//accD//flgC//purL//fhuC//glnA//gntX//nagC//fhuD//lpxD//yebE//mdh//leuL//glcG//nanM//phoH//nrdE//galS//wzb//tauD//nohA//hyaA//cusA//norW//icd//hcr//fliR//tnaB//ccmB//cheA//ubiC//rcnR//hybO//glnL//purH//potG//ldtD//cyoB//rutR//focA//ftsI//hycB//mgtL//motA//chbG//mscM//glnP//cydA//ubiC//ydhU//csgA//gudX//nrdI//lsrB//kbp//yebE//nanA//acrR//murC//exuT//
CreB	csiD//yhcH//hyfG//ompN//ybhR//
CsgD	fecI//tfaQ//mlc//argE//fdhF//gltD//entS//yebG//dsrA//cysP//yecR//yiaK//ebgC//yeaE//ydhX//nadB//ppsA//malZ//nuoM//rbsB//ulaE//fhuA//fliG//mdtF//pck//fecC//malX//nuoK//
CsiR	yafN//csgB//marA//tfaQ//ompN//
CspA	rcnB//yfiR//
CueR	yeaH//rtcB//yegH//gapA//hyaD//acrZ//pgaA//
CusR	agaR//iraP//astC//yjiY//lldP//wzzE//sdhD//alaC//nupC//ydbK//dapD//hipA//
CynR	hyfG//rpoE//cynS//garK//
CysB	mtlR//ybhL//hyfG//dinG//yciW//nrdI//nusA//fecA//caiA//fecR//xylR//nrfA//moaE//hyfI//bluF//iscA//nuoN//emrY//sra//nfsB//fliS//lsrC//hycB//wzxE//garD//qseC//malK//hcaD//nhaA//artM//sufE//rutG//
CytR	allD//atoD//yjhC//garR//asnB//rffG//fhuB//metI//aroM//lysR//exbB//nadB//mioC//
Dan	emrK//gltL//araG//paaF//
DcuR	yeaE//fliA//pstS//osmY//symE//truB//sgrT//aidB//yqjH//
DeoR	cdaR//garP//asnB//purR//moeA//codA//
DhaR	tnaB//ydhW//zraS//alkB//
DicA	srlD//phnD//pgi//glxR//hypB//polB//hybC//allD//
DinJ-YafQ	mzrA//nrdB//copA//
DnaA	moeB//aroG//puuP//emrK//symE//hdeD//ruvB//gutM//moaC//nikE//gadY//yoaC//
DpiA	ydfX//lsrK//ydfN//gatC//purA//napH//frdD//ppdA//bhsA//glmU//yegH//
DsdC	ymgC//micF//patD//
EbgR	umuC//yoaC//
EnvR	uspD//yciF//
EnvY	kbp//ihfA//
EvgA	gntK//rarA//mlrA//appX//ftsQ//baeR//lexA//ydeM//nanA//ybjN//hycF//ftnB//ddpA//bioB//fecB//glcB//rhaS//idnK//mraY//
ExuR	nemA//glpF//pdeR//srlB//dinQ//mioC//hisP//dinQ//lysC//
FabR	ugpB//dapB//
FadR	phnC//gcvH//nikA//fdnI//hycC//sufS//melB//glnA//ulaA//cysK//mhpT//fepE//fliZ//fecC//fbaB//murQ//ygiB//ugpE//ybhG//mnmG//trpC//glgC//metQ//
FeaR	murI//uspA//
FhlA	cusB//asr//osmY//fepC//arsR//sodA//rpsO//lrhA//ydhX//accD//ycjX//yciX//rdoA//nohA//glmY//dacC//cspD//galS//gutQ//tcyJ//bioA//gcvA//nikC//ykiA//nusA//pspE//ftsQ//baeS//glnB//nupC//
FlhDC	fliN//murC//caiB//cysN//murR//lpxD//malP//gcvT//cheA//ptrA//yiaJ//yciF//lsrR//mdtF//ahpC//mgtA//rpmA//ymgA//hycD//nanE//serA//ddpB//nrdD//ftsW//cysG//metR//leuB//ymgA//fliS//mpl//pgaC//cysW//flhD//mprA//yhiM//ygiZ//ihfA//ynbC//yccJ//hcaF//yfiR//eda//sdhD//hyfH//yeaR//ydcS//trxC//tbpA//dkgB//lolA//napH//hyaB//agaS//sbcC//nupG//glpA//entH//agaI//modC//ynjI//katE//gutQ//nagA//dmsD//cysC//sdhC//lysA//iscS//nirC//cas2//gcvP//phoB//csgG//agaV//artJ//hybE//nrdB//lacY//marA//oppC//glmU//narG//
FliZ	flgH//nagE//oppA//bioF//cspD//glcG//ccmD//feaR//cysH//ybfN//caiF//ssb//ilvC//fliR//oppD//nikD//murD//ogt//metL//metJ//sbcD//
FucR	sucA//gabD//yccA//hokE//hokD//hisP//yqjI//
Fur	dcuA//htpG//mntH//glxK//metY//gatD//ppdA//nfuA//fadL//lysR//yiiS//torD//rutF//phr//glnG//phoA//hybG//ybfN//gcvH//hycD//flgM//yjbE//hslJ//talA//cysG//ykgO//fepB//rprA//hybF//yagK//malI//yjjZ//treB//dnaN//ynbD//metF//yqjA//aceF//ddpA//dsbG//rybB//sucB//gltK//evgS//yccA//tehA//ydcV//purF//gutM//mqsR//purH//dps//dgcN//sufA//yjeV//acnA//ftsI//cadB//yciG//paaZ//adiA//phnC//marA//cysU//exuR//ygaC//lldR//ssuD//ycgR//flhB//phoP//focB//psd//betI//mqsA//thiQ//cynX//tynA//narG//norR//moaC//sufB//pheT//dsdC//hyfA//yoaC//gspH//yhiD//norW//phnN//nikR//rutD//nfsB//rcnB//glnD//evgA//dinB//mpl//fbaB//metC//betI//ybaT//umuD//lrp//hycH//cirA//lolA//dnaA//dhaL//hdeA//ygbK//ftsQ//hypC//fdnG//mglC//glyA//nagB//gntU//rtcA//entB//pgi//glnG//agaD//recF//lrp//hyaD//sfsB//dinB//garK//sroC//
GadE	nuoM//ompN//argR//accD//dsrA//ompC//aroL//oppD//artI//gudD//gspH//ubiA//fadA//uidR//yhjX//allA//thrS//uspD//guaB//gadA//metR//yciE//lexA//gntP//cysJ//molR_1//hycF//soxS//yiaJ//
GadE-RcsB	purE//fabA//ftsK//thiQ//truB//sgbU//ynfF//cpxQ//aroG//
GadW	sucB//sgrR//cysG//murF//appA//tauD//mngR//argI//torD//lyxK//paaD//ulaE//gapA//rpsO//allC//
GadX	phoR//yccA//grxA//gcl//mipA//inaA//yegH//nuoG//dinJ//gntT//efeU_2//pgpC//hyfH//manZ//hipB//sgbE//dsbG//alsE//cynX//flgN//yeaD//lgoR//dicB//aspA//cydC//fdnH//dsbC//manY//purK//
GalR	hypF//pgaD//baeS//aceK//hcaF//dcuD//malK//mdtC//ydcS//nrfB//
GalS	wzc//metK//gudP//paaZ//fhuD//yhdY//fabB//rhaT//tolC//ydeO//
GatR	pgk//citE//recF//acnB//deoB//argP//
GcvA	nadB//fabI//motB//lsrC//caiT//
GlcC	flgJ//araD//gdhA//lamB//malZ//metL//malM//
GlpR	cysI//ugpC//ygbA//ascF//fes//mglC//waaZ//baeR//dpiA//
GlrR	mqsR//recA//phnN//ahpC//gudD//
GntR	argE//yqjI//ydhT//paaD//oxyR//hipB//nhaA//aroH//chbG//dicC//cydD//yaiW//
GutM	modC//ddpX//wzxE//ddpC//nrfA//betB//rseC//
GutR	asnC//gpmA//pspE//fliE//rbsR//murC//crp//
HU	serA//znuA//tisB//borD//csgF//leuD//rpoS//umuD//yeaG//
HcaR	pgk//galP//dgcZ//tdcA//dcuB//flgM//
HdfR	mnmG//kdpF//ldtC//mpaA//eno//
HigA	yhdY//recA//
HigB-HigA	leuD//ycgR//
HipAB	ydhU//creB//dicC//yciW//glgP//
HipB	intQ//murF//hydN//lpxD//osmY//fliJ//
HyfR	fliZ//metK//fliK//eda//uvrA//prpD//pheM//purD//ygaC//fucI//phoB//skp//
HypT	lpd//nanT//ilvY//fepB//tsgA//ymgC//glgP//omrB//uof//glnL//dinJ//leuD//nrfE//
IclR	nlpA//paaC//hybD//cusA//
IdnR	leuO//srlR//nuoH//glnH//zwf//gspH//cyoA//
IlvY	metF//gspK//
IscR	ebgA//pagP//dps//puuB//nirC//citG//moaD//nrdB//napG//gcvA//rpsO//fepC//cadA//tdcA//mltF//malZ//yiaO//yjbF//rhaS//betA//fhuC//cpxR//kdpB//pstS//gspI//narK//yjbH//osmC//betA//hycE//cysE//pspD//
KdgR	rybA//lon//
KdpE	gudP//argO//bolA//fecC//
LacI	yqaE//nimT//grxD//
LeuO	htpG//chbA//folE//ulaF//moaB//pykF//ppdC//mhpD//truB//rbsD//glnB//murD//ompW//cho//osmY//ybbW//nuoA//puuE//oxyR//nirC//
LexA	yfaE//glxR//yegR//yqjI//ebgA//mhpA//metE//mprA//nohA//marA//pstB//umpH//yidQ//ulaE//hyfI//ftsA//narH//osmB//cynR//citG//phnI//appY//tomB//entH//nirC//alkB//mepH//pgi//argT//dsdC//garP//ada//nagA//sufD//sbcD//nuoK//ftsA//ddlB//aroH//melA//hybO//baeR//mdtF//fliC//fadB//tehA//gudD//agaR//rbfA//dmsC//ilvY//aroP//glmS//ydeN//fimE//cpxP//agaC//astD//dgcZ//
LldR	tam//uxuA//xapB//
LrhA	ihfA//nrfF//yegR//nrfB//
LsrR	rutR//ycjY//codB//ddpX//aceK//entS//metR//fecA//yhbE//
LysR	hycG//melR//
MalI	ygdB//dgcN//prpD//
MalT	mngA//sbcC//dinJ//fepB//nemR//alsB//mhpE//moaD//accD//paaG//
MarA	potH//narG//waaY//fhuA//paaJ//puuD//fecI//oppF//yccT//yiaL//pspC//rsmH//appX//tnaC//yhjC//emrK//cheW//yqhG//norW//sroA//ynbA//bluF//pdhR//cydA//ppiA//fhuA//hyfH//degP//hisP//gltI//puuP//lsrC//yiaJ//pykF//mdtC//prpD//araG//yebE//
MarR	wzc//pstS//gspM//
MatA	glxK//ppdC//ecpR//ygiB//manY//ptsH//folE//malY//
MazE	adiA//allD//glpX//
MazE-MazF	hybB//pepD//yhdZ//
McbR	torD//cynX//yafN//dinG//
MelR	gdhA//purB//ariR//
MetJ	citC//amn//pspC//flgH//casA//evgS//ybhL//appB//sufD//mnmG//ymiA//exuT//ftsZ//flgI//agaW//
MetR	hmp//chbA//mtlR//mltF//uvrA//
MhpR	garR//hns//malQ//ttdA//phnL//ydcU//
Mlc	glnH//fruK//hypD//epd//adhE//rutB//uvrD//entF//glcA//dnaA//
MlrA	fliZ//gyrA//gabT//puuP//aroH//acrR//hlyE//nfo//mpl//appY//
MngR	hmp//fumB//ompN//
MntR	asnB//umuC//creC//phnK//rpoS//
ModE	araA//chbC//flgE//betB//fepE//glnK//gadF//dmsD//glpA//puuA//hcaE//cynS//xylA//fecE//safA//uxuR//tyrB//ybbY//yeaE//purF//rclB//xapB//yccA//glyA//leuB//fldB//cysK//recA//citE//rob//flgK//ssuA//ugpQ//yfbR//flhB//dinI//nupG//fliJ//bioA//cysD//mioC//rnpB//csrC//yhbT//ssuA//lacA//
MprA	mdtF//csgD//murP//ydhT//chbC//ldtB//
MqsA	sbmA//rutD//phoH//cas1//tpiA//rpoH//nikC//creC//
MraZ	seqA//potF//dicB//uxuA//mgtA//fabD//purF//cyoE//fabA//fliN//adiA//yciG//omrA//nrdH//gyrA//glpD//pgaC//
MtlR	metK//insD//ftsA//
MurR	ydhT//lsrD//alsE//
Nac	dnaN//gcl//znuA//dcuA//omrB//ydhW//cadC//rbsR//ftnA//gatC//trpB//yeiL//yhiM//argH//hyfR//rseA//modC//uvrY//ppsA//potI//argA//
NadR	ebgA//rfe//yafQ//nohA//
NagC	phnI//rtcA//ybjG//rutC//pheT//napH//eno//eno//nusA//ttdB//pspD//sucD//iscA//sodA//modC//ccmD//erpA//uxaB//rfe//ulaD//rhaA//kdpB//galS//ydhV//fucU//pgm//ydeM//flhB//mqsA//ompW//gspI//rpsO//cysD//rutG//flgE//entH//evgA//
NanR	citD//glcB//casD//mipA//tnaA//mhpE//ubiC//qseC//cysI//nemA//yqjI//
NarL	rbsC//torR//micF//malY//aceA//dinJ//ycgR//nanA//nimT//glcG//sfsB//rnpB//pdhR//feoB//gadF//creC//yciF//gatD//nikD//melR//ydcV//cysU//gadA//yedX//phnC//idnD//ebgA//fdnG//dsdC//manY//amn//moaA//argE//yhjX//dgkA//emrY//ppsA//mdtF//glnH//ybhG//alkB//malE//yoeB//yegZ//flgL//cirA//rbfA//artP//hycE//caiC//uidC//gspE//fepC//speB//rcnR//rutG//hcp//trpB//appY//nlpA//hypF//setA//lolA//ftsW//nuoK//glnP//purH//edd//dsbG//amn//mnmG//mgrB//gltD//purE//epd//fecI//grxA//yafO//tdcB//xylG//fhuF//uxuB//dsrA//nagA//lsrR//ydcV//rclA//omrB//frdC//hipA//marA//adiC//murR//ybhG//mdtE//ompW//gatD//manY//paaC//nrdG//ariR//tbpA//yeiL//srlA//entB//focB//gspM//feaR//gcvB//acrD//lsrG//ompC//fadH//frdB//ssb//exbB//hypB//ycjF//rpoD//cysD//speA//ymgA//nimT//
NarP	nuoB//tktB//rclA//rpoS//hokE//glcD//fecD//wecE//glmY//yebE//ahpF//rutA//yeaR//ykiA//citG//mngB//tfaQ//nfuA//bioA//znuB//yjhC//ygbK//fucO//dmsC//acrB//ptsG//glgB//norR//sodA//fruA//prpD//uxuB//isrC//ydeO//codB//glk//murP//phnL//yhbE//rtcA//soxR//rffH//glgB//gadE//mqsA//aceK//norV//galM//ppiA//htpG//
NemR	fixB//higA//hypC//
NhaR	hcaR//nemR//sroC//ydfD//gatB//pagP//bglJ//
NikR	recB//srlB//fadH//yhbS//argA//hyi//
NimR	purM//ulaD//
NorR	pck//leuC//fpr//
NrdR	cysU//ydhY//alaC//ihfA//argH//pstS//garK//ecnB//murE//
