#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	ssrS//ydeI//
AcrR	flgG//sulA//sgbE//dgcN//yhhY//tynA//insD//gcvH//yhbS//ynbC//fbaB//
Ada	glmU//lysP//cyoD//cynS//
AdiY	ecpR//pdeR//mglA//tyrR//rseA//serA//ascF//csgC//
AgaR	iclR//entF//mhpA//ldtD//ybjG//patA//paaK//ptsI//cadB//dicB//ydcV//
AidB	moaA//
AlaS	chbA//
AllR	manX//bglF//cyoB//yibQ//betB//ydhU//gadF//leuA//idnT//
AllS	oppB//iscU//nrdH//
AlsR	lysR//wecC//gadF//yidL//rhaA//ddpF//
AppY	metL//recD//gadE//dsbA//csgE//ddpC//ldtD//slp//rstB//hyfA//
AraC	appC//dacC//flgE//mglA//aroM//pdhR//hyfJ//tonB//hyfJ//argG//murR//exuR//symE//hokD//
ArgP	nrfE//hipA//spy//add//iscR//yefM//cusF//nuoN//rutB//moaE//mtlA//sroC//recB//hcaR//
ArgR	moeB//cydA//ydfW//nagC//fecE//dsbG//focA//paaH//nikE//ydhT//dsrA//dkgB//yciF//tolC//yhjC//ccmD//rimP//gltB//caiE//nagA//feaB//hdeB//hokE//wrbA//yjbE//dcuR//cirA//rclA//citC//ygbK//argF//potH//dhaR//ldtB//rbfA//ybjN//araE//pgaB//
ArsR	hyaA//nuoE//ppiD//
AscG	deoC//ykiA//rhaS//fliF//modB//
AsnC	pnuC//ychF//efeU_2//metK//
AtoC	ttdA//rutF//hisM//ulaD//
BaeR	ftsK//pck//fabD//murR//nadB//waaH//nagC//pck//
BasR	pgi//relE//ftnA//argE//cysM//glnD//ymjC//sufB//xylF//sbcC//aroP//appY//deoC//
BetI	hcr//tsgA//wzxE//nuoC//
BirA	ribA//astE//bioD//wza//flgK//
BluR	purA//argE//mdtC//asnA//
BolA	yccA//yciG//
CadC	rpmA//gspJ//casD//
CaiF	ssuB//glnB//puuA//pstB//murQ//crl//flgK//aceE//phoB//paaC//
Cbl	fadA//garD//cysP//glnB//pstA//dsbC//astA//nagC//yiaL//
CdaR	tehB//rutG//rbsB//fldA//higB//mhpC//yeaG//yncE//nfuA//frdA//
CecR	dkgB//nagB//adhE//infB//tonB//
ChbR	fhuC//grxD//leuC//rhaS//carB//appB//
ComR	cho//
CpxR	yeaH//nanM//safA//gutQ//fliH//entH//yqjA//folA//phoE//ynfE//nikB//nuoE//ychF//thiQ//mraZ//ldtC//rutF//flgC//ugpB//phoR//ydbK//cirA//nupC//cynT//glnG//slyB//pspF//potG//sdhD//feoA//yhdZ//tsgA//ecpA//flgF//fhuC//ugpC//nanS//cusS//hydN//lpd//moaB//citE//nanK//uxaB//tauB//ynfG//phr//paaG//hybB//mglB//yjbF//yeaR//srlB//cysD//lsrG//higA//yfiR//ompN//ydfX//napC//bglJ//mtlR//ybjC//inaA//ygiA//ynjI//metF//fucK//deoB//tauB//
Cra	cyoB//creC//lsrC//argI//waaZ//fliS//citG//fliS//ssuC//lsrD//intQ//wzxE//fabG//srlA//mepH//rhaS//nagC//glcD//aspA//nrdI//frdA//hcaE//yafO//yoeB//sucC//fimB//fepG//iscU//fixA//nuoN//gltD//artP//metK//narG//dctR//pqiB//narL//rpoE//glpC//fliZ//ppdA//leuC//gltL//omrA//ddpD//fdnH//metC//hdeD//phnH//ymiA//mcbA//tisB//gcvT//oxyR//norW//tauB//ppiD//yiaM//rimK//napF//mdtF//ccmE//idnD//flgN//appA//ilvC//wza//ybjC//ddpB//cyoE//dinG//lacA//tomB//rimP//narI//malX//frc//casD//uspD//
CreB	yidQ//pstB//slp//waaY//umpH//
CsgD	cydC//recB//entC//pepD//gltI//aceK//tpiA//argP//ycgZ//gadE//ssuA//argI//tbpA//acrA//glnL//ygdB//ddpB//nrfA//ulaA//puuE//napD//rhaR//yccJ//prpC//pgaD//ompC//yhiD//paaG//
CsiR	metL//murF//dnaG//yfbR//nikA//
CspA	deoD//guaB//
CueR	flu//sufE//mntS//codA//speA//ybfE//ycgR//
CusR	fliP//ycjX//yjbG//ybhG//rnlB//tyrR//gadA//nac//malY//cadA//ptsI//yiiS//
CynR	alsE//ygbK//marA//stpA//
CysB	fhuC//mntS//btuB//creC//wzzE//xylH//fliP//appY//argC//accC//ftnB//gadY//argA//ynjI//flgI//ykiA//yhjA//mngA//xylG//chbR//tcyJ//ndh//mhpD//yciE//pdhR//leuC//hokE//katG//nirB//rbsA//prpE//araJ//
CytR	uidC//rtcA//yedX//torA//hipB//cyaR//yoaC//ulaG//yhjA//yfiB//ung//flgM//pgk//
Dan	rpiB//oppF//frdD//argF//
DcuR	lolA//gatD//csrC//bioF//ycjF//ybdZ//flgA//xapB//phnI//
DeoR	pgaD//cysB//rpiB//uidB//hycD//mhpA//
DhaR	gspH//yfdX//wza//paaX//
DicA	casC//ugpB//ydfE//ftnB//mazF//phnP//ygiC//citF//
DinJ-YafQ	waaY//tdcE//narL//
DnaA	feoC//nanT//hyi//ssuB//fliN//feoC//yccT//phnH//fliF//glmY//lrhA//yaiA//
DpiA	glgA//lldR//potH//fadI//grcA//fecA//ccmC//hcaC//rbsD//feaR//rplT//
DsdC	hcaD//entE//ttdA//
EbgR	fecI//astA//
EnvR	yhdW//gspD//
EnvY	gspC//nac//
EvgA	nuoL//phoU//ytfE//mntH//hcp//gspJ//melA//nfsA//atoE//ftnA//cusA//cydD//eno//yaiA//ydeI//murP//ccmA//dinD//ygiZ//
ExuR	nirD//pheM//pyrC//nrfF//mipA//rffH//gadX//fucK//ibaG//
FabR	ydeI//araF//
FadR	acrR//glgP//caiD//ulaE//caiE//moaD//yafQ//gspF//nfuA//lrhA//nagE//pspF//tdcF//folE//purM//ybhS//sgbU//ptrA//ilvY//yiaL//yeaG//hcaD//dhaM//
FeaR	cra//metA//
FhlA	rffH//iscU//sufD//casA//exuT//fixA//yccT//mlc//entC//mntS//safA//ptsG//ugpC//yhiM//fabZ//paaJ//nusA//ydhT//frdB//cysA//ung//metK//mdtB//chbC//gcvH//lhgO//hisQ//cbl//citF//argC//
FlhDC	tdcG//gdhA//gadE//cysU//thiP//tdcC//ybdZ//alsC//feaB//flgB//phnF//sbmA//tam//ydcS//fliZ//isrC//ycjG//phnM//glxR//fabD//nmpC//ompC//yjbF//cysU//hyaC//ppdB//hcr//hyfD//yebG//fepE//ddpB//oppB//hyfJ//pspA//mprA//acnB//purN//leuL//yqjA//lacY//mscM//hdeA//fixC//ddpA//zwf//gltI//malF//aceE//murG//nuoA//pyrC//idnK//fabG//leuD//gcvH//gntU//rffT//flu//torR//recA//murR//hlyE//tdcA//aceK//tbpA//nimT//yhdX//rbsC//fucP//asnA//creB//potI//fecC//gltB//dkgA//nmpC//lolA//ppiA//relE//tdcA//mntH//zraS//
FliZ	astE//pspD//gntU//gadE//prpR//tdcE//phnG//nrfA//cadA//phoP//betA//nrdF//add//puuB//leuA//lpxA//flgK//malE//nanE//cueO//flgL//
FucR	argD//glgC//sdhD//flgJ//metN//fnr//agaW//
Fur	cysI//cysJ//pspA//phoQ//metC//artI//rprA//ulaD//glxR//moaE//artM//accA//ccmB//treB//ydfH//agaI//nuoG//mtlA//fnr//araF//gspJ//gcvP//ptrA//tdcE//caiF//rpmI//kbp//hemH//moaD//feoB//symE//araB//gutM//fabZ//argE//rimP//hmp//casB//mglB//puuP//tauD//potI//entB//murP//phnL//rplT//ppdC//sufB//rpiR//frdC//gudP//ycgR//mdtD//oppD//pck//ssuE//hycF//ycjX//cspE//pqiA//hybA//rpiR//flhE//mazE//flgI//hisJ//gabD//hcaD//purD//rseC//mazG//wecB//modA//ycgR//hyaB//umuC//appY//ryhB//dsdA//fliF//bluF//lysP//chbF//mngA//hcaB//idnK//umuC//ftsA//yjbE//caiC//metR//gcvP//omrB//prpE//argO//yqjH//accB//cspI//fliJ//cysU//folA//entF//trpE//malQ//rseA//gspM//ftsA//acrR//accC//ftsI//atoE//csgF//ugpA//ulaB//yaiW//hyfH//nhaA//yhdW//hmp//ybbY//amn//dhaK//sgbE//yafO//norR//ppdB//mazG//nemR//modB//lpxC//
GadE	gspI//rbsB//pdeR//allC//ddpF//lon//nanA//ydcV//aceA//ompT//xylH//oxc//agaV//mglB//pdeL//frdC//yiaK//nanT//nanS//copA//phnO//znuC//ybhF//aroL//chbB//recC//ykiA//citE//nrfG//
GadE-RcsB	rpoS//tolC//rpoE//yidL//yncE//bglG//sufE//kbaY//dpiB//
GadW	malZ//dctA//flgI//gnd//pflB//aidB//fecE//yqjI//bglJ//fdnI//argH//umpH//higB//leuL//rbsK//
GadX	galT//galP//hycD//gspI//psiE//aroF//hypA//lsrD//uxaB//ldtB//casA//tauC//ryhB//leuB//rpiB//evgA//atoE//ybjG//lsrB//hokE//waaH//sbcC//ubiC//lacA//nagA//umpH//rbsA//mtlD//entF//
GalR	nuoJ//mzrA//purL//setA//mngB//caiF//metF//ompT//ptsH//pspC//
GalS	rpiB//ycjX//rhaS//bglJ//ugpA//polA//nikC//ptsI//murE//ydeO//
GatR	hypB//yccJ//moaA//yiaO//ynjI//fabA//
GcvA	fdhF//metL//argO//potG//murI//
GlcC	umuD//metA//gabT//alsB//ycjG//flhE//pheM//
GlpR	fnr//recN//fimB//lrp//hflD//yoeB//ybdZ//hybF//zntA//
GlrR	gntP//feaR//lsrG//ariR//hipA//
GntR	ompC//nikE//nuoK//ftsZ//gadF//metC//rclB//rbsR//oppD//polB//ymgA//fliC//
GutM	oxyS//kdpF//casC//ftsK//ydhU//creD//ydfW//
GutR	mpaA//tomB//cysW//artP//hyfH//mntP//gudD//
HU	yoaC//frdC//csgB//pgaB//iscA//nanM//rpoE//cusA//prpC//
HcaR	tfaQ//hybF//paaB//ydhV//bioF//argC//
HdfR	cyoB//cydC//paaZ//glpF//glcF//
HigA	rtcA//iraM//
HigB-HigA	rob//nrfA//
HipAB	ihfA//ilvY//glpX//relB//decR//
HipB	soxR//rbfA//garR//yhhY//puuA//nuoJ//
HyfR	argR//gspF//wrbA//gpmA//fucO//pstA//ybhG//hybG//tolC//agaB//yiaN//mngB//
HypT	potG//paaE//flgM//rbfA//idnO//creA//mtr//umuC//galS//nirC//sucC//cadA//csgE//
IclR	dkgB//rybA//ppdA//hmp//
IdnR	evgA//insD//zraS//cynX//zraP//moaA//malM//
IlvY	talA//iraP//
IscR	gntX//patD//ccmB//ubiC//phr//oppB//rseC//rbsK//dinB//ydeO//glxR//ldtD//nfsA//glpF//dcuA//hypA//moaA//nuoH//yefM//aroH//gadE//tdcG//yidL//uspD//epd//ydcV//ynfG//degP//nhaR//hycB//uspA//lsrR//
KdgR	narH//nac//
KdpE	lsrG//yjhC//fecC//melR//
LacI	xapB//carB//yneM//
LeuO	yfiB//mhpB//feaB//talA//yhdY//flgC//ybiT//ebgA//glnP//treC//oppC//moaB//glmY//yciW//phnE_2//tadA//gspD//tyrP//nagA//yefM//
