#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	sgrS//soxS//
AcrR	tyrB//uxuR//yjeV//leuC//emrY//dgcN//grcA//frdD//purN//betT//fliE//
Ada	fecR//glcG//galS//exuT//
AdiY	glnQ//cydD//nuoJ//gltJ//betT//hybG//yjbF//fliP//
AgaR	cysP//hypF//hycH//mdtF//aroM//ygiB//cvpA//ftsZ//adhE//gspK//ddpD//
AidB	dcuB//
AlaS	araA//
AllR	argF//ssrS//waaH//sgrS//ybhS//aslB//nikB//sdhD//flgF//
AllS	yhiM//dhaK//thiP//
AlsR	mtr//creD//lsrB//putA//moeA//exbD//
AppY	creD//gcvB//oppA//folE//lacA//cydC//cyaR//artJ//dapB//sodA//
AraC	aidB//argG//marB//asnA//evgA//manX//trpC//nirC//omrB//tomB//amtB//asnA//emrY//rstA//
ArgP	nuoF//ybaS//yagK//rclB//alaS//yfdE//ppdB//sdhB//srlR//yoeB//motB//entD//narI//murC//
ArgR	lsrB//accA//sroD//purR//rhaS//lacY//pgi//osmY//nikC//ugpE//ada//ulaD//glnQ//speB//cysG//phnP//murR//ybjC//lpxD//ydeP//citF//casB//nuoL//chbR//nrfA//ampC//carB//entD//nrdG//gadY//malM//allD//fliJ//motA//cynS//fadR//nimT//prpD//
ArsR	mzrA//aceA//patD//
AscG	pspC//feoC//ydcU//ecpR//pncB//
AsnC	prpE//cyaR//sucC//mltF//
AtoC	araE//argE//nlpA//fhuC//
BaeR	osmC//ddpA//cspD//fpr//yciE//rcnA//nuoB//metL//
BasR	ydhU//lgoR//ldtB//acrB//mhpC//ydcU//dgkA//rnlA//cysP//pflB//glnL//frdA//mlrA//
BetI	mprA//hflD//ydhU//glgX//
BirA	mgrB//focA//glnL//hokD//gntP//
BluR	degP//rutE//rseA//fruB//
BolA	cyoD//ybjN//
CadC	fliM//ftsK//kdpA//
CaiF	ddpX//hslJ//glcG//yqhD//tynA//ccmC//murF//glnK//lysC//serA//
Cbl	alaS//nanC//appX//napD//yciG//deoD//rstA//mhpE//paaA//
CdaR	grxA//sgrS//ygbK//cusB//pgi//wecC//kbp//bioC//rpiR//artJ//
CecR	stpA//hisJ//sufD//pgaA//mprA//
ChbR	argT//metC//fliR//oppC//treB//ssuB//
ComR	dicC//
CpxR	fiu//ccmC//nanM//speB//metL//fepD//pgaB//pgpC//ccmF//appC//trxC//fhlA//zraP//ruvA//trxC//ssrS//ruvA//fadE//rutG//gpmM//ymgC//yiaK//sroC//dpiB//cydB//adhE//galE//gspH//flgH//ssrS//ydhU//gpmA//safA//gatD//wecB//purA//fldA//nhaA//idnT//mpl//nhaA//araJ//mcbA//emrB//malI//ccmB//argE//rstA//malE//nrfB//fadI//sgrS//cyoB//hcaB//csgC//gudD//nrdI//rybB//bglG//tsr//rbsA//rffC//gutQ//pstC//bacA//argO//feaB//pdhR//cecR//purR//
Cra	lrp//caiA//pgaC//hyfJ//ppc//ybhR//lpxD//nikC//rpmA//metQ//puuB//entD//ygbK//yaiW//ccmA//uhpT//rtcA//fabB//mntP//alsC//cspD//metB//rclA//zntA//rpoS//xylH//gutQ//lsrR//icd//rclB//alsC//casA//citG//torD//rtcB//uidC//potI//mhpF//ygaC//artJ//narG//tyrR//flgA//galR//iscR//ptsG//cpxQ//hlyE//fau//hyfR//hyaE//tktB//trpE//mtr//lsrF//pstB//dhaR//ydeN//yibQ//csgG//ubiA//edd//paaK//prpC//leuA//nuoM//ptsH//hyaC//hycC//dsbC//dsbG//gpmM//glmS//hycA//aidB//dctA//rbsK//recD//pstS//
CreB	agaD//ydiU//yfdX//aceA//hybF//
CsgD	rutE//malQ//xylF//glxK//nuoH//flhE//hycG//tehB//tyrP//omrA//sucD//astE//ulaF//skp//wzb//hypD//fumB//fabB//ccmB//caiF//cysW//accD//trxC//gspE//ydcT//metF//ppc//nagA//
CsiR	ccmH//mdtB//ibaG//gspD//sroD//
CspA	lysP//sutR//
CueR	lyxK//glxK//fixC//allE//caiB//ddlB//oppF//
CusR	dmsD//fhuE//dnaA//adiA//metL//sroC//ttdB//glpX//entS//hipA//cynT//malQ//
CynR	torC//allS//gcl//fadI//
CysB	oppB//bglF//dgcZ//wecB//gudD//treR//chbA//mtlA//nhaR//agaV//hyfG//uxuR//dacC//fau//hslJ//thiQ//ybdZ//dhaM//appC//ompC//hyaC//paaI//acrD//glpX//ahpC//citF//fadM//murF//phnM//micF//flgI//cusR//
CytR	ftsQ//uof//motA//ynbA//znuC//lamB//agaA//thrS//tehB//csiD//ydcU//fliO//uidA//
Dan	exuR//mdtE//wecE//hisM//
DcuR	creB//dicC//alkB//yjbE//nrdI//rutF//ymjC//ecpR//emrA//
DeoR	pnp//fliJ//uxuB//accD//carB//rbfA//
DhaR	yjiY//fur//bacA//dinQ//
DicA	hyfB//sroC//psiF//feaB//pagP//fhuF//cysI//kbaY//
DinJ-YafQ	araJ//aslB//rpoS//
DnaA	rtcA//pstS//ycgR//ubiA//bglG//alsE//uxaC//gltI//yjhC//chbA//uidC//glpF//
DpiA	uidB//ppiA//ftsW//ybiT//gatB//pagP//cynX//dinI//mtlR//osmY//gltI//
DsdC	gltF//fruK//safA//
EbgR	phnH//bglG//
EnvR	bioB//rarA//
EnvY	hyfD//hybF//
