#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	oxc//glpT//
AcrR	paaZ//cytR//uidB//cysD//ada//yafO//iscS//yfiB//yqjH//ung//yhdX//
Ada	yccT//rpiR//ppsA//ynfF//
AdiY	paaD//allB//rfe//ompT//hlyE//uxuA//fliI//galT//
AgaR	pgaA//hisJ//modA//flgG//pstA//atoD//ymjD//poxB//sroD//argT//insD//
AidB	rpiB//
AlaS	higB//
AllR	ldtC//hydN//hyfR//marR//uvrA//malY//pgm//caiD//cvpA//
AllS	nusA//oppD//murI//
AlsR	uvrA//flgE//torC//fur//purH//betB//
AppY	dacC//adhE//lyxK//ptsI//sufA//yidL//citG//ptsG//dsbG//rimP//
AraC	cusS//fixB//mdtA//rpoE//fliN//hdeB//pepD//paaD//torC//ttdA//iclR//purR//casD//flhE//
ArgP	pepD//xylH//fpr//yccT//araE//motB//mglB//mqsR//rpoS//fucP//ydhT//lsrR//btuB//betT//
ArgR	yibQ//recC//uvrA//mpl//uspD//hycG//uvrC//yaiA//galE//mgtL//moeB//atoD//mnmG//ygaC//tyrR//hcr//gltJ//mgrR//cyoB//ydjM//sucB//mlc//gadB//malX//yfbR//flhD//entS//citD//aspC//yafQ//ssuC//cdaR//xylF//accC//accD//cpxA//potF//metQ//
ArsR	motA//tyrP//trpR//
AscG	caiD//ydfN//fliR//nagE//ydcU//
AsnC	araD//fabZ//acrZ//metK//
AtoC	trpD//modB//glnA//iraM//
BaeR	rseA//cyaR//nac//mraZ//gspL//glmU//potI//yfdX//
BasR	yibQ//glpT//agaW//yiaK//cydA//dicB//ddpB//ftnB//yneM//yeaE//focB//mqsR//pgaA//
BetI	lysC//torD//flgC//phoE//
BirA	infB//cusR//cyoC//malZ//rbsA//
BluR	tyrA//ydbK//cheA//glmY//
BolA	pdeR//hcaD//
CadC	csgG//torA//talA//
CaiF	ulaC//lgoR//ybhG//phoA//phoP//rarA//asnC//yoaC//fliI//higB//
Cbl	sufS//ydjM//zntA//dsbC//ydcT//araF//nac//lamB//glcD//
CdaR	fimE//ccmA//hybC//cheA//agaV//melB//hyfJ//hypD//ydeM//ttdT//
CecR	alsB//trpC//narI//fhlA//mdtA//
ChbR	bglG//rcnA//malP//nohA//rplT//nrfF//
ComR	frdA//
CpxR	safA//mqsR//rcnB//ytfE//glnA//mdtE//nuoA//cysJ//nuoJ//ptsI//nagB//fucK//fabG//dkgA//mhpB//ydhV//gfcA//yhjA//cynS//paaJ//hypE//pspC//ecpR//phnE_2//yeaR//nfsB//ftsW//paaH//uvrA//narX//gadC//ulaB//cysH//metC//psiF//pspD//ybjG//aceA//emrB//murF//cusB//nrfF//yafO//ppiA//cynR//frdA//gatZ//sbcC//fldA//gntP//yeiL//araJ//hycG//gatY//fhuF//yciW//csgA//fadA//ykgM//tnaB//entD//ruvB//cysW//agaS//mzrA//mglB//ydfH//fau//nrdG//dsbG//
Cra	speA//ybaT//narJ//ybbW//lpxD//thrS//mazE//hypA//phnF//accC//psd//gcvP//fecC//dapD//gcvA//yiaN//nemA//gpmM//torC//argP//yefM//erpA//tnaB//marA//ftsA//chbG//mngR//casD//astB//caiA//yegR//fimE//nac//umpH//ftsL//chiP//asr//purL//intQ//paaE//flgF//mepH//nhaA//pstC//znuB//ssuE//ttdT//ebgA//ydhV//mhpT//fepG//gdhA//rtcB//agaV//mntH//zraR//gutM//chbF//hyaB//osmY//phnN//gspH//ssuB//mngB//zraS//ilvC//kdpC//leuL//malI//putP//gcvP//lacZ//flhE//yiaN//truB//zraP//metK//dinJ//micF//
CreB	artP//acrB//flgG//phnM//cbl//
CsgD	flgG//lsrB//narH//sra//kdpA//ccmE//rpiR//ydcS//oppB//gudX//evgA//fecE//ybaT//mnmG//ugpQ//metR//gyrA//araG//fdnG//sufA//fucI//ibaG//codA//hypE//phnO//sdhD//poxB//aroG//
CsiR	ugpQ//fabB//uidC//napB//ybbY//
CspA	dinF//yafP//
CueR	ccmC//yiiS//galT//nuoL//mcbA//mpl//mltF//
CusR	yccJ//ynbD//alaS//moaD//adiA//napH//fhuE//bolA//zraP//garD//ibaG//yiiS//
CynR	nanK//ymjC//rhaR//codA//
