#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	phoQ//pspF//
AcrR	pspA//creB//relA//uidR//cirA//metK//pyrD//lpd//qseC//ttdT//hyfF//
Ada	tdcG//fhlA//ykgO//psiF//
AdiY	ddpD//degP//yhbE//fliL//trpB//cusB//flgI//argF//
AgaR	fadI//gnd//degP//ycjY//flgA//tdcF//patD//ssuB//yjbH//ynfF//gltL//
AidB	yebE//
AlaS	rpoE//
AllR	galE//nhaR//waaH//nemR//glxR//ymjD//pstS//flgG//rhaB//
AllS	ymjC//adiC//purM//
AlsR	nanT//yjbF//puuC//cysD//murR//torA//
AppY	lldP//cusA//rhaT//fadA//pagP//yibQ//artQ//yiaL//lldP//fliA//
AraC	nuoM//rhaD//thrS//yaiW//malQ//betA//nikB//chbB//prs//dhaM//yfdX//torC//pflB//glmS//
ArgP	gspK//yecT//hyfB//fdnG//mdtC//ppdC//hybA//ulaE//cueO//allB//hdeD//lgoR//murQ//sodB//
ArgR	hcaD//ygbA//yciG//kbp//sucD//bglB//ynbB//bioC//rutA//purH//aroL//yaiA//ssrS//ygiC//mntS//entF//csgD//yoeB//kbp//frdA//fucO//agaA//ppc//ydcS//flgD//fucU//mhpD//garD//ahpF//ubiX//yebG//zraR//napD//cheW//ppiD//hyfJ//setA//yhcH//
ArsR	fecR//mpl//rpoD//
AscG	oppD//gyrA//ecpR//fimE//glyA//
AsnC	hisP//sgbH//nuoN//rhaS//
AtoC	paaH//astB//dhaK//dinJ//
BaeR	cecR//csrB//trpB//yegH//ptsH//cspE//qseB//lysC//
BasR	ppiA//melA//uxuB//flgB//yncE//xylR//rpoS//ynfF//dicC//yegR//mraZ//ompT//tsgA//
BetI	gadE//gadB//hyi//folA//
BirA	bacA//yaiW//dmsA//rtcB//oxyR//
BluR	nuoB//rffH//grcA//fau//
BolA	mazE//rutA//
CadC	deoC//trpD//uxaB//
CaiF	modA//umuC//sroD//glpA//rsmH//oppC//rarA//wzb//cusF//lsrK//
Cbl	gdhA//slt//uidA//dhaL//glpT//fadI//pdeR//gadE//uvrC//
CdaR	lysO//mprA//isrC//hdeA//fucK//rhaT//ubiA//feaR//nanA//napB//
CecR	aidB//gyrA//ssuB//sgbU//yiaN//
ChbR	argR//nfsB//argO//cyoB//dmsB//alaS//
ComR	bolA//
CpxR	higB//fliH//glgA//amtB//hypB//yqhD//rutD//dacC//garD//ccmG//gltJ//ymgA//mioC//nhaR//aspA//metC//decR//creD//entC//garP//oppF//rbsC//agaA//ttdT//murE//mdtD//gcvB//speA//leuO//fhuC//gltL//ycgR//pspG//erpA//ycjY//mglB//yciE//zraP//aroL//yibQ//fabB//tehB//kbaZ//melA//araJ//chbB//caiF//nirB//flhD//dinQ//puuC//ycgR//flhD//pdeR//sgbH//nrdG//sra//bioF//dhaL//dinJ//entA//treC//ampC//mgtL//ydhT//arsC//flgA//phoB//gntU//pstA//
Cra	ycjY//csiD//trxC//hypC//hyaB//umuD//napB//ybhS//oppC//mdh//omrA//phoR//znuA//gpmM//csgA//mglC//guaA//cusA//hokD//codA//putA//ydcU//yjeV//ygaC//hypC//iclR//cheW//hha//glgC//ygiC//alkA//norR//lacZ//fabI//yqhG//puuC//xylR//fecB//gudX//phnE_1//sbmA//bioA//putA//gadY//sufD//potF//ecpA//pitB//hyfJ//fbaB//phnC//purD//nrdF//hybC//betI//wzb//xylA//mlc//flgK//ycjF//trpB//marB//nlpA//intQ//argH//gloA//fadJ//dcuR//hslJ//purM//tdcA//omrA//cysC//agaS//thiQ//ymjD//uspA//araD//nimT//
CreB	rffM//mglA//xylG//degP//efeU_2//
CsgD	cytR//agaI//nrdE//ulaG//ddpD//skp//cspI//sucD//fucK//casA//gabP//putP//zntA//gcvA//isrC//glnH//glmY//tnaC//nanM//hyaE//fadD//ddpB//fiu//amn//gadW//mhpB//rffG//hyaD//
CsiR	fliL//chbB//cysB//alkA//ygdB//
CspA	tauB//ycjX//
CueR	tdcC//gadW//fhuB//omrA//fbaA//gltJ//ydeM//
CusR	yhjA//lsrG//ccmB//fliN//efeU_2//mzrA//metQ//gadF//rplT//flgA//yfdE//gspL//
CynR	cheW//rbfA//cysI//melB//
CysB	mtlD//agaI//hcaD//ybhL//cysP//dkgB//edd//fepE//puuE//yidL//mgrB//oppA//chbC//yccT//citC//cdaR//hycB//dpiB//yaiA//ilvC//hyfI//entD//fucK//xylG//purR//ydcS//flgE//tsgA//ycgR//mdtE//glmS//dhaL//
CytR	ecnB//bdcA//hcr//ydhV//accD//glcE//aroP//hyaF//nac//sdhC//tolC//rtcA//gntT//
Dan	galK//paaB//dtpA//ychF//
DcuR	ecnB//soxR//flgB//pdeR//rbsA//yiaO//cpxA//fliP//glgB//
DeoR	sgrR//crl//ompW//fhuC//yciF//tauD//
DhaR	ydfW//alsA//sutR//aceE//
DicA	rbsD//uof//iclR//bacA//uspD//tdcA//ccmB//pgaA//
DinJ-YafQ	skp//yccT//nirB//
DnaA	dsdA//purN//putA//yjbG//ydfD//nemR//yfdE//ssuD//dctR//luxS//qseC//csgA//
DpiA	zraR//argB//ecpA//glcG//hcaD//araA//ftsI//aroF//flhC//argP//aceA//
DsdC	nfsB//umuC//ybhL//
EbgR	nikB//ytfE//
EnvR	moaB//paaY//
EnvY	rcsA//atoD//
EvgA	speA//csiD//caiB//ubiC//dinQ//galE//cbl//gadB//sra//galP//accB//dsdA//purA//talA//glgX//fadJ//codA//glxK//yeaR//
ExuR	pstB//dicC//phnP//tisB//ahpC//pstC//gntK//mglC//hemL//
FabR	dmsD//ihfA//
FadR	rnpB//gapA//fepB//hypB//ecpA//ecnB//symE//ygiC//mioC//sucA//mazG//cysM//marR//pqiB//flhD//wzb//fucU//spy//narX//pheM//xylG//ssuE//oppF//
FeaR	aceF//flgE//
