#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	yqjI//marA//
AcrR	asr//rplT//cysA//hycC//hokD//yccA//nanS//ompT//yecR//ompT//nuoK//
Ada	narX//phnP//phnF//fumC//
AdiY	fhuC//emrY//accB//trpE//prpR//tolC//ptsH//puuB//
AgaR	leuA//yeaD//nirD//mntH//glnB//astA//nuoI//ddpF//hybA//pdhR//chiP//
AidB	hybG//
AlaS	gcvT//
AllR	entB//psiF//lysA//garK//fucP//gltI//mazE//gspJ//yciF//
AllS	ychF//pdeH//paaD//
AlsR	rarA//metH//dhaM//mpaA//tauC//pqiA//
AppY	mtlA//glcF//tsgA//rhaD//lyxK//rclC//glnQ//oppF//uxaB//ogt//
AraC	aroF//bioD//allB//cyoC//fhlA//lsrC//sufA//carB//ttdA//rnlB//entS//bluF//nuoJ//wzc//
ArgP	ydfH//efeU_1//mltF//rbsR//ssuD//glxR//allE//hyi//hypB//sroC//yccA//mqsR//exuR//hyfD//
ArgR	mipA//rpoE//cysK//torR//hisM//ssuD//cra//ulaF//rpsU//oppC//cysC//znuB//flgL//dmsC//alsB//cpxP//micF//nupC//safA//mhpF//cspD//mpaA//relE//ddlB//cysJ//cheA//guaB//paaZ//mlrA//ydeO//acrZ//gudX//gspE//ftsK//murG//sroC//rhaA//ddpC//
ArsR	fecD//rsmH//ybbW//
AscG	puuB//wecB//rprA//lsrK//hycI//
AsnC	tdcD//fliC//fdnI//hemH//
AtoC	casB//phnE_2//dnaG//nikA//
BaeR	dgcC//znuA//tdcD//ndh//wzb//trpD//degP//sroC//
BasR	ddpB//rutC//hybB//ydeM//ydfW//leuB//paaD//alsB//emrB//hdeD//uxuR//yciE//allA//
BetI	prpD//rhaB//ftnB//idnD//
BirA	ugpE//yhbE//treB//yhjX//manY//
BluR	focA//creA//ftnB//tcyJ//
BolA	gspF//hyfH//
CadC	pitB//alaC//gspO//
CaiF	fliZ//fliG//fepC//fadE//gltJ//alaS//pspC//kbaZ//ahpF//glnD//
Cbl	mgrB//potG//arsC//fliN//cynX//sbmC//bglF//rnlA//nikD//
CdaR	napG//artQ//entF//idnT//seqA//nrfA//mtlA//htpG//ppsA//uidB//
CecR	sodB//pflB//frdD//glxK//nagB//
ChbR	recD//evgS//ydhU//ygiC//flgC//dmsD//
ComR	emrY//
CpxR	fliA//cusB//hcaR//flgG//yhbS//accB//pepA//gspF//fabG//narI//caiT//polA//accC//galP//glnL//tauA//asnC//dctR//ynfF//ydeM//nimR//gutQ//fucR//ompW//uxuR//araA//bglJ//fadJ//relE//wecC//fabD//cadB//appC//ydhU//aceK//hyaC//ssuB//ccmE//wzzE//fadM//flhD//nlpA//sdhB//deoD//phoE//glcC//garP//mdtA//fucA//sbcD//mntH//trpA//nrdI//glnG//astD//malF//dmsB//citF//pgk//pflB//pgk//dsdX//cydC//rclA//ynfK//moaC//phnL//rpiR//htpG//nuoL//
Cra	araC//cydD//hmp//dgcN//araG//phnE_2//rffM//mhpT//slyB//tynA//fldB//ydiV//bhsA//rsmH//nrdE//aroF//yiaL//iraP//ccmG//pdhR//mngA//uspA//gspG//ptsG//glnK//aroM//ydhX//malT//wecC//sufD//mngB//yciE//fliZ//efeU_1//znuB//psiE//glgP//yfiB//paaK//fabI//evgA//rpoH//cynS//nirC//mazF//rbsC//zwf//ykgM//cas2//gabT//sgbU//glpD//fixX//mgrB//hycA//arsC//hyaA//rtcA//nrfE//lldP//nuoN//metF//hipA//dgkA//ydfD//rpoS//grxA//murF//argB//metB//nuoB//ycgZ//galR//argO//narG//ycjF//zntA//srlB//acnA//
CreB	cas1//hycB//dcuB//ttdB//gutM//
CsgD	yegZ//argP//paaI//rimP//gapA//waaH//tdcB//purH//hycD//deoD//fes//uvrA//fdnG//ydjM//tehA//glxK//ompT//aroF//gspD//thrS//appX//ymiA//mcbA//katG//rpoD//stpA//phnE_1//nirB//
CsiR	cpxA//csgD//alsE//fliO//lysA//
CspA	decR//mepH//
CueR	uvrB//yfbR//ppdB//aspC//metR//potH//dctR//
CusR	oppA//ybhG//recD//phr//nrdG//yjbF//ampC//caiB//caiC//carA//gdhA//nuoG//
CynR	glxK//aceB//cysG//nuoG//
CysB	appY//astC//rffH//glmS//flgG//chiP//yhjC//yebG//moaC//putA//hycF//ycjX//tisB//umpH//rhaD//trpC//edd//ccmE//ulaE//rseA//puuE//codA//srlE//dkgA//ulaA//fhuD//yciW//eda//rpsU//fliD//xylR//codB//
CytR	cspI//phoH//codA//ubiA//putP//fepE//nuoM//hybG//pitB//aceE//cysM//argI//xylG//
Dan	rbsK//pqiA//exbD//artJ//
DcuR	obgE//ldtC//bdcA//nusA//appY//modA//cusF//araA//yiaM//
DeoR	zraS//fliF//torA//rtcB//feoA//glgC//
DhaR	frdC//oppA//glnB//yebE//
DicA	cspI//ompC//leuL//nrfA//ydhW//araB//ymjD//narX//
DinJ-YafQ	gcvA//fliN//fhuA//
DnaA	hcaF//agaS//norR//gntU//metF//pnp//ftnB//pgk//sucB//osmC//iscA//lpxC//
DpiA	crl//dnaN//aspC//gadF//yiaO//degP//gspH//skp//dapD//gadA//ecnB//
DsdC	yhiM//gor//metJ//
EbgR	ynfF//torA//
EnvR	gntP//astB//
EnvY	dgkA//cadA//
EvgA	yhhY//metH//agaV//mltF//ugpC//fliF//polB//appY//fhuD//grxD//dgcZ//mioC//flgG//cueO//mdtA//hybF//argP//torA//feoA//
ExuR	sgbE//treR//baeS//metH//ppdC//rutD//dhaL//yccT//nfo//
FabR	pqiA//dacC//
FadR	xylF//ydcV//phoA//fhuD//accC//xapA//dkgB//pspB//pheS//hybF//ynfK//nrdB//xylR//recC//rhaA//malZ//ahpF//fhuD//citF//ttdB//fabB//glmU//ygiA//
FeaR	rdoA//nac//
FhlA	rclC//ycdZ//cyoC//lldD//yneM//arsB//cpxR//nimT//acnB//dapB//gadY//sufA//mglB//sra//dapD//paaY//sbmA//metQ//gadB//hisJ//glgP//cyaR//gudP//nrdB//astC//artM//gdhA//katE//fhuB//omrA//
FlhDC	pheM//ftnB//nfsB//rhaB//wrbA//uspE//chbB//fes//narL//yjhC//nuoK//infC//fecB//nagB//fepD//baeS//nanS//chbC//relA//ogt//ymjD//mzrA//fadB//tnaB//gspK//slyB//alsB//bglJ//hdeD//ykgM//cysU//cheA//fadE//nohA//manX//idnK//purH//dinQ//ccmC//trxC//yafQ//wecB//idnT//dsdC//lsrC//xylB//yeaG//ybhR//codB//allD//argI//insK//rclB//pck//hha//malX//exuT//yneM//lolA//ynjI//yqjA//pspG//mhpB//ccmA//fecI//aroG//agaS//fliE//mhpD//nirC//paaB//dgkA//ynjI//nagB//moaB//yjjQ//bhsA//nikD//wecB//torC//agaW//mhpD//
FliZ	gltF//hisQ//rfe//yiaK//wecC//lldD//yeiB//xylG//mglB//cho//phnJ//ldtB//purB//gltK//nuoH//tynA//asnB//ykgO//gutM//csgF//feaB//
FucR	ymjD//ynjI//tauD//appA//ygaC//micF//ynbC//
Fur	purE//gutM//poxB//yhdW//pitB//puuR//hybD//dinF//napC//tyrR//flhA//uhpT//yhdY//ymgA//recA//fumB//phnC//lamB//phnE_2//gatB//bglG//recX//araF//sfsB//fldB//pheT//ydeM//argA//fdhF//thiQ//fadI//tauD//ecpA//pfkA//tsgA//cysD//phnK//ybfN//luxS//fliT//ybhS//eda//dmsD//yjbE//spy//dpiB//kbaZ//ssuC//casD//yebE//ycdZ//rutD//xylG//recC//hipA//pyrC//gatY//glpA//araH//aroH//patA//hycI//rutR//fecC//fliL//amn//aroF//fabA//cpxP//rutE//atoB//wzb//ldtC//tomB//rbsA//rbfA//lysP//gltF//ftsK//ddpD//hycH//ddpD//codB//arsB//fadM//gcvP//gcvH//melA//entC//nirB//hyfG//ulaB//nanM//purA//rcsA//casC//araD//gspM//creA//deoA//paaI//gspL//fixX//infB//fiu//ebgA//ebgA//nagC//oppF//cysK//higB//trpR//slt//ccmB//argP//paaE//dcuD//phoU//deoD//ydjM//astB//sdhC//deoA//argF//tdcD//ydhT//malY//modC//gadY//umpH//
GadE	cysD//cydD//dmsB//ftsK//rpmI//hipA//asnC//cysH//agaS//yciX//acrB//fliC//glpX//csgF//hisM//bacA//paaH//malZ//cusB//ddpD//prpB//creB//mazE//hyfH//hdeA//trpL//metC//mpl//fruK//
GadE-RcsB	intQ//sucC//mhpF//glpC//metC//yebE//hyaF//ftnA//evgA//
GadW	ydcT//casB//nuoH//mazG//tdcG//feaR//cysK//srlR//agaS//rseC//mgtA//fixX//fepE//betA//treC//
GadX	umpH//appB//dsrA//cbl//hcaC//ybjN//epd//fucU//hycE//creB//kbaZ//araF//allD//pncB//efeU_2//phr//waaZ//paaI//yfdE//sufC//moaC//pepA//fadJ//lon//ompN//yidL//malI//fixX//gatB//
GalR	mpaA//slyB//fixX//xylR//codB//focA//acrR//dgcN//pgaC//napB//
GalS	metY//dpiA//yneM//betA//idnD//metE//ychF//lyxK//mngR//fabH//
GatR	sodB//hslJ//ygiB//hycG//uvrB//mprA//
GcvA	trpD//xylH//recN//malK//tdcC//
GlcC	hdeB//betT//acrB//decR//yiaK//dhaM//motB//
GlpR	mtr//phoH//metR//trpD//acrB//nrdG//metC//glnP//hha//
GlrR	rbsB//ribA//bglJ//rybB//ygbA//
GntR	yciE//rbsB//fhuB//cadC//oppD//ubiX//bglJ//ybaT//mlrA//uspE//fliA//metF//
GutM	rybA//trpE//rpmA//potI//rstA//hcr//narG//
GutR	polB//dhaL//lyxK//nanS//nrfC//ftnB//ulaD//
HU	yeaH//bglG//pspD//glcC//fabD//lexA//nemA//mntS//leuA//
HcaR	dcuR//rutF//lysR//metH//citF//fepB//
HdfR	hisJ//lldP//fhuD//hycB//yjhC//
HigA	mdtB//nrdI//
HigB-HigA	nrdE//artI//
HipAB	frdD//uspD//frdA//ugpC//bioB//
HipB	lysP//gdhA//ppiD//mprA//gabP//lhgO//
HyfR	creB//rpsO//patA//btuB//hycI//nuoA//citX//gudX//ydfW//yafN//nfsB//yeaE//
HypT	isrC//pfkA//exbD//rplT//bamE//ynfK//aceA//artP//degP//yafQ//nuoK//folA//dsbA//
IclR	recA//fdnI//allC//alsE//
IdnR	gabT//cpxA//creD//cyoB//guaA//marA//sodB//
IlvY	yqhG//talA//
IscR	gspC//pdhR//dsdC//hcaE//ydeN//phoQ//micF//glnQ//katE//metQ//fucK//fhuA//hyi//cusS//xylH//fes//gutM//citF//ygdB//sufE//sulA//argO//yhbT//aroF//nuoJ//cysN//nirC//gntX//patA//sutR//hyfE//ompF//
KdgR	lacZ//mglB//
KdpE	pspE//relE//wzc//gcvP//
LacI	ytfE//lsrA//nikB//
LeuO	ycgZ//sdhB//citX//fadD//ulaA//phnJ//rhaB//glnB//cytR//torR//malK//ccmG//nagB//gntU//casB//tdcA//entA//fliS//psiE//recC//
