#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	glpT//sucD//
AcrR	bioD//ydeI//dapB//ppsA//grxD//nuoF//asnC//phnE_1//fucP//nanE//nuoG//
Ada	cas2//trpC//gspM//hycD//
AdiY	prpC//efeU_2//oxyS//bioA//yneM//hybE//gspK//mdtD//
AgaR	fabH//fucO//ppdC//gfcA//gatB//gadX//gor//nagA//yfaE//hycB//araA//
AidB	cytR//
AlaS	slt//
AllR	yncE//pspC//rbsR//recD//pqiB//glpF//ccmH//phnD//bioC//
AllS	fliE//sutR//rcnB//
AlsR	argG//ttdR//ulaC//ymjC//alkA//malI//
AppY	yhiD//gdhA//ykgO//puuA//trpR//yiaM//tnaC//cdaR//fldB//yjhB//
AraC	potI//rstB//dinJ//phnJ//pspA//argC//ppdB//ynbD//glmU//hypD//astA//moaA//citX//mazE//
ArgP	nrdG//lldR//yeiL//argG//pspB//phoA//glcB//emrY//argT//zinT//pfkA//hmp//zraR//mhpD//
ArgR	fliR//purB//nuoK//ynfH//gspJ//lsrD//nuoJ//yeaD//glpF//ydeI//tyrR//tcyJ//allB//lpxD//tyrR//higB//hlyE//ygaC//galM//ydfE//motB//ugpA//ybhR//osmC//bamE//fliZ//ybaT//rpoD//phoP//hyfF//uhpT//flgC//phoQ//cysK//yjbE//grcA//grxD//oppA//
ArsR	melA//yjhB//mscM//
AscG	appY//pncB//ynfH//nrdG//iscR//
AsnC	nrfA//gfcA//tdcB//dgcN//
AtoC	ddpA//cadC//xapB//exbB//
BaeR	psiE//ompF//alsE//argT//fepD//uxuA//yciE//yeaD//
BasR	napF//argG//pspF//kdpB//dctR//atoD//pspF//dsbC//oppA//uvrY//nanK//ribA//torC//
BetI	nrfG//yjbH//uspA//malK//
BirA	dctA//metQ//lexA//metE//pspD//
BluR	idnK//rutG//hipB//fabI//
BolA	chbB//ascB//
CadC	ygdB//dinD//yhjA//
CaiF	yqjA//molR_1//nuoG//fabD//gntP//fliC//allA//glpX//ftnA//fepD//
Cbl	ynbC//ribA//nadB//hyaF//galM//ccmC//bacA//ydeM//metE//
CdaR	bioD//fldA//ydbK//btuB//pqiA//rfe//ynfF//gspL//pepA//mglB//
CecR	aceF//nanS//accA//ebgC//dsrA//
ChbR	yjbG//mdtE//purR//gcvT//nupG//hipA//
ComR	pyrD//
CpxR	yeaR//rbsA//dsrA//sufA//potF//gloA//ybjC//garK//yccA//cyoD//rclB//yafN//ompW//csgC//edd//dinD//fumC//feaR//ydhY//ppiA//bglG//pheM//metK//cecR//hycD//aceB//ydhU//fadL//argF//ydhU//csgC//higB//tcyJ//dmsD//nhaA//efeU_1//arsR//purK//dicB//uof//fabG//pepA//pqiB//fhuE//ftsW//dctA//efeU_1//potH//hyi//yaiA//hha//kdpB//pyrC//norW//yoeB//ygeH//glpT//nuoC//chbA//cysM//fliI//nuoI//ogt//glmS//ybiT//yoeB//gspE//malY//uvrA//ascB//
