#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	tehA//aroL//
AcrR	modA//alsB//puuP//dinB//rtcB//betI//flgB//wcaA//rseC//rffT//yhjC//
Ada	ybjC//waaY//argP//mhpC//
AdiY	entC//oppD//insK//malZ//ccmC//yqjA//hycH//ugpB//
AgaR	atoD//rffT//ascB//ygdB//pheM//fecB//hyaB//isrC//metN//allD//cpxA//
AidB	rob//
AlaS	rffC//
AllR	idnD//flu//crr//ldtC//rcnB//torR//murQ//serA//nrdH//
AllS	csgB//aceK//ynfE//
AlsR	cyoE//gspH//csgA//frdA//ygiC//marB//
AppY	leuB//csgA//arsR//erpA//gltJ//pgpC//fdhF//wzc//dapB//gspL//
AraC	rclA//cadA//gudX//chbB//appA//ynfH//efeU_1//ptsH//pstS//norW//fimB//ruvA//ftsL//umuD//
ArgP	entD//argA//ibaG//dgkA//mngB//uxuA//deoD//feaB//argI//manX//artJ//leuA//ykiA//rbfA//
ArgR	pgpC//rpoH//rnlA//fliP//betB//nmpC//torA//pgi//glpD//ompN//lon//tyrP//chbG//glpD//gcvP//aroF//paaZ//lgoR//glnG//fdnI//fabZ//rybA//dacC//gcvA//phoA//nagB//rpmA//oppB//yhdY//stpA//ynfK//mipA//frdA//uidR//dhaK//dnaN//uxuB//rplT//
ArsR	prs//csgF//bioB//
AscG	metH//ftsA//hycG//ilvC//fadI//
AsnC	allA//trpL//ibaG//yqjI//
AtoC	hybO//ygiC//dinQ//idnR//
BaeR	cheW//flhA//yccJ//uof//casC//tfaQ//appA//folA//
BasR	fdnH//flhA//luxS//ddpX//napA//mgrB//cpxA//lsrC//chbF//fepB//sbmC//aspA//cyoE//
BetI	cheA//gatY//mtlA//agaW//
BirA	marR//glgP//modA//chbA//caiB//
BluR	gutM//artI//nirB//araC//
BolA	nrfA//hybB//
CadC	yeaG//motB//nohA//
CaiF	ygdB//ygeA//manY//alaC//asnB//rclB//ssuE//nagE//gntK//borD//
Cbl	araJ//nagA//fecC//tktB//rutD//ppiA//ccmB//iraP//araF//
CdaR	pheS//phoA//pgpC//ybaS//fucR//araA//nanE//yjhC//iclR//glpB//
CecR	mtlA//dkgA//fdnH//hyaD//ybhL//
ChbR	zraS//rseC//fucP//cysI//entS//cydB//
ComR	ydeN//
CpxR	yqjI//mioC//fabZ//cdd//mlc//hybA//nimR//sbmC//rimP//lrp//uxuA//malS//citX//gltD//metR//uvrC//waaH//murI//pykF//sdhC//mglC//chbF//dhaL//mazG//tomB//nusA//glk//narG//rutD//ribA//yhjC//feaB//fecR//ybhG//pagP//xapB//polB//yfdX//yhbT//rhaD//ccmD//ssuC//fliJ//csgC//fabG//ttdR//malQ//bdcA//ybhF//astA//yfdX//yegH//aroL//cpxA//garL//napA//gntU//yibQ//hyaB//cysH//cytR//kbaZ//yeiL//xapB//fldB//araF//glcB//ygeA//hycE//nrfF//
Cra	yqhG//yoaC//rdoA//wza//nikE//atoB//atoE//wzzE//dgcZ//yiaJ//fucK//exuR//sgbU//ssuD//cydB//rdoA//ycjX//yqhG//srlR//hyfF//mtlA//bolA//manY//mnmG//dinI//ompN//artJ//hyi//gntU//mnmG//hypF//fdnG//yeaE//chbR//yfaE//araB//argR//fruA//motB//argG//narG//nrdE//waaY//fnr//micF//glnP//add//chbB//yfiB//agaA//puuR//pck//amn//ampC//nikC//sroD//ahpF//tehB//dcuR//nrdE//ybaS//sroC//dicC//betI//aspA//fldA//hmp//hemH//fepC//fadD//ecpA//nadA//nupC//ulaG//leuB//hyaA//fabZ//hdeD//mltF//
CreB	nrdA//gspO//glgX//glcF//nfuA//
CsgD	hcaE//fixB//idnK//borD//gudX//ycgR//nrfB//nuoN//chbG//nfuA//znuC//argA//ydfH//ydeP//uvrD//purF//casA//mlrA//phnM//chbF//moaA//srlB//sdhB//tsx//dmsC//gntP//cysA//exbB//
CsiR	melA//umuC//bglJ//hokE//talA//
CspA	cpxA//pflB//
CueR	yebE//tsx//marA//deoB//manY//metF//umpH//
CusR	yjbF//ilvC//dnaG//yhcH//icd//trpA//rybB//aceA//hycD//yqjI//entC//allB//
CynR	ygiA//leuL//mhpB//csgA//
CysB	ascB//pspF//fliE//fliQ//hypA//yjeV//dsbC//creB//carA//hyfH//pgpC//ppiA//fecI//cysU//yiiS//hydN//cysB//rffC//bamE//hipA//gutM//ddpC//ybhS//idnR//yeiB//recF//ydhW//fruB//nuoN//araD//puuB//malG//
CytR	gpmA//yfdV//oppA//nikC//ddlB//hyaE//ilvY//gspJ//ruvA//cspI//torA//gabT//ulaF//
Dan	feoA//phnF//lyxK//uvrY//
DcuR	sdhA//cheW//yhiD//alkA//frdB//yeaG//gntT//bhsA//phnG//
DeoR	mqsR//glpT//recX//pck//citE//uxuA//
DhaR	murI//csgA//entC//ftnB//
DicA	rutA//fadH//yefM//ygiB//grxD//fliR//flu//dsdC//
DinJ-YafQ	chiP//tehA//fliL//
DnaA	fliL//rffT//garR//pstS//cdaR//gspI//argP//potG//folA//iraM//ilvY//ompT//
DpiA	glpF//hyfE//mlrA//hybG//accB//flgN//alkB//thiQ//cas2//yeaE//dmsD//
DsdC	gltI//yegH//galM//
EbgR	mhpC//focB//
EnvR	fdnI//entH//
EnvY	creC//ssuC//
EvgA	flgL//entH//cysN//moaC//ydcT//phr//sodB//deoB//malT//puuD//nagE//polA//entE//bioA//argE//tktB//yhiD//gspF//fliH//
