#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	symE//yecR//
AcrR	acrR//rcnR//yrbL//appA//ulaG//aidB//narK//lrhA//recX//pstA//patA//
Ada	bhsA//nirD//fhuF//cpxQ//
AdiY	pstC//dinJ//cas1//yeiL//paaA//fiu//yhcH//pheT//
AgaR	dicC//phnC//ryhB//glyA//prpE//phnL//cysD//wzb//lysP//yaiA//fliK//
AidB	betA//
AlaS	sbcC//
AllR	malK//araH//rclC//ycjF//dsbA//uvrD//rutR//uxaB//tauB//
AllS	chbG//fixA//ccmF//
AlsR	mdtA//pheT//yncE//infB//flhE//dinD//
AppY	dhaL//talA//phnH//lacY//ygeH//yiiS//hmp//crp//rbsK//sufE//
AraC	fpr//entH//nikE//ybhS//casC//glpT//garR//citG//cspI//yebG//idnR//gltD//sufD//ydhU//
ArgP	agaC//bdcA//hyaB//xylH//potF//ccmH//ycgR//mpaA//creA//phoU//oppC//csgA//citG//thrS//
ArgR	pstA//cysW//malQ//fucR//narJ//mhpT//fpr//rprA//ddlB//tcyP//ymjD//leuC//hmp//rhaT//mltF//molR_1//fucR//gatY//fepD//yidQ//hcaB//melR//oppF//yfdV//tdcE//uidC//nuoM//chbR//casA//fdnH//nanM//moeA//psiF//folE//napA//argC//ybaT//potF//
ArsR	fhuB//ybiT//cra//
AscG	gloA//pspD//nmpC//flgB//dhaR//
AsnC	znuB//rtcB//spy//iscS//
AtoC	mpl//prs//slp//purE//
BaeR	uxuA//nikR//carB//ygbA//adhE//nfo//xapB//aceB//
BasR	yccT//ygdB//yhcH//sodB//ydfE//pyrD//sgrS//rseB//gutQ//bglG//cyaR//baeR//ecnB//
BetI	sroA//speB//tam//cydC//
BirA	ydfH//nuoF//zntA//csrB//puuR//
BluR	puuE//norV//truB//znuC//
BolA	hcaB//ymgA//
CadC	appA//hns//rutF//
CaiF	sdhA//murE//leuO//cpxR//ycdZ//hypE//cspI//dtpA//fadL//fliQ//
Cbl	borD//hybB//flhC//gspE//ybbW//malX//murE//fes//gltL//
CdaR	rcsA//dinQ//csgG//fldB//crl//amn//fliO//rpsO//gadW//lolA//
CecR	folA//rpoH//torD//pgm//yeiL//
ChbR	psd//ptsH//yebE//mcbA//yfiB//aroG//
ComR	ppc//
CpxR	purD//srlB//ddpB//cadC//pgaB//mdtE//rbsB//phnF//fliA//hyfH//pgaD//gyrA//glgA//hyfC//yccT//yciF//sucB//ptsG//alsB//dgkA//gcvA//ymgA//gnd//fliJ//rpoH//purE//citX//hdeD//ygeH//yccJ//fldA//envC//frdC//paaX//yhdX//yfdE//astD//degP//putP//moaB//paaF//patA//phnE_1//cecR//dcuS//rclA//lolA//bioA//iscR//hipA//acrR//mtlR//rffT//metB//atoE//ygiC//arsR//frdC//mgtA//yjbE//truB//fucI//aldA//betB//trpD//fliC//ppdB//cyoD//psiF//nhaR//
Cra	fecC//bglG//gadY//fimE//creA//ydhT//gltI//nfsB//rtcB//sulA//ycjX//tauC//accC//idnT//tyrB//uidC//gadW//agaS//phnO//sgrS//cysJ//csrB//sgbH//lrhA//araH//metC//fadR//kbaZ//higB//aroP//torD//mdh//hyfE//nusA//phoB//galS//fliF//dkgB//puuB//baeR//metJ//cysW//fdnI//ompF//trpR//dkgA//yfdX//iscR//nfo//aceB//cysM//dps//nuoL//asnC//rclA//fabB//rutR//nlpA//folE//ccmB//fepB//iscU//ftsL//metE//eda//alsA//casB//ydhU//pck//sgbH//flgA//ppdC//gudD//artP//nrfA//citC//gcvP//rsmH//pepA//
CreB	uvrB//rpmA//fruA//ssuB//xylF//
