#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	tauA//nrfF//
AcrR	ribA//rnlB//treC//flgM//metR//sufS//cadA//insK//yiaK//pgm//sgrT//
Ada	hipA//emrY//fadH//gltL//
AdiY	folA//cusC//dcuA//mhpT//phnP//recN//dgcC//ynfE//
AgaR	ebgC//gspI//ymiA//csrC//yoaG//galT//caiF//ftnB//paaC//murD//tynA//
AidB	gutM//
AlaS	fixB//
AllR	idnO//gfcA//ydhU//hyfI//lsrB//rcnR//moaC//fucU//torA//
AllS	glnP//csgA//gabD//
AlsR	gltJ//ynfE//ynfG//mepH//decR//ulaD//
AppY	ulaE//feaR//argE//metN//melB//ecpA//sbmA//oxc//csgB//fecB//
AraC	narL//lacZ//pstC//nrfC//cdd//araG//dinB//yibQ//hyaA//cpxA//mngR//ydcT//alaS//cheW//
ArgP	norW//tdcB//recB//hybO//gcvB//glnK//polB//gudP//phoU//sroD//mtlD//codA//feoA//ybjN//
ArgR	motA//nanA//moaB//spy//nemA//fecE//obgE//puuP//metF//gapA//napG//caiA//dicC//ybjG//tsgA//znuA//mngR//iscR//argR//hyfC//ybjG//galR//cysE//kbaY//decR//lacZ//ycjF//fadD//cusF//fldA//lon//fadD//narX//glcC//degP//fucA//ychF//gspL//
ArsR	fliM//uxuR//glcD//
AscG	agaR//dsbG//wza//ssrS//sufD//
AsnC	cydD//ssuA//uxaC//hflD//
AtoC	ppdA//lexA//cadC//sufA//
BaeR	uvrD//nuoK//inaA//rseA//xylB//sroD//mtr//recX//
BasR	narL//pspA//fimB//fabI//frdD//yiaL//gabP//gltJ//mdh//ydfD//nrfD//wzyE//lysA//
BetI	hslJ//mhpE//nikD//fadA//
BirA	nrdI//ynfG//hslJ//hmp//uvrD//
BluR	chbG//fadJ//ycgR//yhiD//
BolA	pfkA//recC//
CadC	htpG//dinJ//ygaC//
