#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	oppA//phoB//
AcrR	citX//alsE//ubiA//araF//yebG//ecpA//yafO//gatB//ybhL//narX//glcE//
Ada	fliM//gcvP//bolA//inaA//
AdiY	fucA//phnL//flgK//focB//fepG//betT//ydhX//paaH//
AgaR	fdhF//lsrD//paaK//patA//rpmI//gudX//ygiC//fliO//yhbT//hyfD//ptsH//
AidB	zwf//
AlaS	nemA//
AllR	fumB//gudP//ydhW//gadF//ynbC//ilvC//bglJ//nac//edd//
AllS	napC//nikR//rtcA//
AlsR	glpB//betA//agaA//fadJ//soxR//flhB//
AppY	glcA//dtpA//fecB//gspO//fnr//ubiC//glpQ//yiaM//metC//cueO//
AraC	pyrC//leuL//nikD//yqjH//hyfB//ycgZ//nanA//hns//hcr//bamE//recX//gspO//edd//ybdN//
ArgP	paaC//nikA//soxS//garK//treB//higB//argA//stpA//chbR//rutD//casE//accC//hslJ//fucP//
ArgR	ppiD//metQ//yfiB//argT//casC//aceE//rffH//fecR//rutC//hycD//atoA//flgA//nrfA//hcaR//yfiR//moaC//yrbL//moaC//purK//rplU//phnE_2//artI//purE//dmsB//puuE//mdh//fliZ//rpsU//umpH//csgG//fliJ//yjbG//puuB//motA//nagB//ynfE//flgD//iscU//
ArsR	ybjC//galM//pstC//
AscG	erpA//malK//flu//yjjQ//lldR//
AsnC	flhD//fadA//ccmF//garK//
AtoC	yhdW//dcuB//emrA//ftnB//
BaeR	rpoS//hokD//ykgM//pgaC//ychF//appY//hybF//grxD//
BasR	ydeP//wzxE//molR_1//aroG//fepC//tadA//rutG//lsrF//recA//cysK//argT//tyrA//gapA//
BetI	nimT//flgG//gltI//glnG//
BirA	glcC//nimT//truB//gltK//purA//
BluR	gltL//mlc//gloA//hypD//
BolA	phnP//gadB//
CadC	iclR//appA//pspF//
CaiF	bamE//ndh//mlc//hyaD//ymjC//napB//argI//gcvT//araH//appA//
Cbl	fbaA//ecpR//puuP//uvrB//uxaB//atoE//ynbA//wecE//ymgC//
