#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	lysC//cysC//
AcrR	gcvA//fhuC//prs//phnC//osmY//yciX//ydjM//uidR//rffM//glcF//nanT//
Ada	ykgO//adiA//yqhD//gapA//
AdiY	nrfA//ydbD//dgcN//ftsZ//rcnB//malT//gspF//cspI//
AgaR	ycjG//modA//bioD//sufB//nagC//gnd//molR_1//citX//glpK//betI//nrdB//
AidB	yrbL//
AlaS	emrY//
AllR	chbC//gntK//glnQ//araD//mhpT//uhpT//hyaC//ppdB//accB//
AllS	yneM//csrB//ynbB//
AlsR	nrdH//cusR//sdhC//fimE//phnN//nirD//
AppY	dgcC//decR//mazE//nuoH//phnH//fucP//rpoH//galE//dhaR//rtcA//
AraC	garP//yqhD//ykgM//cecR//fadD//icd//ymjD//thiQ//pspG//dsdX//phnD//phnN//sufD//fliG//
ArgP	lysR//cheA//glnB//srlB//araA//nuoE//cynS//iscR//nuoC//ydfD//ddlB//mazG//uxaC//ldtB//
ArgR	agaD//tam//wzyE//appY//recX//phnL//dsrA//yhbT//osmC//aidB//nanS//sodA//murG//nuoG//aceK//chbC//pstC//ygiA//ddpC//pspA//dmsA//fimE//manZ//psiF//galT//moaE//ybhR//seqA//cyoD//fixA//amn//dcuA//accA//fadL//malF//entC//exbB//aceK//
ArsR	hyfG//srlA//nrdD//
AscG	dsbA//sgbE//metL//rob//gspM//
AsnC	yiiS//fadE//srlB//moeB//
AtoC	sbmC//artP//aspC//hmp//
BaeR	hipB//nanT//leuB//ugpB//acrA//fucR//mglB//casD//
BasR	rutE//spy//citF//nrfG//fepB//lon//purH//dgkA//gntU//nuoE//mltF//nrdG//caiB//
BetI	amn//phoA//tadA//oxyR//
BirA	acrZ//araJ//gudP//moaE//epd//
BluR	metR//phnI//sufB//arsC//
BolA	bglJ//tktB//
CadC	iraP//prpR//fnr//
CaiF	ykiA//flgG//flu//malP//aroM//csrC//umuC//dsbG//relB//ubiA//
Cbl	ompT//phoB//lrhA//fruB//yecR//ptrA//citX//ccmH//gcvB//
CdaR	amn//modC//uspD//hipA//glpQ//pncB//acnB//xylH//ynfH//ppsA//
CecR	lacZ//mdtA//nikD//btuB//frc//
ChbR	dtpA//copA//fliT//hypF//mhpC//psiE//
ComR	dmsC//
CpxR	tyrP//nirC//ybfE//araB//insK//cysE//aldA//tonB//osmY//uspA//glmU//purK//marR//dsrA//paaC//ydhV//tauA//pspA//paaB//phnC//mdtA//citE//yhjC//phoP//uidA//nrdF//dsdX//pykF//melR//rybA//entF//bioB//mepH//iscA//phnM//cysA//tyrP//marR//grxA//flhA//yfaE//ldtB//hypA//pheM//cdd//osmB//hypA//pqiB//gudP//nadB//lacZ//paaC//pspB//glgB//bioA//glmU//rffH//phoE//ydeN//ynfF//ybjG//baeR//ftnA//aldA//hyfF//lgoR//treR//ybfN//hycG//murQ//
Cra	yiaL//ykgO//uvrA//trpB//sbcD//wrbA//tehA//argH//ecnB//bglF//casA//leuL//iscA//tehA//flgC//hycH//appY//feoB//hybB//ppdA//srlE//xylH//pgi//cysW//glpA//yfdX//flgL//cas2//nanE//lysO//wecE//tsr//fruK//rutA//glcB//dnaG//rpiB//gcvB//fecE//trpD//yfdE//hycD//decR//evgA//setA//tyrB//ycjF//astD//iraM//uspD//epd//agaA//zraR//yidL//sufA//tadA//glnB//cyoE//fucA//ybaT//gpmA//yafP//gutQ//aroF//xylR//tyrB//ydhY//fecD//hcaD//fliI//lamB//fliM//rbsA//yjbH//qseC//phnN//mqsR//glnA//ddpB//
CreB	fliM//pnuC//purM//trpA//hcaR//
CsgD	waaZ//pstB//gspH//seqA//potH//lsrD//tisB//yhhY//borD//ydhY//cyoC//fhuF//ygbA//fnr//fimB//feoA//crr//trpL//argI//focA//lgoR//wecE//mdtF//pncB//ybbW//lacY//ttdA//carB//
CsiR	fliK//ompF//rbfA//moeA//tonB//
CspA	dmsD//mprA//
CueR	flgE//epd//recX//yhhY//luxS//yecT//nfuA//
CusR	lsrK//nimR//glcC//iclR//rpoE//pspC//ydfE//ecpR//dinD//ydfW//mdtF//bioD//
CynR	tdcB//idnO//yqhD//ftsI//
CysB	fliR//casE//fabH//dgcC//qseC//fepA//infB//acrD//ynbC//trpL//hycH//lon//talA//yhdY//tdcG//bglJ//ampC//tnaA//aroG//fdnI//ydhW//hns//cydA//ydeN//dnaA//tnaA//cpxR//metF//bioD//arsB//nagA//gfcA//
CytR	hypF//nikD//yhjA//degP//tisB//atoB//fdnI//gspJ//uxuB//pspG//ydcU//ynbD//pheT//
Dan	prpC//dctA//fliQ//yagK//
DcuR	cydC//garD//nuoI//rpoS//tomB//alaC//arsB//dnaN//ftnA//
DeoR	gspE//hypE//purM//nusA//stpA//yhjA//
DhaR	thrS//gcvB//ldtB//ugpC//
DicA	fliI//fepD//hyfH//fadJ//ung//tktB//yibQ//ihfA//
DinJ-YafQ	rhaR//modC//carA//
DnaA	casD//ydfD//uvrD//thiQ//leuO//fucO//mhpC//cadB//cysD//galS//gcvA//dgcZ//
DpiA	hyaC//ybbY//iclR//higA//paaZ//hyfA//mazF//nikA//phr//purF//puuC//
DsdC	ybdN//hcaC//aceB//
EbgR	yhhY//pitB//
EnvR	ycjG//luxS//
EnvY	thrS//sgbE//
EvgA	glpK//hipA//hisM//potH//fadJ//rutC//umuC//fadI//metE//baeS//lysP//wcaB//argT//tolC//agaS//ugpQ//rutA//yaiA//dinF//
ExuR	lysA//ssuD//degP//ulaB//alaS//gabD//hokD//deoB//recX//
FabR	ykgO//yjbE//
FadR	mpl//evgS//allE//gadB//mdtB//lysO//iscU//phoH//csrC//alsB//rbfA//cysI//slyB//mscM//thrS//rcnA//rutE//argF//relE//ppiA//icd//murQ//moeA//
FeaR	glpT//fucP//
FhlA	gatY//ydhV//nrdH//cyoD//fecR//araA//nadA//rprA//creD//mltF//fliN//ynbD//sbmA//pdeR//trpB//nirD//tfaQ//aroL//nrdF//phnG//zwf//murE//cusA//nrdE//cydA//sufA//pnp//arsR//sgrT//asnA//
FlhDC	nrdE//yoaC//dcuR//ybjC//ssuA//ykiA//purR//sroC//rplT//yhbT//deoB//phnH//ulaB//phnG//nuoF//oxyR//dinQ//dcuA//nikC//metN//codB//hycE//csgB//mglA//relA//glmU//cysU//hyfA//seqA//yiaK//exuR//argP//norV//emrY//argR//yjhB//pheM//fecA//dmsA//ddpD//uxaB//chbG//ybiT//fliO//tam//fixB//araJ//yccA//glcE//ydhY//rbsA//nupG//ppsA//ldtC//phnE_1//xylF//sroA//uidC//ydjM//cpxA//galR//lexA//creA//kdpC//grxA//yafO//hyaA//ahpC//ygiZ//lamB//pqiB//nmpC//trpD//hha//hycE//cho//rutD//erpA//ygeA//fecB//aroF//fhuF//
FliZ	flhC//fliI//ygeH//metA//zwf//ydcT//yqhG//trxC//hyaD//fepG//ygiB//hlyE//metY//ybdZ//cysU//cspI//yeiB//purN//paaB//sbcD//ynfK//
FucR	ssuC//argR//lsrD//yaiW//hycA//hyfC//trxC//
Fur	sgbH//yccT//dinB//gcvB//galP//dinI//cusS//ynfF//acrD//dcuR//ykiA//xapB//purF//kdpB//gfcA//agaC//rimP//ydfW//ychF//ascB//feaB//leuO//artP//fdnI//gcvB//thiQ//degP//phnH//argA//nuoK//nirC//gutQ//ymiA//ssb//gcvT//yeaH//fadH//kbaY//sodB//fruK//ynfH//acrA//argE//gspK//tomB//fucI//torD//manZ//sucD//efeU_1//nohA//hyfD//dtpA//nrdD//nuoN//pepA//fhuD//ykiA//fabB//add//metK//ybhF//pheM//gatY//grxD//ilvY//nhaA//degP//nuoF//rimK//chbB//pdeL//mnmG//fadL//mtr//degP//mraZ//flhA//nfsA//flhB//dsbC//gatZ//ftsI//glgA//modB//entH//rhaS//ttdT//fruA//leuC//ydiV//hypD//ychF//uhpT//dcuS//ybbW//tcyP//ygdB//ynbA//fecE//rffT//evgS//yiaJ//uspA//gspD//bioF//yjbG//torA//astB//araB//yhjX//agaV//tdcA//yibQ//fixB//gltL//ygdB//malT//bacA//hcaB//entA//spy//sodB//artM//manZ//yoaC//yhhY//sbcD//hcaD//sroA//
GadE	ydeO//paaH//sbmA//ydcT//fiu//astE//torR//waaH//rutR//cheW//ugpQ//casA//malY//nadB//cbl//bglG//creA//bioC//gltJ//nfsA//csgG//wrbA//srlB//ymiA//treC//entS//uvrC//ynfE//dps//
GadE-RcsB	malP//yhbT//polA//gcvP//idnD//treB//ppiA//fpr//cspI//
GadW	ulaC//gspK//uvrC//aceB//gspG//seqA//gpmM//cysE//acrD//cueO//ariR//gudX//accC//gltL//codA//
GadX	kbp//yqjH//tsr//chbA//csgA//yecT//evgA//ppdB//ygbA//ampC//dsbC//slp//argR//tdcA//flgA//hipA//gatA//ykgM//ymgC//betB//leuB//bioA//cra//ndh//dcuS//ydeP//crr//exbD//glgC//
GalR	ppiD//nanE//amtB//oxyR//ascB//glnP//melR//paaZ//nagA//argR//
GalS	ynbD//gltI//pgk//cysW//napB//fabZ//narH//fpr//cysJ//yegZ//
GatR	malT//phnF//fliI//atoD//glcD//hycD//
GcvA	fliM//rpsU//gcvA//ftsZ//sgrR//
GlcC	csrC//napH//dgcC//dhaL//gltI//gltI//mgtA//
GlpR	csgA//nagB//ydjM//hyfF//argR//sucD//yjbF//potG//araA//
GlrR	mdtE//baeR//rbsK//cbl//napD//
GntR	dpiA//pnuC//safA//folA//creC//fhuC//ybbY//glpA//yccJ//talA//yeaE//recA//
GutM	malQ//ybjC//phnO//lpxD//murE//hyfH//potH//
GutR	bglJ//glgP//nagB//hmp//ecpA//cbl//rimP//
HU	fucA//araD//ydcT//bioB//mngR//dinF//paaA//ydfX//rimP//
HcaR	gatA//phnL//ppiD//ybfE//aidB//mazF//
HdfR	murP//add//caiC//leuC//argT//
HigA	chbC//lrhA//
HigB-HigA	lpxD//glmY//
HipAB	nikR//hyaF//metJ//srlA//dcuR//
HipB	gspH//pgaC//nagC//glcE//napA//ryhB//
HyfR	cadA//dsdA//hypD//umuC//narX//cynS//tcyJ//cysB//cysH//add//csgF//fau//
HypT	murE//ssuE//agaW//hcaF//ydhX//csgE//mnmG//puuR//wecC//wecC//pncB//murG//eda//
IclR	insD//argI//rcnB//fdhF//
IdnR	glnQ//norW//ydfH//ygaC//ymjC//hyaC//dhaM//
IlvY	ruvB//srlB//
IscR	chbA//eno//putP//sdhC//ulaC//ygiC//yciW//cysM//cydB//ydeP//gntX//feaR//ydfN//ynfH//hipA//pspC//cynR//phnJ//bhsA//rcnR//pnp//rcnA//fliP//citF//fadA//dmsC//malF//yccJ//cynR//norR//metB//glpX//
KdgR	ruvA//nupC//
KdpE	rutD//garR//pstS//infC//
LacI	ydeO//cspD//hemL//
LeuO	atoD//adhE//ygiA//tbpA//emrK//sfsB//ulaE//yeaH//yiaJ//nikB//rseA//infC//gatY//norW//caiA//flgG//ssuA//galS//csgA//fliD//
LexA	cirA//tdcF//ydhU//mtlR//tyrA//crr//rbsK//yccJ//mazG//ppiA//yiaO//dctR//ydbK//yjbG//treC//ppdC//agaB//gatZ//srlR//potG//gadB//tyrR//ecnB//glpT//cysH//oxc//sgbH//nuoJ//uof//nirB//ybhS//isrC//sfsB//rbsD//ynjI//ynjI//hybA//umuC//lldD//gudD//uxaC//entE//sufD//dinG//flgG//mtr//oxc//gspI//yjhC//accD//rtcA//fecA//hmp//nuoH//sufE//nadB//yjjZ//allA//rffH//
LldR	nhaR//hyaE//gatD//
LrhA	glxK//gspC//fliT//nadA//
LsrR	ycdZ//yidL//sbcD//tyrP//hybF//ldtD//paaG//fliA//paaG//
LysR	ddpB//argD//
MalI	astA//mhpD//katE//
MalT	dsdA//accD//oppB//gadY//ftsL//srlB//fliA//lolA//entA//murR//
MarA	gadX//fadE//nlpA//caiA//alkA//ompC//asnC//fixC//gloA//ulaC//narJ//appA//xylH//aceB//fucU//rstB//csgD//torA//motA//entA//pgaA//dmsD//baeS//gdhA//yfiR//potI//putA//yjiY//pgi//nirC//aroL//rnlB//melB//mdtA//mhpE//torA//lldD//fepB//
MarR	nuoM//bacA//pheS//
MatA	araD//csrB//ecnB//bglJ//fliM//pgaA//glnL//mngA//
MazE	hisQ//puuR//sbcD//
MazE-MazF	entS//iclR//murE//
McbR	pepD//fabA//speB//gapA//
MelR	pgi//hipB//dsdA//
MetJ	ulaE//focB//dtpA//caiE//seqA//potI//codB//hipB//dacC//btuB//rpiR//ydiV//melR//nadA//wzyE//
MetR	hydN//agaB//pyrC//manY//srlA//
MhpR	nuoN//glxK//argA//yiaK//dinD//flgK//
Mlc	napD//fecD//rutG//phnP//galK//hemH//cynS//guaB//rhaS//yiaO//
MlrA	rseB//ccmH//hcaF//marB//citG//uxuB//yoaC//cysU//pgm//hypA//
MngR	hycD//mprA//hycI//
MntR	ssuB//ttdA//frdD//modB//pheS//
ModE	uof//argI//hcaR//nrdH//hybC//hybC//hycB//grxD//astD//cpxQ//norW//hybE//napF//hycI//uvrC//araC//yeiL//nrdA//mlc//arsR//nrdF//yfbR//mtlA//napC//fadM//flgN//osmB//hlyE//yoaG//appB//gspC//yeaR//mgtL//leuA//ybjN//phoA//astC//pdeR//asr//arsB//ydfX//thiP//lacZ//infC//ygbK//rpoD//
MprA	argT//ygaC//aceK//fldB//fadR//phoE//
MqsA	ygbA//flhE//kbaY//ydcS//moaC//phnE_2//osmB//hyfD//
MraZ	tsx//ugpA//spy//cpxQ//malX//fdhF//ycjX//yebE//hyaF//purE//hlyE//yhjC//ydbD//ydfE//cysH//pykF//trpE//
MtlR	ynfK//ybbY//mhpD//
MurR	fhuA//tsx//idnR//
Nac	bglB//rdoA//entC//tfaQ//gpmA//cynX//recC//betI//nrdG//dinI//mhpF//narG//deoA//appX//ydbD//citC//sdhA//codB//malX//grxA//murF//
NadR	fhlA//phnJ//moaA//bglJ//
NagC	sufC//fucU//tnaB//caiC//safA//cysA//tktB//tdcA//slp//metE//epd//pgaA//icd//argP//fimB//fixC//ptsG//cdaR//ycjF//aceK//ynbB//nagE//dinQ//yecR//pqiB//gatC//ynfG//bioC//frdB//phoU//gspI//gcvB//yqjI//astB//lsrF//lsrK//yaiA//
NanR	udp//infB//patD//ymgA//manZ//psiF//glpT//gadE//mdtB//ompW//dsbC//
NarL	fhuD//iclR//yjbE//nuoN//fabZ//cvpA//evgS//baeS//nirB//focB//fucR//fabZ//metN//galR//paaA//fadA//pgpC//uspE//cpxR//polA//rhaA//pepD//sucC//glxR//araF//nrfF//kdpB//tadA//osmB//hycF//argR//ulaA//lysO//ynfF//gadE//ruvB//hisM//nusA//yjbF//glcF//fhuF//wzzE//hydN//phr//ttdR//fadR//ssuE//fliN//iscS//fecI//ybbW//dmsB//purB//ruvB//cysG//slyB//gudP//glpA//sgbU//htpG//lpxC//mhpE//gloA//malZ//yjjQ//kdpA//bioC//accC//rseC//ycjX//ygbK//fiu//pnuC//ompC//mtlR//atoA//garP//yhjX//metK//tdcB//flgK//sdhB//argR//oppA//yfiR//paaC//focA//ykgM//gabT//rstB//fliS//lsrF//ymgC//bioD//purR//glxR//gpmM//iscS//alkA//yidL//flgJ//cynR//hypF//hyfG//ygeH//yeaE//yafP//mngA//motA//ccmG//cynT//galM//wcaA//ybfN//fliJ//hypB//moaD//treB//entH//entH//lamB//phoQ//gntU//
NarP	ybhS//ygiC//nuoL//tehB//nanS//alkA//gltL//gudP//hisQ//fhuA//hyfH//yiaN//ftsA//sucD//casC//rstB//trpD//garL//napG//csrB//yoaG//skp//bdm//rhaD//rffG//mntS//ftsQ//erpA//fliN//leuO//grxA//phnO//mhpD//hyaE//poxB//lhgO//yfaE//tnaA//uspA//iscA//bdcA//phnF//nuoL//phoQ//malM//citX//yrbL//melA//araJ//glcG//
NemR	setA//cheA//ycgZ//
NhaR	argG//aceF//atoE//eno//puuE//galE//iscU//
NikR	ldtB//narI//fliZ//xylA//csrC//galK//
NimR	pdhR//argI//
NorR	cusA//hyfG//mntP//
