#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	mpaA//torC//
AcrR	gor//entB//polB//btuB//hybB//ilvY//csiD//ynfG//fes//ycgZ//dinI//
Ada	ydeM//pdeR//hybE//bglB//
AdiY	yiaJ//ulaG//mraZ//lhgO//rhaD//motA//ftsL//yeaE//
AgaR	gltD//uvrD//appX//atoE//sroA//srlA//hycG//ddpA//hemL//yneM//paaD//
AidB	cpxR//
AlaS	ptsH//
AllR	tam//yhbS//malG//metJ//gadW//yafP//pyrC//glnH//rcsA//
AllS	pepD//paaI//napA//
AlsR	dnaN//glnG//rnlA//fecC//rutR//uvrB//
AppY	lon//flgM//wcaB//tdcB//focB//sutR//ppsA//rcnR//fliC//garL//
AraC	sbmA//ecnB//mtlR//fldB//arsR//nrfA//glmS//hemH//ecpR//fhlA//metJ//purL//flgM//csgF//
ArgP	fepA//pgaD//galP//prpR//caiC//efeU_2//mglA//phnE_2//flgG//gadF//pflB//yhdY//pgk//infB//
ArgR	napB//phoP//glpA//fimB//glpA//hybF//galE//wecC//pgaB//nrdH//nrfF//iraM//yecT//mdtA//tyrA//fadA//moaA//fliC//speA//ybfE//torA//prs//pstS//nhaA//leuD//csiD//araA//putA//lysA//wrbA//relA//yjjZ//yjbF//ftnA//paaA//hyfA//ruvB//flhA//
ArsR	mglB//artQ//nrdF//
AscG	pspD//glpT//fepB//rffT//gutQ//
AsnC	wza//glcC//nuoK//trpE//
AtoC	rcnB//ybjN//pdeL//cusR//
BaeR	fliR//recD//nfuA//pspA//cysM//cspI//ulaB//gabP//
BasR	dhaM//csrB//yeiB//ddpB//ybaT//narL//malS//acnA//napB//cysU//ygiC//lsrF//grxA//
BetI	phr//hyaA//creC//lsrD//
BirA	uidR//ugpQ//trpD//yqaE//argC//
BluR	metB//flgC//uspA//leuB//
BolA	ydfD//chiP//
CadC	isrC//ykgO//creB//
CaiF	feoB//casA//lsrA//yeiB//tdcB//ttdT//pck//deoA//mlc//stpA//
Cbl	glcE//yfaE//pyrD//treC//gspG//lldR//ulaD//chbF//citF//
CdaR	ydcU//csgE//feaB//glmU//lyxK//zwf//phnJ//crp//zraP//ymjC//
CecR	cdd//tktB//glnA//ttdA//pdeR//
ChbR	allC//dctR//yccJ//accB//sucC//leuA//
ComR	tyrP//
