#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	qseB//znuC//
AcrR	oppD//osmY//fecR//idnR//hmp//fabI//hycH//fadI//patA//gadE//hisJ//
Ada	hdeB//acrR//yhbT//lldP//
AdiY	fepE//yhcH//dhaM//mraZ//gspM//flgL//nikA//mraZ//
AgaR	cynX//sufB//pspD//ynfG//nrfF//idnD//ydbD//ydiV//entH//lpxD//marR//
AidB	ybhG//
AlaS	mzrA//
AllR	dnaA//hcaD//fruK//pspD//dpiB//fumC//trxC//cysU//cpxP//
AllS	ptsG//trpB//glk//
AlsR	ybhF//sdhA//gltD//marA//hybO//yjbH//
AppY	lhgO//fliQ//yecT//znuA//ugpB//rutA//dnaG//trpR//yqaE//fruA//
AraC	ndh//lsrF//aspC//allE//agaA//modC//nfo//phnK//nagA//nanC//xylB//ugpA//ugpC//sdhD//
ArgP	glnD//hslJ//mazG//yjbE//accB//dnaG//entH//idnR//lsrD//fabA//dkgA//glnL//nikE//tfaQ//
ArgR	tnaB//tcyP//flgB//fhuB//flgG//appY//yiiS//uxuR//mlrA//fadE//ykiA//ygaC//gfcA//nuoB//ynbB//betT//lacY//pepA//citF//zinT//hypC//pheT//fabB//gatD//fliM//ybaS//citX//ecpR//dgkA//tauA//agaB//tam//cysH//dhaM//ybbW//tonB//flgJ//mpl//
ArsR	fadA//fixX//nlpA//
AscG	csgC//ppiA//cysP//uhpT//frdA//
AsnC	tdcB//ynfH//phnM//katG//
AtoC	ynbC//gutQ//mzrA//atoE//
BaeR	araD//paaJ//arsC//sucA//agaI//mqsA//ynbB//fepE//
BasR	agaS//melA//sutR//hycH//ccmA//relA//yciX//hyaC//oppC//gltD//guaB//ssuD//dhaR//
BetI	flgJ//deoB//oxyR//nrdG//
BirA	allD//tyrB//nikR//gltB//gspD//
BluR	yebE//rhaD//yqaE//nanE//
BolA	putP//ykgM//
CadC	malI//osmB//emrY//
