#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	ptrA//ddpC//
AcrR	lpxD//prs//deoC//fliI//omrA//gudX//malG//psiE//fliI//caiD//srlB//
Ada	ompC//yidQ//metL//puuD//
AdiY	uxaB//soxR//cysM//chbA//phnJ//fdnH//acrZ//fadL//
AgaR	rbsD//bamE//nadA//fdnG//nlpA//treB//nanM//feaB//cydB//sbmA//hipA//
AidB	gyrA//
AlaS	hyaC//
AllR	caiA//sucC//pgm//frdD//leuL//yibQ//osmC//dmsD//uidB//
AllS	hyfF//accA//sucD//
AlsR	hns//fnr//carA//mglC//iraP//hmp//
AppY	cho//gutM//gatB//mtr//phoE//dcuR//yjbF//casD//uvrC//htpG//
AraC	moaC//yafQ//lsrC//rhaB//caiD//ydeO//narG//srlR//ynbB//bioA//ygiB//osmY//appC//feoA//
ArgP	galM//moeB//flgD//rcnB//erpA//yhjC//ugpE//sufD//dmsB//fadJ//purH//kdpA//yaiA//pspG//
ArgR	cheA//allA//uxaA//ydhY//metN//ssuB//hybE//fliD//ydeN//leuO//tcyP//nanK//alsB//rutD//fdhF//atoB//tdcB//fadA//ssuD//rimK//tdcC//hcaC//dmsB//aceB//gcvH//uvrC//yneM//fecC//yqhD//entB//lysO//paaA//cyoE//hycG//mraY//uidR//pspE//rbsA//
ArsR	paaA//uxaA//dpiB//
AscG	nac//hybC//lysR//ftnB//phoQ//
AsnC	deoA//nrdF//tynA//uidA//
AtoC	lon//fliJ//treB//aidB//
BaeR	lacA//ptsG//argD//fliZ//alkA//glpB//torR//exbB//
BasR	cpxP//purK//puuC//fdhF//cynT//ybhF//citX//hybA//asr//cysW//fepD//agaD//glmU//
BetI	fliA//gpmA//nuoC//modA//
BirA	araG//slp//arsR//ynfK//agaW//
BluR	cecR//nimT//mraY//lldR//
BolA	mdtD//pdeR//
CadC	rbsC//tnaC//cpxQ//
CaiF	araD//fecI//sra//lsrF//ulaE//agaR//fruK//ydeP//gntK//yibQ//
Cbl	fdhF//argH//hybD//glyA//nrdA//yaiW//sgbE//dgcN//chbF//
CdaR	rpiR//citE//nrdE//nirC//lsrF//tdcD//fdnG//acrB//argC//ydbK//
CecR	xylR//skp//yafP//hybD//uvrB//
ChbR	flgD//ydhU//motA//potI//allD//lldD//
ComR	asnB//
CpxR	rbfA//obgE//ssb//sroA//ybdN//katE//gudD//cvpA//galS//aroL//phoH//btuB//aceK//narH//bglJ//nanK//puuD//ybhG//fruK//ompT//mazF//gntT//guaB//rcnA//tehB//baeS//ruvB//betA//hcaR//argG//hcaE//fliE//rpiR//pgm//ugpB//marA//rseB//fdnI//prpR//alaC//decR//asnA//cra//marB//uvrY//yfaE//hokD//rpsO//cynS//glpF//speB//yhjC//ybjN//prpE//mhpT//yciF//hyfA//pepD//dnaG//flhA//aidB//guaB//narJ//ldtB//fimB//lsrR//waaH//nirD//nikB//evgA//
Cra	pgaB//yjhB//yhcH//hcaE//yhjX//hycG//mhpA//ppdC//aroP//mntS//tauB//pykF//bglJ//sufB//aroP//trpR//ebgA//phnH//oppC//ybjG//yciE//cysJ//pspE//rutR//yeaG//ybhR//ccmC//nmpC//gadE//chiP//ybjN//dsdX//murP//acrA//ddlB//flhB//hyaA//flgH//metR//yjhB//flgN//rutA//yhbT//feoA//manZ//relA//aspC//ada//mipA//potI//xylR//ssuE//rnlA//paaY//cspI//gltK//gcvB//thrS//ddpX//rpsO//ygiZ//nac//potH//cynS//ycgR//fimB//dhaM//dhaK//sufC//ydcU//phoR//mntP//nanE//dhaR//fhuE//ddpD//nikA//uidR//ybjG//
CreB	sfsB//flgI//ttdA//yjbH//mlc//
CsgD	idnO//hycG//wcaB//fhuE//cynX//ybjC//tyrP//metQ//deoB//lpxA//nikC//ydhV//xylF//wzb//ybhL//prpE//aroL//ppdC//pstS//lhgO//idnO//torD//micF//dctR//ccmH//mhpF//astC//ihfA//
CsiR	recX//ebgA//gatA//yecT//galK//
CspA	alsB//hycH//
CueR	ydeO//creB//bhsA//trpL//ahpC//pagP//ppdB//
CusR	dsbG//fadM//ccmA//ygiZ//phr//iraP//malY//rffC//prpB//pgaC//mtr//nrfB//
CynR	rbsA//gnd//yegH//ybfE//
CysB	dicC//ydfW//fliZ//rob//gatA//ybhS//rbsB//pgk//pqiA//napD//fhuB//metC//dsbA//lolA//speB//nrfB//rffC//ascB//hybF//appX//alsC//phnD//yegR//alkA//uidB//argF//sdhA//uidA//puuA//fruK//bioD//pspF//
CytR	flgG//rnlA//ompN//pstB//entB//serA//paaE//ydeO//degP//pgk//wcaB//cysH//fucP//
Dan	flgL//glk//fucK//fucR//
DcuR	pck//envC//flgN//astC//hycG//tnaB//ydhV//dctR//rhaS//
DeoR	sroC//purM//ppdB//ddpC//omrA//pepD//
DhaR	fliL//yebG//aceF//uvrD//
DicA	casA//ssuE//fhuD//ynfH//phoE//fucA//srlA//ybfE//
DinJ-YafQ	cysW//rbsR//mgtA//
DnaA	lldR//asnA//motB//mtlA//aroF//oxyS//hycC//fucU//rplU//gadB//astD//tbpA//
DpiA	purF//fliA//fucA//rbsA//ynfF//rybB//fepE//bioC//ruvB//lamB//paaY//
DsdC	aceA//znuB//yjiY//
EbgR	dcuR//hyaA//
EnvR	ygaC//mqsR//
EnvY	dcuA//rnlA//
EvgA	rpoH//ccmF//fliT//phnC//phnM//mdh//agaD//yfdE//entA//pgaA//dapD//serA//araJ//exuT//lsrF//ptrA//creA//artI//lsrD//
ExuR	acrR//wcaA//hyfD//lsrA//cyoA//add//nanT//gabP//metQ//
FabR	dpiA//yneM//
FadR	tcyP//nrfA//malF//manY//gudD//spy//mlc//marA//borD//nrdG//rseA//ygeA//ycjY//ynfG//yciG//pepA//iscA//sbcD//hycB//sucC//sgrS//ydbD//cysW//
FeaR	asnB//argH//
FhlA	relA//cynS//thiQ//ygiB//gntU//rpsO//ydbD//flgL//fruA//qseC//gabP//allC//glnA//trpC//malT//paaK//prpB//ydcU//rarA//frdD//galS//ybhF//galK//nuoK//glcC//malI//pyrC//phnH//htpG//flgH//
FlhDC	acrA//ahpF//agaI//pgaA//hcaF//polA//glnD//dcuA//ynbC//dcuR//malI//mhpF//dapD//paaH//murC//fhuD//glcC//dinG//chbC//fepD//dgkA//ddpF//symE//fecB//pgaB//ompW//cpxP//alkB//ilvY//torA//dgcZ//metB//cheA//ydfE//metQ//ibaG//fliD//hyi//sdhC//hyfH//alsA//cvpA//frdA//melA//allS//dinG//murD//ftnB//glgP//ydeP//glpX//ttdR//lacZ//caiB//melB//mglA//tsx//alaC//ascF//csgE//fabB//cysD//uxuA//fbaA//trpD//zinT//cvpA//grxD//flgI//napF//murD//rcsA//tauA//paaF//cynT//hcaC//fldA//rseA//mntH//prpE//yefM//nhaR//
FliZ	yjbF//araD//bacA//entB//ydhT//pdeL//hycE//dpiA//psiE//pgi//pgaB//ubiC//glpB//malM//mipA//gadE//ppdB//ydcT//galP//moeA//ygbA//
FucR	uspD//nrdD//mioC//ompF//entE//adhE//fbaB//
