#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	pheM//melB//
AcrR	gspH//rdoA//nimT//pqiA//agaS//ulaB//phoQ//acnA//dtpA//nadB//ynbA//
Ada	yhbE//yccA//galE//ddpF//
AdiY	qseC//phnE_2//ddpC//pdeL//fucU//rpoH//fepC//uvrC//
AgaR	pnp//metI//motB//pqiB//gpmA//deoC//araH//hybG//hycG//uvrY//mlc//
AidB	hcaF//
AlaS	alsB//
AllR	trpB//fucP//pyrC//mtlD//lpxA//ampC//ybhR//ahpC//cvpA//
AllS	ddlB//rutC//cra//
AlsR	phr//cho//entD//gltD//fumB//yagK//
AppY	ftsQ//cydC//nfsB//cbl//ilvC//allE//ymiA//artM//moaC//ydhY//
AraC	appY//nrfF//osmB//tpiA//yccJ//serA//wzzE//tnaA//wcaA//recB//tktB//ybdZ//mqsR//fliH//
ArgP	fliS//focA//dmsC//fucU//chbA//ydfE//glnP//baeS//fecI//flhB//dhaM//ssrS//oppF//rbsA//
ArgR	pgk//ynfG//rnlB//dsdA//glmS//fepD//uspD//nuoI//hslJ//speA//fliE//dcuR//hemL//exuT//serA//moaB//tadA//csgF//hyfB//osmY//paaK//exbD//bhsA//deoA//sbmA//recN//rutD//rcnA//uxuR//edd//wzyE//ddpC//lrhA//malI//lpxC//serA//bacA//napA//
ArsR	dgcZ//nemA//aroG//
AscG	hybG//phoE//ccmB//mhpA//ftsI//
AsnC	rutG//tauC//gadC//allS//
AtoC	fabZ//araJ//gpmM//araD//
BaeR	ugpB//napB//yneM//rcnB//ppc//mazF//kdpB//nfsA//
BasR	melR//fadB//qseC//caiB//fadL//hns//emrB//sucB//rpoE//araJ//marR//nohA//umpH//
BetI	bioF//yqjH//deoA//allD//
BirA	ariR//dsbA//nohA//entD//aceK//
BluR	frdD//cysG//gcvH//eno//
BolA	modA//arsR//
CadC	uxaC//deoB//oppB//
CaiF	iclR//aroH//arsR//soxS//ubiC//wzb//malZ//nagB//crl//agaW//
Cbl	nrdB//poxB//dcuA//tehA//iscU//ldtD//fabI//fixA//fliD//
CdaR	gloA//idnT//gadW//umpH//exbD//rseC//hcaD//rcnA//nanT//dhaM//
CecR	araC//cirA//yqaE//qseB//uidC//
ChbR	moaB//gltI//rplT//recA//nikE//moeA//
ComR	hyaA//
CpxR	exbB//tauA//flgK//ybfE//tehA//yedX//yjbG//feoB//phoB//fliP//tadA//nanT//wzzE//crp//glnD//ompC//ydcU//polA//fadD//wzb//ugpQ//allS//narX//gspL//rcnB//mltF//exbB//pgaB//pstA//moaD//gpmA//bioD//pagP//glcF//hns//slp//ydhT//kdpF//yncE//atoB//rbsR//nrdD//rstA//phoU//dinI//phnC//hycB//potG//ydfW//ybdN//hyaA//agaS//atoE//pqiA//asnA//ugpQ//paaX//qseC//ahpC//dctR//modB//gntT//phoU//psiE//ulaD//hypF//yecT//rnpB//evgS//glgP//
Cra	yjbF//mtlA//dgcN//yidL//ugpQ//yebE//ychF//aroF//bglB//flgG//pnp//dcuD//mltF//rsmH//caiE//rimK//yeaR//leuC//hybC//exuT//ppiA//hcaF//rutA//lhgO//frdA//dsbA//garL//astC//ppdC//mcbA//evgA//mhpD//soxS//gatD//kdpA//tauA//fhuA//glgX//dgkA//ppdB//erpA//gspK//flgE//aceK//citX//lpd//cas1//patA//gntU//nuoI//rtcB//aceB//treB//codB//modA//recN//astC//rybA//sufC//sgrT//ugpA//dhaL//allD//flgG//rarA//prpR//gyrA//cynT//pgaB//murC//codB//nfuA//gspF//yciF//fadM//betB//puuA//trpC//hcaD//
CreB	ecnB//mdtE//kdpB//gltB//xapA//
CsgD	dcuA//rnlA//tyrP//uxaC//sucD//araD//cyoC//pdeR//dcuD//cusS//modC//fliZ//gspI//ydeM//yeaH//yibQ//tonB//gudX//gnd//csgG//uvrY//fecD//cynS//ttdB//mdtD//gabP//nhaR//leuB//
CsiR	eda//ygeA//metK//ymjC//fucR//
CspA	ulaF//ydcT//
CueR	lsrD//rutC//bioB//ydfX//speB//higA//lolA//
CusR	narL//leuC//dsdA//artQ//putA//motB//hemH//nuoB//rpoS//relE//napA//glyA//
CynR	yiaL//pagP//fimE//nagE//
CysB	lpxD//betI//malY//nagB//allC//hmp//yaiW//gcvA//sdhA//sufE//frdB//ubiC//tauD//purB//yccA//norW//dsbC//dhaR//paaJ//crl//ybjC//alsC//gntX//cpxQ//lldD//yhiD//tdcA//osmC//glnQ//phnE_2//fhuA//ydcV//
CytR	mlc//murR//ilvC//kdpA//gatY//oxyS//paaE//csgC//pspE//yaiA//rutB//dsdA//rpoS//
Dan	glmY//fau//hha//narJ//
DcuR	polA//oppB//agaI//fliZ//appA//fepG//uxuB//cecR//acrB//
DeoR	gfcA//metL//mglB//csrB//fldA//fucP//
DhaR	fliS//hcaR//xylR//lamB//
DicA	argP//focA//ydeO//mqsA//lacZ//caiD//trpC//recA//
DinJ-YafQ	katG//spy//gspE//
DnaA	emrK//tdcF//yaiA//malZ//evgA//gltK//pepA//yebG//fliN//rpiB//nfsB//ccmE//
DpiA	glnA//tam//copA//ynfG//argP//citD//phoU//aspA//umuD//sdhA//uidB//
DsdC	rffT//lsrD//creA//
EbgR	hcaC//oxyS//
EnvR	hlyE//hdeA//
EnvY	sroC//mngA//
EvgA	cysW//ssuA//ygiZ//glcG//acrZ//yiaJ//nrdD//xylB//aspA//galR//ycjY//ftsA//ryhB//glcC//caiA//nanK//ydbD//gcvB//napA//
