#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	phoH//uvrD//
AcrR	yoeB//dgkA//rhaB//srlA//poxB//purC//nrdE//sra//oppD//csgA//yiaL//
Ada	gabP//ddpF//mscM//tdcG//
AdiY	nirC//yciW//gapA//stpA//yjbF//csgD//yecR//nuoL//
AgaR	oxyS//nanK//rpoE//ydhT//narH//setA//glpB//melB//garP//fumC//hydN//
AidB	cspI//
AlaS	ompC//
AllR	mntS//wzyE//caiF//gatA//sutR//galM//rpiR//hypB//fliG//
AllS	flgE//metK//ykgO//
AlsR	pspG//phnO//rcsA//paaI//slt//metJ//
AppY	tdcC//trpB//torD//setA//dcuR//luxS//manX//ykgO//uxuB//cusB//
AraC	caiB//relE//tisB//rhaD//ydhV//amtB//lldD//molR_1//iscU//hisJ//fliD//tsgA//efeU_2//rimP//
ArgP	ssuE//ybhG//nirC//hycD//tomB//yhbT//puuB//citE//ydcU//oxc//carB//iraM//tam//nikD//
ArgR	appA//pck//puuA//pqiA//fecR//zraS//yiiS//rseC//cyoA//tcyP//focB//fabI//metB//glgC//idnD//fucI//fabI//cspD//phnD//glpD//kbaY//gutQ//dinF//fadD//ptrA//yccJ//mhpE//nadA//srlA//metH//pagP//ilvC//araG//rybB//yhjC//dgcC//fhuC//nohA//
ArsR	cueO//fliN//cyoD//
AscG	ybiT//tonB//hyaD//lpd//glpK//
AsnC	malI//nikE//dps//metK//
AtoC	casE//tcyP//ftsI//mglA//
BaeR	gcvP//ompF//ryhB//ygeA//flgL//narL//ihfA//ynfG//
BasR	xapA//murE//mpl//acrR//fbaB//phnC//dsbA//xapB//gatY//hypC//hisM//nrdG//rtcA//
BetI	gspM//yciX//marA//nrdB//
BirA	ygiC//fliC//modB//thiP//fecD//
BluR	yjiY//idnD//treC//cusC//
BolA	nuoK//ssuC//
CadC	betA//gcvT//mtlD//
CaiF	garD//ygiZ//mscM//trxC//fepE//ftnB//sgbU//cas2//fliA//fadM//
Cbl	ftsL//rtcB//uxaC//metF//omrA//ybhS//gcvA//casA//norV//
CdaR	recF//ssrS//mgrR//cadA//phnM//gntX//uspE//srlD//yidL//sucA//
CecR	paaG//ybhL//pck//rsmH//fruA//
ChbR	appY//gspM//bioF//safA//ybbY//hyfC//
ComR	fhuD//
CpxR	rclA//pdhR//xylR//mhpB//tauB//manX//hydN//tam//rarA//gatA//nuoI//tdcC//chbB//tynA//hycA//nuoE//cho//paaZ//nikA//mdh//stpA//cysG//hypB//hisJ//ydcS//dinJ//rhaR//sdhD//leuL//glnK//tdcC//soxR//phnP//cdaR//hyaD//hyfF//ykgO//deoC//ychF//agaS//ptsG//dsrA//puuD//flhE//recN//yfdV//glmY//fliG//fepA//evgS//tehA//flu//ccmD//cyoC//symE//gspG//rbsK//pagP//purM//gltI//cydB//ulaE//cdd//glnG//fliO//fdhF//fabB//araC//gudD//srlD//
Cra	sufA//metR//hybB//bolA//amtB//hyfA//hcp//flhB//araH//rffM//intQ//hokD//fliT//yfdV//yeiB//pheS//dmsA//metH//rhaT//asnC//fur//lpxA//napH//hyfB//ssuE//gutM//purC//metK//yqhG//purC//alsC//atoE//flhE//deoA//ycgZ//appY//cusA//leuB//malZ//fabZ//yncE//ccmH//melR//marA//sbcD//hyfI//aspA//citG//gnd//cas2//tauD//paaY//lpd//leuD//araH//ftnB//kbaZ//fliT//glcC//glcE//mngB//ydhX//rstA//skp//fliA//sufB//gadC//moaC//glpX//prpD//hisM//hyfA//agaD//paaC//slp//moaB//add//narH//dnaG//
