#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	oppA//hypE//
AcrR	lpxD//ssuB//mhpF//trxC//purB//flgC//higA//pflB//aceF//pstB//pspE//
Ada	yqjI//tyrA//flgF//hybF//
AdiY	fpr//yhbS//moaB//yccA//wzyE//uxuR//rpsU//argG//
AgaR	wecE//ddpC//xylB//dinD//ebgC//omrA//cysW//mpaA//yhjC//ynfK//obgE//
AidB	purA//
AlaS	dtpA//
AllR	dapD//efeU_1//bioA//ybhG//rpoE//cytR//mioC//cysN//cirA//
AllS	rseA//ygdB//fhuA//
AlsR	pheS//casD//fepC//chbR//erpA//yncE//
AppY	recX//yibQ//fliP//puuP//lolA//hns//mioC//cysP//ymgA//carA//
AraC	phr//argT//ygeA//tam//metR//arsB//ppc//fliS//yccT//tdcB//glpQ//yfiR//cdaR//fbaA//
ArgP	phoA//uidB//pgaD//caiD//ymjC//yagK//ssuB//srlA//creD//metA//polA//mprA//mgrB//astA//
ArgR	ascF//ycgZ//fliA//yiiS//emrA//fliR//slp//sulA//puuA//ariR//yhdY//lon//hybO//hcaD//ssuC//cspI//mprA//gyrA//casA//argT//mntH//pfkA//malX//lacY//cbl//yoeB//leuB//phoB//xylF//tbpA//rtcB//aslB//ygiB//ddlB//malG//leuB//mipA//aroP//
ArsR	sgrR//lysO//ribA//
AscG	entB//uxaA//lysP//araG//aceF//
AsnC	malS//acrZ//agaI//hns//
AtoC	galE//mgtA//nemA//napD//
BaeR	allD//cheW//fes//ymjC//emrB//cysB//citC//narI//
BasR	spy//dgkA//aldA//ymiA//dcuR//mtlD//astA//mgrB//ruvB//allE//chbF//yccA//slt//
BetI	artP//tnaC//baeS//agaI//
BirA	glmS//hypE//sulA//mprA//cysK//
BluR	fepG//nuoA//entB//flgG//
BolA	frc//malQ//
CadC	puuP//ybdZ//ybaS//
CaiF	glpX//oppA//fliH//glk//rbsR//ynfH//gatD//bhsA//yjhC//uidB//
Cbl	lhgO//chbC//bglJ//nrfF//cyoB//ccmE//rfe//dapD//mpl//
CdaR	fnr//yciX//ptsI//tsgA//paaI//fadR//aroG//glpT//rhaS//malP//
CecR	uidB//hyaC//ahpF//gspG//ybhG//
ChbR	ybfN//ydeN//motA//fliC//potG//ydeI//
ComR	napA//
CpxR	tnaA//gcvT//fpr//fnr//uvrB//fliJ//dctR//artI//ompF//rhaA//yeiB//lysO//efeU_2//dnaN//gcl//umpH//prpD//gudD//yibQ//fliH//phnE_1//hyfG//cyaR//ykgM//hycH//fliZ//nanM//ynfG//tadA//fhuE//uxaA//ftnB//sodB//sucD//nuoM//torR//ynfH//chbC//cueO//argA//sucA//gspE//hybD//lpxD//purH//rpoS//phnP//phnK//pspG//agaI//feaR//dsrA//ynfG//fliD//nrfE//treC//kbaY//ycdZ//argD//araE//ssrS//purH//skp//dsbG//flgG//soxR//aspC//bglJ//entB//glgB//
Cra	ybhS//astB//moaC//yeiL//agaD//ssuC//fliN//ydcU//mraZ//cysI//nrdH//aroM//uspE//fhuB//rutD//rffG//gudD//accD//fdhF//tehB//ykgM//dpiA//idnR//ygeA//fpr//prpC//torR//nrfB//pgm//borD//mhpT//hemL//rnpB//ada//tadA//yeaH//gspH//yfiR//bolA//mazE//aceF//caiA//nupC//kdpB//yeaD//dinJ//citE//pgaB//gadF//efeU_1//fpr//gpmA//ydcS//intQ//lldD//dicC//ulaB//rbsD//ymjC//pstS//ydfE//ttdA//phoQ//phnJ//gatA//xapA//dnaN//uxaA//gloA//malQ//codA//pitB//dacC//nanA//alsB//glyA//sgbH//feoB//flgN//
CreB	phoA//yjhB//adiA//bglB//malX//
CsgD	bglF//betT//wzc//yccT//edd//fecD//dsrA//ybjG//ynjI//gudX//paaH//ruvB//rclB//mqsA//uspD//phnK//katG//thrS//fliP//wzyE//cspD//ulaD//pgaD//rnpB//uxuR//hflD//gatA//idnO//
CsiR	xylB//uhpT//poxB//phnN//pgaD//
CspA	paaH//fliS//
CueR	yhbE//feaR//yeaD//lacY//sucC//lacY//argE//
CusR	nrdB//rutG//ttdR//entS//csgF//uspD//pyrD//rutC//moaB//rdoA//fhlA//rstA//
CynR	pheT//zinT//trpE//glmU//
CysB	cyoD//bdcA//pepD//paaF//sbmA//xylH//glnL//bglF//dsdC//nuoH//fecI//nrfC//hokE//hypB//pitB//ribA//flgE//cvpA//rutA//tbpA//cspD//bhsA//kdpC//acnA//malP//dhaM//appB//sodA//tcyP//ptrA//idnR//ung//
CytR	entH//nfsB//napA//symE//pspA//umuD//ugpC//rutB//stpA//rnlB//sucD//phoQ//cpxQ//
Dan	prs//idnD//mhpB//ftnB//
DcuR	gadA//fbaB//rpoD//psd//metB//folA//fhuD//adiA//cyaR//
DeoR	napD//nikR//gcvA//guaB//aroP//ccmB//
DhaR	phnM//pyrD//argD//ebgA//
DicA	eda//ygaC//ulaF//citD//fadL//yafP//argC//yhbE//
DinJ-YafQ	phr//gspC//yqjI//
DnaA	fliA//pspB//nrdA//argH//gudX//yegR//paaG//citE//mntS//ompC//hcr//bioD//
DpiA	sucC//nupG//fecD//umpH//dcuA//prpC//glnQ//ilvC//gspL//rcsA//ulaF//
DsdC	xapB//rtcA//metH//
EbgR	ahpF//paaY//
EnvR	mzrA//yeaG//
EnvY	atoB//alsE//
EvgA	ybhR//rutC//argA//gatC//ddpC//pspE//fabA//cvpA//lacY//garK//focB//sufE//araH//sbmC//yhbS//rclC//fucP//hycG//ydfW//
ExuR	ampC//hdeB//ldtD//hlyE//isrC//nagA//zraP//yidQ//kdpF//
FabR	lsrD//gspC//
FadR	csgF//gabP//xylG//fecC//csrB//hcaD//yfdX//gatC//yccT//pspE//osmC//glnH//zraR//sucC//emrA//sufB//hokE//phr//fixB//nuoG//ptsH//aroM//astA//
FeaR	rimK//mazG//
FhlA	idnR//oxc//glpF//hlyE//argR//mngA//gcvB//fliA//tsr//xylH//recB//fhuC//tnaA//fucI//mzrA//sulA//nagA//ccmD//garD//gadX//eda//cysU//pgaD//metH//mtr//yoaG//cysK//ssuA//pepD//dgcC//
