#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	folE//rbsK//
AcrR	speA//ptsI//gfcA//gutM//accD//hisQ//nuoB//paaI//lsrF//idnO//ygiZ//
Ada	cas2//alkB//cpxA//malM//
AdiY	melR//phnP//yhdX//wzxE//gatD//napG//dhaM//bamE//
AgaR	entA//ilvC//nuoA//argF//yibQ//dinF//udp//mdtA//phnL//mdtC//hycA//
AidB	rffC//
AlaS	lldD//
AllR	glgC//lsrG//erpA//yjbG//yhiM//paaB//gcvA//hyi//nrdE//
AllS	yjiY//ulaC//purH//
AlsR	motA//gspH//cspD//ompC//oppC//higB//
AppY	casD//marB//fecB//fadR//ttdR//soxR//ydeP//metQ//rpoH//potG//
AraC	tolC//agaC//fabG//nemR//nikB//hyfA//casA//lgoR//glcA//moeB//nanE//mgrB//fhuE//phnM//
ArgP	malP//entF//chbB//guaB//cysK//tomB//fecI//flgL//hisP//cpxP//lysC//metI//ftsL//nimR//
ArgR	phnH//wrbA//ygeH//entH//rprA//fucI//ppiD//ybhL//mscM//fumB//trpD//ydfD//gltL//ycgR//moaE//poxB//cdaR//allB//frdD//dinI//gntK//fliN//fabD//ptrA//mioC//glcA//pgaD//dkgA//sra//fiu//phnN//kdpB//zinT//rpoH//yjeV//lpxC//rsmH//napD//
ArsR	rhaR//purH//chbA//
AscG	ugpA//idnD//glgB//fbaB//yjjQ//
AsnC	iscS//rpsO//dsbC//fucO//
AtoC	rbsB//metR//hcp//yfiR//
BaeR	dinD//ydeI//agaB//ydfW//wcaA//sroA//fhuE//yafN//
BasR	argB//nanC//tbpA//mpl//csgE//garK//efeU_2//malE//fepB//wrbA//hdeD//tdcA//entH//
BetI	psd//malE//gloA//potH//
BirA	tauC//argB//hipA//puuE//nfsB//
BluR	yidQ//glcG//yedX//dsrA//
BolA	ugpB//fabG//
CadC	garP//pqiB//fliD//
CaiF	mntP//mqsA//paaA//purD//fecR//emrK//tauD//ygiC//dmsC//flgG//
Cbl	tolC//lhgO//ygiA//feaR//rpoD//ugpB//fecE//yhdY//gcvB//
