#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	hemH//sdhC//
AcrR	fhuD//fldB//qseB//hyaD//ybbY//rhaB//fixA//erpA//moaC//rpoH//malK//
Ada	carB//lexA//ycgZ//iraM//
AdiY	allA//treR//cecR//ccmG//dmsA//yaiA//uspE//yiaJ//
AgaR	dgkA//aceK//phnE_2//feoC//adhE//pstC//speA//mdtF//sgrR//nanT//gcvH//
AidB	citD//
AlaS	hcaR//
AllR	fhuE//uidB//malG//cho//fecA//acrB//rdoA//allA//arsB//
AllS	serA//fldB//copA//
AlsR	ydfN//ugpQ//ogt//hyfJ//sbmC//ssrS//
AppY	yhbS//allS//pgk//codB//metE//ymjC//cpxA//mntS//cydC//purR//
AraC	bdcA//znuA//nagC//phnO//sbcD//dinI//aceK//nuoN//trpE//purH//ynfF//emrA//ydeI//ptsG//
ArgP	flgM//accB//ada//mepH//ppdA//rcnR//hisP//znuB//bdm//purL//rclC//rcnA//fecD//metJ//
ArgR	fnr//flu//glcB//wcaA//pheM//fecB//yciX//yncE//cra//nagE//waaZ//entE//glnH//malP//rhaR//moaE//btuB//lexA//treB//pgpC//caiD//cadC//uxaA//yecT//leuB//tdcD//qseB//omrA//hisM//phnP//yqhG//sufB//galP//dmsB//rseC//ydiU//tnaC//cysM//
ArsR	cas1//metH//htpG//
AscG	yhdX//emrK//nikE//tam//cueO//
AsnC	fepC//alaC//sgbH//phoP//
AtoC	fecC//luxS//murR//yoaC//
BaeR	uvrY//yhcH//ssuD//nagB//nuoH//lldR//ftsZ//marR//
BasR	gltL//ygbA//nanE//glmU//uidB//hycE//soxS//dapD//idnR//luxS//citG//hcaD//yiaN//
BetI	ycjG//tolC//fabB//rybB//
BirA	rybB//rutG//nuoI//rhaT//leuL//
BluR	fumB//dcuS//hokD//accB//
BolA	fabB//napH//
CadC	fabG//yeiL//ddpB//
CaiF	ydeM//copA//ldtC//sbmC//uspA//gpmM//cho//fhuE//lldD//ynjI//
Cbl	malK//fadB//glyA//srlE//tauA//acrD//flhE//garR//hycC//
