#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	cdd//fixX//
AcrR	recB//dctR//fabD//caiB//caiF//trpL//asr//yiaK//dsdC//mazF//malY//
Ada	glk//phnH//glxK//recF//
AdiY	yjhC//yebG//hdeA//torR//srlB//fbaA//nanK//leuC//
AgaR	pepA//hcaR//tcyP//appA//rhaT//pagP//recA//bglF//phnL//murI//fliP//
AidB	phnG//
AlaS	omrB//
AllR	alaC//nohA//yeaR//metA//epd//iscS//dmsA//mhpA//glnG//
AllS	ygiZ//glnP//gadA//
AlsR	glpX//bioF//oxc//hybE//nfuA//agaV//
AppY	glnL//cysW//adiA//hisJ//mltF//ydeI//ftsL//yhiM//pnp//modA//
AraC	tpiA//yebG//ydcT//lpxC//tadA//nupG//mhpB//entF//artQ//nanC//narH//fhuA//murE//fecR//
ArgP	ycgR//chiP//hyaB//ndh//yebG//fadE//rutB//ihfA//yegZ//araA//ybhF//ahpC//flgL//uspD//
ArgR	ynbA//ppdA//mtr//molR_1//fepD//htpG//ccmA//prpE//accD//casC//lysR//cysD//pheM//cysB//ydfX//paaC//pstB//purF//xylF//ampC//ymiA//pspE//pspG//hydN//ygeH//add//skp//relB//araD//ydhT//nrfB//fliQ//bluF//aroG//garP//metN//baeR//grcA//
ArsR	cyoB//bioF//uxuB//
AscG	ppdB//ddpB//nuoB//fliL//infB//
AsnC	wecB//glpQ//uxuB//hcp//
AtoC	hypE//cusS//hns//ptrA//
BaeR	bglJ//yegH//hlyE//ynbB//nikD//cusC//yqjI//add//
BasR	hcr//yjeV//glcF//fucI//malE//folA//thiP//kbp//tyrA//rpmI//udp//polB//hslJ//
BetI	fimE//recN//ydeP//ubiC//
BirA	spy//fliJ//nikR//deoC//mtlR//
BluR	paaX//yncE//gspG//marB//
BolA	uxaC//fliD//
CadC	norV//bioB//gutM//
CaiF	gcl//mdh//nfsB//udp//sdhC//ynjI//mltF//fepC//phnH//yhiD//
Cbl	ompN//gatY//pgaD//glcE//grxD//uxuR//gabT//rfe//kdpA//
CdaR	dsbA//fdnI//leuA//gntT//gltK//lpxA//dcuS//caiB//yidL//xylG//
CecR	lysO//polB//patD//kdpC//agaR//
ChbR	emrK//puuE//rybA//cysH//idnO//prpB//
ComR	flgA//
CpxR	agaW//ompW//agaA//xylB//fepC//nhaR//rbsD//rpoH//caiB//torD//frdC//nrfC//sdhD//cysP//cadB//mhpF//csrB//metA//rpiR//frdC//ruvB//glnP//gadX//rcsA//tehA//ybiT//yecR//argA//glcF//atoB//mqsR//agaD//yjbH//yfiB//nikR//hokD//ptrA//fabH//sbcD//qseC//cysC//araD//glpT//nanS//sroC//cspD//rclB//murE//fliJ//ytfE//cpxP//nuoN//tnaA//fadB//nrfE//nfuA//hisP//lhgO//dmsD//ygeH//nuoJ//mpl//phoA//flhC//fhuF//nuoA//tdcB//araJ//glnD//dsrA//
Cra	lrp//nanE//ydeI//hisQ//ihfA//dsbC//uxuR//mgtL//yccT//casB//ynfE//hybC//phnE_1//cysJ//napG//glcA//zwf//ybfN//fabG//allD//htpG//ampC//gatD//bioA//gatB//rutD//ttdT//paaD//cyoA//fhuA//ynbD//xylH//flgB//ybbY//ftnA//dapB//ddpB//omrB//flhB//caiT//lhgO//entF//ndh//trxC//yeaH//ybfE//focB//glnH//folA//kbp//sra//caiT//bglF//melB//appY//tdcA//ydfX//exuT//ssb//pncB//astA//tyrB//exuT//artP//hcaB//iraM//ppdA//insD//tyrR//znuC//gltL//sra//manZ//citX//fadE//sufA//wza//cas2//paaY//
CreB	phnJ//lysC//ycjX//thiP//feaB//
CsgD	psd//yciX//glpX//xapA//hypB//leuB//uvrY//appB//gspF//fepA//gadB//ymjD//hypE//moaC//cusF//tdcF//appY//ydiV//phoQ//ryhB//yoaG//glgX//glpD//hycF//uvrB//flgG//rnlA//fadD//
CsiR	ubiX//nfo//hipB//fliG//dinG//
CspA	nrdI//alkA//
CueR	malG//prpD//ulaE//artQ//nuoJ//ydeP//arsB//
CusR	recX//nuoJ//mioC//fepE//nanA//asnB//slt//leuO//sufB//rutD//srlD//fliK//
CynR	nrfE//hycG//lrp//agaS//
CysB	trpL//astE//ompT//purH//srlD//appC//ddpB//cytR//yjiY//hipB//fabD//idnR//tehB//trpL//alsA//psd//yafO//purN//fucO//ptsI//gspL//rplU//mscM//baeS//potH//ugpC//pgaD//bglG//yhdX//narK//relB//kdpC//
CytR	fhuF//pqiB//cirA//ldtD//araC//agaC//fhuB//argG//relB//bglB//allC//hyi//hydN//
Dan	recC//argT//tynA//erpA//
DcuR	yqaE//yjjZ//cysH//nanK//ccmE//rarA//fpr//wcaA//mhpE//
DeoR	pepD//cvpA//alkB//rstB//uxuA//hybB//
DhaR	fruA//wzb//mtlA//infB//
DicA	yhbE//marB//ddpD//acrB//nrfE//malP//fhuB//araJ//
DinJ-YafQ	napF//pstA//ydfH//
DnaA	rpmI//ydeP//glpQ//recC//asnC//casA//oppD//yeaR//mtlR//hyaC//metF//potI//
DpiA	uvrD//ybhG//gspH//idnO//pagP//yebE//yafN//manY//cysN//mqsA//narG//
DsdC	fepA//ppc//ddpF//
EbgR	dmsC//gpmA//
EnvR	ompT//mlc//
EnvY	nuoF//gspL//
EvgA	lexA//ynfF//higA//rpoE//gspM//ydhY//trpE//pfkA//hyfA//srlB//sbmC//mpaA//glyA//rhaS//yjbE//yeaH//glgB//gspL//alaC//
ExuR	csrC//fadH//rybB//yibQ//wcaA//sroD//rnlB//dmsA//yegR//
FabR	phnF//caiT//
FadR	pheS//purH//rsmH//ppdC//wrbA//purR//ybhF//ynfH//efeU_1//decR//iscS//nuoH//dctA//pqiB//cspD//yccJ//fau//lhgO//potG//nadA//malM//agaV//cydD//
FeaR	fucU//uspA//
FhlA	iraM//napG//metI//dacC//ymiA//katE//gatA//gspM//narJ//dinQ//tdcC//eda//exbB//fucA//ycdZ//fabZ//mqsA//agaS//agaD//dgkA//oxyS//gntU//glnB//argG//ykiA//cyoA//ybhL//ulaG//fau//purL//
FlhDC	cdd//rpoH//creC//tehB//poxB//katG//lhgO//ydfE//sucA//ulaC//entC//araC//rhaD//tadA//flgE//rseA//sufB//fliR//exbB//qseB//glpA//creB//metQ//dinQ//argH//fucA//lpxC//fdnI//higB//yhjX//hybE//puuP//fliJ//osmC//argF//yciW//srlR//dkgB//yhdX//mqsA//mgtA//cynX//nuoM//fliN//ymgA//fecE//purK//dapD//aspC//pdeR//ccmH//glnL//gltB//ydeP//cyoE//serA//argF//ssb//ppc//csgD//rutE//modB//zinT//rbfA//thiP//metC//torD//paaK//fliI//uvrY//adiA//astA//alsC//entS//hlyE//gcvH//hycC//metY//yciE//luxS//fabI//motA//
FliZ	flhB//modC//lacY//pspG//nrdF//citG//rcsA//talA//rcsA//ycgZ//glmU//oppF//trpB//hybA//glcG//araA//ydfW//fadJ//tsgA//hyaA//tnaA//
FucR	cyoB//mgrB//creD//ydiU//yhhY//focA//nuoB//
