#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	htpG//torA//
AcrR	yiaJ//fliO//isrC//yqjA//fhuF//yhcH//lldR//csiD//hipA//agaV//entH//
Ada	ymjC//agaC//astA//symE//
AdiY	dacC//gltK//qseC//hns//caiT//yrbL//narH//wzxE//
AgaR	agaS//pheM//ytfE//feoA//ydfW//yciW//aceA//hypA//hcp//hycD//ompF//
AidB	codA//
AlaS	soxR//
AllR	nmpC//entE//flgI//ydcS//rutE//rutR//hcaF//glpA//wecE//
AllS	nuoA//alsA//cusA//
AlsR	yjhB//hypC//alsE//dtpA//ccmH//adhE//
AppY	crp//gntU//fhuB//paaF//acrD//nuoI//cspI//csgD//hyaF//ddpD//
AraC	accA//fliO//fepB//yccA//dnaG//kbaY//ftsA//ybjC//edd//alsE//purR//mhpE//nfsB//uxuB//
ArgP	ybhL//modB//sdhC//betT//mtlA//baeS//ccmC//yjjZ//chbR//ftsL//appX//copA//fabH//hlyE//
ArgR	mgrB//sdhB//xylR//symE//glpX//nuoL//cynR//yaiA//murC//iclR//ydfH//purC//guaA//srlB//tdcD//araB//fliD//uvrB//rclC//rclC//hcaF//ydfW//yccJ//phoU//napH//purH//malT//ybbW//ahpC//agaS//mraZ//cpxQ//pqiB//ygaC//tdcG//dicC//hycB//nemR//
ArsR	tauA//alsE//idnR//
AscG	argF//cbl//narL//malX//uspD//
AsnC	thrS//mnmG//uspD//nupC//
AtoC	relE//ydhX//pqiA//ynfK//
BaeR	gfcA//hypD//appB//rtcB//ycjF//argO//psiF//codB//
BasR	fldB//carA//nikA//yagK//xylG//dps//napB//pgi//ycjG//pheM//ychF//rcnR//edd//
BetI	glpX//ppdB//lacY//malY//
BirA	fhuF//nupG//cpxA//nikA//hisJ//
BluR	malZ//hybF//nrfA//pflB//
BolA	pstB//fecR//
CadC	paaC//tnaB//fepB//
CaiF	glnD//mepH//fliR//yeiL//uxuA//sufS//pgk//fliJ//tpiA//wzb//
Cbl	rutD//glmY//hcp//acrR//tsgA//frc//ftnB//appX//uspD//
CdaR	fucA//borD//putA//treC//csgB//modC//flhC//nrdH//garD//sgbH//
CecR	hyfG//murQ//gabP//purE//fepC//
ChbR	glxR//rnlB//ddpB//flgN//cpxA//glgX//
ComR	yedX//
