#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	fecA//ymgC//
AcrR	argR//norR//rutB//mqsA//csgG//betT//rcnA//ttdR//dtpA//nagA//hyfI//
Ada	allB//pspB//ycgR//tdcB//
AdiY	nanS//alaS//qseC//fadA//eda//casB//yfdV//yfiR//
AgaR	malG//nuoF//iscS//ydfX//narL//yccJ//fliK//cpxP//thiQ//argC//sdhA//
AidB	lpxA//
AlaS	hyfH//
AllR	fabB//folA//pgi//yaiA//lysC//araE//ryhB//pitB//ugpC//
AllS	ccmC//murF//rprA//
AlsR	arsB//ompF//gspJ//hlyE//atoB//ubiA//
AppY	phoB//spy//nadA//gadW//fliJ//rutF//hyfH//entS//pspF//ssuC//
AraC	ygiB//malI//lysC//garL//micF//hybB//hyfG//putP//fabH//pdeR//ydiV//waaY//caiD//yfdX//
ArgP	aslB//fumC//glgB//manZ//araG//tnaB//pck//kbp//fliL//dcuA//tam//pspG//glgB//paaF//
ArgR	ugpQ//murD//glnG//dgcZ//hycA//dctR//glpX//motB//gcvH//fucK//cyoB//pitB//ybfN//dnaA//phnK//trpD//yiaL//caiC//hybC//glpK//gltF//yncE//trpB//wzzE//fecD//fdhF//ycjF//pdeH//sgbU//trxC//ddlB//yaiA//bioD//malY//hipA//flhA//leuD//tnaB//
ArsR	caiA//tsx//ttdR//
AscG	cysP//gabP//ahpC//murQ//phoB//
AsnC	dcuS//yibQ//manZ//safA//
AtoC	narI//pepA//astD//gatD//
BaeR	acnB//ulaA//mzrA//lpxD//deoB//codA//fbaA//recX//
BasR	csgF//paaF//ldtC//rfe//glpB//phnJ//yqjA//malY//hyfF//nikB//ygbK//ygbK//glpK//
BetI	ydhT//flhA//uspE//eda//
BirA	rcsA//cpxR//paaI//fecD//psiF//
BluR	phr//ptrA//casE//fadR//
BolA	deoB//hyi//
CadC	malZ//agaR//ugpB//
CaiF	lsrR//motB//pyrC//putP//psiE//ecpR//fldA//hemH//mngR//glcB//
Cbl	leuL//efeU_2//mdtE//mdh//sufC//mglB//pepD//rhaA//pyrD//
CdaR	csiD//sdhA//ssrS//purK//hypF//argO//gspO//gspE//deoC//yjbH//
CecR	ftsW//aceK//sdhA//prs//mdtC//
ChbR	narH//cydC//glgA//relB//norR//trxC//
ComR	flgA//
CpxR	hypD//decR//bioA//flgM//phnK//uidR//emrA//prs//murI//crr//cusB//baeS//rarA//ybiT//ybhL//nagE//ccmA//ycjX//metN//paaH//puuR//mgrR//oxyR//deoD//paaJ//ulaB//malG//idnK//glk//accD//katG//ydfH//nikR//dinD//pdeR//ruvA//mzrA//ssuA//yeaD//lacZ//gudP//nanM//dcuD//yegZ//tcyJ//accD//mioC//ftsZ//gabT//spy//flgJ//sgbU//fpr//ynfH//gspJ//soxS//fucR//nrdA//alkB//moaE//bglB//hdeA//narX//yebE//rpoS//glxR//rpsO//ynbA//acrR//flhE//
Cra	hycD//mazF//tyrP//lpxD//fucR//fliN//rutD//cdaR//galT//slt//yaiA//fliL//dkgB//argC//moaA//nuoB//ecnB//ddpD//ddpC//ychF//rcsA//ybhF//skp//lyxK//yjiY//phoA//ygdB//mglC//galK//nuoI//ccmE//rpoE//ydfX//gcvT//rbsK//caiC//fadR//galK//rutG//ybbW//hypB//aroH//glpD//puuB//dcuD//deoD//sgrT//mglB//ugpB//sroD//yjbH//flgG//lsrA//hyfC//gcvA//paaZ//cadA//ftsQ//ppdB//hyfI//paaI//argH//hcaB//fepC//fur//nagA//mqsR//adhE//yiiS//gntP//iscU//rybB//ilvC//pgaD//gfcA//acrD//lldR//flgF//focA//
CreB	lolA//mhpT//hipA//rseA//galR//
CsgD	napH//psd//potI//melR//ynfH//entF//zraS//thrS//yhjC//rhaD//rplU//rpiR//cysA//hmp//glpX//puuD//treB//ompF//iscS//ssuA//citF//fiu//prs//pnp//hybA//nhaR//galS//torA//
CsiR	cpxR//lon//rpmA//argP//caiD//
CspA	agaD//fhuC//
CueR	borD//puuE//rpmI//lon//exbD//pncB//ribA//
CusR	mgtA//dmsC//fdnG//casE//ydhX//dapD//nrdG//hybE//flgH//cyoB//yjbF//lsrR//
CynR	yoaC//glcD//pspC//ytfE//
CysB	potH//astD//emrY//ilvY//pepA//hdeB//yedX//oxyS//fhuA//malS//ydbD//hyaD//folA//garP//hybE//pspD//isrC//cvpA//chbR//agaW//yafQ//rutD//cynT//sgbE//yhbT//hyi//nrdG//ydfE//dinI//ybbY//erpA//mhpB//
CytR	yqjH//gadE//hyfD//ung//nhaA//casA//yiaN//phnP//lsrC//gcvB//wcaA//nanT//lsrF//
Dan	bglG//hybO//dgcZ//fliJ//
DcuR	gabP//cirA//bolA//lsrR//ytfE//rutG//mqsA//hyfR//prpB//
DeoR	phnE_2//puuC//nfo//rnlA//hyfA//aroG//
DhaR	rpsO//amtB//ydiV//dcuA//
DicA	entS//xylF//yfbR//rbsC//dcuD//pyrD//ycjF//focA//
DinJ-YafQ	nfsB//pspD//hypB//
DnaA	pdhR//modC//rtcA//hcr//rpmA//asnC//relE//hybD//flgD//ydhT//ccmD//yeiB//
DpiA	entB//ariR//hcaF//dnaG//talA//zraP//aspC//glmS//xapA//cadA//glcC//
DsdC	rnlA//gspJ//lacY//
EbgR	argP//glpA//
EnvR	flgJ//caiF//
EnvY	treB//tnaC//
EvgA	sulA//ycjX//argG//tcyP//ccmB//gpmM//glpD//ibaG//nuoC//cas2//wrbA//rutF//oxc//alsB//nanK//evgA//pgaD//fimE//yjeV//
ExuR	ygiC//katE//ybjN//araG//lacY//fabG//pepD//iscS//fecR//
FabR	feoA//fnr//
FadR	yjbE//lysA//accD//recA//ppsA//murC//pgi//astB//paaH//entE//aceK//dapB//cydA//pagP//kbaZ//melA//rsmH//hdeB//yhiM//seqA//higA//dcuA//pck//
FeaR	rbfA//hmp//
FhlA	oppA//ryhB//rutC//waaH//mqsA//flgG//serA//metR//yoaC//lysC//fecB//ygdB//gntK//umuC//ydjM//sufC//cydA//flgJ//speB//hha//srlD//idnO//cra//lsrF//hycC//glpF//garP//uidR//flhE//nimR//
FlhDC	citX//pfkA//gspF//aroG//ugpQ//putA//ybbW//wzzE//caiA//gntP//ygaC//ymjC//hyfD//agaW//fliJ//gspH//gcvA//hyfA//gadA//grxD//ddpF//ebgA//pepD//dgcN//sgbE//tnaA//glnP//pdeH//oxyR//hyfI//fixC//creA//osmC//gloA//ymjD//norV//yafO//accA//uxaA//dnaG//betA//yeaH//hlyE//tauB//nuoM//glgX//dctA//caiT//gcl//agaS//katE//yegZ//argF//glcE//guaB//nanM//pnp//pck//glnK//chbA//ydiU//hdeB//cynT//tyrP//agaW//ftsL//agaA//fruA//poxB//ybjN//bioC//treC//ugpA//htpG//tam//fhuB//glnB//patD//rhaD//sucA//glcE//cpxA//
FliZ	argR//ydhW//hyfF//argR//recB//pncB//moeA//pgaC//higA//dinQ//wzxE//lldR//galE//hybC//insD//alsB//nrdG//nuoK//tisB//ydiV//entS//
FucR	torD//ykgM//aroF//hycD//fldA//hslJ//katG//
Fur	caiT//fucK//yfbR//entC//trpR//rutE//treC//fliG//tbpA//fabD//rcsA//argR//ydjM//cpxR//nohA//ung//aslB//ryhB//hypF//phnF//tauD//yccT//gntK//fadH//gcvH//garD//frdC//astB//cyoC//cysG//dinD//gspC//yeiL//ybjC//agaR//yegZ//cpxQ//ompC//uvrB//agaA//pstC//idnK//gspM//gudD//tdcE//fhuE//flgE//lpd//ybhR//fadR//moeB//dapD//bhsA//agaI//glpD//hokD//cynT//gntX//gatC//pstA//purN//cvpA//betB//xapB//mcbA//oxyR//codB//chbF//gor//flgN//nupG//moaB//ynbA//glnK//yciX//aceA//qseC//cynT//cytR//paaD//ydhT//ykiA//potH//ssb//argF//paaH//dhaK//umuD//guaA//garR//yccT//osmC//araE//pgpC//cyoA//znuB//ttdT//moeB//dinD//omrB//pqiB//rtcA//yjiY//fepB//htpG//yhbS//asnA//cyoA//uhpT//murD//phnG//mazE//gspO//aslB//wzzE//phr//xylG//cytR//thrS//ogt//gloA//rutD//grcA//ydhY//ygaC//glpF//mdtB//ascB//emrA//sgrS//
GadE	yciG//nuoN//ccmE//paaA//rffH//modA//chbF//ddpF//malM//uvrC//bhsA//pgaD//cheA//nanT//fecE//nimR//tpiA//ybhG//cpxP//cysD//rpsO//tehA//ygiB//hcaF//yjjQ//glyA//ybbW//mntP//dgcC//
GadE-RcsB	galM//cysA//ydfW//metC//gdhA//wzb//icd//ilvC//glnG//
