#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	adiA//paaA//
AcrR	fliG//paaA//glpT//cusS//nirB//pheT//fliO//alsC//yjhC//inaA//araJ//
Ada	rstA//fliA//glpA//hdeA//
AdiY	gnd//agaD//carB//nrdG//pnp//relB//hyaE//yhcH//
AgaR	phnP//atoE//cyoB//fliA//lsrB//nanM//sufE//gntP//wzb//borD//alaS//
AidB	nuoF//
AlaS	pck//
AllR	marR//tdcE//glnB//paaI//entD//pspA//ftsA//cusS//csgD//
AllS	entE//gltI//cspI//
AlsR	yfiR//yjeV//napC//norR//ilvY//nanS//
AppY	yhdW//yrbL//katE//nfuA//micF//dgcZ//yaiW//nirC//araD//rybA//
AraC	ynbD//agaS//cspI//fadM//metY//rutE//icd//yebE//phnI//rutD//lldD//trpA//cusB//amn//
ArgP	rstB//rutB//hyfE//ynbD//infB//dps//lamB//grxD//hipA//dcuB//yiaM//thiQ//ydhT//purE//
ArgR	deoD//patD//ybaS//aroF//edd//ada//ppsA//oppC//rbsB//galK//ynfG//pepA//trpC//gspJ//gspO//iscU//moaC//fliE//sdhC//efeU_1//glnH//gabD//allA//cysW//nrfD//putP//argD//prpR//ybdN//ydbK//mgrB//fhuA//zwf//flgJ//sucD//yeiL//cecR//ulaB//
ArsR	insK//waaH//tnaC//
AscG	bglG//dsrA//creD//ybjC//focA//
AsnC	rutR//purH//zinT//wrbA//
AtoC	fliF//fadE//glyA//mpaA//
BaeR	potH//dhaK//cysP//ydbK//ptsI//sroA//hyaC//cysD//
BasR	gntP//znuA//lpd//ydfE//accA//garR//acrB//tsr//fliJ//tdcB//rffT//napF//appC//
BetI	sufD//gadC//yafN//glpC//
BirA	fixC//norW//evgA//bacA//tsgA//
BluR	ybjN//fucO//rffT//casC//
BolA	argR//mdtB//
CadC	gatY//cirA//yoaG//
CaiF	fliJ//carB//fliN//hokD//yiaO//gudX//ilvC//mtr//nuoJ//glcF//
Cbl	luxS//gdhA//csgB//fbaA//yhbT//lsrD//uxuA//glxK//fliZ//
CdaR	yeiL//dsdX//creA//purM//ygbA//dsbC//rnpB//cynX//dhaM//csrC//
CecR	hdeA//ybjN//nagE//psd//gspI//
ChbR	gltJ//accC//hns//yhjC//pepA//amtB//
ComR	ybiT//
CpxR	yhjC//yqhG//fadM//fliK//rplU//hyfB//ynbB//ycdZ//zraP//gcvP//paaZ//cpxQ//ymjC//ynbC//lyxK//argF//sgbU//csgF//hyfI//znuA//carA//cysC//nfsA//purE//slp//psiF//ldtB//mngA//fixB//purF//chbC//narX//yafO//moeB//lldD//chbC//rhaD//nemR//metL//fepB//yccT//flhD//nrfE//mhpB//hycD//hybF//icd//fucK//fldA//citE//gspM//flgK//dkgA//hyfR//malX//sodA//modC//gspK//ycjY//alaC//srlR//ybhL//ptsH//allC//galS//hmp//yncE//phnG//nupC//znuB//
Cra	glyA//yfiB//gabP//zraP//exbD//rsmH//ttdA//fumC//oppA//focA//malI//nanS//fdnH//nuoG//puuE//yhbS//uxuR//arsR//ssb//napC//cydA//malE//phnE_1//cspI//gadF//flhA//xylB//relE//napA//metL//dgcC//aroL//exuT//ybaT//fadM//trpD//sutR//gspG//ssuE//fliH//galK//acrB//yiaK//sufE//accC//mhpA//uxaB//motB//ppdA//gpmA//mdtE//sufE//kdpB//arsB//mdtC//ydfN//lsrG//dcuA//wecB//napA//ydeI//trpE//gatY//gspC//soxR//aslB//pspG//ygiB//purD//ccmD//uspA//caiA//flgL//lsrR//trpC//glgB//ybbW//yjhB//gcvH//
CreB	sdhB//hyfC//speB//slp//ydhV//
CsgD	sulA//bglB//mgrR//glgP//znuA//fliO//gspF//gatA//argI//allC//araC//yoeB//gudD//pgm//ubiX//citG//hcr//tauB//wzb//srlA//napB//dinD//bolA//entH//ydfE//mdtB//idnT//guaB//
CsiR	deoC//ung//glcG//nikC//glcG//
CspA	rplU//hypC//
CueR	cusB//ssuB//phr//gspM//leuD//sgbE//melR//
CusR	evgA//rutB//pfkA//ccmD//ygeH//cusC//metR//mepH//nuoL//paaC//cadC//glpA//
CynR	nanM//zntA//hcaD//manX//
CysB	insK//dhaM//katG//spy//zntA//hyfG//glnK//fdnI//cysH//fimE//yafQ//dtpA//argD//moaD//accB//nanA//yqjH//sufS//hybF//sroD//xylF//hydN//gatY//wecE//metY//uidB//cynT//obgE//ybhR//agaC//aceB//fliF//
CytR	focA//fhuA//fruA//recD//ulaE//ccmD//nanS//flhC//tsgA//guaB//yegH//yebE//hyfB//
Dan	poxB//malP//phnN//hisJ//
DcuR	glgX//serA//yecR//sroC//ddpX//flgF//bioD//gdhA//yrbL//
DeoR	ulaF//nfsA//eno//paaE//fepD//lacY//
DhaR	nrdA//csgD//yafP//fliA//
DicA	pdhR//rpmA//mgtL//yeaG//yoeB//ydbK//bioD//yefM//
DinJ-YafQ	xylF//uspE//ttdR//
DnaA	ybfE//garR//cadB//puuD//rffC//mltF//bamE//mtlD//inaA//ompW//truB//pspA//
DpiA	flgE//amtB//uxuR//ccmD//cusA//glk//csrB//fixB//narG//betI//ibaG//
DsdC	hypC//gadF//mpaA//
EbgR	rstA//ubiC//
EnvR	puuP//cirA//
EnvY	bioA//wecE//
EvgA	alsA//murR//srlD//pflB//modB//pck//pyrC//recA//atoD//mhpB//dnaG//paaJ//gspK//ribA//dsdX//pgaA//pyrD//hslJ//appY//
ExuR	cydB//mntS//gadW//appX//rstA//rplU//yhdW//nuoB//gspO//
FabR	feaB//adiC//
FadR	fliD//tcyP//hycA//artP//hybE//ccmC//nuoN//exuR//caiA//uvrB//pspG//gntK//lldR//gatD//araC//ydfX//lpxA//rpiR//paaA//udp//yafP//ycjG//hycE//
FeaR	fecA//trpD//
FhlA	thiQ//yecT//mltF//seqA//osmB//nuoI//malX//rutG//narX//ydfX//narJ//malX//ddpA//paaJ//malP//ryhB//yjjZ//recC//flgG//acnB//sra//gadA//bioD//sdhB//ykgM//acrZ//melR//lpxA//hcaC//wecC//
FlhDC	micF//dgcZ//rnlB//nimT//dsrA//srlA//potG//cydC//malF//glpX//rybA//fliK//borD//cirA//moaB//accA//cydD//fliP//soxR//yeiL//pnp//iscS//mprA//garD//phoA//phr//yhjX//cusC//pspD//hslJ//nikA//yrbL//fliR//sgrR//iscA//ynbC//dnaN//aspC//dinI//treR//tauB//tdcB//ugpE//asnA//csrB//yeaR//murR//garL//glpF//omrA//yafN//ssuA//yjjZ//pspG//flhD//betT//malE//flgL//mpl//dsdA//rpmA//dinD//aspC//ogt//uxuA//rpsO//gatC//fadI//pyrD//oppB//fabD//sodB//yneM//cysB//hisP//aroF//entS//rimP//tbpA//gltF//hycH//yqjI//
FliZ	fabH//tdcF//fucP//mioC//chbA//fucI//aroM//flgF//ompC//yidL//ydfH//soxS//cheA//yfdE//ddpA//argP//chbA//rpoD//aroM//glxR//tsgA//
FucR	ribA//fliP//fepE//adiC//yeaR//nhaA//argB//
