#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	rnlB//yegZ//
AcrR	glcF//dmsC//gntX//accD//galP//rimK//melA//ccmC//nagA//gpmA//iraP//
Ada	bioC//casB//cysM//paaE//
AdiY	alaS//sufB//nemA//tauB//ycgZ//hcaD//phr//srlB//
AgaR	sbcC//thrS//mlrA//feoA//paaX//iraM//exbB//murQ//yeaR//psiE//hyfI//
AidB	hyaA//
AlaS	bluF//
AllR	ybaS//uvrY//rpiR//gloA//alsB//mdtA//nuoN//phnO//gadE//
AllS	atoB//hcaE//aceE//
AlsR	hycH//kdpB//lsrG//srlA//mzrA//yhjX//
AppY	yedX//putA//ybjN//araB//cysA//melR//betT//feoA//flgD//cheW//
AraC	fhlA//rffT//gcvT//yegR//frc//fadB//ssuA//bglB//ybjN//oppC//yfiR//aroM//putA//bioC//
ArgP	mglB//sgrS//phnL//hyfR//ygaC//nrdH//srlR//rplT//htpG//pstC//phnE_2//artJ//araC//leuO//
ArgR	malP//nfsB//ompW//sbmA//yqjH//cas1//cysM//frdC//glgA//flgE//slt//cpxA//sbcC//araD//gspH//katG//atoD//entE//yqjH//dcuB//hokE//pncB//nrfB//glpQ//ecpR//rpoS//garK//galE//motA//lacA//cytR//rprA//ecpA//malQ//fabI//waaZ//yhdY//ydfX//
ArsR	fabG//xylA//phr//
AscG	yeaH//sbmC//ydeO//phoU//cytR//
AsnC	argC//guaB//ubiA//fimE//
AtoC	tdcC//deoC//sdhA//dcuA//
BaeR	gutQ//cyoC//mzrA//fumC//ompT//pstS//hflD//katG//
BasR	purH//stpA//lpd//ychF//wcaB//cueO//nadB//xylG//idnK//ykiA//ubiC//phnH//hokE//
BetI	fhuC//ilvC//flgF//glnA//
BirA	exuR//higA//phnN//creA//cadB//
BluR	ihfA//sgrS//ftsQ//trpE//
BolA	recN//glcD//
CadC	fliR//metI//yjhC//
