#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	sgbH//dinQ//
AcrR	ppsA//cspE//purB//nimR//ydfE//degP//crp//mazF//garR//rarA//uxuR//
Ada	fpr//hycH//flgK//ftsK//
AdiY	lpxA//araE//hypF//ulaD//fldB//waaZ//fliN//ssb//
AgaR	gutQ//yhbT//fhuE//murR//ydhW//tauC//fucR//idnK//acrD//baeR//wecC//
AidB	glmS//
AlaS	flgJ//
AllR	frc//yqhD//speA//fecD//tdcG//tbpA//gltI//murR//bioD//
AllS	nrdE//efeU_2//chbB//
AlsR	rstB//znuB//ydeO//ygiZ//garK//hyaF//
AppY	yiaM//ybjC//yiaJ//srlD//flgA//ccmH//crl//ymiA//entE//wzb//
AraC	fur//gltF//fecD//rpiR//hcaC//fepE//yiaM//ftsA//galE//ulaG//glmS//entS//glpK//agaV//
ArgP	ynfK//allB//yqhG//yfaE//flgB//fhlA//lysP//phnM//nikR//ompT//deoA//iscS//rbsA//glnG//
ArgR	yibQ//ptsI//rstA//paaY//ftsL//pdeL//pflB//kdpC//alkB//ubiC//nuoC//phoR//hyfH//rffC//metA//iscS//rcnA//ygeA//flu//cusB//xylB//allS//dsrA//ydjM//nagE//fpr//hcaD//phnO//napH//hcaR//luxS//flgF//purC//znuC//symE//alsB//lexA//sgrS//
ArsR	mqsA//rimP//osmB//
AscG	mgtA//dnaN//ygaC//betB//yeaR//
AsnC	aspC//relE//entC//prs//
AtoC	dpiB//artM//hypE//agaB//
BaeR	hipA//ulaA//idnK//metE//agaI//ompC//uxaA//arsC//
BasR	mhpF//gudD//nanC//lhgO//leuA//sgbU//feoA//sbcC//cueO//potH//ydhV//rimP//accC//
BetI	higB//phnD//gnd//fliH//
BirA	ptsG//fepE//ycgR//flhD//crl//
BluR	metJ//gadA//acnA//gntU//
BolA	ttdB//agaI//
CadC	cspD//yegH//kdpB//
CaiF	hycE//ygeA//nrfE//nac//recA//gatB//fixA//higB//purB//oppA//
Cbl	ydhV//fabA//fecB//sroC//dinF//manY//seqA//fes//ldtD//
CdaR	sra//argG//argP//gadC//cbl//pgm//ynjI//fliT//hns//garK//
CecR	fruB//ung//yoaC//yoeB//puuE//
ChbR	nanA//fadE//ygiZ//fliK//deoD//csgA//
ComR	xylR//
CpxR	moaC//argT//csgC//paaI//betB//paaE//kdpA//cysU//hcaR//pnuC//fliA//flhB//stpA//intQ//flhA//glgB//paaG//idnD//motB//uxaB//ilvY//caiA//yeaR//pgaA//narJ//nirB//gspL//glpQ//edd//baeR//fecA//cysH//ribA//cpxR//zntA//skp//citC//rarA//glnB//napB//fadD//ulaD//dsrA//tauA//mdtC//feaB//gcvH//ubiA//phoU//zinT//yiaK//napB//yrbL//deoB//mlrA//nagE//skp//trxC//cydB//iraP//rtcB//mnmG//agaW//ung//ahpC//cysJ//yiaN//ssuA//moaB//grxD//
Cra	melB//rhaS//dnaG//ygeA//yciF//appX//rcsA//caiT//gatD//deoA//nrfB//uidC//yiaL//sroA//glpC//setA//sdhB//stpA//dsdA//frdC//ddlB//cas1//tdcE//gadC//hyaA//gcvP//soxS//frdA//rnlA//mlrA//xylA//pspC//hypF//entD//slp//csrC//melB//allD//appY//purF//rutC//wecC//gutM//recA//yqhD//cyaR//rclB//pitB//ymgA//yeaR//stpA//chbC//sucB//ttdA//dgcC//sufE//rpoH//phnH//mgtL//sulA//nikC//narI//yebE//seqA//malF//hlyE//asr//purR//ulaB//yccJ//phoR//yiaJ//gspC//nlpA//gpmM//yhdY//hybF//ssuC//ulaG//
CreB	xylB//waaY//citX//idnT//nohA//
CsgD	katG//ygbK//ydhT//cusB//glmU//sgrS//iclR//entD//cynT//malP//hipA//nirB//mhpE//ccmA//hybF//flgG//nlpA//yhhY//cdaR//hisP//wrbA//sgbU//flhC//fucO//frdB//nagC//argB//glnH//
CsiR	lpxA//yjeV//iraM//yidQ//psiE//
CspA	csrC//ykgM//
