#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	fdnI//speA//
AcrR	xylG//tolC//argG//asnA//ftnB//nagB//yeaE//csiD//wzzE//mngA//nuoL//
Ada	fhuF//fimE//flgM//inaA//
AdiY	dcuR//glnP//ddpB//fucK//sutR//folE//mntP//pfkA//
AgaR	tsx//ampC//dsbG//katE//fecE//fabH//nrdE//rutE//yciG//sutR//feoB//
AidB	dinD//
AlaS	fhuF//
AllR	fliC//yccT//fliA//tfaQ//fixB//hyfG//cpxA//pepA//entF//
AllS	bglF//ccmG//marR//
AlsR	fadD//galR//mpl//mazE//decR//dicC//
AppY	torR//gabT//gadE//ynfK//purH//ndh//rbfA//hypB//alkB//rpsU//
AraC	metB//cvpA//glcA//mdtA//trpL//ecpA//dapD//hyaF//iscS//rpmI//ulaC//yeiL//garK//glcG//
ArgP	rnpB//cheW//fliP//pgk//fliR//aroL//rnlB//cydA//casB//lgoR//yqjI//cusF//znuB//flgC//
ArgR	fliL//malP//dtpA//astE//appC//aspA//argI//mhpB//tadA//fhuA//ccmC//erpA//hisP//fucA//gloA//sroD//crr//marB//mgrR//paaF//gpmM//uspA//dapB//yciG//gspC//gltK//allS//uxaC//rhaB//cspE//uidA//wzxE//glgP//pck//waaZ//chbF//oxc//slt//
ArsR	gspF//exuR//glcG//
AscG	gloA//mscM//nanT//kbaY//mdtB//
AsnC	ada//wcaB//cecR//prpC//
AtoC	ydhV//dnaG//cysE//uxaA//
BaeR	narL//fixX//tpiA//paaJ//ulaF//trpB//ynbC//degP//
BasR	tam//phoE//lsrB//mtlD//codB//ddpB//eno//dinQ//bdm//hycC//bluF//rcsA//mcbA//
BetI	dgcZ//idnR//udp//paaI//
BirA	flgN//ybaT//deoA//phoA//hlyE//
BluR	appY//fliO//fucI//znuA//
BolA	tauA//rbfA//
CadC	cusA//argB//ybjC//
CaiF	phoB//garP//ariR//evgS//ulaB//rffM//cydA//ykgM//ttdT//erpA//
Cbl	fucI//yeaR//aceE//phnJ//argI//entC//mglC//lysP//metB//
CdaR	yjbG//pgaB//araA//dsrA//fabZ//ecpA//aidB//fabZ//iscR//envC//
CecR	appY//ahpC//tfaQ//gadE//nuoE//
ChbR	dps//agaV//yccA//evgA//evgS//hflD//
ComR	uspD//
