#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	osmB//grxD//
AcrR	glnH//cueO//mgrR//ygiB//yefM//metY//yeaH//ydhY//ahpC//sdhB//cysK//
Ada	dhaR//prs//fadB//cytR//
AdiY	ydhT//tehB//ddpA//nlpA//yccT//exuR//moeB//sucA//
AgaR	hflD//umuC//phoQ//dnaA//srlE//agaA//accC//hyfC//sgrS//astD//nirC//
AidB	yciW//
AlaS	ybaT//
AllR	hcp//ppiA//cyoA//aroP//hybD//fldB//ycjG//lsrF//mqsR//
AllS	pspA//mhpE//yagK//
AlsR	yiaK//yidL//oppF//rsmH//cysU//pspD//
AppY	fliA//tadA//recX//dcuB//tbpA//chbA//fadR//ogt//dpiB//mdtF//
AraC	truB//focA//trpL//modA//dicB//cydB//gatY//iraP//ihfA//flhC//csgB//hns//ynfG//dgkA//
ArgP	alaC//caiE//malQ//astA//paaD//entC//yafP//metR//tbpA//caiF//alkB//paaC//pgpC//creB//
ArgR	cusA//glmS//dgcN//kbaY//rbsB//cspD//yhdW//metQ//xylF//ykgO//hycE//dnaA//fliM//yciW//gntK//glpX//yhdX//ybbW//rpiR//rcsA//pflB//artP//purR//nuoJ//setA//omrB//gadB//trpR//ygbK//emrK//fau//argB//sufC//cysH//ascF//mglA//amtB//focB//
ArsR	fhuE//murI//glpQ//
AscG	napC//nanK//hemL//dsdA//ddpX//
AsnC	phoP//yhbE//potI//nirB//
AtoC	glcE//mraZ//hcaB//accB//
BaeR	wcaA//mhpC//mraZ//uvrY//idnR//pstS//rpoD//nuoE//
BasR	sroD//gcl//zraP//rplU//mntH//paaD//gspG//tolC//rstA//acrZ//ssuD//motA//agaI//
BetI	pspG//epd//nikE//ebgC//
BirA	aceA//dmsD//mgtA//betT//yhdZ//
BluR	insD//tcyJ//yqaE//ptsH//
BolA	acrA//rpiB//
CadC	fucA//mraY//hyaA//
CaiF	nagC//insK//tdcE//atoE//ycgR//rdoA//ygeH//glnH//puuR//sufA//
Cbl	gspK//glnA//metE//cspI//btuB//dcuR//serA//ybhR//lsrB//
CdaR	lsrR//tcyP//gutQ//pflB//dtpA//yegH//pdeH//ddlB//ubiC//galK//
CecR	ribA//ydiU//fabB//relA//metQ//
ChbR	agaA//cspE//mglB//ttdA//relE//decR//
ComR	sgrR//
