#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	lysP//codA//
AcrR	rffC//yhbE//fepB//srlA//molR_1//phoP//ecnB//chbB//fepA//fecR//metB//
Ada	dpiA//yfiB//dsdX//nuoK//
AdiY	ymjD//purE//yhbT//cueO//mraZ//yqjH//phnC//gltB//
AgaR	pncB//nrfA//tcyJ//mgrR//flhA//pgaA//chbF//dsdC//ycgZ//ygiZ//nikA//
AidB	pdeR//
AlaS	napB//
AllR	leuL//ddpX//rbsB//ynbD//csgG//torA//slp//hslJ//manX//
AllS	ssuB//talA//pnuC//
AlsR	dgcN//sucA//casE//rhaT//sucD//malE//
AppY	yjeV//ynjI//lsrK//astE//xylH//fliH//flgM//artQ//yecR//paaY//
AraC	stpA//rbfA//gltI//fhuD//flu//ompC//gspM//ydbD//pdeR//sdhC//mpaA//asnA//glgA//dkgA//
ArgP	ddpD//hycD//feoC//ynbB//zwf//cydD//skp//wza//idnT//ccmF//fldB//artM//prpB//acnA//
ArgR	pgi//pnp//asnB//ydhT//nanT//feoB//fepC//cspI//folE//fadL//sufB//hisQ//rbsA//dhaK//lldP//thrS//thiP//uxuB//fau//accD//focB//hycG//rpoS//fliP//aceF//hha//cpxP//cusF//narJ//gntK//ttdB//mazF//folE//zraP//glpX//allA//sgrT//trpB//
ArsR	cyoE//dicB//evgS//
AscG	glyA//cpxR//yqaE//pagP//ogt//
AsnC	hybA//rpsO//glyA//zraS//
AtoC	rbsC//yciG//casC//puuB//
BaeR	uxaA//dpiB//mhpT//malM//borD//garL//trpD//tehB//
BasR	edd//tdcA//ppiD//infB//cadA//dhaL//nfuA//dctR//hypD//motB//yegR//moaE//sgrT//
BetI	trpB//nanC//ilvC//kbaY//
BirA	kdpA//pgpC//trxC//napC//xylB//
BluR	mtr//hyfB//entE//ugpE//
BolA	gadW//gloA//
CadC	fadJ//pck//gadY//
CaiF	sbcD//waaH//efeU_2//tam//bioD//ydhT//fixX//dps//asnA//phnI//
Cbl	fecC//malQ//sdhB//fliQ//cynT//ycjX//purE//nagE//tolC//
CdaR	dgcC//putA//hyfR//tdcG//znuA//yoaC//prpB//dsdX//fucU//idnT//
CecR	lsrK//talA//rclA//alsE//tadA//
ChbR	fhuB//hybE//sulA//nagC//fepG//napC//
ComR	hypD//
CpxR	dnaA//hypE//idnD//ruvA//dacC//crr//phnN//nuoB//moaE//psiF//slyB//frc//narH//glcF//wecC//pspG//fliN//lysA//ugpB//yegR//gspK//inaA//nuoI//flgN//pepD//sufS//appY//efeU_2//argD//nuoE//artQ//envC//osmB//yibQ//ydiU//yibQ//ydcS//tbpA//fliT//gadF//pheS//tehB//hyaF//yqjI//narJ//metL//cusS//betI//xapB//norW//phnN//csgC//uidC//ybhR//wcaA//alaS//pspC//ebgA//ynjI//ccmC//fimE//tdcE//marA//udp//ydcT//rhaT//rstA//yiaN//wecE//bdcA//
