#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	wzyE//ynfE//
AcrR	ssrS//ompN//rffT//cusB//melR//rhaB//iscU//yhdW//yrbL//creD//yfiR//
Ada	rplU//rutG//srlE//fucK//
AdiY	htpG//ybdN//polB//pspE//bioC//flgH//pnp//gadE//
AgaR	cysJ//fepD//ydeM//fliC//nrfA//eda//cusR//sroA//ydfD//thiQ//murC//
AidB	amn//
AlaS	aroG//
AllR	ygbA//cysG//wecB//cysK//ydfE//rhaB//yjiY//melA//waaH//
AllS	alsA//sucB//arsR//
AlsR	pspB//aceB//allS//yhjC//ruvB//cra//
AppY	ftsW//idnT//flgF//arsC//cydA//flhB//recX//kbaZ//yjhC//dacC//
AraC	recD//lrp//ascF//hns//tyrB//asnB//recA//fdnG//fruK//paaD//lexA//nirC//sra//uvrD//
ArgP	glpD//nikD//appC//metA//alkB//rclA//glcB//moaE//feoA//cysD//ydfW//znuA//ygiC//nikB//
ArgR	fixX//bacA//araA//gspF//kdpF//yegH//fau//lsrD//ydhT//lgoR//rbsR//hcp//frc//idnR//galK//relE//cydB//flhE//fbaB//ybhF//pqiB//cyoE//fecB//dnaN//fucK//ccmA//ccmF//puuC//thrS//garR//ulaA//eda//rpoH//phoH//argA//accA//fruK//uidC//
ArsR	kdpC//fabD//rpsU//
AscG	nhaA//ymgC//lexA//nagA//caiA//
AsnC	nimR//mpl//oppB//phnE_1//
AtoC	moaD//ulaB//glcF//ssuA//
BaeR	narG//nagB//fbaA//yciF//fliQ//cas2//acrR//pspF//
BasR	glcE//gntP//ccmE//cysU//malX//katG//rybA//rffT//codB//galM//nagB//moaC//agaS//
BetI	agaC//dkgA//yjbG//deoC//
BirA	yeaD//crl//yidQ//efeU_1//deoD//
BluR	hyfJ//gudD//ydbD//phnC//
BolA	cadC//lsrR//
CadC	yiaL//yhdY//agaB//
CaiF	gabT//dcuS//creC//phoR//lldR//rnpB//fhlA//bhsA//gudX//nanE//
Cbl	sgbH//add//flgJ//nagB//ftsL//cpxA//tfaQ//qseC//purR//
CdaR	patA//yhhY//glgP//flgK//wcaB//mraY//lpxA//tsgA//paaI//glpA//
CecR	rfe//malF//ygiA//sbmC//argO//
ChbR	gcl//citX//yhjC//citE//ugpE//ugpQ//
ComR	thiQ//
CpxR	yhdW//fixX//kdpC//mtr//fliD//fecD//ycgR//mepH//hcaD//symE//asnB//metF//yjbG//yfaE//alkA//serA//glcF//artI//araH//sdhB//fhuE//paaD//yafQ//yebG//yaiW//arsC//caiE//kdpB//hdeA//aroP//fabZ//glpC//hybA//ulaA//yfbR//ynfE//flgC//uvrC//sroD//yebG//omrB//torC//hyfB//trpL//ddpX//lhgO//cydB//artP//allD//galM//aspA//xylR//lsrR//napH//mhpD//gatA//atoB//dapD//iscA//rhaR//fucK//tyrR//phnP//oppD//dicC//gspG//csrC//yiaK//astE//ynbC//
Cra	dhaM//envC//mpl//decR//ssuB//hycA//rpoE//mpaA//umpH//ygbA//metI//malE//nrfC//erpA//yeiB//waaZ//pstA//hcp//gspC//betB//rseC//ssuA//rstA//yqhD//ybjC//ytfE//grxA//agaD//malY//hcp//nhaA//ydbD//exuT//gltK//gyrA//nohA//yfdE//fliD//leuA//yqjI//aslB//nuoC//yjbF//pqiB//glnA//guaA//acrR//uxuA//psd//yhbE//rtcA//lysA//metC//ruvA//yjhB//ygiZ//pgaB//ygdB//rcsA//malT//cysN//ybdN//sfsB//ynfK//slt//metA//gatY//feaR//fpr//seqA//hycD//cbl//nrdI//treC//yfdX//hflD//hyaD//nrdE//trpE//
CreB	yeaD//ulaF//rpmI//lpxC//aroF//
CsgD	rpoD//pstS//ompW//ptsH//atoD//tynA//oppA//nrdE//cysK//malQ//puuE//pspC//fruA//gspF//yciE//yeaG//ubiC//insK//purA//rhaA//phnI//deoA//cysM//ddlB//sgrR//pheM//psiF//yafO//
CsiR	ybdZ//ygdB//ybjC//pspD//nirC//
CspA	ddlB//phnL//
CueR	insD//caiT//nemR//isrC//caiE//wzyE//srlD//
CusR	araB//cusC//modB//bioB//prpD//phnC//dgcC//uxuR//luxS//cysU//fecB//ssrS//
CynR	yiiS//mgrB//uxaC//pspA//
CysB	zwf//mpl//rclB//cheA//gabP//omrB//ydfX//ada//wecB//zwf//lsrD//sfsB//lsrF//yagK//casB//purD//atoE//grxD//phnN//ycgR//purD//ymiA//yiaJ//glnG//iscS//srlD//slt//nrfD//pspC//bacA//metY//symE//
CytR	galS//acnB//glmY//hypA//yccA//oxyS//alsE//fau//allB//ybbW//fdnH//sufD//yfaE//
Dan	hyaD//sufB//dicC//idnT//
DcuR	ydfX//dapB//poxB//chbB//eda//mraY//yeaH//osmB//fhuA//
DeoR	gabT//mhpD//hyaE//yfdV//fixC//gor//
DhaR	glpQ//ftsW//trpR//trpA//
DicA	galM//glcG//oppF//phnD//gspJ//fdnH//ydbD//aceK//
DinJ-YafQ	melB//rpoE//ccmG//
DnaA	astC//torA//ompW//glnG//csrC//trpL//pyrC//yccJ//cpxQ//motA//oppD//mprA//
DpiA	narI//ppc//crl//rpoD//ynbB//allA//cusF//metJ//hypA//malS//purL//
DsdC	cysB//arsB//lsrF//
EbgR	melA//fecI//
EnvR	umuD//carA//
EnvY	treB//wecB//
