#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	mscM//alsC//
AcrR	gspD//murQ//rbfA//accB//yegR//hypE//pykF//tisB//nuoM//tehA//copA//
Ada	ydbD//glpA//uxuA//ycgR//
AdiY	paaG//znuA//nikD//emrA//fabB//pspA//ygeA//cysP//
AgaR	paaZ//manZ//trpB//caiT//rcnB//treB//aceE//accD//galK//sufB//hha//
AidB	oppC//
AlaS	glmS//
AllR	hyfE//prpD//caiA//gspH//tcyP//ruvB//gpmA//glnA//araH//
AllS	sgbU//yecR//narX//
AlsR	recX//caiA//mhpF//appY//frc//ydhW//
AppY	nrdG//pspF//spy//puuE//wcaA//fucI//yegR//aroL//sbmA//yedX//
AraC	ydhY//marR//ytfE//agaV//rpmA//dtpA//aceA//fliN//argE//pstC//nhaA//aspC//cusS//lsrR//
ArgP	csgB//cpxR//rseB//mdtD//frdB//dgkA//modA//ychF//gspE//ssb//crl//rpoD//zraR//fbaB//
ArgR	torD//iscA//nemR//slt//yiaL//mazG//yoaG//casC//tdcB//glnA//ygiB//yjbE//ibaG//aceA//yjiY//flhC//cusS//moaA//mazG//araA//uvrA//argF//yhdZ//fliF//yebE//fruA//yebG//paaF//decR//rcsA//edd//mhpE//fdnG//araJ//fadB//fliQ//torC//malQ//
ArsR	pspF//cysI//ygeA//
AscG	sucB//ycgZ//ycjG//ldtD//oppB//
AsnC	ynbA//ada//dgcZ//leuB//
AtoC	rseB//lysA//rutB//nuoJ//
BaeR	flhD//uvrY//sgrS//cusF//wecE//malM//ldtB//ptrA//
BasR	entF//glcA//gapA//leuD//ecnB//fliQ//ydcS//uxaA//aroM//metK//ydfE//phoA//tonB//
BetI	polB//yhjX//pykF//copA//
BirA	napG//ftnA//rcnB//paaJ//galT//
BluR	ftsK//flgA//modB//arsR//
BolA	folE//crr//
CadC	lpxA//fliT//yjjQ//
CaiF	yeiL//tyrA//gloA//artI//iraM//ppiA//trpD//pgaC//rpoS//artI//
