#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	fhuD//flgH//
AcrR	nanE//pnp//ugpA//agaI//katG//bhsA//ebgC//ygiB//ulaE//araC//yrbL//
Ada	ydjM//wzzE//fdhF//napA//
AdiY	potG//fepD//gcvT//frdB//dtpA//tomB//relE//aspA//
AgaR	ydeN//lsrC//gltK//hyaD//moaC//mioC//folA//bglF//uspD//psiF//aceB//
AidB	flgJ//
AlaS	fixB//
AllR	ygeA//citE//exbD//umuC//metC//nuoF//ompC//rnlB//glnQ//
AllS	gspK//fdnI//glnL//
AlsR	ulaF//uidA//fhlA//ompC//ompT//uidB//
AppY	glpT//cecR//malI//glpC//treC//yhcH//fliI//glnL//entA//ubiX//
AraC	lpxD//appC//ptsI//yegR//tdcG//cynT//argH//moaD//agaD//melB//nikA//ydiV//lsrR//mhpD//
ArgP	tdcF//allD//atoA//citC//mhpC//entF//fliR//yibQ//nrdD//gudP//ssuB//dicC//mtlR//mgrB//
ArgR	lpxD//appA//sroC//znuC//pgk//nanK//yecT//sutR//yjhB//gfcA//aceB//ynbC//gadA//rdoA//wzzE//zraR//ynbD//trpR//carB//metE//nusA//rclB//feoB//mdtA//ariR//appY//yfiB//tadA//nagE//omrB//glpC//ybhR//ynbA//mscM//ascB//znuC//nanM//metH//
ArsR	purE//rseA//bioC//
AscG	yhiM//lsrB//wzyE//lsrR//ada//
AsnC	umuD//rutE//flu//ybfN//
AtoC	gcvT//pdeR//narI//nrfC//
BaeR	ampC//fdnH//yoaG//glgC//crl//mraZ//dpiA//recD//
BasR	malQ//alaS//grxD//dinB//yciF//flgN//pheM//gutQ//ugpB//sdhA//trpB//pflB//udp//
BetI	sufC//mgrR//gltJ//ptsG//
BirA	fliR//alkB//norW//fabA//pyrC//
BluR	tisB//glpA//hyfA//ttdA//
BolA	prpR//napC//
CadC	rpoH//bioD//fepE//
CaiF	potI//ymjD//araC//yqjA//paaD//oppD//fimE//hypD//metC//malS//
Cbl	fliI//ryhB//ynfG//flgE//malE//yeaG//phoQ//fixB//ccmE//
