#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	tonB//psd//
AcrR	oppC//narG//prpD//agaW//ygeH//mglB//casA//rpoH//appB//argP//fecI//
Ada	cheW//asr//alsC//nuoH//
AdiY	fliQ//cpxR//mdtF//soxS//metJ//higB//ruvA//cyoE//
AgaR	napH//wzb//pqiB//ydeN//pstA//artI//rutB//hybF//hypC//melR//ppdC//
AidB	paaB//
AlaS	ugpA//
AllR	yhdX//phnE_1//rpsO//wzc//hypF//mdh//sufD//glpQ//tsgA//
AllS	fimB//baeS//fnr//
AlsR	phoR//galT//trpC//ygbK//gutQ//ulaG//
AppY	gabT//rutA//fruB//focA//paaC//torC//yfdV//qseB//yciE//yeaG//
AraC	ecpR//yhdY//lysR//aroG//ykgM//asnC//gadW//dsdX//cadB//nirD//pnp//nimR//obgE//aslB//
ArgP	malY//modB//tnaB//napB//polA//norW//ompC//purR//yegH//flgD//chbA//betT//hybC//ybjC//
ArgR	seqA//efeU_1//dcuR//qseB//zraR//caiB//tonB//agaC//cdaR//gabT//ulaE//phnM//trpR//ybdN//oppD//crr//ahpC//fliF//idnK//ybaT//nirD//eda//recX//hcaD//nanA//allB//pspA//dgkA//fhlA//ppc//alsA//cpxQ//prpC//cysD//ybjN//rpoH//feaR//fliL//
ArsR	ydiU//alsE//nagE//
AscG	gcvH//ynfF//citG//insD//ynfH//
AsnC	fucA//yfiR//argO//pstS//
AtoC	fecR//insD//betI//cusS//
BaeR	gudP//artI//yhjX//lrhA//phnO//idnT//rutE//psd//
BasR	ycdZ//hokE//ydiU//glcD//fadM//aroH//paaG//lsrD//rbsA//marA//entS//xylB//yaiA//
BetI	symE//cra//malP//ebgC//
BirA	nuoN//pstB//cysB//ftsZ//yafO//
BluR	ybbW//uidA//hyfD//glcC//
BolA	phnO//hybA//
CadC	alsC//degP//fnr//
CaiF	ybfN//mhpC//murD//glnB//trpL//casA//napC//feoA//glnB//ygaC//
Cbl	argR//pgaB//fucU//cusA//fbaA//uxaC//gpmA//dkgB//glpT//
CdaR	aroM//aidB//yfdV//fucR//tnaB//fepA//fadL//pyrC//xylR//deoB//
CecR	alkA//carA//cynS//idnR//yiaK//
ChbR	agaD//paaB//ascF//fucR//gfcA//cysC//
ComR	fruA//
CpxR	cyoE//mgtL//rcnB//cysC//lolA//astC//ydbK//ygbK//nikC//iclR//uidA//nuoL//pheT//yjeV//kdpB//umuC//citE//ebgC//mhpT//dapD//gatC//rffT//gltL//ymgC//mgtA//udp//fadI//fur//garR//tnaC//purE//paaX//malQ//glcD//deoD//mglB//fldA//malI//tnaB//lsrB//ydhV//nfuA//tdcC//ccmA//ugpB//mcbA//tnaB//ymiA//eda//tolC//pck//dtpA//yeaH//ttdB//ccmB//hypF//lsrA//rutC//oppA//phoE//napC//ychF//fliN//symE//yjeV//fucA//cytR//pspF//hlyE//moaA//
Cra	ydfW//pnuC//kbp//phoE//purR//exuR//artM//aroH//ybaS//mdtA//dsdA//alsC//fau//ftsW//mhpE//hisM//hisQ//gltJ//cueO//purL//nemA//galE//kbaY//metK//galT//fliE//aroH//paaA//creD//wza//lpxA//glmS//tyrB//nrdG//glnA//gcvT//entB//rutG//yjhB//rpsO//yfiR//rpmI//nuoK//argD//umpH//ruvA//talA//entS//yidQ//sbmA//nfsB//nrfD//murF//malG//ydeP//uidR//cueO//recD//phr//yciX//lhgO//nuoM//paaG//idnT//qseB//mdh//fecI//yqjI//malP//cysD//aceF//lon//fdnG//appC//mngB//hisJ//uspE//fau//inaA//
CreB	torA//dhaL//entA//glpB//melR//
