#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	ymjD//emrA//
AcrR	malG//ssuB//cheW//entB//fucK//xylB//marR//hybD//insD//glpQ//atoE//
Ada	aroP//decR//glnG//gatC//
AdiY	mazG//ftnB//obgE//fadB//stpA//rutB//yeaD//dkgA//
AgaR	yiaK//phnL//ulaD//nrdI//narJ//pepA//gutQ//gabT//dctA//ttdT//fbaA//
AidB	sgbH//
AlaS	ruvA//
AllR	mpaA//marB//sodB//creC//aspC//ilvY//nagC//ugpE//mhpF//
AllS	dsdA//dicC//fliS//
AlsR	wcaA//ascB//fhuE//cynT//gpmM//nfo//
AppY	cysP//ydcS//tdcC//ydeN//araA//ppc//paaZ//yncE//yeiB//fau//
AraC	fhuE//nuoG//glk//leuO//sdhC//gspI//yciG//sfsB//fdhF//motB//oxc//rpiB//nimT//murE//
ArgP	aldA//paaE//gutQ//narH//ydhT//guaB//agaI//ftnB//ybaS//citE//dpiA//yhjA//paaY//kdpC//
ArgR	garK//fadA//alsA//rclA//yciX//phoE//bglF//ptsI//pyrD//dgcN//cspI//agaC//rcnA//yciE//qseC//entF//wecB//tnaC//fadH//betB//ftsI//kbaZ//gdhA//aldA//acnA//fadH//srlD//argH//trpB//tpiA//codB//rpmA//ydcS//obgE//ynbD//rnlA//amn//yedX//
ArsR	ccmD//ynfK//glcE//
AscG	wrbA//mgrR//ybhR//yjjZ//gspH//
AsnC	ogt//ariR//yciX//gatB//
AtoC	recN//astA//rhaS//sgbU//
BaeR	nlpA//rdoA//ddpF//hslJ//insD//rutB//ydeN//hyaC//
BasR	ahpC//lrhA//glpF//trpR//hokE//pck//luxS//zntA//entB//gadC//nrdD//mepH//lrhA//
BetI	cusR//hha//rseA//cdd//
BirA	acrR//ttdR//potF//ymiA//pstB//
BluR	hisQ//ydhW//nrfB//ymgC//
BolA	katG//idnR//
CadC	yiaJ//fldA//fucA//
CaiF	slyB//cusA//ugpE//glnA//thiP//glgC//fdnI//recB//argP//infC//
Cbl	ftsL//nlpA//ydfD//glpB//osmY//malK//cvpA//rbsC//fliA//
CdaR	nagA//artJ//hyaB//tktB//hdeA//fabI//ydeI//artP//fliA//cysA//
CecR	murD//phnC//ymgA//rffH//nuoB//
ChbR	tolC//lsrD//mpl//yegR//yiaN//phnE_2//
ComR	csgD//
CpxR	fhuB//manY//ftsW//moaA//nagC//cysG//mhpF//iscA//kdpA//rtcA//rbsR//csgG//mraY//cyoD//gpmM//norW//rplU//nrfB//yfdE//yecT//yjbG//lysC//rbsA//wza//ubiA//gspI//fabG//glgA//ftsZ//tauB//psiE//melA//dsrA//araC//prs//entD//gcvT//gloA//mraY//gapA//paaZ//mgtA//ymjD//mraY//ydhW//ynbA//agaV//gltK//nuoA//yhdZ//ulaD//nrfA//yeaD//gltK//glcB//rhaT//ymjD//ydeN//yiaK//metI//slt//mhpF//gspD//napB//mglC//bioF//glcF//fhuB//hyaB//fadD//
Cra	wzyE//cysU//hcr//puuC//ydbK//fhuE//fadM//zraS//cdd//fldB//glpC//betA//mhpF//mlc//mlrA//trpL//hcaC//fixA//hcr//trpD//betB//dctR//fliJ//cynR//mhpT//hdeB//nlpA//gspM//lyxK//dicB//entC//cra//mlc//malF//ddlB//fucI//betI//araC//norR//dkgA//mhpT//skp//yiaK//ccmA//ygeH//argT//gspC//erpA//cysK//ycjF//pyrC//nrfA//nikC//accA//flhE//hha//ydhW//yncE//setA//citE//mdtE//pstC//malI//uspE//ychF//alkA//bglB//ycjY//glpD//potH//setA//metK//folE//moaB//dsbC//sulA//lysO//purB//ebgC//
CreB	srlA//ybhL//narH//glgC//hyfA//
CsgD	ycjX//mhpA//glk//patA//rpoH//pdeR//asnA//flgD//ybhR//yhjC//insK//kdpF//napD//gntX//betI//cysA//wza//nimR//yhjC//glnB//ddpC//csgB//hyfB//tam//ftsI//insD//ompC//mgtL//
CsiR	aspA//yjhB//rclC//hycI//atoD//
CspA	ecnB//infB//
CueR	leuL//fhuA//galR//hcp//sroA//rutF//norW//
CusR	pykF//rutF//pdeL//melB//dinJ//entH//cspI//ymgC//pdhR//narH//rpoH//nuoF//
CynR	ecpR//malG//nupG//glpA//
CysB	flgH//chbC//gspO//metY//lolA//gltK//yeaE//dgcN//accC//tynA//wza//ssuA//paaX//mraY//alaS//rnpB//bdm//grxA//nuoB//nrdH//cho//psiF//gpmA//ygeH//yeiB//caiT//yciG//fliK//glpX//glgC//pck//ybfE//
CytR	cysU//ybaT//ygeA//fdnH//tpiA//yhdW//pstA//malZ//feoC//astC//aceE//gatD//nikD//
Dan	chbG//hycF//talA//metH//
DcuR	ydfH//fliJ//yedX//csgB//efeU_2//mraZ//dsbC//tnaB//grxD//
DeoR	nmpC//tam//ssb//rutC//torA//lacZ//
DhaR	ruvA//cheW//znuC//rhaB//
DicA	glgA//yhiD//tdcG//mhpT//tcyJ//aroH//tcyP//nemA//
DinJ-YafQ	cysI//yedX//tfaQ//
DnaA	gspK//metI//agaA//leuA//phnE_1//malG//bolA//csgB//umuC//pheS//csgA//pstA//
DpiA	yccT//sbcC//casA//murI//dsbC//carB//yncE//sra//galP//mcbA//lldR//
DsdC	atoE//dgcZ//garP//
EbgR	ftsW//fliI//
EnvR	idnT//pqiA//
EnvY	araE//uspD//
EvgA	ymjC//nfuA//yqaE//sufS//fadR//ymgC//accC//tauB//ung//glxR//glgC//yhbS//pspE//citG//cueO//cadB//ybhL//gyrA//nfuA//
ExuR	allE//uxaB//yibQ//dcuD//nikR//pykF//ydeO//yciW//adhE//
FabR	gspJ//flhA//
FadR	crp//purK//alsC//entH//rseB//cydC//fadJ//exbD//zraP//ybfN//narJ//torA//torR//yafO//fliK//bhsA//carB//ycjG//fhuD//ompF//acnB//ynbB//gabT//
FeaR	ydeI//ygdB//
FhlA	garK//mioC//fur//emrA//nfuA//ychF//ada//torR//glpT//artJ//sufA//ftsQ//mdh//hypF//kdpA//accB//sroA//sucD//pheM//agaW//ebgC//fadI//artI//yafQ//rffG//fliF//entB//fepE//oppA//yiaL//
