#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	yhjC//argF//
AcrR	dgcZ//iraM//dacC//phnD//ldtC//prpR//dhaR//ssuB//nuoB//nuoM//sdhA//
Ada	agaR//ytfE//lrp//ttdR//
AdiY	fdhF//lysR//appB//sgbH//fau//glpA//gntU//phoH//
AgaR	phnD//mraZ//hokD//dinD//gyrA//znuB//rcsA//fhuC//murI//codA//yciE//
AidB	marR//
AlaS	casD//
AllR	nrfB//yccT//focA//murI//phnG//gspL//galS//glk//ycjG//
AllS	lacY//nuoL//narH//
AlsR	katE//ssuD//garK//metR//recF//yebG//
AppY	nuoI//sgrT//envC//yeaG//fecR//gatC//rpiR//flgL//idnO//hdeD//
AraC	hybA//frdA//cyoB//acrD//idnD//metN//yafN//artQ//sutR//pnuC//amtB//fldA//galT//tyrA//
ArgP	norW//ugpE//allC//yjiY//wecE//nfsA//malZ//appB//agaI//nikC//rplU//gfcA//gadC//pspA//
ArgR	fucO//casB//artQ//glnH//cysK//lsrD//hycB//tbpA//nuoN//ubiC//trxC//ycgR//mioC//rutE//phnG//ppiD//tdcB//ygbK//flhE//lysO//leuD//cysM//cysP//uidC//ubiX//nrdG//gadY//uxaC//phnL//tdcG//rprA//mtlR//nuoE//arsR//ybfE//gatC//narX//argR//
ArsR	flgC//iscA//mpl//
AscG	srlE//metI//wecC//degP//fadE//
AsnC	rutG//yhjC//epd//decR//
AtoC	kdpF//malQ//cysH//aspA//
BaeR	ybhS//dgcC//gspO//glxK//astE//metA//cdaR//fnr//
BasR	tdcB//zinT//lhgO//csrC//nemA//tdcD//metH//ymjD//yhdX//allE//csgA//ppdC//aceA//
BetI	udp//nrdG//frdA//agaD//
BirA	cydA//murD//hcaF//flhB//glcE//
BluR	gspC//pfkA//hcaF//hokD//
BolA	asnA//flgK//
CadC	rclB//baeR//nuoE//
CaiF	hybB//nrfB//gudP//recD//mtlD//pgpC//prpC//sucC//uidC//hycG//
Cbl	ybhF//ssuD//malM//fliR//hns//argR//hemH//ychF//idnR//
CdaR	lysR//copA//nanC//appC//ycgZ//fabG//flgL//ddpX//cysP//dinI//
CecR	ftsZ//rutD//yqjI//dinQ//iscR//
ChbR	agaC//ulaE//rhaS//yebG//cyoB//ihfA//
ComR	wcaA//
CpxR	yeiB//rprA//norR//ppsA//yccT//hemH//glnD//fpr//glpA//cra//yiaN//malF//nemA//purA//nuoB//entF//yfiB//agaI//yoaC//rybA//frc//rprA//ydcS//creA//phnN//ebgA//lsrB//ugpE//flgJ//ndh//cynX//garK//cysW//rseA//rpoD//fhlA//truB//dkgB//lldD//ahpF//exbB//dsdX//idnT//aldA//sufA//dctA//xapA//alsE//yeaE//garP//cynX//recD//torD//ddlB//cysN//murI//atoD//hypF//zwf//prpB//speA//puuE//ahpC//uvrB//pqiA//csgG//napF//trpR//yfdE//pspA//
Cra	hcaD//glnD//molR_1//glpK//hmp//leuA//hycD//nfsB//murQ//mntP//fhuB//ydfE//ttdT//malP//ugpE//lysA//alaC//iraP//yfdE//melB//dcuR//allE//glcC//uvrB//moaC//ydhT//cysJ//gntT//flgB//acrB//sodB//qseC//uidC//rutG//paaD//uidC//focB//gatZ//mraY//dapB//araG//putP//ddpF//cysD//cas2//ilvC//araG//yeaH//yciF//wzzE//puuR//purE//bhsA//citE//yjhB//fucP//rprA//fabB//pnp//dinG//tonB//modC//uspE//pspC//ftsL//gatA//mdtB//treR//sbcD//malY//cpxQ//hyaE//ilvY//moaD//malY//caiC//nhaA//ychF//purB//
CreB	idnK//xylB//araH//manY//ymgC//
CsgD	yiaN//acrB//tnaC//lysA//emrK//yeaD//ydbK//mtlR//aceA//nuoN//cysJ//idnT//malP//torC//tadA//sbcC//dcuB//ulaB//glgC//yhdY//bglG//malK//uidB//yciE//purR//psd//nupG//flgN//
CsiR	ydeI//yciF//rffH//tyrA//ruvA//
CspA	gspD//mglC//
CueR	mazE//ompW//astE//yqjH//rpsO//fhuC//fucO//
CusR	nirD//rpiR//rtcB//tsgA//alsE//recF//puuB//ibaG//ruvA//phoB//ydcV//ykgO//
CynR	yeaD//wcaB//hcaF//soxS//
CysB	fabB//gadF//trxC//gatC//fadA//ugpB//baeR//alsE//chbF//nuoG//hipB//rimK//yjbG//tnaB//hyaC//melR//spy//focA//gadA//yjhC//sdhA//malP//cynX//sdhC//csgA//alsC//recN//nikA//mhpF//polB//treC//lrhA//
CytR	adiC//hybD//tauD//galP//mhpF//ugpC//ompC//narK//puuR//rseC//ycgZ//gcvT//lon//
Dan	decR//phnG//nfuA//ttdA//
DcuR	ybdN//gcvT//ycgR//cyoC//nikB//pyrC//ibaG//ssuA//yiaL//
DeoR	obgE//ydhU//yefM//dinJ//gor//hycI//
DhaR	nrdH//nrdD//leuO//yfaE//
DicA	torC//hyaD//evgS//rprA//pstA//hycH//iclR//ugpC//
DinJ-YafQ	ddpX//hmp//flgL//
DnaA	yrbL//yoaC//lrhA//chbF//pspG//thrS//mlrA//hyfR//murE//rfe//trpR//osmC//
DpiA	cdd//hcp//bolA//mipA//yeaD//exbB//znuC//araF//gspO//aroM//moeA//
DsdC	cra//rhaB//lsrC//
EbgR	tdcE//paaD//
EnvR	modA//hycB//
EnvY	marB//crr//
EvgA	aroL//fadB//lrhA//znuB//rbsR//dinJ//torA//fes//idnD//rarA//yaiW//nanM//sdhB//araA//phnG//ssuC//glgB//ihfA//nuoE//
ExuR	trpC//ybaS//yfaE//acrD//yeaH//skp//sgrR//ybhL//creC//
FabR	tadA//csiD//
FadR	dcuB//ydbK//metF//nupG//ccmF//rstA//ftsQ//casA//malZ//zwf//degP//fepG//dinQ//trpB//srlB//decR//yjhB//glxK//wcaA//hyaE//ydfE//allC//lsrK//
FeaR	hdeA//uxaB//
FhlA	uidC//znuC//pgaB//wzyE//ugpA//ynbC//paaC//recX//argD//ydbD//borD//hdeB//focB//pspB//dmsC//emrA//lon//fimB//glxK//hyfI//agaS//rutE//nohA//argD//ddpD//dgcN//dnaA//metJ//chbF//mtlR//
FlhDC	mdtA//ydiU//malP//murD//narK//yccA//hipB//fixB//caiC//dacC//flgM//fur//nirC//potI//mtlA//rob//cynS//gyrA//fliH//mgrR//nhaR//lysA//cydC//metL//nrfE//pnuC//yqhD//ahpF//yafO//fhuE//xylF//fnr//glpQ//cyoB//ymiA//agaR//rffM//marR//lpd//citG//flgB//yeaR//nrfG//phnI//manX//caiF//dcuR//cpxA//ccmG//xapB//ygeH//artI//creB//napD//hyaA//fecI//yebG//fliE//ydcT//glpF//glgX//fruK//narI//pgaD//cysM//rfe//ampC//aceA//dctR//cyoD//metF//ymjC//garK//fabG//fes//malT//nmpC//focB//torR//hha//yfiB//ydhY//
FliZ	dcuD//gntK//gudD//ynfG//hypA//gnd//kdpF//fadJ//caiA//glxR//fadI//gadX//ydfW//hybG//nfuA//fimB//yhdY//nadB//yhdX//phnK//yeaH//
FucR	agaA//mtlR//malX//nikA//fliS//ptsH//gutM//
