#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	yhdW//gltB//
AcrR	ydbD//rseB//hyfC//glgB//norV//ygeH//idnR//prpB//csgF//tolC//phoU//
Ada	astB//fliQ//fau//bioA//
AdiY	ftsL//talA//ydcU//glnL//rplU//yidL//fabA//ibaG//
AgaR	oxc//lsrC//metQ//hypE//napA//xapA//evgA//nuoH//sgbU//appA//accD//
AidB	rclB//
AlaS	phnK//
AllR	rutE//ulaG//nuoG//slt//mglB//gntT//hyfG//glcB//bioB//
AllS	creD//dnaG//flgM//
AlsR	modA//yfaE//gadE//ygbA//pspB//ykgM//
AppY	aidB//mraY//nmpC//nadB//mqsA//yegH//appX//tauA//dctR//xylB//
AraC	ygiZ//hcaF//bhsA//malQ//tktB//astB//metB//phnE_2//fliD//ybfE//pgaC//narK//wecC//cas2//
ArgP	mglC//deoA//cydB//kbaY//fdnH//allE//rffM//yegH//ydhT//narK//fliG//talA//insD//hisM//
ArgR	gcvP//udp//moaB//codB//gspL//betA//fixB//exuT//glcC//gspL//hcp//gntK//alaC//gudD//tynA//ccmF//ycjY//nikE//speA//polA//ccmF//lacA//ynbA//flgN//allS//spy//gatC//purB//fadH//aldA//pstB//mltF//pyrD//yegH//frdA//hyfE//idnR//fliP//
ArsR	araB//glyA//trpA//
AscG	nupG//dinG//zinT//ydbK//phoH//
AsnC	ulaE//lsrK//isrC//pstS//
AtoC	yjbH//puuA//htpG//oppC//
BaeR	paaD//yjbE//rhaT//malY//dcuS//yiaN//fadH//rcnR//
BasR	ompT//pgi//yhdY//baeR//puuC//phoU//mdtD//frdC//dsbG//flgB//lsrG//yiaM//yoaC//
BetI	emrK//cdd//nagE//mraZ//
BirA	ompT//isrC//ygiB//ompT//paaK//
BluR	xylR//recC//nanC//mdtD//
BolA	ung//purF//
CadC	sdhA//yhjA//sgbU//
CaiF	gcvH//paaC//phnJ//cusF//dsrA//chbA//yecR//aldA//accB//fliO//
Cbl	ssuC//phnO//nuoM//deoA//pfkA//thrS//ygeA//narI//hycE//
CdaR	ompF//fliN//cysU//yhdY//lpxC//chbB//fadJ//pgi//atoD//ccmA//
CecR	napC//nrdF//spy//gudP//tnaB//
ChbR	dpiB//tnaB//casE//ybdZ//oxc//arsR//
ComR	yfbR//
CpxR	yecT//bacA//yebG//tsx//lysO//sodB//ttdT//csgE//casE//qseC//pspA//gfcA//purE//dicC//yiaL//glnL//hcaC//cysI//rnlA//yjbH//asnB//araH//rbsK//gabP//sufD//focA//gspD//phnD//baeS//hyfA//glmS//mdh//fabB//copA//thiP//nanA//nac//ygbA//hyaD//hcaE//recF//nagA//ascF//fliO//gspL//entH//hyaF//mhpD//glpC//yccJ//rpsO//dcuR//pgm//iraP//yefM//metK//gloA//hcaD//gor//argF//ttdR//baeS//ynfG//relA//nac//infB//lpxD//artJ//napF//pspF//
Cra	aroL//ydfH//wecC//fliI//hdeD//cspI//rpoE//cdaR//moaA//ydeI//phoH//metI//ldtD//ssuD//sgbE//tbpA//fadL//pnuC//fruK//pfkA//ydjM//nanT//allA//nikE//glgB//rpiB//sra//dhaL//tadA//hybO//ymiA//bioF//ebgC//sbmC//mtlR//dkgB//yhbS//rbsD//yiiS//sufS//aspA//caiF//fdnG//soxS//astE//zntA//osmC//ftsQ//flu//phnI//nrfE//purM//hdeB//csrB//cyoD//nuoK//dtpA//xylH//sufE//rutB//omrB//pheS//mgtA//argC//atoD//torD//bdcA//rpmI//bhsA//nagA//paaG//tnaB//fdnI//malT//gatB//mzrA//acrD//yeaH//fau//
CreB	ynfE//fliT//idnK//cbl//tauB//
CsgD	cydA//ugpQ//fecE//gspC//fliC//fepG//lacA//melB//phnI//aspC//fucO//yecR//pfkA//malP//fliE//ynbB//phoB//ugpQ//gltB//rprA//agaW//oxc//carB//rtcA//ulaA//paaX//hypF//cyoE//
CsiR	mhpE//uvrB//fepG//mscM//glcF//
CspA	puuA//fepE//
CueR	glgC//malZ//nuoB//mglB//lysP//glnK//rnlA//
CusR	flgK//glpD//murP//nikA//ydcT//hcaR//fhuA//mqsR//yhdY//uidB//dsrA//tauC//
CynR	rybA//ptsI//aslB//hybE//
CysB	thiQ//guaA//hycH//glnA//rffT//yhbT//adiC//cdd//tdcB//nfuA//ppc//psiE//dmsA//glnP//ftsQ//mdtF//murR//torD//ompF//lpxC//znuC//ftsI//mhpF//ygiC//flgN//nrfF//thiQ//yciG//tonB//hycA//metA//csgD//
CytR	gfcA//murE//poxB//entD//betT//trpL//nanM//yhbS//mngB//fecB//gntP//cusC//ydhV//
Dan	poxB//ssuC//lsrG//pqiA//
DcuR	yrbL//gcvH//cusF//yiaK//soxS//grxD//ftnA//ydfE//dsrA//
DeoR	ddpX//ccmH//folA//fliT//ascB//tehB//
DhaR	artI//rbsB//betB//uof//
DicA	metJ//molR_1//glpQ//chiP//cysA//sgrR//speB//ompT//
DinJ-YafQ	ppc//metI//entS//
DnaA	melA//xylG//cusR//fes//aroL//pspF//nupC//arsC//mntP//rbsK//oxyS//frdB//
DpiA	metL//katE//ccmG//emrB//oppB//fucR//aroF//fabG//hdeB//fliI//dkgB//
DsdC	fldB//glnQ//yfiR//
EbgR	narI//fucR//
EnvR	ynbC//yagK//
EnvY	sgbU//infC//
EvgA	ulaD//cusF//kbaY//recN//cynR//nanM//yfdX//paaK//ccmA//glnG//ttdT//wzxE//ydhT//hcr//tehB//acrB//pspC//mraZ//nhaA//
ExuR	argA//skp//phnG//metI//argF//cpxQ//nohA//yhiM//ccmC//
FabR	purE//ahpF//
FadR	bolA//glpX//ybhS//hycF//rpiB//cyoD//yeaD//sgbU//hypA//rimP//sdhD//fliQ//fbaB//yeaG//fimB//phnO//phoQ//asnB//evgS//tisB//lpd//nfsA//fepG//
FeaR	pspF//caiT//
FhlA	hybB//leuC//cusC//artJ//cydB//pck//tonB//oxyR//fixC//ssb//potI//pheS//feoB//ppsA//rstA//potH//csgD//fabI//asnC//lysO//yciW//molR_1//yegH//paaI//infC//oppA//norR//yfdE//insK//nohA//
FlhDC	lrhA//galP//sgrS//oppB//aceA//nac//sdhB//ada//aceB//idnR//ydiU//nirD//ykiA//yebE//gntU//sra//rpsU//csrC//mglA//yjhC//dinQ//ftnA//ycdZ//cheW//sbcC//arsC//cpxQ//ybjG//paaY//fabG//setA//hyaF//pdhR//nanS//paaX//cysB//appC//feoC//hybE//osmY//yeaE//ymjD//baeR//glnP//puuR//psiF//rpiB//hokE//grcA//gspO//rutF//rplT//fadJ//ddpC//mlc//nikR//ssuE//asnA//iscS//nuoB//glyA//garD//iscU//garD//trpC//ybjC//codA//iscS//iclR//entE//argP//fliR//ulaF//gyrA//higB//dmsB//flgG//iscR//modC//uhpT//ecpR//mzrA//
FliZ	yqjA//uxuA//agaC//gcvT//baeS//mhpD//infB//pstS//relB//paaE//cysU//yccT//fucR//ymiA//cysK//yefM//hyfD//dhaL//lamB//yaiA//mglC//
FucR	csgD//nikB//cdaR//artM//ydfE//yhbT//aspA//
Fur	nupC//yiaK//pheM//ebgC//yagK//sufC//yhiD//ybfN//nrdB//lldP//fruK//deoB//gntU//artQ//yeaD//soxS//yhiM//lysO//phnE_2//tdcC//manY//uvrC//uxaC//csgF//aceE//ssuB//nrfG//uof//yeiB//cpxA//ydcT//kdpF//fbaB//creD//fliC//exbB//rpsU//motB//idnR//deoB//galS//purL//yiaM//glpX//srlA//dsbC//tsx//sgbU//flgK//mipA//nimT//ung//pgaB//ydcT//accC//lrp//lrhA//paaC//ryhB//aceB//galK//fabG//fliC//yjbE//glnQ//ymgA//rhaB//gadF//cusC//hyfC//ydeO//fruB//cysK//fumB//ydfW//recA//murD//appY//flgK//patA//spy//rffG//iscS//glpB//lpxD//truB//ybfE//lsrF//ihfA//glgA//rbsD//gspD//purL//tsgA//hyfA//yjbH//yoaG//rutA//rcnB//entB//hycC//nagB//rybA//yiaN//lolA//bioC//yfdV//cyoC//ydhX//cdaR//hypB//sufS//argB//glgB//pheM//chbB//mcbA//folE//hyfB//glyA//gyrA//tsr//yeaH//fabB//hcaC//ruvB//zraP//wcaA//rpsU//ompC//
GadE	sgbU//aspA//tdcG//gatB//yhcH//acrB//uof//glnK//ymgA//phnE_2//ugpA//rpsU//rpmI//fixC//casB//cyoE//hflD//ugpB//entH//glnG//sufE//rstA//astE//nohA//yneM//agaC//ftsK//trpL//caiF//
GadE-RcsB	ygaC//purL//mepH//phnJ//murP//yiaM//aceF//rutR//dmsA//
GadW	carB//iraP//infB//malY//metY//omrB//pheS//sutR//ulaA//glpC//purE//napB//cyoD//yegR//rbsB//
GadX	narL//sufC//fadE//xylG//hisP//uxuA//citC//hcaE//idnR//ycjF//murC//hybB//feaB//ftsQ//baeS//prpR//glmS//fecA//flgF//asnA//fliM//alsE//yjhB//fhlA//btuB//oppC//fucA//dicB//metN//
GalR	eno//glpQ//ddpA//glxK//nhaR//ccmE//atoA//patA//bioB//ssuC//
GalS	creA//acrZ//sodA//aslB//fucK//gspC//zraP//ygdB//tnaA//napG//
GatR	yciW//fhuE//dpiB//fruA//hcaF//fecR//
GcvA	hmp//nuoE//carA//rstA//ppc//
GlcC	fliP//cysP//agaV//puuR//folA//allS//yccA//
GlpR	ymgC//mhpD//hflD//ogt//fliG//caiE//asr//mraZ//ugpQ//
GlrR	iraP//edd//argR//marR//fumB//
GntR	decR//moaE//ilvY//gltB//higB//gutM//nusA//ompC//ddpX//iscA//tyrA//aroM//
GutM	yciF//rimK//glmS//malI//tdcE//lysR//pdeR//
GutR	nagA//yeaE//acrR//dcuA//deoA//zraR//insD//
HU	ddpA//ubiA//dinJ//cvpA//hypF//sdhC//yoaC//fdnH//wcaA//
HcaR	galR//yagK//cysU//cheW//allE//entD//
HdfR	dinQ//yciE//agaC//srlD//frdD//
HigA	murG//accD//
HigB-HigA	csgE//sroC//
HipAB	uidA//yhiM//nrdE//nikA//lyxK//
HipB	gspF//ynfH//citF//hyfG//nuoK//nuoA//
HyfR	accA//yiaO//fhuF//fumB//srlR//hemH//obgE//creD//napD//dcuB//gspL//cysD//
HypT	gapA//pspG//metB//nagE//sdhA//nrdH//modB//agaC//hycD//idnO//yjbE//waaH//tdcC//
IclR	gabP//wcaA//glpC//micF//
IdnR	phnC//evgS//creD//sufA//arsR//adiC//creB//
IlvY	sgbU//uxaB//
