#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	fliI//nirC//
AcrR	metN//yqhG//pgk//tsr//leuA//cysU//uof//wecE//uxaB//agaA//fepA//
Ada	fadM//agaD//feoA//tdcB//
AdiY	ssuC//uvrA//sufS//fabA//creB//dinG//csgD//mipA//
AgaR	iraM//ykgO//agaI//emrA//tfaQ//mntS//cvpA//allS//gntK//moaC//nfsB//
AidB	gspL//
AlaS	nikC//
AllR	kdpC//rseA//ppsA//rstB//fliP//relA//lamB//ydeI//iscR//
AllS	hypA//agaI//fiu//
AlsR	hycI//torR//evgA//wecB//tdcC//ydeP//
AppY	puuA//rbsR//gadF//nuoB//speB//yqjH//ompC//chbF//gltB//ychF//
AraC	cadA//hcaB//cysM//insD//bglG//csgC//carB//citD//ssuE//caiE//tdcE//ygiC//bolA//isrC//
ArgP	metI//tadA//hisJ//rarA//hemH//bacA//lrp//citE//glnG//ydfE//lysA//fdhF//dinQ//bacA//
ArgR	aroG//setA//moaB//metF//fhuC//rpiB//wzxE//feoC//ppdB//exbD//fepE//pspD//gapA//torC//ydfH//gntU//napA//phoE//rplU//napC//cbl//crl//gntX//recX//iscS//bioD//evgS//lsrF//paaX//nanE//evgS//lexA//paaX//atoB//hycA//moaD//bglB//nrfD//
ArsR	cusR//hcp//obgE//
AscG	ydhV//casC//casA//entH//glpB//
AsnC	yeiL//ydhT//puuB//rhaT//
AtoC	pepD//rpiB//cysP//fliJ//
BaeR	gspM//astB//bioB//nuoJ//tauB//yafQ//setA//ygiZ//
BasR	yfiB//cysB//allA//bioF//rclB//fucI//mglC//fepE//argB//casB//uxaC//mgrB//focB//
BetI	crl//umuC//malG//paaG//
BirA	wecE//uxaC//ttdA//fumB//relB//
BluR	mhpE//nuoJ//fliT//gor//
BolA	pdhR//ompN//
CadC	fadJ//nuoF//rbsB//
CaiF	sucD//hokD//malE//tdcF//pnp//hslJ//trpR//nikR//ccmD//hycI//
Cbl	entB//kbp//gcvA//relA//hypA//glmU//nupC//ampC//narI//
CdaR	hycH//glnA//nrfG//iclR//mglB//pstS//argR//fecC//yhdZ//gcvA//
