#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	sdhB//gspL//
AcrR	mhpB//ldtB//rpmA//ascF//ykiA//rhaT//ppiA//nrdD//lsrG//fabI//bglF//
Ada	srlR//dsrA//hflD//rbsK//
AdiY	phnE_1//fadA//ydbK//rhaD//bamE//yciX//uof//glnB//
AgaR	purM//purC//gadB//ftsQ//ynfG//flgH//rffC//amtB//ugpA//ftnA//hybB//
AidB	pgaB//
AlaS	caiE//
AllR	ygiA//metR//gntP//dhaR//yqjA//flgJ//hisJ//exuR//ahpC//
AllS	tsr//fadA//mdtC//
AlsR	dnaG//malY//araD//yidL//ybjN//hisM//
AppY	aroH//uidB//gadY//fixX//ycjF//cysK//feoC//narH//hybB//fecB//
AraC	nfuA//fnr//ugpA//gatC//safA//torC//zraP//degP//yqaE//yhjC//ugpA//ulaB//pitB//yiaJ//
ArgP	eda//nikR//relA//fucA//ttdR//iscR//cysP//nfsA//atoD//yjjZ//rclA//csgB//zinT//ftsA//
ArgR	sdhC//pykF//ccmE//slyB//frc//ydhY//btuB//oppF//cheA//rbfA//rfe//sutR//nohA//glcD//ascF//argG//ptsI//ebgC//gudD//wzyE//csrC//fabA//citE//glnB//tbpA//sulA//chbA//gudP//fecC//fecD//rffG//rhaR//mazF//nikB//znuB//flgI//idnO//yqjA//
ArsR	argG//leuC//accA//
AscG	xylH//sucB//rimP//murR//fumB//
AsnC	bdm//napC//ydfH//bdcA//
AtoC	motA//ariR//hycE//fecB//
BaeR	feaB//moaB//csgA//pgi//ybiT//nrdH//tyrR//lldP//
BasR	agaC//betI//ycjX//ycgZ//hybB//iscA//gadW//phnP//sulA//tynA//mngA//osmY//cysJ//
BetI	xapA//ynbB//malP//nuoG//
BirA	hdeD//uvrA//eno//ydhY//znuA//
BluR	yfiR//tnaB//hypA//gcvB//
BolA	cysC//yhdW//
CadC	malX//yeaG//slp//
CaiF	hypA//fliH//fucP//puuE//glpC//allE//argI//ycgZ//ompN//hybB//
Cbl	phnF//ibaG//rseB//acnB//leuL//rprA//ilvY//fabB//tauD//
CdaR	pstB//yhbS//lysR//ybhL//nanT//uspA//agaD//yciX//modB//rhaR//
CecR	nanE//mzrA//yafN//appA//pdeR//
ChbR	purM//cydB//cheA//betA//isrC//cynR//
ComR	guaB//
CpxR	fixX//yeaH//fadM//nanA//yegZ//hypD//artM//acnA//yfdV//lpxA//rutF//aroF//araC//xylF//nrfB//yiaJ//aspC//appC//bluF//arsC//glpQ//relE//glcC//gcvB//speB//fixC//pfkA//astA//sroC//motB//wzyE//ddpX//melB//feaB//feaR//phnO//fimB//nrdE//csgC//argB//cysJ//yidL//epd//purC//dps//gadE//fabG//acnA//sgbU//ahpC//gltJ//entC//ttdA//metA//relE//betI//idnR//nagE//prpB//glnL//baeS//cspE//purM//cspE//agaI//mngB//mntS//hyfB//citX//metI//
Cra	ybhR//atoB//nuoH//tpiA//mglA//cspD//recX//cyoC//deoC//lsrF//phnI//ynbC//tomB//ldtD//xapA//fabB//pflB//bglG//atoD//ccmC//nikA//gcvA//ybbY//mraZ//adiC//hyaC//focA//fucR//argH//pspC//gudX//dcuR//cysK//malP//gltD//yjhC//murI//feaB//ddpD//ecnB//phnI//gatZ//yafO//citE//fecC//fldB//nrdB//nrfG//ymiA//phnI//oppB//yqjA//sroD//nrfD//recA//hyaB//hycE//srlR//cynS//pgpC//rpmI//ytfE//waaH//araE//fnr//appB//yidL//ykgM//folA//ydfX//cadB//mntS//fixC//mngR//puuC//tnaB//mdtD//fabD//fucK//
CreB	gatC//hybB//yoeB//yhjX//ybhL//
CsgD	glyA//sroD//pspC//pgi//gltI//hipB//fliI//malY//recC//ygeH//tcyP//uxaC//puuD//srlB//xylF//fliD//phoP//fabZ//ygeH//cysC//epd//ybbY//xylB//ydeO//citG//malZ//acrR//oxyR//
CsiR	uxuR//hipB//cspD//fdhF//rutG//
CspA	oppA//ynfF//
CueR	aspC//tdcB//fecR//entS//ebgA//yhdZ//recB//
CusR	fimB//tsx//ynfG//cyoD//fabA//oxyS//umuD//caiE//pdhR//marA//cusA//yecR//
CynR	melB//rffH//pnuC//ugpB//
