#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	aspA//yhhY//
AcrR	puuB//dsrA//creA//hcaB//rhaD//ybhL//ybhS//soxR//araD//tcyJ//ygdB//
Ada	infB//cyoB//gltL//potG//
AdiY	xylF//phnP//gadA//lpxA//cysI//purB//galS//mpl//
AgaR	dinF//cheW//recD//bioF//ccmE//ldtD//rnlB//sbcD//puuP//rpmI//puuD//
AidB	atoB//
AlaS	lrhA//
AllR	carB//gadX//mpl//ycjF//nrdF//xapA//ascB//ydcU//rutD//
AllS	hyaE//puuB//nirC//
AlsR	obgE//artJ//yjjZ//dinQ//appA//tdcG//
AppY	pgpC//decR//fumC//wzzE//phnE_2//malG//fhuC//tnaC//truB//csgC//
AraC	srlB//spy//prpE//fabG//yhbE//yfdE//phoR//aroP//ttdB//adhE//dacC//aroL//kdpB//waaZ//
ArgP	hypF//puuD//edd//citC//phoB//ppdA//yfdE//yagK//amn//malQ//garD//yjiY//dctA//ymgA//
ArgR	yhdZ//gspM//hypA//soxR//rffG//hcaE//yfbR//napB//nirC//lpxD//wecB//phoU//metI//amtB//oxc//ecpA//chbG//rpmI//dnaG//modC//araB//tdcC//argG//pdeL//xapA//gspG//hypA//envC//creC//insK//citG//hha//leuD//fecR//ydcV//pgm//rutA//bhsA//
ArsR	phnN//phnF//uxuR//
AscG	gudP//bioF//lacZ//dpiB//lolA//
AsnC	yjbE//yneM//codA//aceB//
AtoC	oppC//fadJ//sroD//gspO//
BaeR	guaA//fepC//trpR//dctA//hypB//nanA//gudD//potG//
BasR	glmY//ccmA//polA//wzzE//bioA//mpaA//idnO//moaA//yebG//fadJ//yhjC//nrdD//yjiY//
BetI	yiaJ//gudX//napH//nuoB//
BirA	pepA//alsC//aceE//fliT//cysP//
BluR	xylB//ynfF//glcE//nac//
BolA	rpsO//zraP//
CadC	allS//dapD//marR//
CaiF	ybjN//gspG//paaX//fdnG//manY//narL//rutA//nrdA//glcD//deoC//
Cbl	nanE//fiu//napH//uvrA//glcA//dmsB//rbsD//gspI//ppdB//
CdaR	yoeB//yiaM//yidL//ynfE//gadY//ptsH//pstS//spy//oppC//agaA//
CecR	leuO//trpB//sdhB//hypE//malX//
ChbR	cysU//uidR//cra//fliD//srlR//safA//
ComR	nrfG//
CpxR	ompT//fhuD//entH//feoB//hcaR//narL//fhuD//rclA//serA//ruvB//sbcC//pqiB//znuB//ppdA//caiE//nmpC//kdpA//fepG//prpB//cydD//atoB//decR//tehA//nagE//lsrC//mtlA//ydfE//mgrR//torA//fepE//glgA//talA//ygiA//gadB//lgoR//rstA//glnP//paaC//iscS//csrC//astE//csrC//modB//moaD//ddpB//hypB//norW//xylR//pck//appC//yhcH//entA//sroD//ahpC//uidB//gspH//cysE//gor//rdoA//murD//srlB//accA//argA//narI//sufB//metA//phnN//rffT//sgbE//yjjZ//
Cra	yjhB//metC//potH//ykgM//mhpA//pck//galE//phoH//hyfD//flhE//ccmD//stpA//ybhL//fabA//nrdH//nhaR//yiaO//fabB//malX//nmpC//ppc//nrdG//fbaA//nuoL//nagA//gnd//yciX//paaX//purH//fucP//sucA//hyfF//hisP//yfiR//glcF//hyfR//tauC//ppdC//acrR//gabP//gyrA//yoaG//adiA//ddpX//gltD//gspD//fdnH//motA//metF//malE//nuoN//accC//metA//entS//adiC//ubiX//srlD//yeaR//nuoF//ybhL//xapB//purL//hycD//baeS//sbcC//ldtC//fadE//gspK//ybhL//cvpA//nrfA//yedX//tauC//tisB//mhpD//uxuR//cysI//hipB//lysP//
CreB	evgA//ybbY//rutG//nupC//carA//
CsgD	nanT//mepH//ldtC//emrK//kdpC//fliM//uof//cusB//hyfD//mntH//gapA//rhaT//ftsW//gspK//iscA//rprA//psiF//dinF//fes//sufS//ybbW//fixA//mdtF//rprA//ppdA//glcB//osmC//dicB//
CsiR	fau//rbsD//lgoR//alaC//dcuR//
CspA	nadB//cirA//
CueR	fldB//pstA//malX//fecD//pqiA//dinQ//moaB//
CusR	moaB//narH//pck//tdcF//asr//mntP//ynbB//fliQ//agaD//araF//dgcN//paaB//
CynR	hycD//nuoL//ssuE//phnK//
CysB	setA//hyfA//yncE//cbl//potF//araG//ydhT//hyfC//uidB//cusA//cynS//kdpB//ykgM//hisP//ftsZ//idnK//ydeO//iscS//cydD//pqiB//napC//artJ//gadX//ttdT//fliC//moaE//dkgA//pstB//glpT//lysO//znuA//wza//
CytR	qseB//speB//ilvY//xylF//phoQ//lsrR//fliS//creD//mraZ//nuoN//glk//gutM//ykgM//
Dan	glnB//rclC//omrB//slyB//
DcuR	moeA//argH//ptrA//rfe//fliP//tcyP//hypD//pgi//paaZ//
DeoR	phoB//dcuR//rtcA//bdm//tsgA//ldtB//
DhaR	garP//ttdA//argB//nfsA//
DicA	puuR//fliC//dcuR//tdcC//dcuR//cheA//argF//gabT//
DinJ-YafQ	ulaA//pspC//feaR//
DnaA	alsA//gntP//sdhB//ccmC//hyaC//nimR//ccmA//bglG//paaY//arsC//hisQ//ddpA//
DpiA	entD//dsdC//feoB//moaD//hokE//dhaR//uxuB//moeB//asnC//ybhS//zntA//
DsdC	malY//argD//ddlB//
EbgR	dcuR//lacA//
EnvR	acrA//glpC//
EnvY	fucR//cytR//
EvgA	ada//pspE//argB//yafP//psiE//motB//metI//casB//appC//uspA//fliN//setA//rstA//phnL//ulaD//prpE//cdaR//pstS//sdhB//
ExuR	rtcB//cpxA//wzxE//sufA//ppdC//deoC//bglJ//sbmA//paaG//
FabR	zntA//gutQ//
FadR	aroP//ybaS//malM//yfiR//potI//hypB//mnmG//ycgR//accD//nagC//sdhC//rstA//yccJ//araC//dtpA//fabZ//nagE//oppB//glcD//ykiA//artI//tehB//ptsI//
FeaR	bioD//oxyR//
FhlA	bluF//nfuA//gspG//crl//cynX//pdeR//hflD//mgrB//emrY//yciG//paaD//intQ//gcvA//fucR//yhjA//astD//ydfE//ybhL//mhpA//mhpD//lrhA//mhpA//yrbL//fepC//tsx//flhE//rcsA//entA//trpE//isrC//
FlhDC	glpQ//metQ//nuoL//znuA//luxS//yjbH//ibaG//mraZ//frdB//uspA//udp//zraP//hmp//bioF//higA//rpoH//ppdA//cynS//manZ//aroM//cpxR//yqjH//nanM//puuE//katE//phnI//xylH//sra//fepD//mtr//paaE//paaI//gabD//ugpB//ascB//phnF//nrdA//metN//wrbA//ccmE//iraM//moaD//ddpC//psiE//sucA//narK//hybE//paaJ//hcaE//bioC//bioB//fhlA//patD//ygdB//oppF//norV//sgrS//fecE//dapB//uidB//nohA//rplU//nrfA//infB//fepE//nfsB//puuE//napB//pyrC//nrfF//argE//bioD//phnD//fliK//lysO//xylA//yhdX//ilvC//kdpF//crl//glnQ//uvrA//
FliZ	yqhD//aceB//araD//rbfA//gapA//kdpC//frdA//cyoC//nikB//umuD//fhlA//mpaA//polB//fabH//nuoF//yecR//speB//mntH//ompN//ulaE//fliN//
FucR	yfaE//paaK//fecR//purB//gspF//narH//yiaK//
Fur	gatY//dsbG//rstB//gatD//xylG//tehA//narJ//ulaE//kdpB//hybD//lysA//cysA//yciF//hyaA//rffT//cyoA//nagE//rhaT//cysB//ddpF//flgD//rhaR//lysO//alaS//hybE//relE//ydhV//malT//yaiA//dctR//ybhG//asnB//yhdW//yafO//phoP//nrfB//higB//rutG//betT//mngA//acrD//dkgA//iraP//alkA//yqjA//melB//nuoA//sucB//phoR//nagA//mhpC//appA//rpsO//oppC//tauA//polA//fliF//flhD//uidB//purK//tnaB//ssuE//purA//pgk//acrD//ydcS//ymgC//fixX//hyi//uhpT//nrfC//waaZ//nanA//lamB//ompC//hypB//cyoB//agaC//creB//entE//truB//glnB//kbp//hyfB//hcaD//flgH//gadB//iscA//epd//ybbW//gltB//ttdT//argT//narJ//citG//idnO//uidA//metC//nrdB//treR//phnK//ydfX//nanE//ulaC//hybF//ecpR//ssuB//hybD//prpR//alsC//recC//fecE//rtcA//bdm//dkgB//hyfI//flgJ//dcuB//rutA//rpiR//folE//idnK//aroH//ada//fumC//cyoD//frdD//yfdE//norV//gspG//
GadE	ynbB//marA//omrA//citF//yjbH//ycjX//hybG//rplT//paaG//glpF//bioD//ybhS//csgG//hypE//phnI//acnA//cusR//cpxR//chbF//metH//argR//putP//gadC//citE//recN//nanT//galS//glpX//mgtL//
GadE-RcsB	ybbW//araD//ynfG//ppdB//znuC//higA//appC//nrdI//phnL//
GadW	yciX//yaiW//metL//phr//cusS//pyrC//crr//hyfR//yoeB//murD//agaA//phnJ//yoeB//cpxQ//bhsA//
GadX	cynT//glpK//trpR//fliL//ttdT//lacZ//yefM//moaE//yiaO//uidB//fucU//lgoR//relB//leuL//exbD//ssuC//astE//csgF//accA//yjbH//fucA//alaS//dsbC//bioF//napF//cynX//fabI//gspE//glcG//
GalR	caiB//dgcZ//acrD//rbsC//arsR//ddpC//ycjG//fldA//csgD//garR//
GalS	cydC//luxS//nrdG//cysI//dmsC//trpR//amn//nac//dinG//caiT//
GatR	rtcA//mcbA//yebE//yrbL//tomB//sbmA//
GcvA	nhaA//icd//garK//glnB//prpE//
GlcC	napG//sutR//pheM//rcsA//aspC//tsx//fucK//
GlpR	dsrA//relA//oppC//trpC//ccmD//pykF//adiA//cpxR//srlA//
GlrR	fadJ//appB//osmC//hybD//trpC//
GntR	pyrD//thrS//ybjC//yeaG//galP//katG//hcaE//cpxA//hycE//fhuF//rffM//oxyR//
GutM	nuoH//gspK//fliC//hycE//flhD//symE//hslJ//
GutR	tdcD//artP//entH//ygeH//sufB//lsrB//moeB//
HU	ybiT//sgbU//nirB//uxuR//uidC//ribA//fhuD//psiE//lsrA//
HcaR	ldtD//tehA//mepH//ogt//fau//fliD//
HdfR	metA//yfiR//yafO//napF//ydbK//
HigA	cynT//tdcD//
HigB-HigA	pdeL//ribA//
HipAB	ascB//nohA//baeR//tcyP//marA//
HipB	waaZ//napB//cusC//ddpF//mqsA//putP//
HyfR	waaZ//hdeD//umpH//fiu//rpmA//yccJ//garP//cdd//fliS//hyaB//yiaN//mioC//
