#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	hemH//ydbD//
AcrR	gutQ//soxS//glcG//rnlB//ldtC//dcuB//fucU//trpC//hyfD//murE//nfuA//
Ada	nagB//dcuB//uidB//malG//
AdiY	lsrR//astA//nuoC//kdpC//dmsC//rimP//tam//sodA//
AgaR	chbF//hycB//ddpB//ompC//csgD//oppB//argF//flhD//yciF//ttdR//wecE//
AidB	deoB//
AlaS	alsE//
AllR	prs//aroH//gspO//slt//fliD//ugpQ//flgN//xylH//nagE//
AllS	ycdZ//cbl//leuD//
AlsR	rutR//ychF//mdh//astE//lsrF//hybF//
AppY	ykiA//yeaG//treR//insD//nikC//xylA//ptrA//mprA//hybB//moaD//
AraC	flgL//relB//ubiC//pdeL//ftnB//nanE//yegR//ycjG//wzyE//oppF//recD//hcaR//acrA//speA//
ArgP	tsgA//ybiT//hokD//glpX//skp//phoP//pspG//flhC//cpxP//sufD//ybjG//fixX//lolA//fhuB//
ArgR	borD//omrB//entF//eda//nrdF//nrdG//sbcD//mazG//asnC//tcyJ//gspK//gdhA//fecA//nuoK//mdtD//ybfN//nusA//acrB//gspE//ulaE//moaB//ftsZ//murD//ydfW//metN//ydcS//fecI//pagP//mgtA//cysH//oppB//artJ//fliM//hemL//amn//sucC//ybbW//rhaB//
ArsR	moaB//agaI//gloA//
AscG	ybfN//hcaR//galE//rutD//cusR//
AsnC	luxS//yrbL//alsB//mngA//
AtoC	dacC//nuoJ//rbsR//murC//
BaeR	yhbT//feaR//recN//prpC//ddpB//glcB//ydcS//ddpA//
BasR	xylR//yoaC//dsbC//guaB//treR//rplT//malZ//qseC//adhE//gabT//fliN//fadJ//accB//
BetI	tdcG//fiu//creA//folA//
BirA	murC//rhaA//napH//napA//emrB//
BluR	yafO//fliM//ymjD//putP//
BolA	zraP//mscM//
CadC	nimR//gor//tolC//
