#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	hdeA//agaW//
AcrR	dpiA//mprA//fucU//srlA//fliC//yhbE//yccJ//stpA//mhpE//yhdW//entS//
Ada	cusC//stpA//prpE//nadB//
AdiY	bioC//ppiD//yciE//idnK//allA//isrC//ycgZ//metN//
AgaR	pstA//adiA//argT//dinB//ycjG//mtr//sucA//phnM//cysN//bacA//dsrA//
AidB	nuoF//
AlaS	ppdA//
AllR	hns//putP//feoB//idnD//napC//norR//ulaB//nhaR//ebgC//
AllS	nhaA//glcF//flgA//
AlsR	pspB//araD//lacY//fes//gudX//glnD//
AppY	murC//appA//nimR//nrdI//nuoH//lysR//fecC//nemR//ugpQ//sdhB//
AraC	ycjF//rffT//cynT//glgA//recD//nikB//astE//tynA//tomB//uvrC//mngA//aroF//ugpE//napA//
ArgP	fucO//narL//amtB//adiA//mntH//higB//sufC//fdnH//fabG//nuoB//talA//fixA//paaY//rhaB//
ArgR	wzyE//purE//phoR//appB//infC//ccmB//gltF//nuoB//ssrS//sdhD//entD//gspF//lamB//asr//bglF//ttdT//asnC//nrfD//tyrB//uxaC//fliS//tyrA//btuB//lsrF//rffH//treC//setA//agaI//putA//ymgC//ppdC//astC//torA//ubiA//yeaE//cysN//flhC//rpsU//
ArsR	cpxA//dmsA//hyfE//
AscG	hyfH//exbD//cysM//hypA//ecnB//
AsnC	hdeD//purM//moaE//flgH//
AtoC	aslB//wrbA//metC//dmsB//
BaeR	garP//sra//cheA//pitB//caiA//lpd//leuL//qseB//
BasR	lpxD//nuoE//fixC//rbsB//gntT//baeS//pgpC//gudX//flgJ//idnK//ariR//hybO//astE//
BetI	alaS//hokE//puuA//rnlA//
BirA	glnG//leuB//pqiB//amn//aceA//
BluR	aspC//marA//uof//yiaO//
BolA	lsrC//uxuA//
CadC	acnB//nfsB//yhiD//
CaiF	soxS//argD//phoE//mipA//aroF//melA//rnlB//glgC//sgrT//ydeN//
Cbl	fbaB//yegZ//fhuC//fhuB//ybdN//allA//nikA//mscM//alaS//
CdaR	lhgO//fixA//lacA//rstA//rpmA//sgrS//yccA//yeaH//hokD//araB//
CecR	ubiX//rbsA//gltI//acrD//rbsC//
ChbR	hcp//pepA//glyA//yccA//fhlA//tsr//
ComR	ppdC//
