#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	csrC//rpiB//
AcrR	entF//hyfA//agaI//hycH//lamB//higA//rffT//yfiR//ychF//ydhW//seqA//
Ada	ydfH//nikR//tnaB//rbfA//
AdiY	nhaA//trpA//fhuF//glmS//fliD//nuoA//modB//flgE//
AgaR	yeaH//uxaA//csgD//ccmD//mtlR//gor//nrfA//nuoL//yebG//yciG//rutE//
AidB	napA//
AlaS	mazF//
AllR	ftsA//glgB//gspF//csrC//mngB//hyaC//lldD//garK//napD//
AllS	fpr//nuoJ//hybO//
AlsR	dsbA//ydiV//nlpA//emrB//codA//aceE//
AppY	agaC//ftsZ//ygiB//tauA//fabB//pitB//fumB//flhD//soxS//yeaD//
AraC	yjhB//seqA//fliJ//manY//tdcD//dsbC//mepH//yiaO//phnP//bolA//yoaG//ydcS//cysP//rhaB//
ArgP	yqjA//gltK//gadY//ulaG//emrY//mtr//rbsA//rimP//dnaA//hybB//yqjH//acnA//sufB//mngA//
ArgR	serA//dinF//kdpF//ogt//rbsA//rbfA//fadH//hybB//rpoH//aldA//puuE//tpiA//potG//ompN//mdh//dapD//pdeL//seqA//lsrD//paaZ//flu//puuP//argE//ynbC//phoA//cas1//gabD//ftsI//oppC//rnlA//citC//astE//rhaR//trpB//phoU//pspF//icd//mqsA//
ArsR	rseB//ahpF//ugpQ//
AscG	efeU_1//gspM//lsrG//ycjG//nrdA//
AsnC	moeA//argI//glgX//yhjX//
AtoC	glmU//waaY//yrbL//purN//
BaeR	cynX//yncE//hycD//lysC//iscU//rseA//nohA//uxuR//
BasR	fhuE//yciE//feaR//metE//cyoB//gpmM//ompN//hypC//yjbE//tsgA//tnaC//yneM//cdaR//
BetI	fhuF//rffG//nusA//ftsZ//
BirA	artM//rybB//yafP//lon//allC//
BluR	yqhG//yiaK//yqjH//garD//
BolA	yeiL//mraY//
CadC	hyfC//moaB//fixC//
CaiF	fepG//cueO//ccmF//fadR//pstS//nanM//hyfB//csgF//lsrB//hycC//
Cbl	iscA//hcaC//chbR//cydC//glnH//pyrD//galP//znuA//yhbT//
CdaR	entS//nuoG//nikD//rutD//cusA//ubiX//cirA//tam//caiA//gntP//
CecR	napD//rffH//metE//fliL//rutB//
ChbR	allA//mntH//ygbA//tdcC//aroL//sbmA//
ComR	leuO//
CpxR	yfdE//ubiC//phnJ//nupG//gloA//ykiA//nanT//hyfD//lexA//cdd//ppc//mazE//gabP//lpd//ugpE//ulaF//hemL//mipA//cyoD//rclC//wzxE//ruvA//fimE//patA//gutM//ecpA//caiC//skp//feoB//puuP//tauD//yaiW//waaY//ybfE//chbG//flhC//mglA//araA//mhpT//rbsA//dicC//cynS//mqsA//frdB//asr//nuoC//ydjM//narX//appA//micF//gltL//dicB//frdD//mglB//sutR//gatD//fixX//kdpA//dsbC//cadB//iscR//tktB//hypE//nupC//ykgM//kdpA//pyrD//nanT//ydfW//gntK//
Cra	sucD//gor//nemA//glcC//uxaC//csgC//evgA//uxuB//sufA//pagP//rpoH//sroD//idnK//dhaR//fecE//fliS//baeR//araE//paaZ//purH//hipA//fadI//dnaA//hyfC//pykF//glmU//citG//csgB//ybjN//nuoG//tam//aldA//ompF//prs//glnL//potG//sdhD//ugpQ//crp//gdhA//leuL//tdcG//tynA//bamE//uvrY//ompT//yciW//truB//sgbU//fnr//glnQ//hyfI//purB//atoD//fabD//hyaF//gltJ//mgrB//citD//dps//nuoB//tyrP//glpQ//fruA//cysB//dmsB//ompN//trpC//dsbA//cheW//mraY//fliK//yiaO//add//intQ//cueO//ykgO//gapA//ugpC//
CreB	yeiL//sufD//cusR//creB//kbp//
CsgD	nuoN//sdhD//recA//flgA//fliJ//yeaG//acrR//galT//pspE//sufE//glpX//agaI//metE//gltB//mglC//rplT//recA//yegR//fepA//nrdB//accD//lsrD//leuD//gcl//cas2//yjbF//astC//narI//
CsiR	cheA//csgE//fhlA//recX//manY//
CspA	chbB//fecB//
CueR	rdoA//yefM//araF//fimB//pspE//acrZ//oppF//
CusR	cydB//hyaA//gabD//manZ//rpiB//qseC//ssrS//cyaR//paaE//gadE//citC//phoQ//
CynR	fadH//cysJ//ygiA//cysU//
