#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	fadR//ssb//
AcrR	trpE//rybA//glgA//fliI//ccmF//sfsB//treC//efeU_1//csgC//fadA//rcsA//
Ada	tyrA//focB//gspL//purE//
AdiY	agaC//iscA//lrhA//hybO//phnE_2//bolA//idnK//bioD//
AgaR	lsrR//tonB//nanM//hisP//yaiA//fliI//atoA//nuoM//ygiA//prpE//citD//
AidB	narK//
AlaS	casB//
AllR	arsR//gspI//prpE//nanC//yiaL//ycgR//citX//deoC//cyaR//
AllS	gadC//yebG//lsrF//
AlsR	higA//modC//fpr//mdtB//glcE//pdeL//
AppY	glmU//sroC//ydeN//deoD//fimE//appX//yefM//bioB//nemR//dacC//
AraC	yhiD//sdhD//tcyP//wecC//frdA//bdcA//yjbF//hyfJ//dinI//glnL//metL//rutC//flgG//ecnB//
ArgP	ssuC//mlc//gltI//dpiA//potH//dctR//oppA//dsdC//aspA//rybA//flgE//patD//aceF//emrB//
ArgR	lsrC//isrC//prpC//rnpB//yjbH//aroH//lrhA//ygiC//oppA//yidQ//sbcC//araG//ddlB//cydD//srlB//mhpD//ecpA//psiF//leuO//lpd//yebE//fabG//cyoD//sra//fadB//yaiA//hokE//gspG//insK//gatZ//tauB//evgA//ynfF//ydcU//sroA//sdhD//araD//deoA//
ArsR	mdtB//mhpF//mqsA//
AscG	pstA//dcuR//cadC//ftsQ//ogt//
AsnC	pspB//fpr//exuT//glpF//
AtoC	ymgA//arsR//cyoB//fecD//
BaeR	cdd//hisP//cspD//codA//deoD//nikA//pgaD//glgA//
BasR	psiF//fabD//glgA//nfuA//galT//hdeA//trpA//lolA//lacA//hybA//yiaL//hyaD//lsrK//
BetI	argO//fruB//purA//nuoH//
BirA	cynS//astD//higA//waaY//torR//
BluR	xylR//fucR//fhuC//hyfJ//
BolA	recC//glcC//
CadC	lhgO//tdcC//lldD//
CaiF	fadI//ycgZ//nirC//fliR//allE//yneM//torA//gltD//metE//fucR//
Cbl	marR//yiaL//ydcT//ynfE//ycgZ//mgtL//gnd//pdhR//fimB//
CdaR	phoH//ydeN//yeaG//lpd//dcuR//narX//hisP//dinI//nrdA//puuE//
CecR	agaC//nikD//yhdX//rpoE//umuC//
ChbR	flgG//nuoL//aceB//rbsR//mltF//potH//
ComR	puuC//
CpxR	cas1//ttdR//ugpA//gudP//potI//rarA//sgbU//tauA//hcaF//atoE//fes//gudX//allS//wzc//ygiA//ymjD//cysK//murD//hisJ//oppF//feoC//fadL//mdtC//higB//aceF//tauA//tynA//nrfG//tisB//metE//fliI//tsr//mntH//flgJ//rutB//yncE//hypE//yhiM//pfkA//rstA//cspD//rarA//yqhD//frdC//puuE//yiaM//adiC//citX//rbsK//ddpA//ccmB//ccmB//citE//glnG//nanK//ftnA//purF//gntU//ydiV//puuR//nimT//yjhB//mglB//nuoM//ygiA//guaB//garL//fixB//cadB//flgJ//
Cra	yaiW//uxuB//acrA//cbl//higA//crr//envC//casC//grxA//mazE//tpiA//nuoJ//recF//rhaR//adhE//accA//ynbB//fiu//ccmG//yccT//agaD//tsr//rutF//metY//aroM//nlpA//napF//ulaG//modC//nuoI//mngA//seqA//glnQ//wecE//adhE//puuC//relA//marA//manY//agaR//rseA//nanM//bdcA//malS//glcA//ahpC//exuT//codA//hycF//ycjY//bioB//ydiU//fimE//agaR//ascB//pnp//fixB//moaD//phnE_2//mipA//fau//hybC//kbaY//katE//glxK//glpT//glnD//ydiV//malI//fliI//yciG//copA//flgE//uxuA//hisQ//ddpF//pstS//cusB//ompT//
CreB	glpK//ydhV//erpA//cysP//ybhG//
CsgD	dapB//uof//glnD//fadM//citG//osmC//glcG//ydfE//glpQ//ydhU//hycC//cvpA//hyaC//ydcV//gspH//fldA//yjbF//ydhV//lldP//paaA//csiD//citF//yafP//frdD//tolC//csrC//pnp//sufE//
CsiR	osmC//lysC//cyoB//glyA//yoaC//
CspA	aroF//phnF//
CueR	relA//ptsG//ygbA//gudX//torD//rhaT//rhaS//
CusR	aspC//torD//narI//astE//rhaS//accD//lacY//evgA//sra//xylH//rsmH//lysO//
CynR	mhpB//oxyR//tauB//yhdY//
CysB	entC//appY//gspG//rutD//cho//gspC//entB//znuB//garK//csrB//tdcD//acrR//yefM//glgC//entF//idnD//uspD//hycD//glpA//cydB//yjbG//malQ//uidA//fabI//nfsA//micF//glnK//ychF//deoA//yagK//hyfB//cvpA//
CytR	glpT//hypA//ynjI//wcaB//hycF//phnD//torD//glnD//deoA//frdC//oppC//entH//puuC//
Dan	narK//yccJ//fepG//tehA//
DcuR	rhaA//cynS//ydeN//hokE//ydfW//mglA//lacY//murD//fhlA//
DeoR	araB//betB//hcaB//yiaM//rffT//atoA//
DhaR	fucA//flgE//gabP//feoB//
DicA	ybdN//phnF//tdcE//cydB//ygdB//phnF//glpX//fucP//
DinJ-YafQ	hycB//nohA//mdtA//
DnaA	ftsZ//cynX//casC//hemL//decR//hyi//gltL//feoC//napG//rffT//purM//citE//
DpiA	gatA//symE//uidA//speA//nrfF//ompC//ynfE//hyi//hlyE//lgoR//glmY//
DsdC	fecI//tauA//araD//
EbgR	napA//glgB//
EnvR	sgrR//phnP//
EnvY	ilvC//mntP//
EvgA	fepD//lsrD//yefM//astA//ftsK//ybhL//malE//cecR//wzb//caiD//ccmG//galP//allB//znuC//mraZ//osmC//acrD//ompW//chiP//
ExuR	uvrD//bioA//znuA//tnaB//ppsA//aceK//narI//creC//pheT//
FabR	aceA//hisM//
FadR	tcyJ//hypD//citF//artJ//sdhD//flhE//lysA//xylH//glgX//fliS//ddpX//ddpA//nrfA//narJ//adiC//gabP//cyoC//lacZ//ymjD//pgk//moaE//gspI//cdaR//
FeaR	thiQ//ogt//
