#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	malF//adiC//
AcrR	phnF//asr//dnaG//metI//glnP//fldB//araA//thiP//ynfH//ccmF//fecD//
Ada	glgA//asr//lldD//cheW//
AdiY	yecR//allB//uidA//gnd//mngR//ychF//hybE//cdd//
AgaR	nanC//mipA//tyrB//cvpA//rpsU//baeS//ychF//idnO//artQ//yebG//cspE//
AidB	ribA//
AlaS	nanA//
AllR	ydbD//fimE//slyB//ycdZ//csgB//lpxA//ydfE//ssuB//ycdZ//
AllS	arsC//yfdV//garK//
AlsR	tfaQ//csiD//fhuB//tsr//puuE//iscR//
AppY	gltL//mdtE//yccA//fabI//yciF//emrK//mglC//kdpB//purK//sroA//
AraC	ihfA//cysP//sgbE//yneM//caiT//ydhV//exbB//sdhC//flhA//dctR//thrS//hycC//yidQ//accA//
ArgP	uhpT//sufD//tynA//tauA//nrdG//sdhB//xylF//ftsI//btuB//uvrC//ychF//pyrC//fruA//hyaF//
ArgR	rob//flgK//yiaL//flhB//yqhG//garD//fumC//feoA//cynR//baeR//mhpC//gspE//recF//alsA//ppiD//aroM//ydhY//hcaF//phnG//argD//gcl//adiC//rhaB//acnA//fumC//glnP//hydN//xylG//yhjA//oppD//sdhB//acrA//dcuD//malQ//lysP//phnD//treC//flgA//
ArsR	relE//caiA//csrB//
AscG	nuoL//yhdX//gspF//argI//ulaD//
AsnC	atoB//yecT//dsbC//manY//
AtoC	rpoE//recC//csgF//fumB//
BaeR	ydhV//phnE_2//leuO//fes//paaA//carB//hemH//ydjM//
BasR	ulaF//bluF//rffC//cdd//ydfE//obgE//sgrS//yhdY//nhaA//setA//pyrC//ynjI//gcvA//
BetI	ydeO//fabA//hokE//entA//
BirA	deoD//glcD//yeaE//cyoB//lysC//
BluR	yqjA//glnB//iscR//puuR//
BolA	frdA//pspB//
CadC	slyB//rclC//murE//
CaiF	katE//dhaL//ahpC//glpF//pstA//gltJ//cydA//puuD//pyrC//cysG//
Cbl	ddpX//hyfH//yjbE//csgF//dinJ//dcuA//yfdE//gspI//slt//
CdaR	uxaA//aceE//gadA//kdpC//yaiA//yhbT//ydhU//aceB//allB//malM//
CecR	rpsO//creD//yhiD//xylF//oxyS//
ChbR	rutD//acrR//aroM//rstB//bacA//motA//
ComR	tdcF//
CpxR	fruB//sufC//lpd//alsA//cdaR//yeaE//galM//phnC//pgk//asnA//gltI//gntT//modA//stpA//tauD//ahpC//pdeH//mtr//cysK//ilvC//rimK//deoD//hybB//murI//ynfE//creC//melB//rpmA//focB//tdcB//sufD//glnA//murR//kbaZ//flgI//ftsK//yhiM//ytfE//alsC//napA//hyfI//mdtB//acnA//nrdH//wecE//dmsA//slt//puuB//flhE//glpF//garL//ppdA//leuO//gcl//cheW//galR//cysG//phnE_1//kdpA//tdcA//hisM//sucB//astE//ftsQ//cyoB//galR//marR//glnG//leuB//ftsZ//
Cra	cysN//fucI//cyoD//lsrF//purE//pgaD//znuA//argA//acrA//ssuD//fadL//gspL//metI//yrbL//appX//fliN//nikC//ydcS//norR//moaE//cysE//sulA//yciE//glpA//soxR//uidA//rdoA//insD//gntU//pqiB//mprA//galE//puuC//gatB//astC//gadA//ycgR//ygeA//soxR//argE//molR_1//prpC//paaF//nfsB//rplU//ynfF//rstA//nemA//argG//lysC//idnK//ybdZ//fucP//nirC//speA//yiaJ//garL//cyoC//ydfX//ahpC//cas1//rcnR//speA//dmsC//pflB//phnC//rseA//pgk//fliI//lrp//aroP//ccmA//dcuR//pykF//ccmH//bioF//ftnA//rpsU//rybA//
CreB	acrB//rbsK//torR//malI//alaC//
CsgD	yeaG//umuC//flgJ//entE//tnaB//gabT//hcaF//gatZ//cysN//ulaB//tdcB//guaA//gcvH//asnB//hycD//casE//cysI//zraR//rbsC//purB//hypF//yhdX//accD//dinF//metI//caiA//fadH//betB//
CsiR	relB//aceE//ydfD//glgP//gntX//
CspA	qseC//waaZ//
CueR	leuD//dkgB//rplT//ynfE//cbl//malK//uspA//
CusR	nrfA//rutG//malF//ulaB//sgbH//iscA//yhdZ//glpF//sucC//insD//glpF//ulaE//
CynR	lsrB//exuT//yciF//rpoD//
CysB	yqjA//ycgZ//trpR//yfdE//hybF//pspC//putP//gltD//dgkA//cysI//nuoN//ptsG//gadA//modB//ynfH//entF//fadE//gudX//rpiB//rutG//ftsZ//ygeH//glxK//oxyR//aspA//dgkA//cysI//ydfH//sgbU//ydfX//hybG//recA//
CytR	nuoK//fabI//sgrR//dnaG//alsE//fabH//dhaL//yhiM//lsrB//ydeN//fecA//bioC//cysA//
Dan	glk//gspF//slp//envC//
DcuR	nrfE//allE//tam//iraP//cysB//glgX//agaA//ydeI//fucA//
DeoR	puuP//ugpE//yjbH//cysU//malE//yhbS//
DhaR	fucO//tcyP//nikB//mhpE//
DicA	modA//phr//csgD//tyrP//uidC//hisJ//dicB//gabT//
DinJ-YafQ	ymgA//dhaL//aceF//
DnaA	gabT//spy//betA//hycA//ssb//nikA//yfdX//uvrC//treR//fabZ//yiaN//glpX//
DpiA	udp//araH//hybE//ubiA//marR//gntU//ppiD//nrdH//fixA//gadA//dgkA//
DsdC	thrS//mqsR//pagP//
EbgR	ibaG//chiP//
EnvR	emrY//rutF//
EnvY	trpE//fucP//
EvgA	ybaT//acrB//glcD//fadA//mlc//sgrT//gcvA//cheA//slp//pgaC//hycI//ccmA//wzc//gltF//nuoC//treR//gor//modA//ydeN//
ExuR	pspF//phnE_1//fliJ//ccmD//xapB//ilvC//mqsR//casD//cpxA//
FabR	nuoF//cspI//
FadR	pitB//tonB//fucO//ydfW//add//mglB//mazG//adiA//dctA//betT//ycjY//aroG//cusA//ttdB//hemH//cysD//speB//rutB//ynfG//garL//dcuD//yjbG//mtlR//
FeaR	puuC//dps//
FhlA	alkB//fliH//gltL//rpmA//cysJ//ymjC//codB//yecR//gspO//glnP//mntS//oppD//fucU//gspG//nuoG//glk//fur//mhpF//idnD//alsC//uxaB//recB//putP//hisP//flgD//cyoA//malP//hycG//tpiA//lpxA//
