#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	uvrY//alaS//
AcrR	srlA//mprA//lyxK//phr//narG//torC//uvrY//acrZ//napA//asnB//cusF//
Ada	nuoA//folA//aceE//mdtA//
AdiY	lpxA//omrA//alaC//artJ//gatD//alsE//fadD//fabI//
AgaR	rffC//ilvC//bamE//ybiT//mqsR//allE//decR//rutF//narI//katE//yhdY//
AidB	argG//
AlaS	manZ//
AllR	dhaR//lacZ//allC//nimT//tadA//potG//cra//yafP//rhaD//
AllS	recB//hyfR//rimK//
AlsR	malY//yqjA//appY//rclB//hycD//fecE//
AppY	malZ//ddpD//rpmA//fabH//btuB//yciX//sufE//allE//ycjY//fbaA//
AraC	lysP//fadJ//tauC//cynX//pykF//lolA//iscR//alsB//hisP//ldtC//nrdF//rutB//fliD//glk//
ArgP	sucA//fhuC//hycE//cynS//purH//rutD//ynfH//fixA//nikB//ppiA//csgG//ygaC//aceF//lysR//
ArgR	pagP//gnd//trpB//yedX//gabP//puuP//gntU//flhB//fabZ//yafP//hipB//gltD//galM//mltF//leuL//ydeI//ydfD//glcC//lldP//narI//rbsC//argR//gadC//metA//ybaT//hyfI//purH//uxuR//leuC//yecT//agaI//yedX//gapA//recX//mhpD//seqA//uhpT//sdhA//
ArsR	ybhL//rpmI//gltD//
AscG	gltD//wzyE//phnK//ompN//deoA//
AsnC	glmU//yegH//accB//gatZ//
AtoC	seqA//sgbH//glcA//soxR//
BaeR	ompC//yqjA//ftnB//gpmM//ftsI//paaI//relA//rarA//
BasR	cpxP//fixX//rplU//cydA//fecC//fadE//tsgA//hyfE//yeaE//ibaG//nlpA//hflD//mglB//
BetI	guaB//slt//nhaA//rpoS//
BirA	infB//lpd//gadC//lacZ//emrY//
BluR	yiaJ//metB//amn//recN//
BolA	fhuB//dkgA//
CadC	fhuB//ugpQ//fbaA//
CaiF	melB//ftsL//ydbK//dcuD//idnO//cydA//fecC//decR//araE//betA//
Cbl	ompN//casA//kdpA//cas1//ybaS//nrdH//phnE_1//grcA//mglB//
CdaR	aslB//moaB//cdaR//malX//mazG//fabB//purE//fabD//gfcA//nrfF//
CecR	ugpQ//hypE//yiaN//aroL//gadC//
ChbR	gapA//argH//nikE//hcp//mgtL//uspA//
ComR	relB//
CpxR	fliN//cas1//malK//nrdA//csgF//gcvT//rclC//araE//recX//umpH//ilvY//malS//rcsA//rclA//cyoC//pflB//gor//cueO//fepE//efeU_2//rdoA//erpA//bluF//rpiB//cydA//atoB//sroC//ftnA//purH//polA//pgaD//spy//hcaD//prpD//tyrA//arsC//nmpC//yhjX//oppF//gcl//srlB//hyaC//glpB//iscS//paaH//rsmH//sdhC//moeB//deoD//phnD//yrbL//dsbG//cadA//fadJ//cytR//patD//mipA//astB//cspE//pfkA//ydeN//soxR//tyrP//yqjI//tdcE//lysA//yccT//tdcE//ccmH//phnI//
Cra	sdhD//nrfE//artM//treC//osmY//ydfN//csgD//hybE//dkgA//ccmD//pheS//polA//phnD//cdd//trpR//pdeL//xylF//pgpC//flgK//hycI//mtlD//hycE//phnL//mngR//ygdB//lldD//ddpX//waaY//yciF//csrB//rffH//fecB//lldR//mdtC//yfdX//spy//manY//rffC//glgB//pdhR//ygdB//purB//phoA//purN//cpxA//ydcS//tynA//fabD//hyfD//yidL//ydhU//chbC//purF//rbsC//dpiA//ccmF//rseA//chbA//gadX//potF//caiD//umpH//phoR//mhpC//ppdC//rffG//ydfE//gnd//glpC//thiP//tauA//edd//flgM//fepE//rsmH//galE//ulaG//fnr//murD//
CreB	srlB//recF//malS//gspD//dacC//
CsgD	gpmM//allB//gcvH//agaB//nikD//recA//dinG//dinQ//uspD//cdaR//tauD//rnlA//argG//rimK//frdD//hokD//yhjX//hycF//purC//phnN//dcuD//gadF//icd//flgN//amtB//ydcS//rpoH//psiF//
CsiR	pgaB//recX//hyfA//polB//ftsA//
CspA	amn//agaI//
CueR	allB//hyfI//ybbW//fdhF//flhD//nikB//flu//
CusR	aroF//argI//dsdC//fepG//aidB//nikE//tpiA//baeR//nfsA//cpxQ//oxyS//ytfE//
CynR	cpxP//mazG//araD//hydN//
CysB	allA//fabB//ybjN//fadR//xylH//modB//ybaT//crp//ldtB//argA//gatB//gspI//wrbA//asnB//oppF//fabD//rseB//zraP//putA//mdtC//cysU//kbp//yeaR//glpB//ydeI//cueO//lacZ//feaB//gudP//mngB//glnD//ccmC//
CytR	fecE//edd//mgrR//yjeV//hisJ//fucK//add//isrC//lsrC//yqjI//fliS//mprA//gabP//
Dan	nrdD//rffC//sgbH//uxaC//
DcuR	bioF//nrdF//ynbB//ygeA//fecB//rpoD//nuoN//hipA//phoH//
DeoR	malX//ynfG//rffT//nupC//pspD//modC//
DhaR	nupC//fliA//patA//malE//
DicA	ynfG//dsbC//fhuE//galE//accD//mdtE//pdeL//puuR//
DinJ-YafQ	sufB//uxaA//nagA//
DnaA	ygiC//fadB//argP//ubiC//mgtL//citG//ariR//carA//fabA//nirB//modC//sufD//
DpiA	uxuR//mtlA//dgcC//gatZ//znuC//murD//bglG//fumB//bioC//argI//cytR//
DsdC	luxS//gutQ//glxK//
EbgR	yqjH//yiaK//
EnvR	rhaD//cysG//
EnvY	purA//degP//
EvgA	ttdA//rybA//trpD//norV//pdeR//poxB//mdtD//fumC//malG//znuA//sodB//yjeV//nadA//cysW//hyfC//slt//hns//mepH//ychF//
