#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	nirB//uvrC//
AcrR	hyfJ//hdeA//paaD//kdpF//fdnI//ahpC//amn//mscM//paaK//acrZ//gltK//
Ada	nemR//crl//tauC//yhhY//
AdiY	fbaB//metQ//fliL//ddpB//emrB//umpH//appA//potG//
AgaR	hybF//ydbK//degP//nrdA//umuC//ycjF//frdD//lldP//obgE//chbR//rpoE//
AidB	yiaO//
AlaS	tisB//
AllR	malT//ycgR//gspL//phnI//ddlB//ybdZ//nadB//malP//araE//
AllS	yafQ//ybaT//yibQ//
AlsR	gadY//feaR//gcvP//exuR//cysN//obgE//
AppY	asnA//metE//nikA//gspG//ygbK//rutE//ykgM//ygiA//rsmH//gudD//
AraC	cpxR//dinJ//ftsQ//napG//rbfA//napB//yeaG//flgH//fiu//rhaB//argI//dinJ//amn//aceA//
ArgP	ulaF//dapB//nikE//nuoF//pheT//efeU_1//gnd//glcA//puuE//accB//alkA//pgaC//ychF//ycgR//
ArgR	acrA//nagB//rffH//fadB//fixB//sbcD//sucB//ybfN//paaK//glpT//sodA//dcuB//yqhD//xylA//ubiC//srlR//agaI//gatC//ydfN//ynbD//ribA//mdtD//gspH//lhgO//csrB//yjbH//gpmM//paaD//yhdW//fimB//ppdB//ptsG//allS//xapA//evgA//zraS//treR//rpoH//
ArsR	asr//dsbG//pyrD//
AscG	osmB//entE//flgB//pqiA//ssuD//
AsnC	yecT//phnE_1//pspE//araG//
AtoC	murG//recN//talA//nrfG//
BaeR	fdnI//hypE//pdhR//entS//hypF//metN//mazF//guaA//
BasR	napG//ugpC//dapD//rplT//casB//gatZ//fliR//pitB//tsgA//potG//pgpC//hyaA//moaD//
BetI	citG//ubiA//glgB//mipA//
BirA	mprA//agaR//ftsQ//sbcC//hypA//
BluR	flgH//metJ//nikA//gcvP//
BolA	nikD//yfdV//
CadC	nohA//mhpA//puuP//
CaiF	ydeP//agaV//fadE//isrC//frc//gfcA//allA//yafP//manZ//paaH//
Cbl	malG//udp//phnK//aceA//srlA//hybE//ulaF//yoaG//rbsK//
CdaR	lldP//ddlB//glcA//tauD//csgD//hypC//pdeR//flgK//phnL//rutE//
CecR	speA//wzyE//hycD//glgA//ybhS//
ChbR	ccmG//phnL//uxuB//ybjG//hcaF//uxuA//
ComR	nrfA//
