#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	hyfB//ldtD//
AcrR	aroM//nikD//lpxC//fepB//ynfK//spy//nuoL//fadH//emrK//glnH//csgB//
Ada	gcvH//cusF//glpC//mpaA//
AdiY	creC//yeaG//sgrT//ftsW//sgbE//purE//fliI//oxc//
AgaR	agaW//fucP//znuB//grcA//fabH//araE//rbsC//hybO//hycE//gadY//fecA//
AidB	fucU//
AlaS	gutM//
AllR	nusA//deoD//nikB//hyfG//fhuC//malS//hyfR//paaB//nrdI//
AllS	fimB//bdcA//dcuB//
AlsR	lsrD//lacA//codB//ftsA//garR//rutC//
AppY	cueO//glpB//fliQ//bioD//nuoC//pgaA//cysD//glnA//ycjG//araE//
AraC	fes//ttdB//gspG//yqhG//bioC//nuoB//hcp//wecC//mazE//nrfB//fixB//ybjN//nuoL//obgE//
ArgP	ccmH//gspO//ybhR//pck//tdcA//rbsC//cysA//emrK//murP//yaiW//rnlB//fepG//xylR//cheW//
ArgR	glpK//wza//gor//deoB//cysK//ssuD//gadC//yiaL//mntS//rhaB//atoB//leuB//cysW//hyfG//glmS//wzzE//wzzE//kdpB//cysK//csgE//yeaR//rstA//flgH//relB//ftsI//ccmE//cpxQ//rseB//ymgC//flgK//mdtB//rtcB//lysO//gltI//wzxE//ddpF//fliE//wcaB//
ArsR	fdhF//carB//flhD//
AscG	tktB//micF//motA//paaK//dinG//
AsnC	entE//paaJ//tehA//sodB//
AtoC	melA//fimB//tyrA//mntP//
BaeR	rutA//yccT//yqhG//phnF//dpiB//rcnR//cytR//modB//
BasR	glyA//agaC//yhdX//cirA//fecA//dinJ//katE//potF//purB//fliK//nrfD//purA//rpmI//
BetI	murR//yiaO//agaC//dhaM//
BirA	setA//kbp//fliF//bioD//hcp//
BluR	rpsO//ssuA//uspA//ybiT//
BolA	csiD//hisM//
CadC	argR//yccT//gabP//
CaiF	ydiU//rclA//gspL//flgJ//aroH//ynbB//cysM//pdeR//wcaA//nrdH//
Cbl	marA//potF//fimE//efeU_1//cysD//moaD//hycC//paaC//araE//
CdaR	acrR//hemL//puuB//ykgM//idnT//pgaD//cas2//fhuF//entF//nimT//
CecR	ygdB//kdpC//nuoE//ppiA//rclA//
ChbR	sucB//glmS//rplT//oppA//add//hcp//
ComR	narG//
CpxR	ssuB//adiA//asr//ydfE//nuoL//yiaJ//entB//tsx//fepE//waaH//ydeM//sbmC//ttdB//cusB//yegR//entC//cysE//yidL//sucA//fdnH//putP//feaR//glyA//glcF//mzrA//fnr//mprA//dhaL//cyoE//entC//fdnG//tdcA//galR//hipA//fliA//rfe//astE//pncB//pdhR//gspM//tolC//nirB//ydjM//cyoE//rffG//glpX//mngA//waaZ//tnaB//idnR//mgtL//yhbT//ydfN//leuL//paaC//glpF//narH//pncB//hybB//phoE//yaiA//torR//ascF//fabA//ynbB//yhbE//ycjF//ybaS//tdcA//glmS//
Cra	mnmG//emrY//arsC//pncB//ydcV//tdcC//ppdC//rplU//ddpX//ddpA//tktB//mqsA//cydC//rutC//baeR//dkgA//yafN//fucR//ftnA//cadB//tonB//amn//borD//rob//caiC//cecR//pykF//alkB//ybfN//feoB//ydcU//ulaC//tyrA//ppsA//pstA//metE//csrC//ykgO//ybfN//hyaF//sufB//uspD//waaZ//pgm//sdhA//sutR//lon//polB//murI//araH//paaD//dkgA//tynA//dgkA//trpC//galE//atoE//yjbH//flgI//ldtC//lrhA//xylH//glmU//melR//ugpQ//aspA//purN//paaH//tam//hyaB//wcaA//fliM//cpxQ//ydcU//rcnA//hycI//caiT//yhdX//pck//
CreB	motB//hyfG//cyoC//dcuA//fepC//
CsgD	rhaB//caiD//ybhR//pnuC//norV//betT//metR//rnlA//yfaE//yiaM//safA//malP//argB//znuB//wecC//dmsB//mdtB//fbaB//fpr//argE//fhuE//yibQ//bioB//glyA//ybhR//ndh//argA//csgE//
CsiR	yhjC//rseC//gntT//ompN//motA//
CspA	narJ//betB//
CueR	asnC//lacA//carB//ydjM//idnO//mtlR//gltF//
CusR	tisB//accC//nuoI//lsrB//hybO//allB//ulaB//hyfD//norV//mraZ//aroH//uxuR//
CynR	fliP//ycgZ//mtlR//hypF//
CysB	betA//flgA//dinI//nrfF//ycgR//melB//sra//fabH//rybB//uvrC//yfaE//fepC//bolA//srlR//cysM//mgrR//rffT//ybjN//fadE//lpxA//argF//hybB//tauD//paaZ//potH//nhaA//dsbA//gdhA//dnaG//dsrA//ybhF//nanK//
CytR	phoP//sgbU//purH//pgaD//mgrB//rimK//srlR//aroH//yciE//phnN//rbsB//aldA//fucU//
Dan	yoaC//hyfF//narI//efeU_1//
DcuR	gspD//ebgA//ykiA//ddpC//rutA//yecR//astB//ulaF//ttdT//
DeoR	gabT//garP//pck//marA//prpC//purR//
DhaR	mngR//tdcG//hemL//nirD//
DicA	gadW//ariR//glnG//moeA//nagA//alaS//mhpB//yciG//
DinJ-YafQ	leuO//purD//deoC//
DnaA	aroF//ygbA//dcuD//dnaG//glnD//eda//uvrC//ygiA//hyfA//pheS//inaA//araA//
DpiA	fecI//mgrR//ftsK//paaZ//glcD//uvrD//ecpR//cysC//deoD//rimP//gatZ//
DsdC	ydcU//fixA//betT//
EbgR	cusR//cdaR//
EnvR	gadB//argP//
EnvY	cyaR//cysJ//
EvgA	ihfA//cheW//uxaA//aceB//dinD//ydfH//wzyE//rcsA//rhaA//pgpC//flgN//edd//glcG//trpL//fiu//edd//ccmE//adiC//uspE//
ExuR	rfe//feoC//gspF//trpA//malX//gspO//mglC//iscS//dpiA//
FabR	malY//ompT//
FadR	acrR//adiC//ybiT//ubiC//stpA//dcuA//hokD//lacA//yegR//yaiW//nrdF//accB//cadA//arsB//ygeH//metY//ydeI//alsE//prpB//fixA//ftsA//yebE//purL//
FeaR	fucR//yncE//
